Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,44.56,45.17,44.00,45.07,148600,45.07
2014-06-18,45.59,45.60,44.50,44.79,178900,44.79
2014-06-17,45.49,46.12,44.45,45.20,202900,45.20
2014-06-16,87.49,89.62,87.49,89.35,89800,44.67
2014-06-13,87.14,87.45,86.54,87.36,114800,43.68
2014-06-12,87.70,88.32,86.46,86.94,85400,43.47
2014-06-11,87.50,88.48,85.11,88.17,318800,44.08
2014-06-10,89.23,89.56,87.50,87.71,183000,43.85
2014-06-09,87.61,89.98,87.61,89.20,211200,44.60
2014-06-06,88.49,88.49,87.55,88.31,134000,44.15
2014-06-05,88.72,88.91,87.54,88.30,167200,44.15
2014-06-04,89.48,90.61,88.43,88.72,169400,44.36
2014-06-03,90.85,90.97,89.50,90.00,142600,45.00
2014-06-02,90.44,91.80,90.19,91.41,173800,45.71
2014-05-30,90.65,91.66,89.75,90.95,166800,45.47
2014-05-29,90.80,91.08,90.04,90.67,108000,45.33
2014-05-28,90.00,91.85,89.81,90.10,136800,45.05
2014-05-27,90.85,91.33,89.29,89.72,113200,44.86
2014-05-23,91.55,92.10,89.76,90.28,150400,45.14
2014-05-22,92.06,92.39,90.51,91.53,152200,45.76
2014-05-21,94.00,94.95,92.39,92.46,269600,46.23
2014-05-20,93.44,93.90,92.02,93.53,89800,46.76
2014-05-19,92.30,93.84,92.30,93.14,86800,46.57
2014-05-16,92.62,93.12,91.56,92.00,87800,46.00
2014-05-15,92.07,92.57,90.76,92.12,142400,46.06
2014-05-14,90.52,91.99,89.35,91.66,153800,45.83
2014-05-13,91.82,92.65,89.51,90.32,244200,45.16
2014-05-12,93.25,94.19,91.20,91.81,267200,45.90
2014-05-09,92.66,92.84,91.78,92.59,105400,46.29
2014-05-08,93.25,93.25,91.78,92.75,102200,46.38
2014-05-07,93.65,93.70,92.90,93.18,99200,46.59
2014-05-06,93.30,94.01,92.91,93.11,158800,46.56
2014-05-05,94.37,96.04,93.89,94.11,367000,46.44
2014-05-02,94.83,94.98,93.29,93.88,187600,46.33
2014-05-01,93.40,94.96,92.28,94.28,228000,46.53
2014-04-30,92.30,93.99,91.23,93.13,262800,45.96
2014-04-29,91.20,92.77,91.20,92.06,238200,45.43
2014-04-28,88.00,90.83,88.00,90.02,246800,44.43
2014-04-25,87.30,87.48,86.04,86.61,137400,42.74
2014-04-24,86.45,87.59,85.80,87.08,139600,42.97
2014-04-23,85.11,86.35,84.60,85.84,137800,42.36
2014-04-22,84.67,84.99,84.46,84.86,104800,41.88
2014-04-21,85.13,85.18,84.57,84.72,64800,41.81
2014-04-17,85.32,85.32,84.46,84.60,60800,41.75
2014-04-16,84.07,85.00,83.40,84.95,159800,41.92
2014-04-15,84.82,85.10,83.09,83.65,274000,41.28
2014-04-14,84.90,85.05,83.55,84.28,198000,41.59
2014-04-11,82.80,84.90,82.80,84.03,78600,41.47
2014-04-10,85.19,85.27,82.16,83.29,475400,41.10
2014-04-09,85.59,85.90,84.62,85.21,282600,42.05
2014-04-08,84.77,85.40,84.46,85.14,140000,42.02
2014-04-07,84.97,85.26,83.01,84.79,168400,41.84
2014-04-04,85.40,85.92,84.37,84.83,148000,41.86
2014-04-03,85.80,85.80,84.70,85.10,129800,42.00
2014-04-02,85.82,85.82,84.85,85.46,208600,42.17
2014-04-01,84.50,85.41,84.19,85.15,187600,42.02
2014-03-31,83.50,84.48,83.01,84.14,88600,41.52
2014-03-28,83.08,83.31,82.02,82.80,124400,40.86
2014-03-27,83.92,83.92,82.79,82.79,58800,40.86
2014-03-26,84.11,84.21,83.06,83.38,115400,41.15
2014-03-25,83.00,83.67,82.69,83.67,127800,41.29
2014-03-24,82.04,82.61,81.50,82.30,134800,40.62
2014-03-21,81.74,82.30,81.16,82.05,166600,40.49
2014-03-20,80.62,81.82,79.52,81.25,181000,40.10
2014-03-19,82.62,82.62,81.00,81.40,165600,40.17
2014-03-18,82.00,82.36,81.80,82.36,183600,40.64
2014-03-17,82.26,82.26,81.21,81.76,114200,40.35
2014-03-14,81.35,81.98,80.36,81.08,107600,40.01
2014-03-13,82.85,82.85,80.66,81.35,76200,40.15
2014-03-12,83.00,83.29,81.35,82.37,106200,40.65
2014-03-11,84.00,85.15,83.00,83.06,106400,40.99
2014-03-10,85.64,86.47,84.18,84.90,99000,41.90
2014-03-07,84.86,85.35,84.01,85.22,114200,42.06
2014-03-06,85.00,85.44,83.95,84.73,75000,41.81
2014-03-05,85.38,85.74,84.59,84.62,90600,41.76
2014-03-04,86.59,86.76,85.36,85.36,100400,42.13
2014-03-03,86.16,86.38,85.19,86.38,133200,42.63
2014-02-28,84.63,86.76,84.31,86.16,182000,42.52
2014-02-27,84.39,85.44,83.96,85.29,84600,42.09
2014-02-26,83.99,84.48,83.13,84.47,101800,41.69
2014-02-25,83.52,83.85,82.53,83.47,111600,41.19
2014-02-24,82.10,83.46,81.73,83.39,151200,41.15
2014-02-21,82.00,82.09,81.30,81.85,132800,40.39
2014-02-20,80.39,81.87,80.28,81.79,139800,40.36
