Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,45.26,45.35,44.68,45.03,57000,45.03
2014-06-18,44.48,45.06,44.31,45.03,48700,45.03
2014-06-17,43.85,44.75,43.82,44.57,85200,44.57
2014-06-16,44.12,44.21,43.55,44.07,54600,44.07
2014-06-13,45.05,45.06,44.20,44.38,50400,44.38
2014-06-12,45.57,45.81,44.68,44.81,136400,44.81
2014-06-11,45.51,45.78,45.27,45.56,126400,45.56
2014-06-10,45.77,46.01,45.48,45.91,36700,45.91
2014-06-09,44.73,46.04,44.73,45.92,83800,45.92
2014-06-06,44.43,44.98,44.25,44.77,90700,44.77
2014-06-05,43.66,44.61,43.31,44.08,173400,44.08
2014-06-04,43.25,44.10,43.12,43.70,51600,43.70
2014-06-03,43.88,44.30,43.26,43.39,59300,43.39
2014-06-02,44.80,44.80,43.32,43.91,61500,43.91
2014-05-30,44.42,44.80,44.19,44.51,44900,44.51
2014-05-29,44.85,44.88,44.13,44.21,49500,44.21
2014-05-28,44.74,45.00,44.51,44.62,61900,44.62
2014-05-27,44.27,45.40,44.27,44.83,54200,44.83
2014-05-23,43.08,44.09,42.94,43.89,61200,43.89
2014-05-22,42.70,43.28,42.43,43.08,38500,43.08
2014-05-21,42.64,43.42,42.16,42.73,63800,42.73
2014-05-20,43.25,43.44,42.07,42.51,103300,42.51
2014-05-19,42.72,43.71,42.55,43.47,52600,43.47
2014-05-16,42.54,42.98,42.18,42.75,44500,42.75
2014-05-15,42.75,42.97,41.98,42.60,86400,42.60
2014-05-14,44.71,44.86,43.06,43.10,75400,43.10
2014-05-13,45.71,45.75,44.54,44.67,111900,44.67
2014-05-12,44.21,46.12,43.85,45.80,119200,45.80
2014-05-09,43.22,44.12,43.11,43.89,74100,43.89
2014-05-08,44.02,44.77,43.31,43.45,72900,43.45
2014-05-07,43.37,44.10,42.89,44.03,81700,44.03
2014-05-06,44.44,44.98,43.17,43.20,75800,43.20
2014-05-05,44.21,44.92,43.79,44.77,93000,44.77
2014-05-02,44.29,45.00,44.11,44.65,72000,44.65
2014-05-01,43.23,44.31,42.62,44.15,166100,44.15
2014-04-30,43.47,43.57,42.81,43.42,106800,43.42
2014-04-29,44.09,44.55,43.38,43.50,66300,43.50
2014-04-28,43.64,44.19,42.93,43.81,111300,43.81
2014-04-25,44.20,44.40,43.11,43.40,71500,43.40
2014-04-24,44.72,44.76,43.92,44.41,71000,44.41
2014-04-23,44.15,44.58,44.10,44.28,82200,44.28
2014-04-22,44.23,44.40,43.89,44.31,129800,44.31
2014-04-21,44.58,44.70,43.62,44.09,61300,44.09
2014-04-17,43.78,44.55,43.69,44.43,77700,44.43
2014-04-16,43.22,44.22,43.22,43.86,88500,43.86
2014-04-15,43.34,43.50,41.80,43.15,100800,43.01
2014-04-14,42.96,43.54,42.53,43.33,72300,43.19
2014-04-11,43.08,43.50,42.33,42.50,94600,42.36
2014-04-10,44.87,45.32,43.51,43.58,143400,43.44
2014-04-09,44.38,44.87,44.01,44.76,83900,44.61
2014-04-08,43.24,44.55,43.04,44.09,155300,43.95
2014-04-07,45.68,45.85,43.23,43.32,218700,43.18
2014-04-04,45.25,46.82,44.27,45.70,336100,45.55
2014-04-03,44.03,44.54,43.71,44.34,120000,44.20
2014-04-02,44.42,44.42,43.92,44.08,115800,43.94
2014-04-01,44.61,44.61,43.92,44.37,148800,44.23
2014-03-31,41.90,44.81,41.50,44.68,233100,44.54
2014-03-28,41.93,42.16,41.72,41.86,259800,41.72
2014-03-27,42.30,42.32,41.75,41.93,114300,41.79
2014-03-26,43.78,43.89,42.22,42.23,112200,42.09
2014-03-25,43.42,43.71,42.95,43.42,156000,43.28
2014-03-24,43.81,44.00,43.06,43.30,100600,43.16
2014-03-21,44.18,44.18,43.46,43.58,279600,43.44
2014-03-20,44.69,44.87,43.84,43.96,86500,43.82
2014-03-19,44.63,45.10,44.60,44.68,105600,44.54
2014-03-18,43.74,44.72,43.64,44.65,122500,44.51
2014-03-17,43.50,43.99,43.42,43.59,71400,43.45
2014-03-14,42.60,43.50,42.41,43.37,84700,43.23
2014-03-13,43.62,44.04,42.55,42.78,88200,42.64
2014-03-12,43.49,43.82,43.20,43.33,116700,43.19
2014-03-11,44.70,44.87,43.57,43.79,106500,43.65
2014-03-10,45.55,45.73,44.70,44.72,159300,44.57
2014-03-07,45.80,46.00,45.25,45.59,100800,45.44
2014-03-06,45.01,45.69,44.91,45.58,200700,45.43
2014-03-05,45.06,45.10,44.66,44.78,154100,44.63
2014-03-04,44.40,45.93,44.40,45.01,213100,44.86
2014-03-03,44.12,44.12,42.78,43.92,194600,43.78
2014-02-28,44.90,44.97,44.25,44.37,169600,44.23
2014-02-27,45.00,45.30,44.65,44.77,67600,44.62
2014-02-26,44.47,45.60,44.14,45.12,200400,44.97
2014-02-25,44.42,44.70,44.09,44.29,148500,44.15
2014-02-24,44.07,44.78,44.07,44.41,110100,44.27
2014-02-21,43.97,44.50,43.88,44.17,139800,44.03
2014-02-20,43.30,43.88,43.07,43.75,103500,43.61
2014-02-19,43.20,43.67,42.88,43.33,166600,43.19
2014-02-18,43.07,43.47,42.50,43.39,147400,43.25
2014-02-14,42.76,43.03,42.52,42.94,87800,42.80
2014-02-13,42.68,42.91,42.29,42.75,94600,42.61
2014-02-12,42.42,42.99,42.23,42.94,222100,42.80
2014-02-11,42.59,42.71,42.19,42.43,140800,42.29
2014-02-10,42.29,42.71,42.08,42.50,232400,42.36
2014-02-07,41.47,42.22,41.47,42.19,178200,42.05
2014-02-06,41.25,41.66,41.12,41.41,160100,41.28
2014-02-05,41.22,41.41,40.97,41.24,148300,41.11
