Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,25.84,25.97,25.34,25.62,27000,25.62
2014-06-18,26.14,26.14,25.15,25.70,36400,25.70
2014-06-17,26.00,27.24,25.83,26.04,32600,26.04
2014-06-16,26.64,26.89,25.86,25.91,21000,25.91
2014-06-13,26.50,27.16,26.06,26.56,26400,26.56
2014-06-12,26.46,26.64,25.74,26.46,24100,26.46
2014-06-11,27.17,27.17,26.25,26.41,31600,26.41
2014-06-10,27.26,27.30,26.65,27.17,21400,27.17
2014-06-09,26.46,27.41,26.46,27.21,37100,27.21
2014-06-06,25.76,26.97,25.41,26.58,34300,26.58
2014-06-05,24.50,25.92,24.40,25.57,38500,25.57
2014-06-04,25.81,25.81,24.11,24.49,90400,24.49
2014-06-03,26.67,26.67,25.69,25.81,49500,25.81
2014-06-02,27.47,27.50,26.60,26.67,120700,26.67
2014-05-30,27.31,27.49,27.08,27.44,45300,27.44
2014-05-29,26.35,27.23,26.30,27.18,62500,27.18
2014-05-28,25.00,26.25,24.78,26.23,77200,26.23
2014-05-27,24.10,24.94,23.89,24.88,40000,24.88
2014-05-23,23.42,24.00,23.00,23.98,37500,23.98
2014-05-22,23.22,23.73,22.85,23.53,34800,23.53
2014-05-21,23.20,23.21,22.72,23.07,31000,23.07
2014-05-20,23.27,23.28,22.50,22.99,52900,22.99
2014-05-19,21.22,23.27,21.10,23.20,64800,23.20
2014-05-16,20.84,21.08,20.59,21.08,26400,21.08
2014-05-15,20.66,21.06,20.20,20.93,46800,20.93
2014-05-14,21.00,21.13,20.31,20.68,46400,20.68
2014-05-13,20.86,21.08,20.62,20.98,36600,20.98
2014-05-12,20.40,21.07,20.34,20.81,51100,20.81
2014-05-09,19.95,20.47,19.74,20.46,31400,20.46
2014-05-08,20.33,20.33,19.83,20.05,36600,20.05
2014-05-07,19.94,20.35,19.81,20.31,37800,20.31
2014-05-06,19.99,20.06,19.57,19.80,63700,19.80
2014-05-05,20.96,20.96,19.96,20.11,101600,20.11
2014-05-02,21.11,21.72,20.77,21.23,39700,21.23
2014-05-01,21.70,22.04,20.98,20.98,102200,20.98
2014-04-30,22.43,22.43,21.40,21.76,125400,21.76
2014-04-29,22.28,22.66,21.90,22.04,30900,22.04
2014-04-28,21.97,23.12,21.91,22.09,73000,22.09
2014-04-25,22.50,22.54,21.66,21.72,26600,21.72
2014-04-24,23.31,23.31,22.55,22.56,17300,22.56
2014-04-23,23.53,23.60,22.91,23.10,27500,23.10
2014-04-22,23.60,23.75,23.47,23.65,21600,23.65
2014-04-21,23.64,23.93,23.11,23.55,26200,23.55
2014-04-17,23.49,23.93,23.36,23.46,50600,23.46
2014-04-16,23.62,23.62,23.21,23.49,32000,23.49
2014-04-15,23.25,23.50,22.81,23.37,53100,23.37
2014-04-14,22.99,23.25,22.80,23.19,70500,23.19
2014-04-11,22.73,23.04,22.03,22.71,215600,22.71
2014-04-10,23.24,23.24,22.94,22.95,120800,22.88
2014-04-09,23.31,23.39,22.97,23.21,49700,23.14
2014-04-08,23.05,24.00,22.32,23.17,29800,23.10
2014-04-07,22.98,23.46,22.96,23.10,178400,23.03
2014-04-04,23.41,23.72,22.77,22.94,46000,22.87
2014-04-03,22.61,23.30,22.61,23.22,59600,23.15
2014-04-02,22.50,22.68,22.37,22.62,23200,22.55
2014-04-01,22.02,22.62,22.02,22.52,57500,22.45
2014-03-31,21.44,22.10,21.43,21.90,42300,21.83
2014-03-28,21.06,21.69,21.06,21.40,20700,21.33
2014-03-27,21.41,21.52,20.89,21.11,29100,21.05
2014-03-26,21.50,21.75,21.25,21.33,31100,21.26
2014-03-25,21.18,21.50,20.88,21.36,18900,21.29
2014-03-24,21.07,21.20,20.81,21.05,17600,20.99
2014-03-21,21.00,21.15,20.71,21.06,41400,21.00
2014-03-20,20.70,21.00,20.67,20.92,19800,20.86
2014-03-19,20.73,20.78,20.62,20.66,22300,20.60
2014-03-18,20.57,20.89,20.57,20.78,17800,20.72
2014-03-17,19.94,20.46,19.88,20.45,36400,20.39
2014-03-14,19.61,19.90,19.61,19.86,16500,19.80
2014-03-13,19.67,19.79,19.52,19.64,28200,19.58
2014-03-12,18.99,19.59,18.81,19.50,261900,19.44
2014-03-11,19.01,19.10,18.80,18.98,30600,18.92
2014-03-10,18.96,19.08,18.92,19.00,24000,18.94
2014-03-07,19.00,19.10,18.91,19.07,52800,19.01
2014-03-06,18.97,19.05,18.84,18.90,10600,18.84
2014-03-05,18.96,19.10,18.83,18.98,21700,18.92
2014-03-04,18.87,19.23,18.87,18.99,45400,18.93
