Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,50.20,50.65,49.80,50.10,339800,50.10
2014-06-18,49.75,50.11,48.92,50.06,418400,50.06
2014-06-17,49.12,50.05,48.71,49.95,590000,49.95
2014-06-16,48.80,49.54,48.70,49.42,715800,49.42
2014-06-13,48.07,48.83,48.05,48.69,498000,48.69
2014-06-12,48.58,48.72,47.23,48.02,391400,48.02
2014-06-11,48.61,48.68,48.16,48.49,235400,48.49
2014-06-10,48.91,49.53,48.41,48.70,308900,48.70
2014-06-09,48.70,49.63,48.50,49.32,476600,49.32
2014-06-06,47.34,48.71,47.29,48.43,3816700,48.43
2014-06-05,46.34,47.25,45.97,47.16,511400,47.16
2014-06-04,45.18,46.61,45.18,46.42,346100,46.42
2014-06-03,44.46,45.52,44.43,45.20,443700,45.20
2014-06-02,44.64,45.02,44.24,44.71,215900,44.71
2014-05-30,45.20,45.33,44.56,44.67,383800,44.67
2014-05-29,46.34,46.50,45.02,45.20,751600,45.20
2014-05-28,46.91,47.13,46.48,46.72,553200,46.41
2014-05-27,47.56,47.81,46.98,47.08,366800,46.77
2014-05-23,46.34,47.37,46.34,47.13,299200,46.82
2014-05-22,45.92,46.55,45.37,46.39,390100,46.08
2014-05-21,46.80,46.92,45.51,45.78,435300,45.48
2014-05-20,47.53,47.53,46.22,46.68,244900,46.37
2014-05-19,47.51,47.95,47.23,47.53,257600,47.21
2014-05-16,46.66,47.68,46.51,47.66,172200,47.34
2014-05-15,46.19,46.86,45.84,46.75,229100,46.44
2014-05-14,47.62,47.97,46.32,46.48,252800,46.17
2014-05-13,47.71,47.98,47.32,47.56,204200,47.24
2014-05-12,47.98,48.03,47.41,47.65,266000,47.33
2014-05-09,47.44,48.01,47.23,47.72,241500,47.40
2014-05-08,46.89,48.39,46.89,47.62,417000,47.30
2014-05-07,46.32,48.45,46.27,47.01,523100,46.70
2014-05-06,46.78,47.26,46.12,46.34,542900,46.03
2014-05-05,46.80,47.26,46.43,47.04,270200,46.73
2014-05-02,47.01,47.66,46.94,47.21,150800,46.90
2014-05-01,46.85,47.31,46.38,47.02,274800,46.71
2014-04-30,46.68,47.10,46.52,46.87,298700,46.56
2014-04-29,46.55,47.15,46.55,46.92,367200,46.61
2014-04-28,46.84,47.48,46.35,46.49,377700,46.18
2014-04-25,46.99,47.58,46.55,46.80,522700,46.49
