Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,17.07,17.22,16.99,17.02,130700,17.02
2014-06-18,16.71,17.17,16.71,17.10,170000,17.10
2014-06-17,16.59,16.82,16.56,16.77,104400,16.77
2014-06-16,16.58,16.77,16.57,16.67,93200,16.67
2014-06-13,16.39,16.64,16.22,16.54,79800,16.54
2014-06-12,16.51,16.52,16.17,16.35,141900,16.35
2014-06-11,16.78,16.80,16.55,16.56,97700,16.56
2014-06-10,16.63,16.82,16.55,16.78,161700,16.78
2014-06-09,16.62,16.70,16.48,16.60,204600,16.60
2014-06-06,16.47,16.65,16.44,16.55,166200,16.55
2014-06-05,16.12,16.58,16.12,16.45,252100,16.45
2014-06-04,15.96,16.05,15.91,15.93,118000,15.93
2014-06-03,16.06,16.10,15.89,15.94,106000,15.94
2014-06-02,16.20,16.30,16.10,16.11,122700,16.11
2014-05-30,16.02,16.24,15.92,16.12,180700,16.12
2014-05-29,16.15,16.23,16.00,16.02,220400,15.98
2014-05-28,16.00,16.15,15.92,16.00,278300,15.96
2014-05-27,15.68,16.18,15.68,15.94,503200,15.90
2014-05-23,14.98,15.14,14.90,15.09,49300,15.05
2014-05-22,14.96,15.02,14.78,14.92,41400,14.88
2014-05-21,15.00,15.14,14.79,14.92,170100,14.88
2014-05-20,15.13,15.13,14.78,14.95,129800,14.91
2014-05-19,14.82,15.27,14.78,15.16,84800,15.12
2014-05-16,14.97,15.10,14.84,14.88,100000,14.84
2014-05-15,15.11,15.19,14.85,15.01,210000,14.97
2014-05-14,15.02,15.59,15.02,15.11,204400,15.07
2014-05-13,14.99,15.07,14.80,14.85,181300,14.81
2014-05-12,14.87,15.15,14.76,15.02,295800,14.98
2014-05-09,14.37,14.83,14.31,14.82,140500,14.78
2014-05-08,15.46,15.51,14.37,14.53,563400,14.50
2014-05-07,15.50,15.54,15.34,15.43,153400,15.39
2014-05-06,15.62,15.64,15.50,15.51,79400,15.47
2014-05-05,15.77,15.86,15.47,15.60,143200,15.56
2014-05-02,15.85,16.17,15.72,15.79,94900,15.75
2014-05-01,15.84,15.91,15.66,15.79,88900,15.75
2014-04-30,15.80,15.89,15.63,15.86,218100,15.82
2014-04-29,15.89,15.92,15.70,15.80,76100,15.76
2014-04-28,15.83,15.99,15.70,15.81,56300,15.77
2014-04-25,16.06,16.14,15.46,15.77,211800,15.73
2014-04-24,16.16,16.18,15.86,16.06,107600,16.02
2014-04-23,16.12,16.20,16.01,16.12,100400,16.08
2014-04-22,16.23,16.23,16.01,16.12,92000,16.08
2014-04-21,16.21,16.42,16.09,16.17,85300,16.13
2014-04-17,16.01,16.30,15.86,16.16,236400,16.12
2014-04-16,16.15,16.23,15.90,16.02,157900,15.98
2014-04-15,16.45,16.45,15.79,16.03,157700,15.99
2014-04-14,16.56,16.73,16.31,16.39,103700,16.35
2014-04-11,16.54,16.66,16.18,16.43,92900,16.39
2014-04-10,16.68,16.84,16.49,16.59,93800,16.55
2014-04-09,16.12,16.67,16.12,16.63,280700,16.59
2014-04-08,15.96,16.20,15.96,16.11,248800,16.07
2014-04-07,16.15,16.15,15.72,15.91,308100,15.87
2014-04-04,16.15,16.48,16.03,16.14,135400,16.10
2014-04-03,15.93,16.12,15.86,16.06,85800,16.02
2014-04-02,15.84,15.97,15.71,15.94,89100,15.90
2014-04-01,15.82,15.82,15.62,15.77,82200,15.73
2014-03-31,15.62,15.79,15.58,15.77,124600,15.73
2014-03-28,15.61,15.82,15.50,15.54,69800,15.50
2014-03-27,15.60,15.73,15.48,15.56,198000,15.52
2014-03-26,15.67,15.83,15.43,15.56,183100,15.52
2014-03-25,15.65,15.87,15.56,15.60,204200,15.56
2014-03-24,15.96,15.96,15.51,15.61,81200,15.57
2014-03-21,15.54,15.91,15.50,15.89,769200,15.85
2014-03-20,15.35,15.67,15.10,15.49,279200,15.45
2014-03-19,16.15,16.15,15.04,15.32,710100,15.28
2014-03-18,15.95,16.13,15.58,15.66,209900,15.62
2014-03-17,15.98,16.19,15.83,15.90,105700,15.86
2014-03-14,16.17,16.20,15.85,15.90,156500,15.86
2014-03-13,16.52,16.52,15.90,16.19,205000,16.15
2014-03-12,16.35,16.78,16.23,16.37,168800,16.33
2014-03-11,16.99,16.99,16.48,16.49,133200,16.45
2014-03-10,17.02,17.16,16.87,16.90,91100,16.86
2014-03-07,16.95,17.00,16.85,16.99,80100,16.95
2014-03-06,17.14,17.23,16.89,16.90,69700,16.86
2014-03-05,17.31,17.39,16.95,17.01,94300,16.97
2014-03-04,16.91,17.28,16.81,17.26,183700,17.18
2014-03-03,16.90,16.97,16.61,16.73,134600,16.65
2014-02-28,17.06,17.22,16.90,16.93,107600,16.85
2014-02-27,17.08,17.14,16.93,16.99,110500,16.91
2014-02-26,17.01,17.27,16.90,17.04,215000,16.96
2014-02-25,16.99,17.06,16.91,16.92,188900,16.84
2014-02-24,17.10,17.19,16.95,17.01,164800,16.93
2014-02-21,17.05,17.09,16.86,17.03,313300,16.95
2014-02-20,16.75,17.05,16.75,16.98,78000,16.90
2014-02-19,17.21,17.35,16.75,16.82,156800,16.74
2014-02-18,17.52,17.62,17.30,17.33,69200,17.25
2014-02-14,17.92,18.05,17.19,17.52,168200,17.44
2014-02-13,17.66,18.00,17.48,17.88,72400,17.80
2014-02-12,17.28,17.76,17.28,17.75,100200,17.67
2014-02-11,17.24,17.48,16.91,17.38,144300,17.30
2014-02-10,17.40,17.40,17.00,17.18,178700,17.10
2014-02-07,17.37,17.70,17.16,17.39,127300,17.31
2014-02-06,16.97,17.31,16.85,17.29,148800,17.21
2014-02-05,17.04,17.26,16.75,16.97,126400,16.89
2014-02-04,16.85,17.19,16.70,17.04,222700,16.96
2014-02-03,17.33,17.47,16.69,16.70,210800,16.62
2014-01-31,17.30,17.79,17.26,17.29,342600,17.21
2014-01-30,17.15,17.49,16.93,17.48,485100,17.40
2014-01-29,16.85,17.14,16.83,16.98,389400,16.90
2014-01-28,16.70,17.00,16.56,17.00,368500,16.92
2014-01-27,16.46,16.74,16.20,16.58,504700,16.50
2014-01-24,16.89,16.90,16.48,16.51,433300,16.43
2014-01-23,16.95,17.15,16.75,16.90,2114800,16.82
2014-01-22,17.76,17.89,17.60,17.74,246800,17.66
2014-01-21,17.55,17.95,17.55,17.65,205200,17.57
2014-01-17,17.79,17.82,17.45,17.49,28600,17.41
2014-01-16,17.77,18.13,17.71,17.75,65300,17.67
2014-01-15,17.76,17.93,17.67,17.75,157500,17.67
2014-01-14,18.00,18.02,17.69,17.79,126500,17.71
2014-01-13,17.90,18.08,17.85,17.98,57700,17.90
2014-01-10,17.69,17.93,17.54,17.89,109100,17.81
2014-01-09,17.75,17.75,17.54,17.65,52600,17.57
2014-01-08,17.29,17.96,17.29,17.75,348900,17.67
2014-01-07,16.91,17.31,16.87,17.25,79300,17.17
2014-01-06,16.91,17.07,16.78,16.89,98600,16.81
2014-01-03,16.42,16.85,16.15,16.85,62500,16.77
2014-01-02,16.54,16.63,16.28,16.43,48800,16.35
2013-12-31,16.56,16.73,16.44,16.55,41900,16.47
2013-12-30,16.50,16.55,16.35,16.48,16500,16.40
2013-12-27,16.47,16.74,16.34,16.53,26800,16.45
2013-12-26,16.57,16.85,16.22,16.36,79900,16.29
2013-12-24,16.49,16.74,16.44,16.46,22100,16.38
2013-12-23,16.58,16.88,16.48,16.55,77200,16.47
2013-12-20,16.49,16.50,16.10,16.50,87200,16.42
