Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,12.11,12.15,11.98,12.07,681200,12.07
2014-06-18,12.06,12.19,11.99,12.10,516000,12.10
2014-06-17,11.95,12.14,11.93,12.07,540400,12.07
2014-06-16,11.91,11.97,11.84,11.95,630700,11.95
2014-06-13,11.90,12.01,11.85,11.95,742500,11.95
2014-06-12,11.80,11.90,11.75,11.85,1399100,11.85
2014-06-11,11.95,11.97,11.78,11.84,1163300,11.84
2014-06-10,12.02,12.04,11.89,11.99,1024600,11.99
2014-06-09,12.10,12.28,12.04,12.24,874700,11.99
2014-06-06,12.27,12.30,12.11,12.13,1247900,11.88
2014-06-05,11.95,12.21,11.95,12.21,1078800,11.96
2014-06-04,12.10,12.19,12.09,12.12,340600,11.87
2014-06-03,12.01,12.17,12.01,12.15,518400,11.90
2014-06-02,12.10,12.15,11.97,12.10,383200,11.85
2014-05-30,12.07,12.16,12.05,12.10,454900,11.85
2014-05-29,12.21,12.21,11.99,12.03,493100,11.78
2014-05-28,12.13,12.19,12.06,12.16,510500,11.91
2014-05-27,12.07,12.19,12.01,12.13,492700,11.88
2014-05-23,12.01,12.02,11.95,12.02,368900,11.77
2014-05-22,11.93,12.01,11.91,11.98,463300,11.74
2014-05-21,11.86,11.93,11.81,11.92,658300,11.68
2014-05-20,11.94,11.94,11.78,11.81,1215600,11.57
2014-05-19,11.94,12.05,11.92,11.99,294300,11.75
2014-05-16,11.89,11.98,11.80,11.95,844200,11.71
2014-05-15,11.88,11.93,11.77,11.93,868400,11.69
2014-05-14,12.09,12.09,11.91,11.93,648700,11.69
2014-05-13,12.25,12.27,12.14,12.14,547900,11.89
2014-05-12,12.07,12.27,12.05,12.24,475900,11.99
2014-05-09,11.87,12.07,11.85,12.06,416700,11.81
2014-05-08,12.11,12.16,11.91,11.93,742300,11.69
2014-05-07,11.95,12.15,11.94,12.12,970400,11.87
2014-05-06,11.97,12.02,11.90,11.91,769000,11.67
2014-05-05,12.01,12.06,11.97,12.02,609800,11.77
2014-05-02,12.03,12.17,12.02,12.07,423600,11.82
2014-05-01,12.00,12.07,11.92,12.03,920600,11.78
