Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,6.34,6.40,6.30,6.34,24200,6.34
2014-06-18,6.22,6.43,6.22,6.36,49100,6.36
2014-06-17,6.10,6.38,6.01,6.30,86100,6.30
2014-06-16,6.01,6.12,5.95,6.09,63900,6.09
2014-06-13,6.02,6.10,5.99,5.99,250800,5.99
2014-06-12,6.26,6.43,6.05,6.08,204500,6.08
2014-06-11,6.31,6.38,6.27,6.27,65400,6.27
2014-06-10,6.45,6.52,6.31,6.37,35200,6.37
2014-06-09,6.52,6.55,6.36,6.51,69600,6.51
2014-06-06,6.40,6.52,6.29,6.49,92200,6.49
2014-06-05,6.41,6.48,6.31,6.42,64100,6.42
2014-06-04,6.66,6.70,6.42,6.43,56400,6.43
2014-06-03,6.47,6.78,6.43,6.66,87800,6.66
2014-06-02,6.60,6.87,6.41,6.55,52400,6.55
2014-05-30,6.83,6.88,6.52,6.61,56600,6.61
2014-05-29,6.63,6.88,6.55,6.87,52900,6.87
2014-05-28,6.55,6.67,6.41,6.65,101700,6.65
2014-05-27,6.37,6.69,6.37,6.48,151300,6.48
2014-05-23,6.33,6.49,6.31,6.37,74300,6.37
2014-05-22,6.42,6.44,6.32,6.35,79200,6.35
2014-05-21,6.31,6.43,6.31,6.38,58400,6.38
2014-05-20,6.43,6.48,6.27,6.34,51800,6.34
2014-05-19,6.39,6.52,6.31,6.48,51900,6.48
2014-05-16,6.45,6.48,6.27,6.44,90700,6.44
2014-05-15,6.57,6.63,6.42,6.47,82300,6.47
2014-05-14,6.56,6.66,6.40,6.63,98300,6.63
2014-05-13,6.80,6.80,6.56,6.59,80800,6.59
2014-05-12,6.51,6.90,6.51,6.76,89900,6.76
2014-05-09,6.43,6.58,6.40,6.49,76500,6.49
2014-05-08,6.60,6.73,6.40,6.48,53700,6.48
2014-05-07,6.79,6.79,6.47,6.58,78400,6.58
2014-05-06,6.71,6.79,6.65,6.79,62000,6.79
2014-05-05,6.70,6.85,6.64,6.77,63600,6.77
2014-05-02,6.80,6.81,6.67,6.78,40300,6.78
2014-05-01,6.59,6.89,6.58,6.81,65700,6.81
2014-04-30,6.64,6.65,6.28,6.60,202700,6.60
2014-04-29,6.66,6.86,6.60,6.69,83200,6.69
2014-04-28,6.81,6.95,6.50,6.58,60300,6.58
2014-04-25,7.04,7.04,6.65,6.80,108000,6.80
2014-04-24,7.10,7.10,6.90,7.05,54700,7.05
2014-04-23,7.10,7.21,6.92,7.02,53100,7.02
2014-04-22,7.20,7.20,7.04,7.10,80800,7.10
2014-04-21,6.94,7.24,6.80,7.17,109200,7.17
2014-04-17,6.91,6.99,6.75,6.90,94800,6.90
2014-04-16,6.74,6.96,6.61,6.96,71000,6.96
2014-04-15,6.64,6.74,6.40,6.63,159900,6.63
2014-04-14,6.71,6.87,6.54,6.58,93700,6.58
2014-04-11,6.72,6.87,6.57,6.68,66800,6.68
2014-04-10,7.05,7.05,6.66,6.79,138800,6.79
2014-04-09,6.72,7.04,6.72,7.04,117300,7.04
2014-04-08,6.47,6.95,6.47,6.67,143000,6.67
2014-04-07,6.85,6.99,6.41,6.50,273600,6.50
2014-04-04,7.16,7.21,6.85,6.93,157300,6.93
2014-04-03,7.30,7.35,7.08,7.12,103600,7.12
2014-04-02,7.30,7.39,7.20,7.21,82700,7.21
2014-04-01,7.19,7.40,7.14,7.30,128700,7.30
2014-03-31,7.04,7.28,6.97,7.22,213600,7.22
2014-03-28,6.82,7.15,6.81,6.95,189400,6.95
