Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,83.18,83.52,82.58,82.93,80200,82.93
2014-06-18,82.56,83.12,82.00,82.80,89900,82.80
2014-06-17,82.78,83.09,82.12,82.77,108700,82.77
2014-06-16,82.77,83.18,82.04,82.59,38100,82.59
2014-06-13,82.65,82.78,82.00,82.76,92300,82.76
2014-06-12,83.15,83.15,82.55,82.83,77900,82.83
2014-06-11,83.00,83.28,82.47,82.91,105700,82.91
2014-06-10,83.37,83.49,82.58,83.28,90600,83.28
2014-06-09,83.05,84.25,82.86,83.39,92900,83.39
2014-06-06,82.70,83.27,82.35,82.97,131700,82.97
2014-06-05,81.15,82.40,80.60,82.38,117200,82.38
2014-06-04,80.15,81.23,80.15,80.79,79000,80.79
2014-06-03,79.76,80.86,79.58,80.63,183100,80.63
2014-06-02,80.11,80.15,79.02,79.86,113700,79.86
2014-05-30,80.20,80.74,79.91,80.08,169800,80.08
2014-05-29,80.36,80.47,79.81,79.99,274700,79.99
2014-05-28,80.46,80.84,79.62,79.98,131800,79.98
2014-05-27,80.71,81.00,80.36,80.75,98600,80.75
2014-05-23,79.86,80.50,79.50,80.23,169100,80.23
2014-05-22,79.12,79.78,78.68,79.60,153600,79.60
2014-05-21,79.03,79.45,78.36,79.18,144900,79.18
2014-05-20,79.96,79.96,78.40,78.42,138300,78.42
2014-05-19,79.60,80.65,79.26,80.22,101200,80.22
2014-05-16,78.65,79.70,77.96,79.59,240600,79.59
2014-05-15,79.24,79.27,77.55,78.84,159000,78.84
2014-05-14,80.66,81.03,79.53,79.65,134600,79.65
2014-05-13,81.24,81.61,80.47,81.10,181500,81.10
2014-05-12,79.55,81.37,79.49,81.35,137700,81.35
2014-05-09,78.06,79.50,77.51,79.39,154100,79.39
2014-05-08,79.20,80.10,78.33,78.48,283500,78.48
2014-05-07,80.15,80.28,78.85,79.80,179500,79.80
2014-05-06,80.91,81.69,79.80,80.05,134200,80.05
2014-05-05,81.29,82.10,80.78,81.17,72800,81.17
2014-05-02,82.23,82.84,81.69,81.85,84400,81.85
