Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,6.96,6.99,6.59,6.80,56800,6.80
2014-06-18,6.00,7.00,6.00,6.96,19800,6.96
2014-06-17,6.20,6.25,6.00,6.14,9400,6.14
2014-06-16,5.75,6.00,5.50,6.00,27900,6.00
2014-06-13,5.97,6.05,5.95,6.05,2200,6.05
2014-06-12,5.99,5.99,5.99,5.99,100,5.99
2014-06-11,5.98,6.08,5.96,6.08,12800,6.08
2014-06-10,5.39,5.99,5.39,5.99,6000,5.99
2014-06-09,5.25,5.35,5.13,5.35,900,5.35
2014-06-06,5.21,5.29,5.15,5.29,2200,5.29
2014-06-05,5.09,5.10,5.09,5.10,400,5.10
2014-06-04,5.02,5.02,5.02,5.02,700,5.02
2014-06-03,5.01,5.01,5.00,5.00,500,5.00
2014-06-02,5.01,5.01,5.01,5.01,400,5.01
2014-05-30,5.03,5.10,5.00,5.10,6800,5.10
2014-05-29,5.37,5.37,5.37,5.37,000,5.37
2014-05-28,5.07,5.37,5.07,5.37,2800,5.37
2014-05-27,5.15,5.16,5.15,5.15,1800,5.15
2014-05-23,5.24,5.39,4.77,5.39,9200,5.39
2014-05-22,5.33,5.33,5.22,5.24,1600,5.24
2014-05-21,5.30,5.36,5.19,5.25,7600,5.25
2014-05-20,5.20,5.20,5.06,5.20,1000,5.20
2014-05-19,5.16,5.30,5.15,5.21,600,5.21
2014-05-16,5.80,5.80,5.15,5.15,1700,5.15
2014-05-15,5.35,5.35,5.05,5.18,6300,5.18
2014-05-14,5.71,5.71,5.36,5.36,200,5.36
2014-05-13,5.32,5.35,5.30,5.33,5000,5.33
2014-05-12,5.31,5.50,5.31,5.40,1800,5.40
2014-05-09,5.50,5.50,5.25,5.50,5800,5.50
2014-05-08,5.60,5.61,5.55,5.55,3100,5.55
2014-05-07,5.99,5.99,5.99,5.99,000,5.99
2014-05-06,5.99,5.99,5.99,5.99,000,5.99
2014-05-05,5.99,5.99,5.99,5.99,000,5.99
2014-05-02,5.80,6.14,5.75,5.99,1900,5.99
2014-05-01,6.10,6.10,6.10,6.10,000,6.10
2014-04-30,6.10,6.10,6.10,6.10,000,6.10
2014-04-29,6.00,6.10,6.00,6.10,4700,6.10
2014-04-28,6.25,6.25,6.10,6.10,1900,6.10
2014-04-25,6.25,6.25,6.20,6.20,3000,6.20
2014-04-24,5.85,6.27,5.85,6.16,11500,6.16
2014-04-23,5.63,6.00,5.63,5.86,10800,5.86
2014-04-22,5.69,5.70,5.58,5.68,2800,5.68
2014-04-21,5.35,5.60,5.35,5.60,4100,5.60
2014-04-17,5.74,5.74,5.74,5.74,000,5.74
2014-04-16,5.32,5.74,5.32,5.74,4300,5.74
2014-04-15,5.20,5.20,4.63,5.11,27900,5.11
2014-04-14,5.17,5.30,5.00,5.21,10100,5.21
2014-04-11,5.01,5.50,5.01,5.40,14100,5.40
2014-04-10,5.35,5.65,5.20,5.25,7500,5.25
2014-04-09,5.38,6.00,5.38,5.50,9400,5.50
2014-04-08,6.00,6.00,5.30,5.50,43900,5.50
2014-04-07,6.30,6.30,5.20,5.70,34400,5.70
2014-04-04,6.18,6.19,6.00,6.19,18900,6.19
2014-04-03,6.15,6.15,6.15,6.15,1100,6.15
2014-04-02,6.23,6.48,6.15,6.27,11600,6.27
2014-04-01,6.50,6.64,5.80,6.15,35900,6.15
2014-03-31,6.60,6.60,6.35,6.49,14900,6.49
2014-03-28,6.60,6.60,6.60,6.60,000,6.60
2014-03-27,6.65,6.70,6.60,6.60,4600,6.60
2014-03-26,6.90,6.90,6.65,6.65,29000,6.65
2014-03-25,6.90,7.00,6.80,6.95,4600,6.95
2014-03-24,6.70,7.00,6.65,7.00,41600,7.00
2014-03-21,7.00,7.00,6.75,6.75,42800,6.75
2014-03-20,6.90,6.90,6.85,6.90,4200,6.90
2014-03-19,6.85,6.85,6.75,6.85,9900,6.85
2014-03-18,6.76,6.85,6.76,6.85,8000,6.85
2014-03-17,6.75,6.75,6.65,6.74,42400,6.74
2014-03-14,6.85,6.85,6.75,6.75,20100,6.75
2014-03-13,6.56,6.88,6.49,6.85,19400,6.85
2014-03-12,7.10,7.10,6.60,7.10,36900,7.10
2014-03-11,6.66,6.91,6.66,6.80,20800,6.80
2014-03-10,6.91,6.91,6.55,6.91,11100,6.91
2014-03-07,6.32,6.50,6.11,6.49,9500,6.49
2014-03-06,6.20,6.74,6.20,6.60,28800,6.60
2014-03-05,6.10,6.20,5.91,6.19,36200,6.19
2014-03-04,6.50,6.50,6.10,6.15,39000,6.15
2014-03-03,6.50,6.50,6.00,6.25,33600,6.25
2014-02-28,6.40,6.50,5.76,6.45,45500,6.45
2014-02-27,6.78,6.95,6.21,6.50,75100,6.50
2014-02-26,6.85,7.04,6.85,6.87,3000,6.87
2014-02-25,7.05,7.08,6.80,6.85,15900,6.85
2014-02-24,6.91,7.29,6.91,7.05,17000,7.05
2014-02-21,7.27,7.48,7.05,7.10,21200,7.10
2014-02-20,7.45,7.45,7.05,7.05,10400,7.05
2014-02-19,7.50,7.50,7.30,7.30,20800,7.30
2014-02-18,7.76,8.00,7.50,7.55,15500,7.55
2014-02-14,7.66,7.79,7.51,7.74,9700,7.74
2014-02-13,7.66,7.66,7.49,7.50,9300,7.50
2014-02-12,7.80,7.80,7.60,7.80,11300,7.80
2014-02-11,7.50,8.05,7.40,7.81,8600,7.81
2014-02-10,8.30,8.30,7.27,7.88,49200,7.88
2014-02-07,7.95,9.00,7.75,7.86,32500,7.86
2014-02-06,7.25,7.98,6.80,7.28,42500,7.28
2014-02-05,7.00,7.00,7.00,7.00,14900,7.00
2014-02-04,8.00,8.00,7.00,7.00,28100,7.00
2014-02-03,8.85,9.00,7.70,8.15,51600,8.15
2014-01-31,6.66,9.20,6.06,8.90,132800,8.90
2014-01-30,10.49,10.49,10.00,10.20,4700,10.20
2014-01-29,10.50,10.50,10.50,10.50,600,10.50
2014-01-28,10.50,10.50,10.50,10.50,600,10.50
2014-01-27,10.70,10.70,10.50,10.50,6500,10.50
2014-01-24,10.55,10.96,10.50,10.50,9300,10.50
2014-01-23,10.55,10.55,10.55,10.55,600,10.55
2014-01-22,11.00,11.00,11.00,11.00,1400,11.00
2014-01-21,11.00,11.00,11.00,11.00,000,11.00
2014-01-17,11.00,11.00,11.00,11.00,1000,11.00
2014-01-16,10.50,11.00,10.50,11.00,1400,11.00
2014-01-15,11.50,11.90,11.00,11.00,3300,11.00
2014-01-14,9.90,10.90,9.90,10.90,12800,10.90
2014-01-13,9.86,9.86,9.80,9.80,2700,9.80
2014-01-10,9.50,10.00,9.50,9.85,11800,9.85
2014-01-09,9.50,9.50,9.50,9.50,400,9.50
2014-01-07,9.50,9.50,9.50,9.50,100,9.50
