Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,52.65,52.96,52.50,52.94,9397100,52.94
2014-06-18,52.27,52.77,51.99,52.66,9800900,52.66
2014-06-17,52.28,52.35,52.00,52.20,7994100,52.20
2014-06-16,52.38,52.48,52.11,52.35,7060600,52.35
2014-06-13,52.65,52.75,52.30,52.47,9774000,52.47
2014-06-12,52.50,52.79,52.41,52.67,9774700,52.67
2014-06-11,52.58,52.79,52.54,52.71,10123400,52.71
2014-06-10,52.95,53.07,52.52,52.88,10248100,52.88
2014-06-09,52.76,53.22,52.72,52.95,11687900,52.95
2014-06-06,52.92,53.00,52.39,52.91,9221000,52.91
2014-06-05,52.44,52.77,52.09,52.71,7340500,52.71
2014-06-04,52.28,52.41,51.94,52.29,13732400,52.29
2014-06-03,52.36,52.48,52.25,52.32,7800000,52.32
2014-06-02,52.11,52.76,52.08,52.56,10268500,52.56
2014-05-30,52.18,52.29,51.84,52.20,10831800,52.20
2014-05-29,52.06,52.18,51.78,52.07,9493600,52.07
2014-05-28,52.17,52.17,51.57,51.85,8653600,51.85
2014-05-27,52.07,52.28,51.85,52.06,9389400,52.06
2014-05-23,51.87,52.12,51.78,51.97,9126000,51.97
2014-05-22,51.27,51.99,51.24,51.70,11172400,51.70
2014-05-21,50.60,51.38,50.53,51.35,12581200,51.35
2014-05-20,50.79,50.94,50.44,50.65,12495000,50.65
2014-05-19,50.24,50.94,49.78,50.90,14001400,50.90
2014-05-16,50.22,50.31,49.84,50.19,12730900,50.19
2014-05-15,49.79,50.35,49.16,50.31,16512700,50.31
2014-05-14,50.17,50.25,49.68,49.83,15818000,49.83
2014-05-13,50.85,50.87,50.03,50.11,25056600,50.11
2014-05-12,51.11,51.21,50.47,50.65,14855300,50.65
2014-05-09,51.07,51.13,50.09,51.00,15366400,51.00
2014-05-08,51.65,51.76,50.78,51.10,18962300,51.10
2014-05-07,52.03,52.19,51.29,51.74,14298800,51.74
2014-05-06,52.10,52.33,51.60,51.81,16032100,51.81
2014-05-05,51.83,52.48,51.73,52.46,13546700,52.46
2014-05-02,52.42,52.42,51.68,52.03,13382700,52.03
2014-05-01,51.82,52.11,51.72,52.11,13498200,52.11
2014-04-30,51.53,51.99,51.32,51.76,15215800,51.76
2014-04-29,52.00,52.00,51.22,51.55,17131900,51.55
2014-04-28,51.53,51.81,50.77,51.70,21592000,51.70
2014-04-25,51.26,51.40,50.87,50.97,16369200,50.97
2014-04-24,51.35,51.93,51.13,51.37,16884600,51.37
2014-04-23,50.97,51.42,50.74,51.21,16713800,51.21
2014-04-22,50.59,51.62,50.50,50.83,36573800,50.83
2014-04-21,49.39,49.89,49.32,49.88,15852800,49.88
2014-04-17,48.96,49.50,48.75,49.10,15137800,49.10
2014-04-16,48.75,49.22,48.49,49.17,20968400,49.17
2014-04-15,48.75,48.95,47.74,48.41,17997700,48.41
2014-04-14,48.20,48.84,48.10,48.66,16180000,48.66
2014-04-11,48.17,48.70,47.91,47.96,17017200,47.96
2014-04-10,49.68,49.93,48.39,48.42,19111700,48.42
2014-04-09,48.78,49.89,48.67,49.79,20436800,49.79
2014-04-08,49.19,49.19,48.27,48.85,23534300,48.85
2014-04-07,50.11,50.21,48.64,49.08,21995600,49.08
2014-04-04,51.18,51.61,50.17,50.18,18275500,50.18
2014-04-03,50.76,51.31,50.73,51.12,14408200,51.12
2014-04-02,50.02,50.97,50.02,50.90,15947200,50.90
2014-04-01,50.34,50.38,49.63,49.93,13972000,49.93
2014-03-31,49.84,50.39,49.78,50.04,17379100,50.04
2014-03-28,49.39,49.84,49.01,49.56,15965400,49.34
2014-03-27,49.41,49.59,49.00,49.10,12594200,48.88
2014-03-26,49.74,50.36,49.57,49.62,19430200,49.39
2014-03-25,50.35,50.49,49.39,49.67,18441000,49.44
2014-03-24,50.25,50.50,49.33,50.30,18427000,50.07
2014-03-21,50.69,51.31,49.91,50.00,23994300,49.77
2014-03-20,50.00,50.95,49.90,50.61,15480100,50.38
2014-03-19,50.21,50.29,49.50,49.88,21376900,49.65
2014-03-18,50.73,50.73,49.97,50.22,16336200,49.99
2014-03-17,50.98,50.99,50.61,50.78,12849000,50.55
2014-03-14,50.32,50.79,50.18,50.64,15858000,50.41
2014-03-13,51.11,51.19,50.17,50.46,15126600,50.23
2014-03-12,51.00,51.19,50.61,50.98,11105500,50.75
2014-03-11,51.71,51.76,51.00,51.22,11925800,50.99
2014-03-10,51.67,51.89,51.31,51.52,9942500,51.29
2014-03-07,52.32,52.37,51.44,51.63,12991700,51.40
2014-03-06,52.12,52.32,51.83,52.11,12864200,51.87
2014-03-05,51.37,52.26,51.13,51.89,16589900,51.65
2014-03-04,51.40,51.59,51.23,51.36,12909800,51.13
2014-03-03,51.08,51.27,50.61,51.00,16750400,50.77
2014-02-28,51.30,52.08,51.12,51.69,19195000,51.46
2014-02-27,50.65,51.37,50.50,51.08,17736300,50.85
2014-02-26,50.92,50.92,50.20,50.68,15258200,50.45
2014-02-25,51.26,51.46,50.19,50.77,20414000,50.54
2014-02-24,51.72,51.86,51.13,51.15,16379900,50.92
2014-02-21,52.06,52.06,51.00,51.05,24052400,50.82
2014-02-20,51.78,52.14,51.33,51.76,25738600,51.53
2014-02-19,53.27,53.37,51.21,51.57,40202800,51.34
2014-02-18,53.96,53.97,53.19,53.53,20270700,53.29
2014-02-14,53.01,54.11,53.00,53.70,35824900,53.46
2014-02-13,53.52,54.29,52.77,52.97,83269800,52.73
2014-02-12,55.23,55.28,55.03,55.24,8014000,54.99
2014-02-11,54.31,55.05,54.28,55.00,7931900,54.75
2014-02-10,54.77,54.77,54.21,54.35,6944600,54.10
2014-02-07,54.38,54.83,54.19,54.64,9766600,54.39
2014-02-06,53.74,54.15,53.40,54.03,7901000,53.78
2014-02-05,53.10,53.66,52.83,53.38,9114500,53.14
2014-02-04,52.92,53.60,52.19,53.52,14025100,53.28
2014-02-03,54.74,54.96,52.53,52.77,19152700,52.53
2014-01-31,52.89,54.70,52.89,54.45,16060200,54.20
2014-01-30,53.31,54.35,52.98,54.19,14498800,53.94
2014-01-29,53.28,53.46,52.51,53.06,15216000,52.82
2014-01-28,54.00,54.13,52.81,53.35,16502300,53.11
2014-01-27,52.51,53.87,51.85,52.49,18953200,52.25
2014-01-24,52.72,52.88,52.18,52.40,14335200,52.16
2014-01-23,53.23,53.58,52.83,53.08,9245300,52.84
2014-01-22,53.27,53.78,53.00,53.74,8187400,53.50
2014-01-21,54.05,54.31,53.06,53.31,8580100,53.07
2014-01-17,53.32,53.66,53.08,53.54,12150400,53.30
2014-01-16,54.07,54.30,53.23,53.54,10131500,53.30
2014-01-15,53.25,54.65,53.17,54.07,14577500,53.82
2014-01-14,52.53,52.85,51.98,52.81,8794400,52.57
2014-01-13,53.51,53.69,52.00,52.16,11520900,51.92
2014-01-10,53.02,53.72,52.58,53.54,10653800,53.30
2014-01-09,52.90,53.17,52.31,52.88,10459600,52.64
2014-01-08,52.69,53.45,52.52,52.75,14865800,52.51
2014-01-07,51.34,53.20,51.11,52.83,18580700,52.59
2014-01-06,51.13,51.62,50.67,51.02,8993900,50.79
2014-01-03,51.63,51.71,50.85,51.07,6685700,50.84
2014-01-02,51.80,51.90,51.27,51.45,9761200,51.22
2013-12-31,51.88,52.09,51.71,51.97,9322700,51.73
2013-12-30,51.56,52.02,51.55,51.87,5587700,51.63
2013-12-27,51.74,51.80,51.32,51.79,5604200,51.36
2013-12-26,51.18,51.54,51.18,51.51,4073300,51.08
2013-12-24,50.91,51.29,50.72,51.28,3185400,50.85
2013-12-23,51.00,51.45,50.88,50.99,7864800,50.57
2013-12-20,50.67,51.30,50.62,50.94,16808700,50.52
2013-12-19,50.24,50.81,49.98,50.78,10870700,50.36
2013-12-18,49.26,50.30,48.70,50.27,12301600,49.85
2013-12-17,49.61,49.61,48.74,49.05,7294100,48.64
2013-12-16,49.44,49.62,48.96,49.24,9718800,48.83
2013-12-13,48.86,49.47,48.69,49.01,11365300,48.60
2013-12-12,48.52,49.16,48.50,48.67,7702200,48.27
2013-12-11,49.31,49.39,48.65,48.66,9986000,48.26
2013-12-10,49.24,49.57,49.11,49.39,9528700,48.98
2013-12-09,49.44,49.52,48.92,49.14,7433500,48.73
2013-12-06,49.49,49.61,48.89,49.27,10908600,48.86
2013-12-05,48.67,49.09,48.21,49.08,10546900,48.67
2013-12-04,48.71,49.25,48.25,48.88,9688200,48.47
2013-12-03,49.27,49.35,48.24,48.77,11062300,48.37
2013-12-02,49.82,49.90,49.07,49.12,11409300,48.71
2013-11-29,49.73,50.15,49.66,49.87,5599600,49.46
2013-11-27,49.65,50.02,49.34,49.78,8279800,49.37
2013-11-26,50.04,50.29,49.56,49.78,12526200,49.37
2013-11-25,49.48,50.75,49.34,49.91,17834300,49.50
2013-11-22,47.49,49.95,47.49,49.52,27177000,49.11
2013-11-21,47.14,47.71,46.92,47.45,7078600,47.06
2013-11-20,47.70,47.85,46.76,46.85,8348100,46.46
2013-11-19,47.34,47.57,47.10,47.46,6270300,47.07
2013-11-18,47.64,47.92,47.34,47.38,8386500,46.99
2013-11-15,47.74,47.99,47.40,47.73,10013700,47.33
2013-11-14,47.52,47.78,47.24,47.69,6418400,47.29
2013-11-13,46.85,47.41,46.62,47.39,7398300,47.00
2013-11-12,47.32,47.34,46.58,46.98,8372300,46.59
2013-11-11,47.95,48.18,47.05,47.35,8948200,46.96
2013-11-08,47.34,48.24,46.91,48.18,10010100,47.78
2013-11-07,48.12,48.25,47.12,47.24,9590700,46.85
2013-11-06,47.88,48.21,47.66,47.81,7457400,47.41
2013-11-05,48.33,48.37,47.35,47.84,7776600,47.44
