Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,30.46,30.86,30.46,30.72,2911200,30.72
2014-06-18,29.78,30.52,29.72,30.46,2883500,30.46
2014-06-17,29.73,29.84,29.55,29.71,2300100,29.71
2014-06-16,29.54,30.03,29.46,29.83,2298100,29.83
2014-06-13,29.40,29.62,29.22,29.56,1471700,29.56
2014-06-12,29.36,29.42,28.97,29.41,2646700,29.41
2014-06-11,29.59,29.66,29.37,29.37,1809900,29.37
2014-06-10,29.73,29.88,29.60,29.65,1625800,29.65
2014-06-09,30.09,30.15,29.72,29.83,2385000,29.83
2014-06-06,30.14,30.41,30.09,30.12,2648800,30.12
2014-06-05,29.93,30.16,29.70,30.12,1745000,30.12
2014-06-04,29.73,29.87,29.65,29.78,2369800,29.78
2014-06-03,29.64,29.81,29.61,29.78,2446300,29.78
2014-06-02,29.76,29.85,29.63,29.72,2687900,29.72
2014-05-30,29.47,29.77,29.44,29.75,3289100,29.75
2014-05-29,29.66,29.69,29.21,29.46,2390000,29.46
2014-05-28,29.27,29.54,29.24,29.53,3564900,29.53
2014-05-27,29.44,29.54,29.08,29.23,2979300,29.23
2014-05-23,29.46,29.47,29.18,29.30,2071200,29.30
2014-05-22,28.90,29.36,28.88,29.22,3004000,29.22
2014-05-21,28.94,29.07,28.80,28.87,1306800,28.87
2014-05-20,28.90,29.15,28.70,28.95,2382700,28.95
2014-05-19,29.26,29.31,28.83,28.88,1581900,28.88
2014-05-16,29.18,29.35,29.05,29.27,1831900,29.27
2014-05-15,29.29,29.43,29.13,29.23,2596200,29.23
2014-05-14,29.17,29.52,29.09,29.25,2178700,29.25
2014-05-13,29.07,29.29,28.95,29.11,2003500,29.11
2014-05-12,29.51,29.55,28.95,29.04,2525200,29.04
2014-05-09,29.79,29.91,29.29,29.41,3925400,29.41
2014-05-08,30.30,30.31,29.80,29.88,2384700,29.88
2014-05-07,29.83,30.28,29.82,30.26,2750000,30.26
2014-05-06,29.73,29.97,29.63,29.73,1945600,29.73
2014-05-05,29.56,29.87,29.48,29.78,2362500,29.78
2014-05-02,30.05,30.10,29.45,29.57,2981300,29.57
2014-05-01,30.30,30.43,29.91,30.22,4024700,30.22
2014-04-30,29.81,30.34,29.70,30.31,3766300,30.31
2014-04-29,30.23,30.29,29.90,30.08,3574700,29.81
2014-04-28,30.39,30.53,30.03,30.25,5293400,29.98
2014-04-25,30.05,30.44,29.87,30.39,4583400,30.12
2014-04-24,29.65,30.00,29.48,29.95,2846700,29.68
2014-04-23,29.71,30.02,29.63,29.66,3803500,29.39
2014-04-22,29.67,29.80,29.46,29.70,2819300,29.43
2014-04-21,29.36,29.93,29.36,29.67,2180400,29.40
2014-04-17,30.14,30.31,29.66,29.78,1892400,29.51
2014-04-16,30.10,30.21,29.93,30.20,2118900,29.93
2014-04-15,29.58,30.00,29.55,29.98,3381600,29.71
2014-04-14,29.60,29.64,29.35,29.56,2429800,29.29
2014-04-11,29.36,29.65,29.33,29.45,2495400,29.19
2014-04-10,29.46,29.68,29.28,29.38,3758300,29.12
2014-04-09,29.58,29.70,29.08,29.41,3261900,29.15
2014-04-08,29.30,29.60,29.13,29.53,2866300,29.26
2014-04-07,29.37,29.52,29.25,29.33,3383300,29.07
2014-04-04,29.34,29.73,29.24,29.38,2869700,29.12
2014-04-03,29.23,29.34,29.06,29.21,2204700,28.95
2014-04-02,29.11,29.24,28.93,29.15,2436900,28.89
2014-04-01,29.33,29.40,28.96,29.14,3720200,28.88
2014-03-31,28.99,29.44,28.93,29.28,1856900,29.02
2014-03-28,28.88,28.95,28.73,28.83,1979600,28.57
2014-03-27,28.60,28.89,28.44,28.86,1724300,28.60
2014-03-26,28.70,28.85,28.54,28.58,2228900,28.32
2014-03-25,28.65,28.76,28.34,28.62,2185800,28.36
2014-03-24,28.64,28.83,28.44,28.62,2246200,28.36
2014-03-21,28.54,28.87,28.48,28.58,2323600,28.32
2014-03-20,28.36,28.40,28.07,28.37,1385800,28.12
2014-03-19,28.98,28.99,28.36,28.47,1531500,28.21
2014-03-18,29.05,29.12,28.91,28.92,1894600,28.66
2014-03-17,28.85,29.08,28.70,28.97,1125900,28.71
2014-03-14,28.57,28.94,28.48,28.80,2453000,28.54
2014-03-13,28.17,28.72,28.15,28.59,3328700,28.33
2014-03-12,27.67,28.21,27.65,28.17,1836200,27.92
2014-03-11,27.87,27.92,27.62,27.74,1888100,27.49
2014-03-10,27.93,27.98,27.71,27.85,1719600,27.60
2014-03-07,27.98,28.00,27.68,27.98,1984700,27.73
2014-03-06,28.24,28.28,27.99,28.00,1831500,27.75
2014-03-05,28.51,28.54,28.12,28.19,1797200,27.94
2014-03-04,28.47,28.61,28.40,28.53,1995100,28.27
2014-03-03,28.29,28.43,28.18,28.26,2150500,28.01
2014-02-28,28.31,28.54,28.28,28.43,1882700,28.17
2014-02-27,28.35,28.55,28.14,28.25,1644000,28.00
2014-02-26,28.66,28.75,28.34,28.37,1094200,28.12
2014-02-25,28.44,28.74,28.33,28.60,2057700,28.34
2014-02-24,28.58,28.68,28.34,28.34,1790400,28.09
2014-02-21,28.63,28.83,28.46,28.48,2038500,28.22
2014-02-20,28.42,28.71,28.40,28.61,1626900,28.35
2014-02-19,28.44,28.74,28.28,28.38,2360300,28.13
2014-02-18,28.59,28.64,28.39,28.47,1624700,28.21
2014-02-14,28.16,28.54,28.07,28.53,1536400,28.27
2014-02-13,27.88,28.21,27.86,28.20,1402900,27.95
2014-02-12,27.95,28.08,27.84,27.97,1200300,27.72
2014-02-11,27.52,27.95,27.44,27.94,2417500,27.69
2014-02-10,27.22,27.58,27.03,27.57,2006900,27.32
2014-02-07,27.08,27.24,26.92,27.23,1993700,26.99
2014-02-06,26.94,27.12,26.82,26.94,2590700,26.70
2014-02-05,27.01,27.02,26.82,26.86,2689400,26.62
2014-02-04,27.57,27.57,27.06,27.27,3305600,26.76
2014-02-03,27.75,27.93,27.35,27.42,3842600,26.90
2014-01-31,27.08,27.81,27.02,27.79,4178100,27.27
2014-01-30,26.71,27.43,26.66,27.23,2611700,26.72
2014-01-29,26.83,26.95,26.68,26.78,2643000,26.28
2014-01-28,26.57,26.97,26.54,26.96,3192100,26.45
2014-01-27,26.58,26.66,26.49,26.54,2507800,26.04
2014-01-24,26.84,26.96,26.54,26.54,3368600,26.04
2014-01-23,26.85,26.96,26.64,26.91,1713600,26.40
2014-01-22,26.71,26.95,26.67,26.93,1550000,26.42
2014-01-21,26.57,26.73,26.46,26.72,2301600,26.22
2014-01-17,26.63,26.69,26.43,26.43,2092200,25.93
2014-01-16,26.46,26.63,26.36,26.62,2154700,26.12
2014-01-15,26.66,26.72,26.30,26.42,2485300,25.92
2014-01-14,26.76,26.87,26.62,26.67,1930100,26.17
2014-01-13,27.06,27.19,26.64,26.73,2819500,26.23
2014-01-10,26.67,27.21,26.67,27.11,3555200,26.60
2014-01-09,26.34,26.61,26.16,26.53,2663800,26.03
2014-01-08,26.30,26.30,26.03,26.24,3314900,25.75
2014-01-07,26.14,26.34,26.10,26.30,2307700,25.81
2014-01-06,26.17,26.26,25.95,26.12,3154300,25.63
2014-01-03,26.35,26.39,26.09,26.29,1789800,25.80
2014-01-02,26.80,26.80,26.21,26.30,2218200,25.81
2013-12-31,26.72,26.83,26.64,26.77,1598300,26.27
2013-12-30,26.67,26.84,26.57,26.72,1521900,26.22
2013-12-27,26.67,26.84,26.55,26.69,1201800,26.19
2013-12-26,26.82,26.82,26.59,26.66,988100,26.16
2013-12-24,26.75,26.92,26.62,26.79,763300,26.29
2013-12-23,27.09,27.09,26.78,26.81,1366500,26.31
2013-12-20,26.65,27.05,26.64,26.92,3201300,26.41
2013-12-19,26.71,26.71,26.39,26.67,2008300,26.17
2013-12-18,26.38,26.86,26.09,26.79,3739900,26.29
2013-12-17,26.38,26.50,26.23,26.45,2831400,25.95
2013-12-16,26.37,26.58,26.25,26.39,2102500,25.89
2013-12-13,26.12,26.31,26.08,26.21,2496900,25.72
2013-12-12,25.99,26.40,25.96,26.14,4334500,25.65
2013-12-11,26.16,26.25,25.90,25.97,2807400,25.48
2013-12-10,26.49,26.49,26.13,26.13,3293800,25.64
2013-12-09,26.50,26.61,26.29,26.49,2329500,25.99
2013-12-06,26.42,26.70,26.39,26.49,2886200,25.99
2013-12-05,26.51,26.59,26.23,26.27,2851700,25.78
2013-12-04,26.38,26.59,26.26,26.57,1951500,26.07
2013-12-03,26.35,26.60,26.28,26.51,2383900,26.01
2013-12-02,26.53,26.63,26.23,26.46,2881400,25.96
2013-11-29,26.56,26.72,26.49,26.54,1093800,26.04
2013-11-27,26.72,26.72,26.47,26.56,2994300,26.06
2013-11-26,27.00,27.11,26.60,26.61,4393200,26.11
2013-11-25,27.31,27.39,26.98,27.00,2992600,26.49
2013-11-22,27.24,27.34,27.11,27.31,2891000,26.80
2013-11-21,27.30,27.43,27.18,27.31,2624500,26.80
2013-11-20,27.55,27.72,27.20,27.27,2052100,26.76
2013-11-19,27.60,27.68,27.46,27.57,1998600,27.05
2013-11-18,27.68,27.75,27.48,27.66,2562700,27.14
2013-11-15,27.25,27.61,27.21,27.61,2523400,27.09
2013-11-14,27.02,27.40,26.99,27.30,2865700,26.79
2013-11-13,26.75,26.96,26.63,26.94,2198400,26.43
2013-11-12,27.24,27.33,26.77,26.91,3742200,26.40
2013-11-11,27.40,27.54,27.15,27.36,1639000,26.85
2013-11-08,27.24,27.28,26.80,27.28,5037200,26.77
2013-11-07,27.60,27.81,27.32,27.37,2800900,26.86
2013-11-06,27.50,27.66,27.45,27.56,2481500,27.04
2013-11-05,27.50,27.77,27.38,27.45,2948500,26.93
2013-11-04,27.70,27.74,27.38,27.63,2446500,27.11
2013-11-01,27.56,27.71,27.49,27.62,2748000,27.10
2013-10-31,27.42,27.61,27.06,27.46,3201000,26.94
2013-10-30,27.76,28.00,27.43,27.44,3280000,26.92
2013-10-29,28.12,28.18,27.83,27.96,3120500,27.18
2013-10-28,28.08,28.29,27.98,28.05,6991600,27.27
2013-10-25,27.80,28.09,27.62,28.03,6592400,27.25
2013-10-24,27.69,27.93,27.52,27.84,7867400,27.07
2013-10-23,27.64,28.05,27.60,27.71,3569400,26.94
2013-10-22,27.50,27.79,27.46,27.62,3486800,26.85
2013-10-21,27.30,27.42,27.04,27.40,2907000,26.64
2013-10-18,27.33,27.51,27.27,27.32,1799500,26.56
2013-10-17,26.72,27.33,26.59,27.27,3594500,26.51
2013-10-16,26.86,26.98,26.67,26.88,3000200,26.13
2013-10-15,26.81,27.06,26.72,26.76,5983100,26.02
2013-10-14,27.02,27.06,26.61,26.94,4399400,26.19
2013-10-11,26.49,27.08,26.47,27.06,3936700,26.31
2013-10-10,26.28,26.59,26.02,26.53,1925000,25.79
2013-10-09,26.06,26.34,25.89,26.12,4169600,25.40
2013-10-08,25.90,26.15,25.87,25.96,3997800,25.24
2013-10-07,25.89,26.11,25.81,25.90,2642700,25.18
2013-10-04,26.00,26.11,25.92,26.03,2227300,25.31
2013-10-03,26.34,26.34,25.93,25.99,3037400,25.27
2013-10-02,26.27,26.52,26.21,26.45,2698700,25.72
2013-10-01,26.34,26.48,26.22,26.38,2295700,25.65
2013-09-30,26.10,26.32,26.04,26.32,4204900,25.59
2013-09-27,26.24,26.35,26.11,26.21,2688700,25.48
2013-09-26,26.42,26.54,26.30,26.35,5527000,25.62
2013-09-25,26.78,26.83,26.36,26.37,5781400,25.64
2013-09-24,26.94,27.02,26.78,26.80,5824200,26.06
2013-09-23,26.49,27.06,26.39,26.95,2286800,26.20
2013-09-20,26.82,26.88,26.48,26.59,2441600,25.85
2013-09-19,26.90,27.04,26.77,26.82,2531700,26.08
2013-09-18,26.13,26.98,26.00,26.92,2216400,26.17
2013-09-17,26.18,26.33,26.00,26.11,2061400,25.39
2013-09-16,26.52,26.65,26.04,26.12,4038600,25.40
2013-09-13,26.02,26.21,25.95,26.19,3604900,25.46
2013-09-12,26.03,26.24,25.89,25.91,2177600,25.19
2013-09-11,26.14,26.14,25.82,25.99,2774300,25.27
2013-09-10,26.00,26.12,25.91,26.11,2023900,25.39
2013-09-09,25.99,26.14,25.84,25.94,1491700,25.22
2013-09-06,25.94,26.21,25.92,25.98,2173700,25.26
2013-09-05,26.02,26.12,25.74,25.86,2996600,25.14
2013-09-04,26.12,26.16,25.88,26.00,4157700,25.28
2013-09-03,26.70,26.83,26.14,26.16,2506300,25.43
2013-08-30,26.54,26.75,26.41,26.53,2004300,25.79
2013-08-29,26.60,26.75,26.42,26.54,1993000,25.80
2013-08-28,26.62,26.84,26.52,26.68,1097500,25.94
2013-08-27,26.43,26.80,26.40,26.60,1666900,25.86
2013-08-26,26.93,26.98,26.64,26.67,1223200,25.93
2013-08-23,26.78,26.99,26.64,26.94,1385400,26.19
2013-08-22,26.62,26.82,26.58,26.75,1753500,26.01
2013-08-21,26.90,26.94,26.54,26.64,2525200,25.90
2013-08-20,26.77,27.17,26.74,27.00,2809500,26.25
2013-08-19,26.85,27.02,26.71,26.75,3549900,26.01
2013-08-16,26.89,26.89,26.65,26.87,2698300,26.12
2013-08-15,27.14,27.26,26.89,26.92,1413800,26.17
2013-08-14,27.56,27.61,27.19,27.36,1955400,26.60
2013-08-13,27.90,27.97,27.60,27.60,1880800,26.83
2013-08-12,27.81,27.97,27.69,27.90,1603700,27.13
2013-08-09,28.19,28.25,27.96,27.96,1104000,27.18
2013-08-08,28.08,28.32,27.91,28.22,1674400,27.44
2013-08-07,27.75,28.12,27.68,28.02,1612800,27.24
2013-08-06,28.15,28.17,27.84,27.89,1749000,27.12
2013-08-05,28.45,28.45,28.12,28.14,1081100,27.36
2013-08-02,28.49,28.62,28.34,28.52,1814800,27.73
2013-08-01,28.17,28.54,28.14,28.46,2977700,27.67
2013-07-31,28.30,28.30,27.75,27.99,3521600,27.21
2013-07-30,28.43,28.68,28.41,28.47,2037300,27.43
2013-07-29,28.12,28.37,28.12,28.28,5359700,27.25
2013-07-26,28.02,28.25,27.94,28.20,7209100,27.17
2013-07-25,28.38,28.82,27.73,28.21,8993700,27.18
2013-07-24,28.39,28.39,27.73,27.98,3057700,26.96
2013-07-23,28.46,28.52,28.29,28.39,1195400,27.36
2013-07-22,28.50,28.58,28.34,28.36,1975700,27.33
2013-07-19,28.47,28.58,28.32,28.48,2089400,27.44
2013-07-18,28.19,28.46,28.16,28.46,2218800,27.42
2013-07-17,28.26,28.34,27.99,28.11,1657500,27.09
2013-07-16,28.26,28.40,27.97,28.12,2823800,27.10
2013-07-15,27.92,28.30,27.84,28.23,4472100,27.20
2013-07-12,27.73,27.94,27.62,27.92,3237400,26.90
2013-07-11,27.87,27.92,27.68,27.78,4010300,26.77
2013-07-10,27.41,27.72,27.28,27.54,3521800,26.54
2013-07-09,27.24,27.46,27.12,27.45,2280600,26.45
2013-07-08,26.79,27.24,26.75,27.16,2451900,26.17
2013-07-05,26.66,26.72,26.29,26.70,1761300,25.73
2013-07-03,26.53,26.77,26.47,26.61,1287400,25.64
2013-07-02,26.56,26.94,26.54,26.69,2899800,25.72
2013-07-01,26.96,27.46,26.56,26.63,4383300,25.66
2013-06-28,26.43,27.46,26.25,27.17,9299600,26.18
2013-06-27,27.50,27.72,27.45,27.52,2085500,26.52
2013-06-26,27.19,27.50,27.04,27.43,1962200,26.43
2013-06-25,26.74,27.11,26.52,27.00,2415400,26.02
2013-06-24,26.14,26.76,25.81,26.60,3354400,25.63
2013-06-21,26.10,26.48,25.76,26.40,2888000,25.44
2013-06-20,26.69,26.74,25.88,25.95,3000100,25.00
2013-06-19,27.53,27.60,26.85,26.85,1584700,25.87
2013-06-18,27.47,27.60,27.28,27.57,1734800,26.57
2013-06-17,27.56,27.71,27.28,27.40,2012200,26.40
2013-06-14,27.19,27.46,27.16,27.40,2088800,26.40
2013-06-13,26.51,27.23,26.46,27.20,2666200,26.21
2013-06-12,27.12,27.13,26.52,26.52,2220100,25.55
2013-06-11,26.91,27.13,26.86,26.96,2194700,25.98
2013-06-10,27.15,27.25,26.82,27.15,2309400,26.16
2013-06-07,26.99,27.18,26.75,27.04,1545900,26.05
2013-06-06,26.37,26.93,26.31,26.93,2964900,25.95
2013-06-05,26.55,26.58,26.29,26.34,2361200,25.38
2013-06-04,26.93,27.02,26.48,26.63,3502000,25.66
2013-06-03,26.97,27.20,26.62,26.98,3240400,26.00
2013-05-31,27.12,27.50,26.95,26.95,2240000,25.97
2013-05-30,27.36,27.69,27.18,27.19,1982200,26.20
2013-05-29,27.36,27.39,26.79,27.09,2649100,26.10
2013-05-28,27.69,27.95,27.34,27.52,2444000,26.52
2013-05-24,27.86,27.91,27.42,27.53,2122800,26.53
2013-05-23,27.96,28.19,27.58,27.95,2750100,26.93
2013-05-22,28.77,29.17,28.22,28.33,2114500,27.30
2013-05-21,28.93,29.04,28.56,28.81,2133300,27.76
2013-05-20,29.10,29.18,28.89,28.96,1550600,27.90
2013-05-17,28.73,29.14,28.70,29.10,1724600,28.04
2013-05-16,28.89,28.92,28.59,28.66,1809300,27.62
2013-05-15,28.60,29.24,28.53,28.95,1763700,27.89
2013-05-14,28.36,28.63,28.13,28.61,1646400,27.57
2013-05-13,28.33,28.46,28.16,28.36,1974000,27.33
2013-05-10,28.36,28.46,28.14,28.42,1565100,27.38
2013-05-09,28.96,29.08,28.27,28.37,2118800,27.34
2013-05-08,29.25,29.36,28.90,28.98,1352300,27.92
2013-05-07,28.99,29.29,28.96,29.28,2124000,28.21
2013-05-06,29.39,29.48,28.92,28.97,2510700,27.91
2013-05-03,29.45,29.68,29.36,29.39,1834600,28.32
2013-05-02,29.45,29.51,29.17,29.33,2235200,28.26
2013-05-01,29.98,29.98,29.41,29.45,1834100,28.38
2013-04-30,29.79,29.94,29.60,29.94,2431500,28.60
2013-04-29,29.50,29.83,29.37,29.75,5344600,28.42
2013-04-26,29.28,29.61,29.28,29.43,5431000,28.12
2013-04-25,29.39,29.51,29.15,29.24,5797100,27.93
2013-04-24,29.00,29.34,28.84,29.18,1978800,27.88
2013-04-23,29.13,29.14,28.72,29.00,2291800,27.71
2013-04-22,29.08,29.18,28.88,29.06,1051500,27.76
2013-04-19,28.76,29.09,28.62,29.09,1413600,27.79
2013-04-18,28.60,28.80,28.53,28.66,2032600,27.38
2013-04-17,28.61,28.66,28.33,28.53,1579300,27.26
2013-04-16,28.38,28.70,28.10,28.69,1651100,27.41
2013-04-15,28.64,28.77,28.28,28.29,1758800,27.03
2013-04-12,28.39,28.76,28.37,28.73,1459600,27.45
2013-04-11,28.47,28.52,28.34,28.45,2026500,27.18
2013-04-10,28.25,28.47,28.25,28.47,1334100,27.20
2013-04-09,28.50,28.50,28.21,28.25,1377800,26.99
2013-04-08,28.16,28.41,28.07,28.41,1899800,27.14
2013-04-05,27.96,28.26,27.89,28.21,1410700,26.95
2013-04-04,27.83,28.15,27.81,28.14,1969600,26.88
2013-04-03,27.94,27.99,27.67,27.79,1988200,26.55
2013-04-02,27.92,28.01,27.73,27.85,1971000,26.61
2013-04-01,27.94,27.96,27.67,27.80,2258300,26.56
2013-03-28,27.46,27.95,27.39,27.94,2240100,26.69
2013-03-27,27.25,27.50,27.24,27.45,1658100,26.22
2013-03-26,27.29,27.42,27.22,27.35,2250100,26.13
2013-03-25,27.43,27.57,27.08,27.21,2816400,26.00
2013-03-22,27.15,27.38,27.06,27.33,1861600,26.11
2013-03-21,27.20,27.25,27.08,27.13,1985900,25.92
2013-03-20,27.19,27.32,27.14,27.27,2353900,26.05
2013-03-19,27.20,27.32,26.94,27.09,2574500,25.88
2013-03-18,27.29,27.37,27.16,27.20,2402200,25.99
2013-03-15,27.24,27.55,27.19,27.44,5559600,26.21
2013-03-14,27.15,27.36,27.06,27.35,2010700,26.13
2013-03-13,26.95,27.15,26.90,27.11,1223200,25.90
2013-03-12,27.22,27.23,26.86,26.97,2719800,25.77
2013-03-11,27.01,27.21,27.00,27.18,2501400,25.97
2013-03-08,26.89,27.13,26.71,27.08,2657000,25.87
2013-03-07,26.95,27.05,26.83,26.85,1380400,25.65
2013-03-06,27.08,27.15,26.83,26.89,2381600,25.69
2013-03-05,26.97,27.07,26.89,27.00,2156500,25.79
2013-03-04,26.44,26.93,26.39,26.88,3597900,25.68
2013-03-01,26.61,26.74,25.99,26.45,7626600,25.27
2013-02-28,26.41,26.75,26.33,26.61,1983600,25.42
2013-02-27,26.22,26.42,26.16,26.38,2292100,25.20
2013-02-26,26.28,26.49,26.14,26.18,3035500,25.01
2013-02-25,26.51,26.79,26.13,26.13,2551300,24.96
2013-02-22,26.19,26.40,26.06,26.40,1885100,25.22
2013-02-21,25.96,26.15,25.84,26.12,2150200,24.95
