Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,3.20,3.21,3.08,3.08,9100,3.08
2014-06-18,3.10,3.12,3.08,3.10,23100,3.10
2014-06-17,3.19,3.24,3.09,3.22,11600,3.22
2014-06-16,3.18,3.18,3.18,3.18,000,3.18
2014-06-13,3.18,3.18,3.18,3.18,100,3.18
2014-06-12,3.11,3.26,3.11,3.25,600,3.25
2014-06-11,3.24,3.24,3.24,3.24,3500,3.24
2014-06-10,3.33,3.33,3.22,3.22,2000,3.22
2014-06-09,3.20,3.22,3.20,3.22,1400,3.22
2014-06-06,3.14,3.18,3.12,3.18,1100,3.18
2014-06-05,3.44,3.44,3.15,3.24,9900,3.24
2014-06-04,3.19,3.35,3.19,3.30,12100,3.30
2014-06-03,3.34,3.49,3.15,3.38,28600,3.38
2014-06-02,3.37,3.39,3.37,3.39,500,3.39
2014-05-30,3.46,3.59,3.27,3.38,64500,3.38
2014-05-29,3.30,3.46,3.20,3.44,33500,3.44
2014-05-28,3.23,3.29,3.20,3.24,45400,3.24
2014-05-27,3.26,3.37,3.22,3.37,1700,3.37
2014-05-23,3.42,3.45,3.41,3.45,1300,3.45
2014-05-22,3.47,3.47,3.38,3.41,9300,3.41
2014-05-21,3.40,3.41,3.39,3.41,2100,3.41
2014-05-20,3.24,3.38,3.24,3.38,1200,3.38
2014-05-19,3.25,3.46,3.20,3.46,33600,3.46
2014-05-16,3.23,3.46,3.22,3.32,18000,3.32
2014-05-15,3.40,3.40,3.12,3.15,2800,3.15
2014-05-14,3.43,3.43,3.43,3.43,000,3.43
2014-05-13,3.43,3.43,3.43,3.43,000,3.43
2014-05-12,3.41,3.43,3.41,3.43,600,3.43
2014-05-09,3.37,3.37,3.37,3.37,000,3.37
2014-05-08,3.37,3.37,3.37,3.37,000,3.37
2014-05-07,3.37,3.37,3.37,3.37,000,3.37
2014-05-06,3.29,3.40,3.28,3.37,6700,3.37
2014-05-05,3.29,3.29,3.20,3.20,900,3.20
2014-05-02,3.30,3.30,3.30,3.30,100,3.30
2014-05-01,3.20,3.20,3.20,3.20,800,3.20
2014-04-30,3.20,3.20,3.20,3.20,400,3.20
2014-04-29,3.21,3.21,3.21,3.21,000,3.21
2014-04-28,3.21,3.21,3.21,3.21,000,3.21
2014-04-25,3.20,3.21,3.20,3.21,300,3.21
2014-04-24,3.18,3.18,3.18,3.18,000,3.18
2014-04-23,3.25,3.25,3.11,3.18,1600,3.18
2014-04-22,3.33,3.33,3.16,3.26,1600,3.26
2014-04-21,3.36,3.36,3.36,3.36,000,3.36
2014-04-17,3.28,3.41,3.28,3.36,1100,3.36
2014-04-16,3.41,3.41,3.41,3.41,000,3.41
2014-04-15,3.42,3.42,3.41,3.41,1200,3.41
2014-04-14,3.42,3.47,3.41,3.41,700,3.41
2014-04-11,3.46,3.46,3.41,3.41,1100,3.41
2014-04-10,3.42,3.51,3.40,3.49,7000,3.49
2014-04-09,3.44,3.61,3.44,3.47,6100,3.47
2014-04-08,3.39,3.49,3.35,3.36,2100,3.36
2014-04-07,3.62,3.62,3.26,3.50,3400,3.50
2014-04-04,3.63,3.63,3.48,3.53,6100,3.53
2014-04-03,3.50,3.98,3.50,3.64,43500,3.64
2014-04-02,3.59,3.59,3.43,3.54,1000,3.54
2014-04-01,3.61,3.62,3.55,3.55,7400,3.55
2014-03-31,3.76,3.76,3.74,3.76,2900,3.76
2014-03-28,3.90,3.90,3.63,3.82,800,3.82
2014-03-27,3.68,4.10,3.50,3.72,121900,3.72
2014-03-26,3.78,3.91,3.71,3.73,3300,3.73
2014-03-25,3.79,3.97,3.79,3.82,16700,3.82
2014-03-24,3.76,3.80,3.76,3.79,6200,3.79
2014-03-21,3.77,3.77,3.74,3.74,3100,3.74
2014-03-20,3.62,3.62,3.62,3.62,500,3.62
2014-03-19,3.66,3.66,3.66,3.66,000,3.66
2014-03-18,3.66,3.66,3.66,3.66,1200,3.66
2014-03-17,3.71,3.71,3.71,3.71,000,3.71
2014-03-14,3.65,3.80,3.62,3.71,3800,3.71
2014-03-13,3.64,3.64,3.64,3.64,700,3.64
2014-03-12,3.59,3.75,3.59,3.61,2300,3.61
2014-03-11,3.76,3.76,3.76,3.76,000,3.76
2014-03-10,3.76,3.76,3.76,3.76,000,3.76
2014-03-07,3.75,3.80,3.74,3.76,13700,3.76
2014-03-06,3.62,3.62,3.62,3.62,300,3.62
2014-03-05,3.46,3.75,3.30,3.56,52000,3.56
2014-03-04,3.56,3.56,3.07,3.35,143300,3.35
2014-03-03,3.56,3.56,3.56,3.56,100,3.56
2014-02-28,3.52,3.67,3.50,3.56,3100,3.56
2014-02-27,3.52,3.52,3.51,3.51,2600,3.51
2014-02-26,3.59,3.59,3.58,3.58,800,3.58
2014-02-25,3.65,3.73,3.58,3.58,28600,3.58
2014-02-24,3.65,3.65,3.65,3.65,200,3.65
2014-02-21,3.66,3.66,3.66,3.66,200,3.66
2014-02-20,3.68,3.70,3.52,3.66,14500,3.66
2014-02-19,3.70,3.70,3.70,3.70,100,3.70
2014-02-18,3.70,3.70,3.70,3.70,700,3.70
2014-02-14,3.65,3.65,3.65,3.65,100,3.65
2014-02-13,3.65,3.65,3.65,3.65,000,3.65
2014-02-12,3.65,3.65,3.65,3.65,800,3.65
2014-02-11,3.61,3.61,3.61,3.61,1300,3.61
2014-02-10,3.70,3.77,3.59,3.70,13300,3.70
2014-02-07,3.65,3.78,3.57,3.61,16400,3.61
2014-02-06,3.52,3.52,3.52,3.52,000,3.52
2014-02-05,3.75,3.75,3.52,3.52,2600,3.52
2014-02-04,3.83,3.83,3.70,3.70,6100,3.70
2014-02-03,3.61,3.61,3.61,3.61,200,3.61
2014-01-31,3.66,3.66,3.66,3.66,100,3.66
2014-01-30,3.74,3.74,3.74,3.74,000,3.74
2014-01-29,3.62,3.76,3.60,3.74,2800,3.74
2014-01-28,3.85,3.85,3.60,3.60,5900,3.60
2014-01-27,3.75,3.75,3.53,3.56,5900,3.56
2014-01-24,3.78,3.80,3.59,3.66,6700,3.66
2014-01-23,3.70,3.86,3.69,3.75,11400,3.75
2014-01-22,3.64,3.75,3.59,3.70,7800,3.70
2014-01-21,3.51,3.75,3.51,3.60,17600,3.60
2014-01-17,3.59,3.60,3.51,3.51,11100,3.51
2014-01-16,3.54,3.60,3.54,3.58,5300,3.58
2014-01-15,3.58,3.58,3.58,3.58,100,3.58
2014-01-14,3.59,3.59,3.51,3.51,1700,3.51
2014-01-13,3.50,3.60,3.42,3.48,1800,3.48
2014-01-10,3.48,3.84,3.46,3.50,8000,3.50
2014-01-09,3.67,3.67,3.45,3.47,22800,3.47
2014-01-08,3.39,3.55,3.39,3.44,4600,3.44
2014-01-07,3.42,3.50,3.42,3.47,2000,3.47
2014-01-06,3.65,3.65,3.41,3.46,1700,3.46
2014-01-03,3.40,3.48,3.37,3.42,1500,3.42
2014-01-02,3.12,3.40,3.12,3.40,1700,3.40
2013-12-31,3.27,3.27,3.25,3.27,9100,3.27
2013-12-30,3.40,3.40,3.25,3.28,6000,3.28
2013-12-27,3.38,3.45,3.29,3.36,6900,3.36
2013-12-26,3.29,3.39,3.29,3.39,6900,3.39
2013-12-24,3.31,3.31,3.26,3.26,1600,3.26
2013-12-23,3.19,3.30,3.19,3.28,5500,3.28
2013-12-20,3.25,3.25,3.15,3.15,1800,3.15
2013-12-19,3.15,3.24,3.15,3.24,11900,3.24
2013-12-18,3.14,3.14,3.14,3.14,300,3.14
2013-12-17,3.18,3.18,3.18,3.18,4300,3.18
2013-12-16,2.90,3.17,2.90,3.15,39500,3.15
2013-12-13,3.28,3.28,3.28,3.28,000,3.28
2013-12-12,3.26,3.29,3.26,3.28,1400,3.28
2013-12-11,3.29,3.29,3.29,3.29,000,3.29
2013-12-10,3.36,3.36,3.29,3.29,4800,3.29
2013-12-09,3.36,3.38,3.36,3.36,2700,3.36
2013-12-06,3.34,3.34,3.33,3.33,1500,3.33
2013-12-05,3.35,3.35,3.33,3.34,5800,3.34
2013-12-04,3.41,3.41,3.30,3.39,20000,3.39
2013-12-03,3.43,3.43,3.39,3.39,1000,3.39
2013-12-02,3.49,3.54,3.38,3.41,8800,3.41
2013-11-29,3.47,3.47,3.47,3.47,000,3.47
2013-11-27,3.53,3.55,3.47,3.47,2900,3.47
2013-11-26,3.38,3.49,3.38,3.44,45900,3.44
2013-11-25,3.49,3.55,3.49,3.49,5300,3.49
2013-11-22,3.51,3.54,3.50,3.54,400,3.54
2013-11-21,3.51,3.55,3.41,3.55,1100,3.55
2013-11-20,3.41,3.57,3.38,3.44,70700,3.44
2013-11-19,3.39,3.43,3.38,3.41,2200,3.41
2013-11-18,3.44,3.45,3.40,3.43,5500,3.43
2013-11-15,3.60,3.60,3.44,3.44,5000,3.44
2013-11-14,3.26,3.55,3.26,3.50,28300,3.50
2013-11-13,3.36,3.45,3.35,3.45,3000,3.45
2013-11-12,3.50,3.50,3.41,3.41,200,3.41
2013-11-11,3.74,3.79,3.42,3.45,4500,3.45
2013-11-08,3.62,3.62,3.62,3.62,200,3.62
2013-11-07,3.61,3.68,3.61,3.65,3200,3.65
2013-11-06,3.60,3.61,3.55,3.58,1200,3.58
2013-11-05,3.39,3.69,3.31,3.68,23300,3.68
2013-11-04,3.68,3.73,3.27,3.40,48400,3.40
2013-11-01,3.50,3.72,3.38,3.54,19500,3.54
2013-10-31,3.49,3.49,3.36,3.36,2400,3.36
2013-10-30,3.50,3.59,3.33,3.46,22600,3.46
2013-10-29,3.32,3.52,3.30,3.30,49200,3.30
2013-10-28,3.33,3.52,3.30,3.45,28800,3.45
2013-10-25,3.38,3.54,3.29,3.40,35700,3.40
2013-10-24,3.50,3.50,3.27,3.32,31200,3.32
2013-10-23,3.36,3.49,3.26,3.46,16500,3.46
2013-10-22,3.37,3.48,3.30,3.47,22300,3.47
2013-10-21,3.46,3.46,3.37,3.37,24400,3.37
2013-10-18,3.43,3.53,3.32,3.41,29100,3.41
2013-10-17,3.44,3.56,3.28,3.28,19000,3.28
2013-10-16,3.39,3.42,3.26,3.36,9700,3.36
2013-10-15,3.60,3.60,3.39,3.43,24000,3.43
2013-10-14,3.54,3.65,3.54,3.65,2300,3.65
2013-10-11,3.82,3.90,3.65,3.66,13200,3.66
2013-10-10,3.55,3.88,3.55,3.71,11700,3.71
2013-10-09,3.61,3.80,3.53,3.53,38500,3.53
2013-10-08,3.69,3.87,3.53,3.57,11500,3.57
2013-10-07,3.67,4.00,3.60,3.74,8800,3.74
2013-10-04,3.87,4.00,3.60,3.75,8500,3.75
2013-10-03,3.82,4.00,3.63,3.73,17100,3.73
2013-10-02,3.84,4.10,3.72,3.75,10800,3.75
2013-10-01,3.69,4.05,3.68,3.78,24600,3.78
2013-09-30,4.10,4.17,3.75,3.84,24600,3.84
2013-09-27,4.06,4.06,3.78,3.88,19300,3.88
2013-09-26,4.24,4.24,4.02,4.04,18500,4.04
2013-09-25,4.19,4.19,3.82,4.00,38400,4.00
2013-09-24,4.20,4.20,4.20,4.20,000,4.20
2013-09-23,4.12,4.22,4.10,4.20,2800,4.20
2013-09-20,4.15,4.17,4.11,4.15,1400,4.15
2013-09-19,4.19,4.24,4.13,4.13,2900,4.13
2013-09-18,4.10,4.26,4.10,4.17,2800,4.17
2013-09-17,4.15,4.29,4.10,4.20,28100,4.20
