Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,18.56,18.68,18.48,18.62,1111800,18.62
2014-06-18,18.30,18.61,18.23,18.54,692700,18.54
2014-06-17,18.19,18.33,18.16,18.29,835600,18.29
2014-06-16,18.47,18.54,18.18,18.25,561100,18.25
2014-06-13,18.49,18.56,18.26,18.48,791200,18.48
2014-06-12,18.39,18.50,18.20,18.49,1055800,18.49
2014-06-11,18.31,18.50,18.25,18.48,1189100,18.48
2014-06-10,18.40,18.50,18.25,18.34,507700,18.34
2014-06-09,18.53,18.60,18.47,18.48,721600,18.48
2014-06-06,18.82,18.82,18.51,18.59,727500,18.59
2014-06-05,18.39,18.73,18.25,18.73,1019300,18.73
2014-06-04,18.19,18.35,18.14,18.27,707700,18.27
2014-06-03,18.22,18.27,18.15,18.22,650500,18.22
2014-06-02,18.22,18.30,18.15,18.25,744300,18.25
2014-05-30,18.22,18.31,18.15,18.24,1421700,18.24
2014-05-29,18.28,18.36,18.19,18.19,679100,18.19
2014-05-28,18.29,18.30,18.05,18.26,781800,18.26
2014-05-27,18.17,18.34,18.16,18.30,981000,18.30
2014-05-23,17.89,18.07,17.81,18.05,945100,18.05
2014-05-22,17.89,18.05,17.76,17.77,840800,17.77
2014-05-21,17.94,18.01,17.78,17.90,859500,17.90
2014-05-20,17.89,18.05,17.83,17.94,1968400,17.94
2014-05-19,17.81,17.98,17.71,17.88,873000,17.88
2014-05-16,17.57,17.87,17.55,17.85,1101600,17.85
2014-05-15,17.71,17.80,17.50,17.62,1191900,17.62
2014-05-14,17.74,17.90,17.63,17.79,1228600,17.79
2014-05-13,18.12,18.23,17.75,17.75,761700,17.75
2014-05-12,18.01,18.16,17.93,18.10,1264600,18.10
2014-05-09,17.89,18.08,17.84,18.00,560300,18.00
2014-05-08,18.09,18.26,17.89,17.96,996000,17.96
2014-05-07,18.05,18.10,17.90,18.10,976600,18.10
2014-05-06,17.98,18.12,17.82,18.04,1153700,18.04
2014-05-05,18.04,18.32,18.04,18.10,982100,18.10
2014-05-02,18.51,18.78,18.21,18.55,1557300,18.55
2014-05-01,18.56,18.75,18.28,18.61,1468600,18.61
2014-04-30,18.47,18.71,18.24,18.60,977800,18.60
2014-04-29,18.52,18.63,18.36,18.46,701900,18.46
2014-04-28,18.32,18.43,18.12,18.40,542800,18.40
2014-04-25,18.31,18.38,18.17,18.21,714200,18.21
2014-04-24,18.37,18.45,18.21,18.38,521200,18.38
2014-04-23,18.61,18.62,18.24,18.31,870500,18.31
2014-04-22,18.45,18.66,18.24,18.61,988200,18.61
2014-04-21,18.39,18.49,18.18,18.41,679300,18.41
2014-04-17,18.28,18.41,18.16,18.38,1038500,18.38
2014-04-16,18.28,18.37,18.07,18.35,1394000,18.35
2014-04-15,18.01,18.28,17.90,18.25,1549200,18.25
2014-04-14,17.82,18.05,17.64,18.02,1771100,18.02
2014-04-11,17.62,17.85,17.61,17.79,2010700,17.79
2014-04-10,17.78,17.89,17.57,17.79,1545600,17.79
2014-04-09,17.73,17.81,17.53,17.79,1576600,17.79
2014-04-08,17.65,17.74,17.49,17.70,905900,17.70
2014-04-07,17.66,17.86,17.54,17.66,1145600,17.66
2014-04-04,17.75,17.75,17.46,17.67,1305500,17.67
2014-04-03,17.81,17.81,17.48,17.60,814700,17.60
2014-04-02,17.62,17.80,17.56,17.79,1816100,17.79
2014-04-01,17.18,17.64,17.09,17.63,1582500,17.63
2014-03-31,16.75,17.16,16.61,17.16,1919300,17.16
2014-03-28,16.65,17.03,16.65,16.71,1119600,16.71
2014-03-27,16.84,16.91,16.64,16.81,953000,16.68
2014-03-26,17.27,17.27,16.82,16.84,1156300,16.71
2014-03-25,16.98,17.25,16.92,17.19,808400,17.06
2014-03-24,17.21,17.24,16.80,16.91,891600,16.78
2014-03-21,17.23,17.35,17.13,17.15,1869000,17.02
2014-03-20,17.12,17.23,16.90,17.15,1330400,17.02
2014-03-19,17.66,17.76,17.15,17.21,919600,17.08
2014-03-18,17.39,17.61,17.36,17.58,992500,17.44
2014-03-17,17.45,17.49,17.31,17.42,1165100,17.29
2014-03-14,17.27,17.49,17.27,17.35,696400,17.22
2014-03-13,17.41,17.48,17.25,17.31,1449100,17.18
2014-03-12,17.27,17.36,17.23,17.35,929800,17.22
2014-03-11,17.24,17.40,17.13,17.29,1985000,17.16
2014-03-10,17.40,17.43,17.25,17.25,1206800,17.12
2014-03-07,17.72,17.80,17.24,17.36,1062500,17.23
2014-03-06,17.93,17.93,17.73,17.80,527100,17.66
2014-03-05,17.95,18.08,17.82,17.92,978800,17.78
2014-03-04,17.74,17.99,17.67,17.98,1841100,17.84
2014-03-03,17.36,17.65,17.35,17.57,1675600,17.43
2014-02-28,17.43,17.72,17.26,17.51,1448000,17.37
2014-02-27,17.57,17.68,17.40,17.46,1138700,17.32
2014-02-26,17.45,17.68,17.38,17.60,1389800,17.46
2014-02-25,17.27,17.49,17.22,17.35,1563900,17.22
2014-02-24,17.29,17.52,17.23,17.24,972300,17.11
2014-02-21,17.35,17.47,17.12,17.26,1341900,17.13
2014-02-20,17.35,17.45,17.09,17.28,1196500,17.15
2014-02-19,17.35,17.54,17.21,17.28,1921800,17.15
2014-02-18,17.52,17.53,17.17,17.29,1730200,17.16
2014-02-14,17.22,17.22,17.03,17.13,514400,17.00
2014-02-13,16.87,17.27,16.83,17.19,881800,17.06
2014-02-12,16.84,16.98,16.80,16.91,1060000,16.78
2014-02-11,16.86,17.03,16.73,16.85,863600,16.72
2014-02-10,16.36,16.89,16.27,16.81,1687900,16.68
2014-02-07,16.27,16.40,16.15,16.33,1131200,16.20
2014-02-06,16.20,16.40,16.13,16.27,885200,16.14
2014-02-05,16.30,16.32,16.10,16.12,1832600,16.00
2014-02-04,16.17,16.45,16.09,16.33,1471600,16.20
2014-02-03,16.42,16.48,15.95,16.04,1197200,15.92
2014-01-31,16.13,16.54,16.00,16.48,1622000,16.35
2014-01-30,16.12,16.42,16.11,16.34,1801500,16.21
2014-01-29,15.92,16.09,15.81,16.00,1899400,15.88
2014-01-28,15.69,16.01,15.67,15.98,1227500,15.86
2014-01-27,15.72,15.83,15.61,15.63,1125700,15.51
2014-01-24,15.69,15.74,15.51,15.67,1105700,15.55
2014-01-23,15.89,15.98,15.77,15.82,1034500,15.70
2014-01-22,15.73,15.97,15.73,15.89,2437700,15.77
2014-01-21,16.08,16.22,15.58,15.78,3294100,15.66
2014-01-17,16.18,16.22,15.96,16.03,1443700,15.91
2014-01-16,16.30,16.39,16.20,16.22,1988300,16.09
2014-01-15,16.19,16.43,16.14,16.36,2720000,16.23
2014-01-14,15.88,16.17,15.85,16.13,1125200,16.01
2014-01-13,16.01,16.01,15.74,15.85,1192600,15.73
2014-01-10,16.00,16.19,15.98,16.08,1451700,15.96
2014-01-09,15.83,16.03,15.81,15.94,1876100,15.82
2014-01-08,16.03,16.10,15.78,15.84,1597000,15.72
2014-01-07,15.84,16.18,15.84,16.08,1486300,15.96
2014-01-06,15.97,16.18,15.87,16.16,1006200,16.04
2014-01-03,15.92,16.03,15.86,15.91,569200,15.79
2014-01-02,15.94,16.13,15.81,15.92,1027100,15.80
2013-12-31,16.01,16.03,15.83,15.94,1222200,15.82
2013-12-30,15.93,16.06,15.93,16.03,519500,15.91
2013-12-27,16.08,16.16,15.98,16.12,629200,15.87
2013-12-26,16.28,16.33,16.01,16.11,759600,15.86
2013-12-24,16.16,16.30,16.11,16.26,469500,16.00
2013-12-23,16.15,16.43,16.06,16.22,2241100,15.96
2013-12-20,15.89,16.13,15.85,16.11,2869300,15.86
2013-12-19,15.81,15.92,15.59,15.82,1446500,15.57
2013-12-18,15.44,16.13,15.33,15.90,2129200,15.65
2013-12-17,15.54,15.60,15.39,15.40,1225400,15.16
2013-12-16,15.43,15.54,15.38,15.49,798200,15.25
2013-12-13,15.12,15.43,15.11,15.40,1122900,15.16
2013-12-12,15.19,15.26,15.07,15.12,957000,14.88
2013-12-11,15.79,15.81,15.22,15.22,864400,14.98
2013-12-10,15.83,15.98,15.77,15.82,811300,15.57
2013-12-09,15.70,15.81,15.70,15.80,1388500,15.55
2013-12-06,15.81,15.90,15.65,15.71,1794000,15.46
2013-12-05,15.70,15.82,15.53,15.72,1792300,15.47
2013-12-04,15.18,15.77,15.06,15.69,1728600,15.44
2013-12-03,15.22,15.59,15.19,15.32,1579000,15.08
2013-12-02,16.18,16.26,15.77,15.81,792300,15.56
2013-11-29,16.59,16.59,16.07,16.22,583500,15.96
2013-11-27,16.11,16.49,16.10,16.48,1658100,16.22
2013-11-26,15.97,16.16,15.92,16.07,1539500,15.82
2013-11-25,15.95,16.16,15.92,15.96,1347300,15.71
2013-11-22,15.92,15.98,15.73,15.97,1263800,15.72
2013-11-21,15.73,15.89,15.61,15.87,753200,15.62
2013-11-20,15.66,15.89,15.58,15.67,1887400,15.42
2013-11-19,15.99,16.06,15.56,15.60,1488900,15.35
2013-11-18,16.46,16.46,15.96,16.03,1125600,15.78
2013-11-15,16.62,16.71,16.36,16.38,1415700,16.12
2013-11-14,16.80,17.07,16.64,16.64,1048100,16.38
2013-11-13,16.60,16.86,16.56,16.84,1003600,16.58
2013-11-12,16.78,16.84,16.55,16.68,830900,16.42
2013-11-11,17.00,17.09,16.76,16.79,2364300,16.53
2013-11-08,15.30,17.41,15.15,16.98,3292900,16.71
2013-11-07,18.07,18.09,17.57,17.68,1697500,17.40
2013-11-06,18.37,18.40,18.05,18.10,1121000,17.82
2013-11-05,18.33,18.41,18.22,18.31,1044900,18.02
2013-11-04,18.47,18.52,18.29,18.46,1100800,18.17
2013-11-01,18.23,18.52,18.10,18.35,1583100,18.06
2013-10-31,18.43,18.49,18.06,18.27,2827100,17.98
2013-10-30,18.64,18.73,18.40,18.40,1503100,18.11
2013-10-29,18.99,19.04,18.67,18.68,1361600,18.39
2013-10-28,19.08,19.16,18.82,18.97,1790600,18.67
2013-10-25,19.01,19.02,18.91,18.98,1365600,18.68
2013-10-24,19.07,19.12,18.93,18.93,1249600,18.63
2013-10-23,18.97,19.10,18.85,18.99,1176400,18.69
2013-10-22,19.16,19.35,18.88,19.05,2177500,18.75
2013-10-21,19.45,19.45,19.19,19.30,1636600,19.00
2013-10-18,19.67,19.69,19.33,19.48,1260200,19.17
2013-10-17,19.29,19.49,19.17,19.44,1113900,19.13
2013-10-16,19.16,19.36,19.08,19.27,1485500,18.97
2013-10-15,18.93,19.28,18.75,19.09,1225000,18.79
2013-10-14,18.92,18.96,18.78,18.95,824400,18.65
2013-10-11,18.64,19.01,18.63,19.00,1047500,18.70
2013-10-10,18.52,18.80,18.49,18.69,1454200,18.40
2013-10-09,18.19,18.47,18.17,18.34,1085600,18.05
2013-10-08,18.27,18.49,18.18,18.18,817300,17.89
2013-10-07,18.22,18.45,18.12,18.29,814900,18.00
2013-10-04,18.47,18.62,18.23,18.30,1483700,18.01
2013-10-03,18.39,18.55,18.21,18.45,1403100,18.16
2013-10-02,18.29,18.49,18.24,18.48,1656100,18.19
2013-10-01,17.84,18.59,17.80,18.39,1766300,18.10
2013-09-30,17.60,17.93,17.51,17.84,1179700,17.56
2013-09-27,17.71,17.89,17.57,17.70,823700,17.42
2013-09-26,17.85,17.96,17.74,17.91,899800,17.52
2013-09-25,18.03,18.24,17.84,17.84,965800,17.45
2013-09-24,17.78,18.11,17.63,17.96,1246900,17.57
2013-09-23,17.88,18.05,17.73,17.82,680300,17.43
2013-09-20,18.02,18.03,17.81,17.92,1713000,17.53
2013-09-19,17.91,18.22,17.84,17.95,1710100,17.56
2013-09-18,17.43,18.11,17.17,17.85,1607600,17.46
2013-09-17,17.18,17.47,17.15,17.38,876200,17.00
2013-09-16,17.43,17.57,17.11,17.20,942500,16.83
2013-09-13,17.18,17.27,17.06,17.17,974500,16.80
2013-09-12,17.02,17.14,16.93,17.08,689100,16.71
2013-09-11,16.71,17.05,16.66,16.96,1085600,16.59
2013-09-10,16.67,16.81,16.57,16.68,1800900,16.32
2013-09-09,16.63,16.82,16.50,16.75,1628100,16.39
2013-09-06,16.37,16.80,16.37,16.52,825400,16.16
2013-09-05,16.39,16.46,16.23,16.25,823500,15.90
2013-09-04,16.47,16.61,16.32,16.36,1473400,16.00
2013-09-03,16.84,16.88,16.29,16.49,1351200,16.13
2013-08-30,16.89,17.07,16.62,16.65,989400,16.29
2013-08-29,16.83,16.92,16.61,16.85,1210000,16.48
2013-08-28,17.11,17.16,16.83,16.91,838100,16.54
2013-08-27,17.22,17.47,17.11,17.11,591800,16.74
2013-08-26,17.52,17.63,17.30,17.38,681200,17.00
2013-08-23,17.40,17.69,17.34,17.54,2113300,17.16
2013-08-22,17.26,17.46,17.11,17.38,937900,17.00
2013-08-21,17.21,17.52,16.91,17.17,621300,16.80
2013-08-20,16.78,17.46,16.78,17.24,844900,16.86
2013-08-19,17.26,17.49,16.75,16.76,832200,16.39
