Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,16.26,16.26,16.02,16.18,428200,16.18
2014-06-18,15.93,16.23,15.82,16.23,647700,16.23
2014-06-17,15.56,16.03,15.50,15.93,429500,15.93
2014-06-16,15.43,15.68,15.31,15.58,479300,15.58
2014-06-13,15.55,15.73,15.38,15.47,245300,15.47
2014-06-12,15.50,15.51,15.27,15.47,260700,15.47
2014-06-11,15.63,15.74,15.46,15.51,236600,15.51
2014-06-10,15.83,15.83,15.62,15.75,403700,15.75
2014-06-09,15.40,15.86,15.36,15.82,292700,15.82
2014-06-06,15.51,15.58,15.25,15.46,352200,15.46
2014-06-05,14.97,15.56,14.83,15.40,428200,15.40
2014-06-04,14.80,14.97,14.76,14.95,397500,14.95
2014-06-03,14.77,15.09,14.66,14.81,304500,14.81
2014-06-02,14.63,14.84,14.42,14.79,307200,14.79
2014-05-30,14.67,14.81,14.50,14.58,302100,14.58
2014-05-29,14.74,14.77,14.55,14.63,215200,14.63
2014-05-28,14.88,14.88,14.62,14.69,285800,14.69
2014-05-27,14.77,14.94,14.62,14.94,261800,14.94
2014-05-23,14.65,14.71,14.57,14.65,227900,14.65
2014-05-22,14.60,14.78,14.60,14.62,336500,14.62
2014-05-21,14.47,14.64,14.45,14.59,290400,14.59
2014-05-20,14.53,14.63,14.30,14.41,510900,14.41
2014-05-19,14.26,14.63,14.26,14.61,324800,14.61
2014-05-16,14.20,14.26,14.15,14.26,505000,14.26
2014-05-15,14.15,14.21,13.90,14.18,703800,14.18
2014-05-14,14.56,14.63,14.20,14.25,556600,14.25
2014-05-13,14.89,14.89,14.61,14.62,906600,14.62
2014-05-12,14.58,15.01,14.58,14.92,416600,14.92
2014-05-09,14.26,14.58,14.22,14.53,320600,14.53
2014-05-08,14.37,14.49,14.26,14.34,507600,14.34
2014-05-07,14.20,14.41,14.17,14.33,516700,14.33
2014-05-06,14.30,14.46,14.17,14.19,677600,14.19
2014-05-05,14.51,14.60,14.29,14.39,480800,14.39
2014-05-02,14.53,14.89,14.52,14.65,899700,14.65
2014-05-01,14.48,14.68,14.34,14.49,1260400,14.49
2014-04-30,14.07,14.52,14.01,14.46,953200,14.46
2014-04-29,14.10,14.18,13.99,14.08,498400,14.08
2014-04-28,14.17,14.37,13.77,13.99,362000,13.99
2014-04-25,14.38,14.52,14.15,14.17,347600,14.17
2014-04-24,14.72,15.09,14.31,14.48,438400,14.48
2014-04-23,14.79,14.97,14.67,14.71,253500,14.71
2014-04-22,14.76,15.04,14.72,14.87,213800,14.87
2014-04-21,14.81,14.94,14.63,14.73,213000,14.73
2014-04-17,14.71,14.91,14.65,14.87,394800,14.87
2014-04-16,14.77,14.79,14.62,14.71,345100,14.71
2014-04-15,14.62,14.72,14.37,14.63,360700,14.63
2014-04-14,14.65,14.79,14.46,14.59,359200,14.59
2014-04-11,14.41,14.75,14.21,14.49,459100,14.49
2014-04-10,15.12,15.17,14.45,14.56,860600,14.56
2014-04-09,15.31,15.42,15.03,15.13,379900,15.13
2014-04-08,15.38,15.48,15.22,15.25,474200,15.25
2014-04-07,15.52,15.59,15.21,15.39,502900,15.39
2014-04-04,16.20,16.33,15.55,15.59,525100,15.59
2014-04-03,16.22,16.33,15.96,16.18,745000,16.18
2014-04-02,16.20,16.32,16.03,16.26,288000,16.26
2014-04-01,15.83,16.27,15.77,16.23,734300,16.23
2014-03-31,15.70,15.99,15.62,15.90,511300,15.80
2014-03-28,15.60,15.93,15.53,15.60,348300,15.50
2014-03-27,15.88,16.03,15.57,15.61,300400,15.51
2014-03-26,16.31,16.31,15.88,15.88,467200,15.78
2014-03-25,16.32,16.43,16.15,16.18,264700,16.08
2014-03-24,16.32,16.48,16.16,16.23,310100,16.13
2014-03-21,16.48,16.64,16.23,16.30,765500,16.20
2014-03-20,15.95,16.44,15.95,16.44,368300,16.34
2014-03-19,16.01,16.19,15.86,16.04,310600,15.94
2014-03-18,15.98,16.07,15.88,16.01,261800,15.91
2014-03-17,16.02,16.15,15.93,15.95,333500,15.85
2014-03-14,15.77,16.11,15.62,15.93,252100,15.83
2014-03-13,16.00,16.02,15.74,15.84,421000,15.74
2014-03-12,15.95,16.01,15.73,16.00,430600,15.90
2014-03-11,16.10,16.10,15.84,15.99,643600,15.89
2014-03-10,16.18,16.38,16.03,16.13,592700,16.03
2014-03-07,16.25,16.49,16.10,16.22,349300,16.12
2014-03-06,15.99,16.20,15.88,16.11,260500,16.01
2014-03-05,16.00,16.01,15.82,15.99,293900,15.89
2014-03-04,15.74,16.18,15.53,16.02,793300,15.92
2014-03-03,15.46,15.60,15.28,15.52,471100,15.42
2014-02-28,15.45,15.76,15.32,15.57,692400,15.47
2014-02-27,15.28,15.43,15.11,15.41,512200,15.31
2014-02-26,15.13,15.41,15.05,15.32,435200,15.22
2014-02-25,15.38,15.39,15.10,15.14,468400,15.04
2014-02-24,14.91,15.47,14.91,15.36,533900,15.26
2014-02-21,14.80,15.01,14.75,14.91,721600,14.82
2014-02-20,14.86,14.98,14.65,14.73,613200,14.64
2014-02-19,15.62,15.69,14.83,14.84,1040200,14.75
2014-02-18,15.09,15.37,15.03,15.31,377600,15.21
2014-02-14,14.94,15.14,14.80,15.08,317000,14.99
