Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,18.85,19.00,18.84,18.98,62400,18.98
2014-06-18,19.10,19.10,18.84,18.88,147400,18.88
2014-06-17,19.50,19.67,19.05,19.65,39000,19.65
2014-06-16,19.50,19.58,19.46,19.54,27500,19.54
2014-06-13,20.00,20.12,19.30,19.51,20400,19.51
2014-06-12,19.94,20.05,19.79,19.89,50100,19.89
2014-06-11,19.80,20.02,19.80,19.92,30400,19.92
2014-06-10,20.00,20.05,19.40,20.05,89800,20.05
2014-06-09,20.00,20.05,19.99,20.04,38700,20.04
2014-06-06,19.95,20.23,19.75,20.03,72300,20.03
2014-06-05,19.88,20.11,19.73,19.88,53900,19.88
2014-06-04,19.91,20.25,19.58,19.94,298400,19.94
2014-06-03,19.50,20.08,19.50,19.93,474600,19.93
2014-06-02,18.88,18.91,18.87,18.88,44500,18.88
2014-05-30,18.92,18.92,18.87,18.88,20800,18.88
2014-05-29,18.91,18.91,18.85,18.90,56400,18.90
2014-05-28,18.84,18.91,18.84,18.87,24300,18.87
2014-05-27,18.90,18.96,18.87,18.92,33800,18.92
2014-05-23,18.90,18.92,18.86,18.92,25500,18.92
2014-05-22,18.88,18.95,18.86,18.90,20900,18.90
2014-05-21,18.88,18.88,18.84,18.88,32800,18.88
2014-05-20,18.98,18.98,18.84,18.84,82400,18.84
2014-05-19,18.84,18.98,18.84,18.91,22900,18.91
2014-05-16,18.82,18.86,18.82,18.86,24600,18.86
2014-05-15,18.83,18.85,18.82,18.82,63000,18.82
2014-05-14,18.87,18.88,18.82,18.82,34500,18.82
2014-05-13,18.87,18.98,18.85,18.87,57600,18.87
2014-05-12,18.91,18.99,18.86,18.87,43300,18.87
2014-05-09,18.83,18.99,18.81,18.88,26400,18.88
2014-05-08,18.85,18.95,18.85,18.86,64700,18.86
2014-05-07,18.81,18.90,18.81,18.87,32300,18.87
2014-05-06,18.83,18.90,18.81,18.85,46100,18.85
2014-05-05,18.84,18.97,18.82,18.84,66000,18.84
2014-05-02,18.90,19.00,18.83,18.85,223500,18.85
2014-05-01,18.17,18.22,17.77,18.10,43100,18.10
2014-04-30,18.39,18.50,18.20,18.28,21400,18.28
2014-04-29,18.73,18.73,18.22,18.32,9900,18.32
2014-04-28,18.49,18.80,18.17,18.60,17200,18.60
2014-04-25,18.73,18.76,18.16,18.34,20300,18.34
2014-04-24,18.80,18.85,18.75,18.82,3400,18.82
2014-04-23,18.74,19.15,18.74,18.75,14600,18.75
2014-04-22,18.69,18.95,18.69,18.86,11500,18.86
2014-04-21,18.24,18.79,18.24,18.57,16200,18.57
2014-04-17,17.72,18.34,17.62,18.12,6900,18.12
2014-04-16,18.03,18.22,17.73,17.73,4100,17.73
2014-04-15,18.15,18.15,17.48,17.82,12800,17.82
2014-04-14,17.84,18.00,17.71,17.93,11200,17.93
2014-04-11,17.55,18.23,17.43,17.61,17100,17.61
2014-04-10,18.10,18.26,17.65,17.73,19700,17.73
2014-04-09,18.30,18.36,18.05,18.30,9700,18.30
2014-04-08,18.87,18.87,18.32,18.39,11000,18.39
2014-04-07,18.53,18.82,17.97,18.20,12600,18.20
2014-04-04,19.21,19.21,18.52,18.53,17800,18.53
2014-04-03,19.30,19.30,18.81,19.02,23200,19.02
2014-04-02,18.86,19.30,18.64,19.21,17700,19.21
2014-04-01,18.69,18.94,18.59,18.88,9400,18.88
2014-03-31,18.41,18.97,18.37,18.88,42200,18.88
2014-03-28,17.81,18.36,17.81,18.33,6500,18.33
2014-03-27,17.80,17.88,17.47,17.79,8700,17.79
2014-03-26,18.29,18.29,17.00,17.71,28200,17.71
2014-03-25,18.43,18.62,18.10,18.10,28800,18.10
2014-03-24,18.74,19.08,18.29,18.63,9500,18.63
2014-03-21,18.95,18.95,18.65,18.77,20600,18.77
2014-03-20,19.06,19.36,18.69,18.81,12000,18.81
2014-03-19,19.33,19.47,19.06,19.06,8400,19.06
