Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,2.11,2.11,2.01,2.05,288000,2.05
2014-06-18,2.12,2.15,2.11,2.14,18600,2.14
2014-06-17,2.12,2.18,2.12,2.17,17500,2.12
2014-06-16,2.14,2.18,2.12,2.14,17600,2.09
2014-06-13,2.19,2.19,2.14,2.14,7900,2.09
2014-06-12,2.15,2.19,2.15,2.16,15300,2.11
2014-06-11,2.17,2.20,2.13,2.14,10800,2.09
2014-06-10,2.15,2.18,2.12,2.18,20200,2.13
2014-06-09,2.15,2.19,2.15,2.16,7700,2.11
2014-06-06,2.21,2.21,2.15,2.15,16800,2.10
2014-06-05,2.27,2.27,2.19,2.21,11700,2.16
2014-06-04,2.25,2.26,2.19,2.22,33700,2.17
2014-06-03,2.15,2.21,2.12,2.18,37200,2.13
2014-06-02,2.11,2.14,2.03,2.12,16500,2.07
2014-05-30,2.11,2.14,2.10,2.11,4200,2.06
2014-05-29,2.04,2.13,2.04,2.10,30100,2.05
2014-05-28,2.10,2.15,2.04,2.07,20300,2.02
2014-05-27,2.07,2.13,2.02,2.13,17900,2.08
2014-05-23,2.05,2.08,2.05,2.07,10800,2.02
2014-05-22,2.06,2.07,2.04,2.06,13200,2.01
2014-05-21,2.06,2.07,2.05,2.05,27200,2.00
2014-05-20,2.03,2.07,2.00,2.01,42800,1.96
2014-05-19,2.01,2.07,2.00,2.04,35600,1.99
2014-05-16,2.05,2.07,2.02,2.02,50300,1.97
2014-05-15,2.03,2.06,2.03,2.03,18400,1.98
2014-05-14,2.03,2.06,2.03,2.03,10600,1.98
2014-05-13,2.02,2.05,2.00,2.03,39000,1.98
2014-05-12,2.01,2.02,2.00,2.01,35700,1.96
2014-05-09,2.02,2.02,2.00,2.00,19500,1.95
2014-05-08,2.01,2.04,2.01,2.01,47900,1.96
2014-05-07,2.04,2.05,2.00,2.01,18000,1.96
2014-05-06,2.05,2.06,1.98,2.03,102900,1.98
2014-05-05,2.09,2.12,2.08,2.08,14500,2.03
2014-05-02,2.10,2.11,2.08,2.08,11700,2.03
2014-05-01,2.08,2.13,2.08,2.08,54200,2.03
2014-04-30,2.08,2.11,2.08,2.08,40900,2.03
2014-04-29,2.09,2.09,2.08,2.08,11300,2.03
2014-04-28,2.09,2.10,2.08,2.09,37600,2.04
2014-04-25,2.09,2.12,2.09,2.10,4900,2.05
2014-04-24,2.09,2.10,2.09,2.09,11100,2.04
2014-04-23,2.13,2.13,2.09,2.10,2100,2.05
2014-04-22,2.09,2.16,2.09,2.14,11500,2.09
2014-04-21,2.16,2.16,2.09,2.10,8300,2.05
2014-04-17,2.11,2.19,2.09,2.14,34200,2.09
2014-04-16,2.09,2.19,2.09,2.10,17400,2.05
2014-04-15,2.09,2.11,2.09,2.09,19600,2.04
2014-04-14,2.13,2.16,2.08,2.09,15500,2.04
2014-04-11,2.16,2.16,2.10,2.11,31200,2.06
2014-04-10,2.16,2.18,2.15,2.15,5600,2.10
2014-04-09,2.16,2.17,2.15,2.16,38200,2.11
2014-04-08,2.16,2.17,2.13,2.16,37300,2.11
2014-04-07,2.16,2.17,2.16,2.16,15600,2.11
2014-04-04,2.18,2.20,2.15,2.16,56400,2.11
2014-04-03,2.18,2.20,2.18,2.18,30600,2.13
2014-04-02,2.18,2.20,2.18,2.18,16400,2.13
2014-04-01,2.10,2.20,2.10,2.18,22400,2.13
2014-03-31,2.20,2.20,2.07,2.07,21500,2.02
2014-03-28,2.04,2.24,2.01,2.15,64300,2.10
2014-03-27,2.01,2.12,2.00,2.01,31800,1.96
2014-03-26,2.05,2.09,2.01,2.01,75700,1.96
2014-03-25,2.14,2.15,2.06,2.06,39600,2.01
2014-03-24,2.18,2.18,2.10,2.11,19700,2.06
2014-03-21,2.24,2.24,2.15,2.15,41600,2.10
2014-03-20,2.26,2.26,2.19,2.19,101200,2.14
2014-03-19,2.24,2.29,2.24,2.25,8300,2.20
2014-03-18,2.24,2.28,2.23,2.26,11100,2.21
2014-03-17,2.23,2.25,2.23,2.24,18900,2.19
2014-03-14,2.25,2.29,2.23,2.24,24900,2.19
2014-03-13,2.30,2.33,2.26,2.26,13500,2.21
2014-03-12,2.38,2.38,2.32,2.32,7300,2.27
2014-03-11,2.33,2.33,2.30,2.32,17300,2.27
2014-03-10,2.32,2.36,2.31,2.33,9800,2.28
2014-03-07,2.32,2.32,2.30,2.30,32800,2.25
2014-03-06,2.30,2.32,2.30,2.31,33000,2.26
2014-03-05,2.30,2.31,2.27,2.30,25900,2.20
2014-03-04,2.29,2.32,2.28,2.28,22700,2.18
2014-03-03,2.29,2.29,2.27,2.28,18500,2.18
2014-02-28,2.29,2.29,2.27,2.27,35900,2.17
2014-02-27,2.28,2.29,2.26,2.26,52100,2.16
2014-02-26,2.27,2.30,2.27,2.27,21500,2.17
2014-02-25,2.27,2.34,2.27,2.27,35800,2.17
2014-02-24,2.35,2.35,2.26,2.33,7000,2.23
