Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,6.70,7.46,6.60,6.86,22500,6.86
2014-06-18,6.49,6.74,6.40,6.70,4800,6.70
2014-06-17,6.90,6.95,6.14,6.50,32900,6.50
2014-06-16,7.50,7.50,6.87,6.95,41300,6.95
2014-06-13,7.35,7.59,6.90,7.16,79900,7.16
2014-06-12,7.49,7.49,7.49,7.49,000,7.49
2014-06-11,7.45,7.49,7.45,7.49,600,7.49
2014-06-10,7.37,7.37,7.37,7.37,100,7.37
2014-06-09,7.33,7.33,7.33,7.33,200,7.33
2014-06-06,7.47,7.52,7.47,7.50,11800,7.50
2014-06-05,7.62,7.69,7.61,7.69,1200,7.69
2014-06-04,7.77,7.77,7.77,7.77,000,7.77
2014-06-03,7.60,7.85,7.43,7.77,6300,7.77
2014-06-02,7.37,7.78,7.37,7.78,1000,7.78
2014-05-30,7.72,7.72,7.72,7.72,200,7.72
2014-05-29,7.52,7.77,7.38,7.77,5600,7.77
2014-05-28,7.85,7.88,7.76,7.88,700,7.88
2014-05-27,8.02,8.02,7.52,7.93,7400,7.93
2014-05-23,8.17,8.17,8.17,8.17,000,8.17
2014-05-22,8.20,8.21,8.08,8.17,2700,8.17
2014-05-21,8.35,8.35,8.25,8.25,1900,8.25
2014-05-20,8.20,8.20,8.20,8.20,000,8.20
2014-05-19,8.21,8.22,8.19,8.20,5200,8.20
2014-05-16,8.22,8.22,8.22,8.22,000,8.22
2014-05-15,8.02,8.30,8.00,8.22,10100,8.22
2014-05-14,8.54,8.54,8.54,8.54,000,8.54
2014-05-13,8.54,8.54,8.54,8.54,000,8.54
2014-05-12,8.20,8.54,8.18,8.54,5000,8.54
2014-05-09,8.35,8.35,8.20,8.20,8300,8.20
2014-05-08,8.40,8.40,8.35,8.35,1200,8.35
2014-05-07,8.50,8.54,8.50,8.54,1300,8.54
2014-05-06,8.40,8.49,8.40,8.49,900,8.49
2014-05-05,8.36,8.50,8.35,8.35,2400,8.35
2014-05-02,8.25,8.36,8.25,8.36,200,8.36
2014-05-01,8.31,8.31,8.31,8.31,000,8.31
2014-04-30,8.32,8.32,8.28,8.31,2200,8.31
2014-04-29,8.34,8.42,8.34,8.35,6200,8.35
2014-04-28,8.34,8.34,8.33,8.34,500,8.34
2014-04-25,8.06,8.35,8.06,8.35,400,8.35
2014-04-24,7.74,8.12,7.72,8.12,10600,8.12
2014-04-23,8.08,8.08,8.00,8.05,1500,8.05
2014-04-22,8.21,8.23,8.10,8.22,2900,8.22
2014-04-21,8.35,8.40,8.20,8.40,4900,8.40
2014-04-17,8.20,8.23,8.12,8.23,900,8.23
2014-04-16,8.50,8.50,8.50,8.50,000,8.50
2014-04-15,8.50,8.50,8.50,8.50,100,8.50
2014-04-14,8.25,8.25,8.25,8.25,000,8.25
2014-04-11,8.29,8.30,8.25,8.25,2300,8.25
2014-04-10,8.57,8.57,8.57,8.57,100,8.57
2014-04-09,8.58,8.58,8.45,8.57,900,8.57
2014-04-08,8.15,8.19,8.15,8.16,3300,8.16
2014-04-07,8.58,8.58,8.20,8.20,2100,8.20
2014-04-04,8.58,8.58,8.58,8.58,500,8.58
2014-04-03,8.33,8.35,8.33,8.35,2100,8.35
2014-04-02,8.30,8.58,8.30,8.44,1600,8.44
2014-04-01,8.17,8.29,7.83,8.02,1400,8.02
2014-03-31,8.26,8.26,8.26,8.26,300,8.26
2014-03-28,8.19,8.19,8.19,8.19,000,8.19
2014-03-27,8.19,8.19,8.19,8.19,500,8.19
2014-03-26,8.29,8.29,8.24,8.24,1500,8.24
2014-03-25,8.26,8.26,8.26,8.26,000,8.26
2014-03-24,8.25,8.27,8.09,8.26,3600,8.26
2014-03-21,8.18,8.66,7.72,8.36,31800,8.36
2014-03-20,8.03,8.03,8.03,8.03,200,8.03
2014-03-19,8.24,8.48,8.24,8.27,800,8.27
2014-03-18,8.88,8.90,8.17,8.50,10900,8.50
2014-03-17,8.05,8.50,7.59,8.50,31000,8.50
2014-03-14,7.96,8.05,7.96,8.00,1700,8.00
2014-03-13,7.21,8.07,7.19,7.96,16200,7.96
2014-03-12,7.34,7.74,7.27,7.60,33100,7.60
2014-03-11,7.17,7.75,7.17,7.60,35000,7.60
2014-03-10,7.20,7.40,7.15,7.40,3000,7.40
2014-03-07,7.60,7.72,7.39,7.55,8800,7.55
2014-03-06,7.60,8.04,7.10,7.46,63600,7.46
2014-03-05,6.92,7.74,6.85,7.40,56000,7.40
2014-03-04,6.98,6.98,6.98,6.98,000,6.98
2014-03-03,6.77,7.20,6.77,6.98,12600,6.98
2014-02-28,7.22,7.22,6.71,7.09,5400,7.09
2014-02-27,7.20,7.20,7.20,7.20,000,7.20
2014-02-26,7.23,7.24,7.20,7.20,1200,7.20
2014-02-25,7.02,7.38,7.02,7.23,1900,7.23
2014-02-24,7.21,7.22,7.20,7.22,500,7.22
2014-02-21,7.35,7.52,7.33,7.33,2100,7.33
2014-02-20,7.35,7.35,7.27,7.33,300,7.33
2014-02-19,7.44,7.66,7.44,7.66,900,7.66
2014-02-18,7.29,7.33,7.29,7.31,1300,7.31
2014-02-14,7.35,7.35,6.95,7.29,3400,7.29
2014-02-13,7.36,7.36,7.30,7.30,2500,7.30
2014-02-12,7.07,7.39,7.07,7.37,1700,7.37
2014-02-11,7.50,7.50,7.25,7.41,9900,7.41
2014-02-10,6.80,7.48,6.61,7.30,91800,7.30
2014-02-07,6.95,6.95,6.75,6.80,2100,6.80
2014-02-06,6.79,6.79,6.79,6.79,000,6.79
2014-02-05,6.75,6.79,6.75,6.79,400,6.79
2014-02-04,6.86,6.86,6.86,6.86,000,6.86
2014-02-03,6.75,6.86,6.75,6.86,3200,6.86
2014-01-31,6.86,6.86,6.86,6.86,000,6.86
2014-01-30,6.86,6.86,6.86,6.86,000,6.86
2014-01-29,6.86,6.86,6.86,6.86,000,6.86
2014-01-28,6.86,6.86,6.86,6.86,000,6.86
2014-01-27,6.86,6.86,6.86,6.86,000,6.86
2014-01-24,6.97,6.98,6.86,6.86,1000,6.86
2014-01-23,6.85,6.86,6.85,6.86,400,6.86
2014-01-22,7.20,7.20,6.90,6.90,500,6.90
2014-01-21,6.75,6.78,6.75,6.78,1100,6.78
2014-01-17,6.82,6.84,6.74,6.74,2300,6.74
2014-01-16,6.82,6.82,6.82,6.82,300,6.82
2014-01-15,6.84,6.84,6.84,6.84,000,6.84
2014-01-14,6.81,6.84,6.81,6.84,500,6.84
2014-01-13,6.92,6.92,6.92,6.92,300,6.92
2014-01-10,6.80,7.00,6.77,6.91,2100,6.91
2014-01-09,6.95,6.95,6.95,6.95,200,6.95
2014-01-08,7.10,7.10,7.00,7.00,1000,7.00
2014-01-07,7.24,7.24,7.14,7.14,600,7.14
2014-01-06,6.94,6.94,6.85,6.85,2200,6.85
2014-01-03,6.80,6.80,6.80,6.80,400,6.80
2014-01-02,6.83,6.83,6.83,6.83,000,6.83
2013-12-31,6.95,6.95,6.83,6.83,3200,6.83
2013-12-30,7.07,7.08,6.80,7.06,4200,7.06
2013-12-27,6.88,6.88,6.83,6.88,1000,6.88
2013-12-26,6.84,6.84,6.83,6.83,400,6.83
2013-12-24,6.84,6.84,6.84,6.84,1100,6.84
2013-12-23,6.91,6.91,6.82,6.91,500,6.91
2013-12-20,6.97,6.97,6.90,6.90,2700,6.90
2013-12-19,6.95,6.95,6.95,6.95,200,6.95
2013-12-18,7.02,7.02,7.00,7.00,1200,7.00
2013-12-17,6.92,6.99,6.92,6.99,500,6.99
2013-12-16,7.01,7.04,6.90,6.92,4300,6.92
2013-12-13,7.01,7.01,6.95,6.95,2700,6.95
2013-12-12,7.00,7.00,7.00,7.00,000,7.00
2013-12-11,7.00,7.00,7.00,7.00,1100,7.00
2013-12-10,6.99,6.99,6.99,6.99,000,6.99
2013-12-09,6.99,6.99,6.99,6.99,100,6.99
2013-12-06,7.09,7.09,7.09,7.09,000,7.09
2013-12-05,7.09,7.09,7.09,7.09,000,7.09
2013-12-04,7.07,7.09,7.05,7.09,700,7.04
2013-12-03,7.21,7.21,7.21,7.21,000,7.16
2013-12-02,7.20,7.21,7.04,7.21,1300,7.16
2013-11-29,7.20,7.20,7.20,7.20,400,7.15
2013-11-27,7.22,7.22,7.15,7.15,900,7.10
2013-11-26,7.11,7.11,7.06,7.06,300,7.01
2013-11-25,7.11,7.11,7.11,7.11,300,7.06
2013-11-22,7.12,7.12,7.12,7.12,300,7.07
2013-11-21,7.12,7.17,7.12,7.17,1300,7.12
2013-11-20,7.32,7.32,7.32,7.32,000,7.27
2013-11-19,7.32,7.32,7.32,7.32,000,7.27
2013-11-18,7.32,7.32,7.32,7.32,000,7.27
2013-11-15,7.32,7.32,7.32,7.32,1000,7.27
2013-11-14,7.65,7.65,7.25,7.35,6400,7.30
2013-11-13,7.55,7.70,7.55,7.70,700,7.65
2013-11-12,7.51,7.51,7.51,7.51,000,7.46
2013-11-11,7.50,7.56,7.50,7.51,6000,7.46
2013-11-08,7.51,7.51,7.51,7.51,1300,7.46
2013-11-07,7.70,7.70,7.45,7.51,1700,7.46
2013-11-06,7.45,7.75,7.45,7.70,14700,7.65
2013-11-05,7.42,7.42,7.42,7.42,500,7.37
2013-11-04,7.51,7.51,7.51,7.51,100,7.46
2013-11-01,7.75,7.75,7.45,7.68,800,7.63
2013-10-31,7.67,7.69,7.36,7.41,5200,7.36
2013-10-30,7.13,7.60,7.13,7.48,15900,7.43
2013-10-29,7.45,7.45,7.12,7.18,3500,7.13
2013-10-28,7.31,7.51,7.30,7.42,13600,7.37
2013-10-25,7.40,7.53,7.23,7.33,23100,7.28
2013-10-24,7.35,7.42,7.16,7.23,11100,7.18
2013-10-23,7.32,7.38,7.23,7.31,5900,7.26
2013-10-22,7.35,7.36,7.06,7.07,4300,7.02
2013-10-21,7.45,7.45,7.20,7.20,11800,7.15
2013-10-18,7.12,7.29,7.12,7.29,2100,7.24
2013-10-17,6.93,7.35,6.93,7.30,7700,7.25
2013-10-16,6.90,6.95,6.85,6.94,2800,6.89
2013-10-15,6.99,6.99,6.99,6.99,000,6.94
2013-10-14,6.99,6.99,6.99,6.99,000,6.94
2013-10-11,6.99,6.99,6.99,6.99,000,6.94
