Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,11.32,12.53,11.32,12.34,39800,12.34
2014-06-18,11.10,11.40,10.55,11.35,15300,11.35
2014-06-17,11.21,11.24,10.68,11.15,10400,11.15
2014-06-16,11.00,11.38,10.93,11.26,14000,11.26
2014-06-13,11.73,11.73,10.59,10.81,27700,10.81
2014-06-12,11.80,12.04,11.49,11.73,4900,11.73
2014-06-11,11.73,13.00,11.66,11.89,20700,11.89
2014-06-10,12.00,12.28,11.63,12.28,11600,12.28
2014-06-09,10.75,11.99,10.72,11.98,25400,11.98
2014-06-06,10.52,11.10,10.52,10.72,17100,10.72
2014-06-05,10.99,10.99,10.11,10.48,9700,10.48
2014-06-04,10.53,11.00,10.04,10.39,35000,10.39
2014-06-03,10.95,11.40,10.40,10.52,15100,10.52
2014-06-02,10.76,11.00,10.76,10.96,6700,10.96
2014-05-30,10.99,11.02,10.50,10.80,13700,10.80
2014-05-29,10.60,11.20,10.60,10.95,8000,10.95
2014-05-28,11.19,11.22,10.52,10.65,16300,10.65
2014-05-27,11.18,11.78,10.90,11.14,37800,11.14
2014-05-23,10.64,11.27,10.61,11.12,86300,11.12
2014-05-22,10.95,11.00,10.31,10.61,22200,10.61
2014-05-21,11.30,11.31,10.30,10.48,21000,10.48
2014-05-20,10.64,11.32,10.63,10.84,33900,10.84
2014-05-19,10.63,10.83,10.23,10.62,18100,10.62
2014-05-16,10.70,11.01,10.56,10.78,31300,10.78
2014-05-15,10.55,11.14,10.26,10.58,19600,10.58
2014-05-14,11.08,11.41,10.51,10.66,29900,10.66
2014-05-13,10.72,11.93,10.72,11.07,29200,11.07
2014-05-12,11.28,11.28,10.26,10.71,28700,10.71
2014-05-09,11.27,11.49,10.01,11.29,26900,11.29
2014-05-08,12.50,12.74,11.24,11.30,54000,11.30
2014-05-07,11.50,12.20,11.39,11.60,22500,11.60
2014-05-06,12.06,12.76,11.50,11.57,46500,11.57
2014-05-05,12.67,12.76,11.50,12.13,50200,12.13
2014-05-02,13.55,13.71,12.40,12.71,61200,12.71
2014-05-01,13.42,13.70,13.02,13.54,16800,13.54
2014-04-30,13.82,13.82,13.06,13.49,34600,13.49
2014-04-29,13.42,13.96,13.31,13.75,25700,13.75
2014-04-28,14.12,14.12,13.15,13.42,35000,13.42
2014-04-25,13.97,14.83,13.10,13.32,54600,13.32
2014-04-24,14.02,15.14,13.75,13.99,58700,13.99
2014-04-23,13.63,14.35,13.03,13.90,96600,13.90
2014-04-22,13.37,13.65,13.37,13.58,7000,13.58
2014-04-21,13.89,13.89,13.12,13.34,11900,13.34
2014-04-17,13.73,13.73,13.00,13.32,35600,13.32
2014-04-16,13.65,14.02,12.96,13.66,38000,13.66
2014-04-15,14.65,14.67,13.31,13.56,49000,13.56
2014-04-14,14.73,15.48,14.39,14.52,20300,14.52
2014-04-11,14.67,15.20,14.01,14.54,40800,14.54
2014-04-10,15.52,15.64,14.61,14.81,117400,14.81
2014-04-09,14.61,15.86,14.30,15.62,94200,15.62
2014-04-08,14.16,14.99,13.77,14.55,73500,14.55
2014-04-07,14.57,14.60,13.42,14.10,72600,14.10
2014-04-04,15.72,15.72,14.32,14.68,134600,14.68
2014-04-03,16.88,16.88,15.54,15.66,69700,15.66
2014-04-02,17.15,17.48,16.64,16.94,60800,16.94
