Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,26.42,26.45,26.42,26.45,600,26.45
2014-06-18,25.75,26.35,25.75,26.35,400,26.35
2014-06-17,25.40,25.69,25.40,25.69,600,25.69
2014-06-16,24.71,24.71,24.71,24.71,000,24.71
2014-06-13,24.40,24.83,24.26,24.71,1600,24.71
2014-06-12,24.49,24.49,24.20,24.20,500,24.20
2014-06-11,25.04,25.04,20.03,24.50,15200,24.50
2014-06-10,24.82,24.82,24.82,24.82,000,24.82
2014-06-09,24.82,24.82,24.82,24.82,000,24.82
2014-06-06,24.82,24.82,24.82,24.82,000,24.82
2014-06-05,24.82,24.82,24.82,24.82,200,24.82
2014-06-04,25.65,25.65,25.65,25.65,400,25.65
2014-06-03,25.75,25.75,25.75,25.75,300,25.75
2014-06-02,25.74,25.74,25.74,25.74,300,25.74
2014-05-30,25.60,25.60,25.60,25.60,000,25.60
2014-05-29,25.60,25.60,25.60,25.60,000,25.60
2014-05-28,25.60,25.60,25.60,25.60,000,25.38
2014-05-27,25.75,25.75,25.75,25.75,000,25.53
2014-05-23,25.60,25.60,25.60,25.60,300,25.38
2014-05-22,25.75,25.75,25.75,25.75,300,25.53
2014-05-21,25.54,25.54,25.54,25.54,200,25.32
2014-05-20,25.01,25.40,25.01,25.40,400,25.18
2014-05-19,25.56,25.56,25.56,25.56,200,25.34
2014-05-16,25.80,26.15,25.80,26.15,300,25.93
2014-05-15,25.73,25.73,25.73,25.73,100,25.51
2014-05-14,25.55,25.55,25.38,25.38,400,25.16
2014-05-13,25.55,25.55,25.55,25.55,300,25.33
2014-05-12,25.45,25.45,25.45,25.45,000,25.23
2014-05-09,25.45,25.45,25.45,25.45,200,25.23
2014-05-08,25.16,25.16,25.16,25.16,200,24.94
2014-05-07,25.96,25.96,25.96,25.96,000,25.74
2014-05-06,25.96,25.96,25.96,25.96,000,25.74
2014-05-05,25.95,25.96,25.95,25.96,300,25.74
2014-05-02,25.55,25.55,25.55,25.55,300,25.33
2014-05-01,25.50,25.50,25.50,25.50,000,25.28
2014-04-30,25.50,25.50,25.50,25.50,200,25.28
2014-04-29,25.45,25.45,25.02,25.02,900,24.80
2014-04-28,25.45,25.45,25.45,25.45,000,25.23
2014-04-25,25.46,25.46,25.45,25.45,600,25.23
2014-04-24,25.45,25.45,25.45,25.45,100,25.23
2014-04-23,25.45,25.45,25.45,25.45,100,25.23
2014-04-22,25.04,25.04,25.04,25.04,100,24.82
2014-04-21,25.55,25.55,25.55,25.55,000,25.33
2014-04-17,25.75,25.75,25.55,25.55,400,25.33
2014-04-16,25.55,25.55,25.55,25.55,100,25.33
2014-04-15,25.55,25.55,25.55,25.55,100,25.33
2014-04-14,25.51,25.51,25.51,25.51,400,25.29
2014-04-11,25.50,25.50,25.50,25.50,300,25.28
2014-04-10,25.45,25.45,25.45,25.45,100,25.23
2014-04-09,25.50,25.50,25.50,25.50,000,25.28
2014-04-08,25.55,25.55,25.50,25.50,300,25.28
2014-04-07,25.61,25.61,25.61,25.61,300,25.39
2014-04-04,25.61,25.61,25.61,25.61,000,25.39
2014-04-03,25.61,25.61,25.61,25.61,100,25.39
2014-04-02,25.65,25.65,25.65,25.65,000,25.43
2014-04-01,26.15,26.15,25.65,25.65,400,25.43
2014-03-31,25.62,25.62,25.62,25.62,000,25.40
2014-03-28,25.62,25.62,25.62,25.62,000,25.40
2014-03-27,25.55,25.62,25.55,25.62,300,25.40
2014-03-26,25.50,25.50,25.50,25.50,000,25.28
2014-03-25,25.50,25.50,25.50,25.50,000,25.28
2014-03-24,26.15,26.15,25.50,25.50,3300,25.28
2014-03-21,25.61,25.61,25.60,25.60,700,25.38
2014-03-20,26.01,26.01,26.01,26.01,100,25.79
2014-03-19,26.14,26.15,25.81,25.81,700,25.59
2014-03-18,25.34,26.15,25.34,26.09,800,25.87
2014-03-17,26.05,26.05,25.50,25.50,400,25.28
2014-03-14,25.50,25.50,25.50,25.50,100,25.28
2014-03-13,25.50,25.50,25.50,25.50,100,25.28
2014-03-12,25.50,25.50,25.50,25.50,100,25.28
2014-03-11,25.50,25.50,25.50,25.50,000,25.28
2014-03-10,25.00,25.50,25.00,25.50,1300,25.28
2014-03-07,25.65,25.65,25.65,25.65,000,25.43
2014-03-06,25.65,25.65,25.65,25.65,300,25.43
2014-03-05,25.55,25.55,25.55,25.55,100,25.33
2014-03-04,25.85,25.85,25.50,25.50,600,25.28
2014-03-03,25.49,25.49,24.98,25.25,500,25.03
2014-02-28,24.66,24.66,24.66,24.66,100,24.45
2014-02-27,25.50,25.50,25.50,25.50,400,25.28
2014-02-26,25.50,25.50,25.50,25.50,100,25.06
2014-02-25,25.50,25.50,25.50,25.50,2300,25.06
2014-02-24,25.30,25.30,25.30,25.30,000,24.87
2014-02-21,25.30,25.30,25.30,25.30,100,24.87
2014-02-20,26.05,26.05,25.50,25.50,600,25.06
2014-02-19,25.50,25.65,25.13,25.65,1100,25.21
2014-02-18,24.28,24.28,24.28,24.28,300,23.86
2014-02-14,25.72,25.75,25.40,25.40,3800,24.96
2014-02-13,24.14,25.13,24.14,25.05,500,24.62
2014-02-12,25.00,25.31,24.98,25.05,900,24.62
2014-02-11,25.00,25.15,24.75,25.15,900,24.72
2014-02-10,25.75,25.75,24.51,24.51,500,24.09
2014-02-07,25.00,25.75,25.00,25.75,1400,25.31
2014-02-06,25.50,25.50,24.76,24.76,600,24.34
2014-02-05,25.08,25.08,25.08,25.08,000,24.65
2014-02-04,24.15,25.08,24.15,25.08,400,24.65
2014-02-03,25.75,25.75,25.13,25.13,400,24.70
2014-01-31,25.44,25.75,25.44,25.75,1200,25.31
2014-01-30,25.63,25.65,25.63,25.65,300,25.21
2014-01-29,25.02,25.02,25.02,25.02,000,24.59
2014-01-28,25.00,25.04,24.75,25.02,1100,24.59
2014-01-27,25.44,25.59,25.34,25.34,300,24.91
2014-01-24,25.57,25.57,24.26,24.26,900,23.84
2014-01-23,25.55,25.55,25.55,25.55,500,25.11
2014-01-22,25.00,25.00,25.00,25.00,000,24.57
2014-01-21,25.54,25.60,25.00,25.00,600,24.57
2014-01-17,25.60,25.60,25.60,25.60,300,25.16
2014-01-16,24.92,24.92,24.92,24.92,000,24.49
2014-01-15,24.92,24.92,24.92,24.92,000,24.49
2014-01-14,24.92,24.92,24.92,24.92,100,24.49
2014-01-13,24.80,24.80,24.80,24.80,000,24.37
2014-01-10,24.58,24.80,24.58,24.80,200,24.37
2014-01-09,25.10,25.10,25.10,25.10,000,24.67
2014-01-08,24.86,25.10,24.78,25.10,1400,24.67
2014-01-07,25.03,25.03,25.03,25.03,100,24.60
2014-01-06,25.97,25.98,24.18,25.61,1100,25.17
2014-01-03,25.90,25.90,24.56,24.56,500,24.14
2014-01-02,24.97,24.97,24.97,24.97,400,24.54
2013-12-31,24.10,25.49,23.95,25.14,2400,24.71
2013-12-30,25.00,25.00,25.00,25.00,000,24.57
2013-12-27,25.00,25.50,25.00,25.00,600,24.57
2013-12-26,24.90,24.90,24.30,24.90,1000,24.47
2013-12-24,25.50,25.50,25.50,25.50,300,25.06
2013-12-23,25.30,25.50,24.01,25.50,5400,25.06
2013-12-20,25.50,25.50,25.50,25.50,000,25.06
2013-12-19,25.50,25.50,25.50,25.50,000,25.06
2013-12-18,25.50,25.50,25.50,25.50,000,25.06
2013-12-17,24.77,25.50,24.77,25.50,700,25.06
2013-12-16,24.75,24.75,24.70,24.70,300,24.28
2013-12-13,23.84,25.00,23.84,24.75,900,24.33
2013-12-12,23.80,23.80,23.80,23.80,300,23.39
2013-12-11,24.96,24.96,24.96,24.96,000,24.53
2013-12-10,24.96,24.96,24.96,24.96,000,24.53
2013-12-09,24.96,24.96,24.96,24.96,100,24.53
2013-12-06,24.49,24.49,24.49,24.49,100,24.07
2013-12-05,24.00,24.30,23.90,24.19,2500,23.78
2013-12-04,24.20,24.20,24.20,24.20,000,23.79
2013-12-03,24.40,24.50,23.90,24.20,4300,23.79
2013-12-02,24.40,24.40,24.40,24.40,300,23.98
2013-11-29,24.17,24.50,24.17,24.50,400,24.08
2013-11-27,24.50,24.50,24.40,24.40,500,23.98
2013-11-26,24.50,24.50,24.46,24.46,700,23.84
2013-11-25,24.02,24.48,24.02,24.48,800,23.86
2013-11-22,24.45,24.50,24.03,24.03,700,23.42
2013-11-21,24.40,24.45,24.06,24.06,800,23.45
2013-11-20,24.74,24.75,24.40,24.70,1000,24.08
2013-11-19,24.90,24.95,24.33,24.75,2000,24.13
2013-11-18,24.90,24.90,24.35,24.90,1000,24.27
2013-11-15,24.89,24.89,24.49,24.85,1700,24.22
2013-11-14,24.90,24.90,24.23,24.23,1800,23.62
2013-11-13,25.00,25.00,24.90,24.90,600,24.27
2013-11-12,24.70,24.70,24.65,24.65,300,24.03
2013-11-11,25.00,25.00,24.55,24.55,400,23.93
2013-11-08,24.81,25.10,24.22,24.22,600,23.61
2013-11-07,24.99,24.99,24.75,24.95,300,24.32
2013-11-06,24.53,25.56,24.53,24.58,1900,23.96
2013-11-05,25.00,25.00,24.15,24.45,500,23.83
2013-11-04,25.19,25.19,24.21,25.00,800,24.37
2013-11-01,25.00,25.00,25.00,25.00,300,24.37
2013-10-31,24.97,24.97,24.93,24.93,600,24.30
2013-10-30,25.50,25.50,24.60,24.97,600,24.34
2013-10-29,25.00,25.90,25.00,25.50,900,24.86
2013-10-28,25.00,25.00,24.60,24.60,900,23.98
2013-10-25,24.75,24.75,24.33,24.55,1300,23.93
2013-10-24,25.09,25.09,24.65,24.70,1400,24.08
2013-10-23,25.09,25.50,25.09,25.09,800,24.46
2013-10-22,25.06,25.80,25.06,25.79,1400,25.14
2013-10-21,25.10,25.12,24.62,25.12,1000,24.49
2013-10-18,26.50,26.50,24.00,24.90,6500,24.27
2013-10-17,26.00,28.00,25.62,28.00,900,27.29
2013-10-16,26.00,26.11,26.00,26.11,200,25.45
2013-10-15,23.75,26.50,23.75,26.50,3200,25.83
