Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,13.21,13.27,13.00,13.04,8300,13.04
2014-06-18,13.31,13.31,13.17,13.17,1700,13.11
2014-06-17,13.39,13.39,13.21,13.21,1600,13.15
2014-06-16,13.35,13.35,13.30,13.32,7600,13.26
2014-06-13,13.35,13.35,13.27,13.30,3400,13.24
2014-06-12,13.15,13.55,13.15,13.26,8500,13.20
2014-06-11,13.04,13.16,13.04,13.15,1300,13.09
2014-06-10,12.85,13.13,12.85,13.13,12300,13.07
2014-06-09,12.79,12.89,12.78,12.80,3400,12.74
2014-06-06,12.86,12.90,12.84,12.85,4100,12.79
2014-06-05,12.79,12.90,12.74,12.80,6200,12.74
2014-06-04,12.82,12.89,12.80,12.80,4000,12.74
2014-06-03,12.90,12.93,12.77,12.84,11700,12.78
2014-06-02,12.98,12.98,12.85,12.85,2600,12.79
2014-05-30,13.05,13.05,12.89,12.91,3700,12.85
2014-05-29,12.93,13.04,12.93,13.00,12000,12.94
2014-05-28,12.98,12.98,12.93,12.93,2500,12.87
2014-05-27,13.04,13.04,12.93,12.95,1200,12.89
2014-05-23,13.06,13.06,12.89,12.95,2600,12.89
2014-05-22,12.99,12.99,12.89,12.96,5800,12.90
2014-05-21,12.92,12.96,12.81,12.93,13100,12.87
2014-05-20,12.88,12.91,12.88,12.91,9400,12.80
2014-05-19,12.88,12.95,12.83,12.83,3600,12.72
2014-05-16,12.88,12.88,12.83,12.83,1300,12.72
2014-05-15,12.94,13.06,12.85,12.85,10400,12.74
2014-05-14,12.93,12.93,12.90,12.92,16600,12.81
2014-05-13,12.93,12.93,12.90,12.90,2600,12.79
2014-05-12,12.85,12.90,12.71,12.90,11200,12.79
2014-05-09,12.85,12.85,12.81,12.81,3700,12.70
2014-05-08,12.72,12.81,12.72,12.81,4800,12.70
2014-05-07,12.72,12.75,12.65,12.72,3500,12.61
2014-05-06,12.90,12.90,12.66,12.68,21800,12.57
2014-05-05,12.92,12.92,12.81,12.83,4200,12.72
2014-05-02,12.85,12.93,12.83,12.91,4500,12.80
2014-05-01,12.94,12.95,12.86,12.89,10000,12.78
2014-04-30,12.85,12.95,12.85,12.94,2500,12.83
2014-04-29,12.93,12.95,12.85,12.92,5700,12.81
2014-04-28,12.84,13.00,12.84,12.87,4600,12.76
2014-04-25,12.93,12.93,12.81,12.90,2300,12.79
2014-04-24,12.85,13.00,12.75,12.87,14900,12.76
2014-04-23,12.73,12.98,12.65,12.77,5500,12.66
2014-04-22,12.52,12.62,12.52,12.61,1500,12.50
2014-04-21,12.63,12.63,12.59,12.59,3000,12.48
2014-04-17,12.66,13.00,12.57,12.60,2400,12.43
2014-04-16,12.52,12.62,12.42,12.61,21300,12.44
2014-04-15,12.44,12.49,12.39,12.48,12400,12.31
2014-04-14,12.47,12.47,12.37,12.38,3400,12.21
2014-04-11,12.33,12.46,12.33,12.46,7200,12.29
2014-04-10,12.33,12.41,12.30,12.37,2200,12.20
2014-04-09,12.43,12.43,12.34,12.34,3300,12.17
2014-04-08,12.26,12.40,12.26,12.38,9300,12.21
2014-04-07,12.32,12.35,12.30,12.34,3600,12.17
2014-04-04,12.32,12.35,12.19,12.25,12000,12.09
2014-04-03,12.29,12.32,12.19,12.32,16400,12.15
2014-04-02,12.32,12.32,12.22,12.22,2900,12.06
2014-04-01,12.32,12.32,12.25,12.27,6000,12.11
2014-03-31,12.26,12.36,12.26,12.31,7500,12.14
2014-03-28,12.42,12.42,12.28,12.35,14200,12.18
2014-03-27,12.29,12.34,12.29,12.34,2600,12.17
2014-03-26,12.32,12.40,12.28,12.30,2300,12.13
2014-03-25,12.40,12.40,12.21,12.23,4700,12.07
2014-03-24,12.37,12.37,12.29,12.32,1400,12.15
2014-03-21,12.35,12.41,12.25,12.28,6700,12.11
2014-03-20,12.32,12.42,12.21,12.26,14700,12.10
2014-03-19,12.52,12.52,12.41,12.41,2700,12.19
2014-03-18,12.52,12.52,12.43,12.45,6600,12.23
2014-03-17,12.38,12.45,12.35,12.43,9700,12.21
2014-03-14,12.27,12.34,12.27,12.31,4100,12.09
2014-03-13,12.44,12.44,12.29,12.34,2600,12.12
2014-03-12,12.24,12.36,12.24,12.35,2500,12.13
2014-03-11,12.26,12.29,12.26,12.29,2000,12.07
2014-03-10,12.20,12.22,12.18,12.19,3600,11.97
2014-03-07,12.33,12.33,12.18,12.20,5300,11.98
2014-03-06,12.49,12.49,12.29,12.29,6900,12.07
2014-03-05,12.58,12.58,12.42,12.42,12800,12.20
2014-03-04,12.59,12.59,12.41,12.50,12000,12.27
2014-03-03,12.51,12.57,12.44,12.57,3500,12.34
2014-02-28,12.44,12.46,12.43,12.45,7400,12.23
2014-02-27,12.44,12.44,12.32,12.36,5800,12.14
2014-02-26,12.35,12.39,12.33,12.39,6600,12.17
2014-02-25,12.35,12.35,12.28,12.34,5100,12.12
2014-02-24,12.30,12.33,12.25,12.32,10000,12.10
2014-02-21,12.25,12.25,12.20,12.24,6400,12.02
2014-02-20,12.16,12.22,12.14,12.18,6400,11.96
2014-02-19,12.15,12.20,12.15,12.18,3400,11.96
2014-02-18,12.24,12.26,12.21,12.23,8100,11.95
2014-02-14,12.09,12.31,12.09,12.15,5700,11.87
2014-02-13,12.23,12.24,12.13,12.14,4700,11.86
2014-02-12,12.26,12.27,12.15,12.15,3200,11.87
2014-02-11,12.21,12.26,12.20,12.26,9900,11.98
2014-02-10,12.21,12.21,12.09,12.16,5100,11.88
2014-02-07,12.07,12.17,12.07,12.17,2700,11.89
2014-02-06,12.04,12.09,12.04,12.09,3100,11.82
2014-02-05,12.14,12.20,11.98,11.98,17700,11.71
2014-02-04,12.22,12.25,12.14,12.15,24700,11.87
2014-02-03,12.14,12.27,12.14,12.23,36000,11.95
2014-01-31,12.15,12.15,12.12,12.15,3300,11.87
2014-01-30,12.15,12.15,12.10,12.12,7300,11.84
2014-01-29,12.25,12.25,12.14,12.14,4900,11.86
2014-01-28,12.25,12.25,12.14,12.23,3500,11.95
2014-01-27,12.20,12.23,12.09,12.21,14500,11.93
2014-01-24,12.19,12.19,12.13,12.13,6300,11.85
2014-01-23,12.11,12.18,12.11,12.12,10400,11.84
2014-01-22,12.04,12.08,12.02,12.03,7600,11.76
2014-01-21,12.16,12.19,12.10,12.10,11000,11.77
2014-01-17,12.07,12.21,12.06,12.07,3900,11.74
2014-01-16,12.12,12.12,12.02,12.02,5800,11.69
2014-01-15,12.20,12.20,12.04,12.04,3100,11.71
2014-01-14,12.16,12.24,12.11,12.20,15500,11.87
2014-01-13,12.13,12.13,12.07,12.12,5400,11.79
2014-01-10,12.02,12.09,11.98,12.09,7800,11.76
2014-01-09,11.95,12.01,11.87,11.88,6300,11.55
2014-01-08,11.89,12.04,11.85,11.99,13200,11.66
2014-01-07,11.81,11.90,11.71,11.90,3900,11.57
2014-01-06,11.76,11.94,11.69,11.72,24500,11.40
2014-01-03,11.63,11.87,11.59,11.79,11000,11.47
2014-01-02,11.70,11.84,11.61,11.67,12200,11.35
2013-12-31,11.70,11.75,11.44,11.66,23200,11.34
2013-12-30,11.76,11.76,11.60,11.62,24800,11.30
2013-12-27,11.65,11.73,11.65,11.71,26600,11.39
2013-12-26,11.84,11.84,11.66,11.67,17800,11.35
2013-12-24,11.68,11.81,11.60,11.75,37600,11.43
2013-12-23,11.77,11.77,11.62,11.73,35700,11.41
2013-12-20,11.59,11.77,11.59,11.68,15500,11.36
2013-12-19,11.66,11.99,11.65,11.65,11700,11.27
2013-12-18,11.52,11.91,11.51,11.72,16200,11.34
2013-12-17,11.19,11.60,11.19,11.54,31600,11.17
2013-12-16,11.15,11.28,11.15,11.18,16400,10.82
2013-12-13,11.15,11.26,11.13,11.15,9700,10.79
2013-12-12,11.24,11.26,11.19,11.25,3200,10.89
2013-12-11,11.28,11.28,11.13,11.15,13100,10.79
2013-12-10,11.15,11.27,11.15,11.20,12300,10.84
2013-12-09,11.42,11.42,11.21,11.21,7500,10.85
2013-12-06,11.28,11.43,11.15,11.34,6800,10.97
2013-12-05,11.35,11.35,11.15,11.17,9200,10.81
2013-12-04,11.28,11.32,11.28,11.29,5800,10.93
2013-12-03,11.35,11.42,11.31,11.37,9000,11.00
2013-12-02,11.33,11.39,11.32,11.32,8900,10.96
2013-11-29,11.36,11.36,11.19,11.33,4300,10.96
2013-11-27,11.33,11.36,11.06,11.35,8300,10.98
2013-11-26,11.32,11.35,11.32,11.33,15700,10.96
2013-11-25,11.30,11.30,11.29,11.29,13000,10.93
2013-11-22,11.28,11.31,11.28,11.29,3500,10.93
2013-11-21,11.33,11.43,11.22,11.34,8300,10.97
2013-11-20,11.39,11.42,11.24,11.37,10200,11.00
2013-11-19,11.54,11.54,11.31,11.37,14200,10.95
2013-11-18,11.55,11.55,11.11,11.48,8400,11.05
2013-11-15,11.47,11.47,11.43,11.47,3000,11.04
2013-11-14,11.31,11.46,11.25,11.42,10300,11.00
2013-11-13,11.25,11.31,11.22,11.29,10700,10.87
2013-11-12,11.34,11.39,11.28,11.30,9300,10.88
2013-11-11,11.38,11.39,11.25,11.37,15200,10.95
2013-11-08,11.62,11.62,11.30,11.47,17600,11.04
2013-11-07,11.53,11.64,11.53,11.64,8100,11.21
2013-11-06,11.59,11.64,11.55,11.55,10800,11.12
2013-11-05,11.67,11.68,11.61,11.62,8400,11.19
2013-11-04,11.78,11.81,11.68,11.81,15100,11.37
2013-11-01,11.92,11.92,11.64,11.69,11100,11.26
2013-10-31,11.92,11.92,11.74,11.74,3200,11.30
2013-10-30,11.85,11.96,11.75,11.84,7000,11.40
