Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,14.99,14.99,14.99,14.99,000,14.99
2014-06-18,14.99,14.99,14.99,14.99,000,14.99
2014-06-17,14.99,14.99,14.99,14.99,000,14.99
2014-06-16,14.99,14.99,14.99,14.99,000,14.99
2014-06-13,14.99,14.99,14.99,14.99,000,14.99
2014-06-12,14.99,14.99,14.99,14.99,000,14.99
2014-06-11,14.99,14.99,14.99,14.99,000,14.99
2014-06-10,14.99,14.99,14.99,14.99,100,14.99
2014-06-09,14.99,14.99,14.99,14.99,000,14.99
2014-06-06,14.99,14.99,14.99,14.99,000,14.99
2014-06-05,14.99,14.99,14.99,14.99,100,14.99
2014-06-04,14.51,14.51,14.51,14.51,000,14.51
2014-06-03,14.51,14.51,14.51,14.51,000,14.51
2014-06-02,14.51,14.51,14.51,14.51,000,14.51
2014-05-30,14.51,14.51,14.51,14.51,100,14.51
2014-05-29,14.52,14.52,14.52,14.52,000,14.52
2014-05-28,14.52,14.52,14.52,14.52,500,14.52
2014-05-27,14.60,14.60,14.60,14.60,000,14.60
2014-05-23,14.90,14.99,14.90,14.99,300,14.99
2014-05-22,14.60,14.60,14.60,14.60,000,14.60
2014-05-21,14.60,14.60,14.60,14.60,000,14.60
2014-05-20,14.60,14.60,14.60,14.60,000,14.60
2014-05-19,14.60,14.60,14.60,14.60,000,14.60
2014-05-16,14.60,14.60,14.60,14.60,000,14.60
2014-05-15,14.51,14.75,14.51,14.60,600,14.60
2014-05-14,14.32,15.00,14.32,14.50,1500,14.50
2014-05-13,15.60,15.60,15.60,15.60,000,15.60
2014-05-12,15.60,15.60,15.60,15.60,000,15.60
2014-05-09,15.60,15.60,15.60,15.60,000,15.60
2014-05-08,15.60,15.60,15.60,15.60,000,15.60
2014-05-07,15.60,15.60,15.60,15.60,000,15.60
2014-05-06,15.60,15.60,15.60,15.60,000,15.60
2014-05-05,15.60,15.60,15.60,15.60,000,15.60
2014-05-02,15.60,15.60,15.60,15.60,000,15.60
2014-05-01,15.60,15.60,15.60,15.60,000,15.60
2014-04-30,15.60,15.60,15.60,15.60,000,15.60
2014-04-29,15.60,15.60,15.60,15.60,000,15.60
2014-04-28,15.60,15.60,15.60,15.60,000,15.60
2014-04-25,15.60,15.60,15.60,15.60,000,15.60
2014-04-24,15.60,15.60,15.60,15.60,000,15.60
2014-04-23,15.60,15.60,15.60,15.60,000,15.60
2014-04-22,15.60,15.60,15.60,15.60,000,15.60
2014-04-21,15.60,15.60,15.60,15.60,000,15.60
2014-04-17,15.60,15.60,15.60,15.60,000,15.60
