Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,22.71,22.85,22.67,22.81,24900,22.81
2014-06-18,22.72,22.83,22.62,22.74,38600,22.74
2014-06-17,22.61,22.96,22.56,22.70,57800,22.70
2014-06-16,22.83,22.95,22.65,22.72,243400,22.72
2014-06-13,22.85,23.07,22.49,22.57,30700,22.57
2014-06-12,22.49,23.06,22.49,22.74,34500,22.74
2014-06-11,22.34,22.65,22.28,22.58,31000,22.58
2014-06-10,22.35,22.49,22.21,22.46,51100,22.46
2014-06-09,22.26,22.49,22.24,22.45,74500,22.45
2014-06-06,22.32,22.45,22.11,22.20,88100,22.20
2014-06-05,21.86,22.40,21.86,22.20,85000,22.20
2014-06-04,21.54,21.94,21.54,21.88,61400,21.88
2014-06-03,21.74,21.81,21.61,21.65,152800,21.65
2014-06-02,21.64,21.91,21.59,21.74,107900,21.74
2014-05-30,21.58,21.65,21.27,21.40,127800,21.40
2014-05-29,21.58,21.63,21.41,21.54,49800,21.54
2014-05-28,21.15,21.65,21.15,21.51,50800,21.51
2014-05-27,21.11,21.35,21.06,21.25,58000,21.25
2014-05-23,20.83,21.11,20.83,20.98,54800,20.98
2014-05-22,20.31,20.86,20.28,20.75,65100,20.75
2014-05-21,20.35,20.72,20.01,20.31,41000,20.31
2014-05-20,20.39,20.58,20.20,20.31,61100,20.31
2014-05-19,20.19,20.56,20.19,20.48,58500,20.48
2014-05-16,20.48,20.48,19.93,20.30,102400,20.30
2014-05-15,20.50,20.74,20.50,20.54,103500,20.54
2014-05-14,20.57,20.76,20.50,20.65,132100,20.58
2014-05-13,20.50,20.80,20.50,20.65,198900,20.58
2014-05-12,20.63,20.71,20.23,20.49,155500,20.43
2014-05-09,20.50,21.02,20.30,20.69,53200,20.62
2014-05-08,21.80,21.84,20.74,20.97,53800,20.90
2014-05-07,21.64,21.79,21.31,21.73,39400,21.66
2014-05-06,21.57,21.93,21.19,21.51,67500,21.44
2014-05-05,21.43,21.78,21.20,21.71,74900,21.64
2014-05-02,21.88,22.10,21.38,21.62,80400,21.55
2014-05-01,21.32,21.79,21.08,21.75,77200,21.68
2014-04-30,21.26,21.46,20.90,21.44,57700,21.37
2014-04-29,20.73,21.41,20.73,21.36,56200,21.29
2014-04-28,21.36,21.36,20.31,20.57,87100,20.51
2014-04-25,22.05,22.05,21.27,21.36,32800,21.29
2014-04-24,21.83,22.07,21.53,22.05,106000,21.98
2014-04-23,22.30,22.30,21.70,21.80,32800,21.73
2014-04-22,22.00,22.41,21.64,22.26,139400,22.19
2014-04-21,22.36,22.75,21.95,22.71,76200,22.64
2014-04-17,22.49,22.63,22.09,22.55,84800,22.48
2014-04-16,22.70,22.81,22.13,22.60,147900,22.53
2014-04-15,22.48,23.34,22.45,23.29,87900,23.22
2014-04-14,22.31,22.42,22.06,22.36,58200,22.29
2014-04-11,22.78,22.78,21.95,22.17,120600,22.10
2014-04-10,23.39,23.39,22.76,22.95,93400,22.88
2014-04-09,23.04,23.48,23.02,23.39,156100,23.32
2014-04-08,23.13,23.47,22.69,22.96,129500,22.89
2014-04-07,23.44,23.53,22.85,23.15,123900,23.08
2014-04-04,23.99,23.99,23.15,23.51,220000,23.44
2014-04-03,23.34,24.52,23.34,23.88,231600,23.80
2014-04-02,23.58,23.85,23.09,23.43,167300,23.36
2014-04-01,23.60,23.60,23.15,23.45,173700,23.38
2014-03-31,22.55,23.91,22.28,23.60,964700,23.53
2014-03-28,22.20,22.65,22.20,22.34,119900,22.27
2014-03-27,22.70,23.11,21.82,22.30,194600,22.23
2014-03-26,22.23,22.91,21.82,22.54,257400,22.47
2014-03-25,21.57,22.13,21.57,22.00,219700,21.93
2014-03-24,21.94,21.97,21.05,21.40,237300,21.33
2014-03-21,22.90,23.23,21.70,21.84,662600,21.77
2014-03-20,23.07,23.25,22.54,22.75,289200,22.68
2014-03-19,23.00,23.25,22.13,23.08,227000,23.01
2014-03-18,23.50,23.50,22.89,22.97,171200,22.90
2014-03-17,23.50,23.87,23.37,23.52,145500,23.45
2014-03-14,23.88,24.31,23.52,23.53,83000,23.46
2014-03-13,23.31,24.29,23.18,23.85,124300,23.77
2014-03-12,22.89,23.35,22.85,23.34,266900,23.20
2014-03-11,23.16,23.18,22.67,23.00,260400,22.86
2014-03-10,23.23,23.58,22.85,23.14,240300,23.00
2014-03-07,23.21,23.92,22.67,23.22,245200,23.08
2014-03-06,22.37,23.34,21.96,23.04,162900,22.90
2014-03-05,22.00,22.50,21.73,22.29,68900,22.16
2014-03-04,22.24,22.30,22.05,22.15,77200,22.02
2014-03-03,21.60,22.50,21.07,22.00,173300,21.87
2014-02-28,20.89,22.46,20.62,21.66,192800,21.53
2014-02-27,20.71,20.90,20.40,20.80,44100,20.68
2014-02-26,20.71,20.87,20.53,20.66,49500,20.54
2014-02-25,20.12,20.89,20.02,20.67,97700,20.55
2014-02-24,20.41,20.41,19.94,20.14,45800,20.02
2014-02-21,19.93,20.50,19.67,20.41,91800,20.29
2014-02-20,20.10,20.25,19.55,19.81,72900,19.69
2014-02-19,20.05,20.27,19.86,20.00,44900,19.88
2014-02-18,20.08,20.11,19.95,20.00,12200,19.88
2014-02-14,19.97,20.00,19.75,19.98,27500,19.86
2014-02-13,20.54,20.54,19.78,19.91,200000,19.79
2014-02-12,20.78,20.78,20.46,20.55,51000,20.43
2014-02-11,20.87,20.87,20.53,20.70,114900,20.58
2014-02-10,20.37,20.89,20.37,20.79,31200,20.67
2014-02-07,20.50,21.00,20.01,20.45,61800,20.33
2014-02-06,19.45,19.99,19.11,19.97,117800,19.85
2014-02-05,19.72,19.72,19.23,19.40,156000,19.29
2014-02-04,19.42,19.89,19.40,19.74,205500,19.62
2014-02-03,19.63,19.90,19.62,19.70,94200,19.58
2014-01-31,19.71,19.82,19.40,19.72,29900,19.60
2014-01-30,20.05,20.19,19.78,19.98,67700,19.86
2014-01-29,19.61,20.04,19.20,19.86,152100,19.74
2014-01-28,19.85,20.20,19.68,19.79,125400,19.67
2014-01-27,19.95,20.04,19.55,19.75,112600,19.63
2014-01-24,20.00,20.12,19.61,19.85,151700,19.73
2014-01-23,19.73,20.17,19.60,19.99,364200,19.87
2014-01-22,19.56,20.03,19.50,19.67,167800,19.55
2014-01-21,19.74,19.98,19.53,19.58,155000,19.46
2014-01-17,19.30,19.64,19.11,19.47,179700,19.35
