Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,50.00,50.13,49.67,49.83,1446900,49.83
2014-06-18,49.49,50.01,49.36,49.98,1323200,49.98
2014-06-17,49.94,50.10,49.28,49.32,1898900,49.32
2014-06-16,49.53,49.91,49.40,49.85,1117200,49.85
2014-06-13,49.71,49.79,49.20,49.44,940500,49.44
2014-06-12,49.79,50.01,49.25,49.49,967400,49.49
2014-06-11,49.69,49.86,49.16,49.61,1168300,49.61
2014-06-10,49.57,49.94,49.24,49.94,1117900,49.94
2014-06-09,49.88,50.08,49.40,49.53,813700,49.53
2014-06-06,50.00,50.12,49.52,49.60,1106000,49.60
2014-06-05,49.25,49.84,48.72,49.82,1221100,49.82
2014-06-04,48.73,49.62,48.64,49.20,1138700,49.20
2014-06-03,48.43,48.99,48.26,48.85,1125700,48.85
2014-06-02,48.25,48.69,47.50,48.55,909100,48.55
2014-05-30,48.01,48.59,47.89,48.18,1213900,48.18
2014-05-29,48.52,48.65,47.64,48.00,1575400,48.00
2014-05-28,48.35,48.58,47.82,48.48,1655900,48.48
2014-05-27,49.10,49.10,48.41,48.43,1444200,48.43
2014-05-23,49.14,49.50,47.83,48.92,3088500,48.92
2014-05-22,47.75,48.42,47.68,48.17,1687100,48.17
2014-05-21,48.09,48.34,47.07,47.56,1530100,47.56
2014-05-20,48.54,48.57,47.60,47.83,1249500,47.83
2014-05-19,48.95,49.12,48.57,48.82,925900,48.82
2014-05-16,48.36,49.00,48.21,49.00,793900,49.00
2014-05-15,48.62,48.62,47.71,48.36,852300,48.36
2014-05-14,48.90,49.18,48.56,48.81,875600,48.81
2014-05-13,49.03,49.63,48.79,48.86,1007900,48.86
2014-05-12,48.18,49.25,48.14,48.69,1172500,48.69
2014-05-09,47.14,47.85,46.83,47.83,914400,47.83
2014-05-08,46.84,48.25,46.80,47.16,1092300,47.16
2014-05-07,46.94,47.23,46.20,46.75,682900,46.75
2014-05-06,47.14,47.21,46.55,46.91,939000,46.91
2014-05-05,47.01,47.59,46.58,47.35,859800,47.35
2014-05-02,46.59,47.65,46.46,47.10,710500,47.10
2014-05-01,46.75,46.99,46.39,46.53,856000,46.53
2014-04-30,46.51,46.61,45.94,46.53,872900,46.53
2014-04-29,46.37,46.68,46.05,46.54,865500,46.54
