Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,12.97,13.14,12.97,13.13,249000,13.13
2014-06-18,12.85,12.97,12.80,12.97,84900,12.97
2014-06-17,12.85,12.92,12.78,12.86,163100,12.86
2014-06-16,12.96,12.99,12.82,12.86,142500,12.86
2014-06-13,13.01,13.01,12.89,12.96,111200,12.96
2014-06-12,13.01,13.03,12.88,12.96,106600,12.96
2014-06-11,13.11,13.20,12.99,13.06,121500,13.06
2014-06-10,13.33,13.34,13.17,13.18,172100,13.18
2014-06-09,13.55,13.58,13.34,13.36,170700,13.36
2014-06-06,13.58,13.61,13.40,13.55,227500,13.55
2014-06-05,13.30,13.60,13.23,13.53,296600,13.53
2014-06-04,13.22,13.34,13.19,13.27,138500,13.27
2014-06-03,13.20,13.39,13.14,13.28,245100,13.28
2014-06-02,13.09,13.24,13.03,13.22,372800,13.22
2014-05-30,13.07,13.14,13.04,13.08,323400,13.08
2014-05-29,13.07,13.14,13.03,13.05,104500,13.05
2014-05-28,13.09,13.16,12.92,13.06,341200,13.06
2014-05-27,13.13,13.16,13.04,13.11,299900,13.11
2014-05-23,12.98,13.11,12.98,13.05,233300,13.05
2014-05-22,12.92,13.12,12.90,12.92,154000,12.92
2014-05-21,12.99,12.99,12.77,12.91,331400,12.91
2014-05-20,13.02,13.10,12.87,12.92,356900,12.92
2014-05-19,13.05,13.07,12.91,13.07,262400,13.07
2014-05-16,13.03,13.08,12.91,13.06,179900,13.06
2014-05-15,12.83,13.01,12.65,12.98,234000,12.98
2014-05-14,13.17,13.17,12.89,12.90,263100,12.90
2014-05-13,13.21,13.52,13.18,13.21,232300,13.21
2014-05-12,13.12,13.26,13.08,13.24,185400,13.24
2014-05-09,12.92,13.13,12.92,13.13,151000,13.13
2014-05-08,12.92,13.06,12.89,13.00,163100,13.00
2014-05-07,12.80,13.02,12.79,12.91,175700,12.91
2014-05-06,12.81,12.93,12.79,12.80,293700,12.80
2014-05-05,12.83,12.88,12.80,12.86,120800,12.86
2014-05-02,12.89,13.05,12.81,12.92,150300,12.92
2014-05-01,13.00,13.05,12.80,13.03,212700,12.88
2014-04-30,13.01,13.03,12.76,13.03,171100,12.88
2014-04-29,13.18,13.20,13.00,13.06,104600,12.91
2014-04-28,13.13,13.20,12.95,13.15,161400,13.00
2014-04-25,12.96,13.15,12.89,13.06,299500,12.91
2014-04-24,12.96,13.04,12.92,13.00,159500,12.85
2014-04-23,12.99,13.05,12.86,12.95,241200,12.80
2014-04-22,12.98,13.04,12.91,13.00,128800,12.85
2014-04-21,12.98,13.10,12.92,12.98,47200,12.83
2014-04-17,13.06,13.10,12.92,13.00,83200,12.85
2014-04-16,13.05,13.12,12.97,13.09,105700,12.94
2014-04-15,12.61,13.05,12.59,12.98,221900,12.83
2014-04-14,12.48,12.66,12.45,12.62,255600,12.47
2014-04-11,12.50,12.61,12.36,12.38,194700,12.24
2014-04-10,12.76,12.90,12.55,12.58,132300,12.44
2014-04-09,12.89,13.00,12.68,12.78,121500,12.63
2014-04-08,12.92,13.04,12.87,12.89,119500,12.74
2014-04-07,12.73,13.00,12.73,12.91,136900,12.76
2014-04-04,13.07,13.10,12.76,12.77,144700,12.62
2014-04-03,13.00,13.04,12.82,13.01,153300,12.86
2014-04-02,12.81,12.99,12.73,12.97,148700,12.82
2014-04-01,12.92,12.95,12.65,12.79,284100,12.64
2014-03-31,12.74,12.94,12.63,12.92,223100,12.77
2014-03-28,12.62,12.75,12.59,12.71,118200,12.56
2014-03-27,12.51,12.71,12.49,12.59,111200,12.45
2014-03-26,12.81,12.82,12.51,12.52,239200,12.38
2014-03-25,12.79,12.80,12.68,12.76,156700,12.61
2014-03-24,12.88,12.90,12.59,12.67,155200,12.52
2014-03-21,12.49,12.94,12.47,12.84,630200,12.69
2014-03-20,12.38,12.47,12.22,12.43,100300,12.29
2014-03-19,12.72,12.75,12.24,12.40,207700,12.26
2014-03-18,12.66,12.75,12.54,12.73,90200,12.58
2014-03-17,12.59,12.67,12.50,12.64,91800,12.49
2014-03-14,12.54,12.67,12.48,12.53,72600,12.39
2014-03-13,12.71,12.77,12.58,12.58,191400,12.44
2014-03-12,12.68,12.78,12.62,12.71,162000,12.56
2014-03-11,12.70,12.81,12.64,12.70,203800,12.55
2014-03-10,12.57,12.75,12.57,12.71,223100,12.56
2014-03-07,12.88,12.88,12.46,12.60,225200,12.45
2014-03-06,13.08,13.08,12.81,12.87,88200,12.72
2014-03-05,13.09,13.09,12.91,13.03,176600,12.88
2014-03-04,12.81,13.13,12.73,13.07,344700,12.92
2014-03-03,12.61,12.72,12.48,12.71,215000,12.56
2014-02-28,12.55,12.81,12.51,12.68,447800,12.53
2014-02-27,12.75,12.83,12.51,12.61,231200,12.46
2014-02-26,12.79,12.89,12.76,12.79,288300,12.64
2014-02-25,12.70,12.86,12.68,12.77,184200,12.62
2014-02-24,12.78,12.91,12.72,12.72,221600,12.57
2014-02-21,12.80,12.81,12.43,12.72,300500,12.57
2014-02-20,12.90,12.95,12.79,12.80,114000,12.65
2014-02-19,12.86,12.98,12.86,12.92,203300,12.77
2014-02-18,12.89,12.93,12.77,12.90,179700,12.75
2014-02-14,12.91,12.91,12.72,12.85,220900,12.70
2014-02-13,12.69,13.00,12.65,12.90,305300,12.75
2014-02-12,12.86,12.86,12.66,12.75,169100,12.60
2014-02-11,12.75,12.89,12.65,12.82,214900,12.67
2014-02-10,12.63,12.81,12.57,12.75,210400,12.60
2014-02-07,12.67,12.78,12.51,12.67,327900,12.52
2014-02-06,12.57,12.78,12.57,12.65,420600,12.50
2014-02-05,12.95,13.01,12.70,12.72,392300,12.43
2014-02-04,12.91,13.05,12.76,13.00,392100,12.70
2014-02-03,13.07,13.09,12.79,12.88,281500,12.58
2014-01-31,12.85,13.06,12.72,13.06,472300,12.76
2014-01-30,12.86,13.03,12.83,12.95,307100,12.65
2014-01-29,12.75,12.84,12.62,12.79,272300,12.49
2014-01-28,12.81,13.01,12.74,12.83,297000,12.53
2014-01-27,12.78,12.89,12.69,12.75,203900,12.45
2014-01-24,12.64,12.84,12.64,12.77,212300,12.47
2014-01-23,12.61,12.74,12.61,12.73,169600,12.44
2014-01-22,12.55,12.66,12.51,12.63,208000,12.34
2014-01-21,12.50,12.60,12.47,12.55,293200,12.26
2014-01-17,12.50,12.61,12.47,12.50,152300,12.21
2014-01-16,12.44,12.58,12.44,12.52,161200,12.23
2014-01-15,12.40,12.55,12.35,12.50,458500,12.21
2014-01-14,12.31,12.45,12.29,12.36,132800,12.07
2014-01-13,12.26,12.37,12.22,12.29,250200,12.01
2014-01-10,12.20,12.35,12.14,12.33,216700,12.04
2014-01-09,12.08,12.21,11.92,12.18,256200,11.90
2014-01-08,11.95,12.10,11.94,12.03,338500,11.75
2014-01-07,11.94,12.06,11.83,11.97,143000,11.69
2014-01-06,11.86,11.96,11.86,11.92,183700,11.64
2014-01-03,11.61,11.83,11.54,11.81,127600,11.54
2014-01-02,11.56,11.62,11.47,11.61,123600,11.34
2013-12-31,11.59,11.75,11.59,11.63,214500,11.36
2013-12-30,11.55,11.62,11.49,11.60,171600,11.33
2013-12-27,11.61,11.61,11.42,11.52,162900,11.25
2013-12-26,11.67,11.74,11.50,11.56,158200,11.29
2013-12-24,11.55,11.74,11.46,11.65,88600,11.38
2013-12-23,11.72,11.80,11.55,11.58,210200,11.31
2013-12-20,11.34,11.66,11.23,11.64,474900,11.37
2013-12-19,11.46,11.48,11.33,11.36,142500,11.10
2013-12-18,11.26,11.53,11.15,11.51,202100,11.24
2013-12-17,11.21,11.33,11.21,11.22,160000,10.96
2013-12-16,11.13,11.27,11.07,11.21,178600,10.95
2013-12-13,11.14,11.35,11.06,11.12,222000,10.86
2013-12-12,11.23,11.28,11.10,11.14,326000,10.88
2013-12-11,11.54,11.55,11.22,11.25,174900,10.99
2013-12-10,11.70,11.81,11.52,11.54,200000,11.27
2013-12-09,11.50,11.73,11.38,11.73,391900,11.46
2013-12-06,11.66,11.67,11.45,11.50,337800,11.23
2013-12-05,11.68,11.71,11.51,11.52,179900,11.25
2013-12-04,12.06,12.06,11.64,11.68,440500,11.41
2013-12-03,11.94,12.00,11.91,11.96,210100,11.68
2013-12-02,11.95,12.00,11.83,11.95,261300,11.67
2013-11-29,12.15,12.16,11.97,12.00,122400,11.72
2013-11-27,12.00,12.16,11.96,12.12,180900,11.84
2013-11-26,11.99,12.06,11.90,11.99,313100,11.71
2013-11-25,11.96,12.04,11.91,11.96,152200,11.68
2013-11-22,11.89,11.99,11.79,11.95,157700,11.67
2013-11-21,11.72,11.91,11.56,11.91,301900,11.63
2013-11-20,11.68,11.80,11.59,11.70,411300,11.43
2013-11-19,11.57,11.68,11.51,11.63,197800,11.36
2013-11-18,11.59,11.74,11.51,11.60,211300,11.33
2013-11-15,11.40,11.55,11.36,11.54,149800,11.27
2013-11-14,11.21,11.44,11.20,11.40,160900,11.14
2013-11-13,11.10,11.18,10.96,11.18,125700,10.92
2013-11-12,11.19,11.20,11.08,11.16,167400,10.90
2013-11-11,11.27,11.33,11.19,11.22,208800,10.96
2013-11-08,11.34,11.34,11.08,11.27,355500,11.01
2013-11-07,11.48,11.55,11.25,11.35,277100,11.09
2013-11-06,11.62,11.62,11.27,11.43,458200,11.17
2013-11-05,11.97,12.04,11.56,11.57,167500,11.30
2013-11-04,12.07,12.18,11.94,12.00,207600,11.72
2013-11-01,12.27,12.43,12.11,12.19,311100,11.76
2013-10-31,12.39,12.45,12.21,12.29,304100,11.86
2013-10-30,12.53,12.53,12.39,12.40,164100,11.96
2013-10-29,12.58,12.58,12.46,12.49,552000,12.05
2013-10-28,12.62,12.64,12.38,12.54,651200,12.10
2013-10-25,12.66,12.85,12.52,12.60,307700,12.16
2013-10-24,12.79,12.82,12.55,12.56,226600,12.12
2013-10-23,12.65,12.81,12.65,12.73,173900,12.28
2013-10-22,12.68,12.83,12.51,12.73,247100,12.28
2013-10-21,12.77,12.77,12.59,12.63,287100,12.19
2013-10-18,12.98,12.98,12.70,12.79,228900,12.34
2013-10-17,12.77,13.01,12.77,12.90,219300,12.45
2013-10-16,12.84,12.90,12.75,12.83,181100,12.38
2013-10-15,12.69,12.85,12.62,12.79,260300,12.34
2013-10-14,12.48,12.71,12.47,12.70,112200,12.25
2013-10-11,12.27,12.54,12.26,12.52,434000,12.08
2013-10-10,12.33,12.39,12.25,12.33,745100,11.90
2013-10-09,12.30,12.36,12.18,12.21,275300,11.78
2013-10-08,12.39,12.45,12.24,12.24,632200,11.81
2013-10-07,12.29,12.48,12.29,12.42,169300,11.98
2013-10-04,12.31,12.45,12.28,12.39,217500,11.95
2013-10-03,12.55,12.60,12.27,12.33,246800,11.90
2013-10-02,12.59,12.71,12.31,12.61,154800,12.17
2013-10-01,12.55,12.78,12.48,12.65,286300,12.20
2013-09-30,12.55,12.68,12.50,12.57,162800,12.13
2013-09-27,12.77,12.85,12.61,12.67,114800,12.22
2013-09-26,12.78,12.88,12.78,12.85,134700,12.40
2013-09-25,12.84,12.91,12.70,12.75,106700,12.30
2013-09-24,13.02,13.02,12.83,12.84,142900,12.39
2013-09-23,12.93,13.01,12.89,13.00,142700,12.54
2013-09-20,13.05,13.05,12.83,12.94,274400,12.48
2013-09-19,12.96,13.05,12.89,13.00,178700,12.54
2013-09-18,12.72,12.98,12.51,12.96,217000,12.50
2013-09-17,12.72,12.84,12.66,12.70,129500,12.25
2013-09-16,12.91,12.93,12.62,12.73,170000,12.28
2013-09-13,12.70,12.81,12.59,12.68,211300,12.23
2013-09-12,12.78,12.78,12.54,12.65,274100,12.20
2013-09-11,12.69,12.82,12.62,12.75,293600,12.30
2013-09-10,12.81,13.00,12.53,12.73,335600,12.28
2013-09-09,12.37,12.82,12.28,12.77,766800,12.32
2013-09-06,12.38,12.51,12.25,12.31,154900,11.88
2013-09-05,12.44,12.45,12.26,12.28,77700,11.85
2013-09-04,12.52,12.52,12.37,12.41,130000,11.97
2013-09-03,12.57,12.75,12.30,12.54,267300,12.10
2013-08-30,12.42,12.52,12.37,12.44,219900,12.00
2013-08-29,12.39,12.50,12.38,12.45,100400,12.01
2013-08-28,12.55,12.80,12.35,12.44,135500,12.00
2013-08-27,12.51,12.73,12.48,12.59,151500,12.15
2013-08-26,12.65,12.71,12.56,12.67,166900,12.22
2013-08-23,12.51,12.69,12.43,12.66,156000,12.21
2013-08-22,12.37,12.55,12.29,12.49,236500,12.05
2013-08-21,12.33,12.48,12.19,12.30,398200,11.87
2013-08-20,12.27,12.57,12.27,12.41,339000,11.97
2013-08-19,12.37,12.42,12.25,12.26,604000,11.83
2013-08-16,12.53,12.54,12.31,12.40,303100,11.96
2013-08-15,12.59,12.66,12.36,12.61,213500,12.17
2013-08-14,12.82,12.83,12.68,12.75,94200,12.30
2013-08-13,12.99,12.99,12.75,12.84,146200,12.39
2013-08-12,12.97,13.03,12.78,13.01,151900,12.55
2013-08-09,12.92,13.23,12.59,13.01,496700,12.55
2013-08-08,13.30,13.30,13.00,13.00,113000,12.54
2013-08-07,13.10,13.34,13.02,13.17,242000,12.71
2013-08-06,13.24,13.28,13.10,13.15,128300,12.69
2013-08-05,13.17,13.39,13.17,13.33,103800,12.86
2013-08-02,13.35,13.35,13.15,13.19,115300,12.73
2013-08-01,13.70,13.70,13.47,13.49,356000,12.87
2013-07-31,13.98,14.04,13.49,13.57,373800,12.95
2013-07-30,14.35,14.39,13.92,13.96,311800,13.32
2013-07-29,14.30,14.45,14.22,14.27,335500,13.61
2013-07-26,14.25,14.63,14.15,14.31,305900,13.65
2013-07-25,14.20,14.52,14.17,14.37,324100,13.71
2013-07-24,14.49,14.54,14.06,14.27,289000,13.61
2013-07-23,14.37,14.54,14.24,14.53,277900,13.86
2013-07-22,14.28,14.40,14.17,14.40,409700,13.74
2013-07-19,14.32,14.41,14.23,14.31,156600,13.65
2013-07-18,14.31,14.55,14.31,14.37,280800,13.71
2013-07-17,14.29,14.37,14.20,14.32,151900,13.66
2013-07-16,14.28,14.41,14.19,14.25,140200,13.60
2013-07-15,14.22,14.47,14.10,14.31,205100,13.65
2013-07-12,14.17,14.20,14.04,14.16,153900,13.51
2013-07-11,14.00,14.25,13.92,14.20,208800,13.55
2013-07-10,13.83,13.90,13.65,13.87,308100,13.23
2013-07-09,13.65,13.94,13.63,13.90,303700,13.26
2013-07-08,13.37,13.80,13.32,13.63,367200,13.00
2013-07-05,13.25,13.37,12.90,13.37,311400,12.76
2013-07-03,13.24,13.24,13.04,13.18,173000,12.57
2013-07-02,13.07,13.33,13.02,13.33,264200,12.72
2013-07-01,13.16,13.19,12.91,13.12,391300,12.52
2013-06-28,13.17,13.26,13.06,13.06,577200,12.46
2013-06-27,13.00,13.22,12.93,13.18,282900,12.57
2013-06-26,12.61,12.99,12.61,12.90,335800,12.31
2013-06-25,12.28,12.68,12.21,12.55,712500,11.97
2013-06-24,12.61,12.63,12.11,12.22,640800,11.66
2013-06-21,12.94,12.95,12.43,12.75,806900,12.16
2013-06-20,13.10,13.13,12.82,12.90,543600,12.31
2013-06-19,13.64,13.70,13.21,13.28,248600,12.67
2013-06-18,13.47,13.72,13.34,13.66,253900,13.03
2013-06-17,13.50,13.52,13.33,13.42,283000,12.80
2013-06-14,13.36,13.52,13.30,13.39,608600,12.78
2013-06-13,13.02,13.41,12.89,13.37,534600,12.76
2013-06-12,13.38,13.38,12.71,12.76,332600,12.17
2013-06-11,13.24,13.37,13.07,13.26,263800,12.65
2013-06-10,13.59,13.67,13.37,13.46,278800,12.84
2013-06-07,13.64,13.97,13.45,13.62,508500,12.99
2013-06-06,13.55,13.94,13.50,13.94,386000,13.30
2013-06-05,13.66,13.73,13.44,13.55,296800,12.93
2013-06-04,14.32,14.32,13.62,13.65,433600,13.02
2013-06-03,13.68,13.84,13.36,13.84,568100,13.20
2013-05-31,14.06,14.15,13.63,13.68,1209200,13.05
2013-05-30,14.18,14.33,14.05,14.06,291800,13.41
2013-05-29,14.30,14.30,13.87,14.13,546400,13.48
2013-05-28,14.41,14.56,14.24,14.38,894400,13.72
2013-05-24,14.40,14.50,14.23,14.26,405600,13.61
2013-05-23,14.49,14.52,14.20,14.43,776400,13.77
2013-05-22,15.00,15.05,14.54,14.56,779300,13.89
2013-05-21,15.00,15.19,14.90,14.98,3971000,14.29
2013-05-20,15.46,15.64,15.19,15.19,441400,14.49
2013-05-17,15.61,15.69,15.36,15.50,217500,14.79
2013-05-16,15.71,15.77,15.48,15.53,125000,14.82
2013-05-15,15.70,15.78,15.60,15.70,241700,14.98
2013-05-14,15.81,15.86,15.65,15.74,149800,15.02
2013-05-13,15.60,15.77,15.58,15.75,134600,15.03
2013-05-10,15.67,15.78,15.63,15.66,86600,14.94
2013-05-09,15.75,15.75,15.63,15.64,129700,14.92
2013-05-08,15.63,15.88,15.63,15.80,248000,15.07
2013-05-07,15.75,15.83,15.66,15.74,237000,15.02
2013-05-06,15.61,15.81,15.49,15.76,152800,15.04
2013-05-03,15.83,16.03,15.65,15.66,148800,14.94
2013-05-02,15.63,15.85,15.49,15.71,131800,14.99
2013-05-01,15.95,16.00,15.58,15.64,277200,14.78
2013-04-30,15.76,16.03,15.74,16.00,188300,15.12
2013-04-29,15.43,15.81,15.43,15.79,225700,14.92
2013-04-26,15.88,16.08,15.51,15.74,282000,14.87
2013-04-25,16.00,16.05,15.87,15.89,168100,15.01
2013-04-24,16.09,16.11,15.90,16.01,274100,15.13
2013-04-23,16.07,16.13,15.91,16.05,293500,15.17
2013-04-22,15.67,16.00,15.35,15.99,236200,15.11
2013-04-19,15.27,15.71,15.15,15.61,229300,14.75
2013-04-18,15.09,15.39,15.02,15.31,274000,14.47
2013-04-17,15.20,15.27,14.86,15.03,928400,14.20
