Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,36.02,36.17,35.63,35.91,78400,35.91
2014-06-18,35.55,35.98,35.11,35.73,67500,35.73
2014-06-17,33.92,35.86,33.86,35.55,158300,35.55
2014-06-16,33.32,34.36,32.60,33.81,143400,33.81
2014-06-13,34.12,34.25,33.44,33.66,32600,33.66
2014-06-12,34.51,34.61,33.73,33.98,34600,33.98
2014-06-11,34.77,34.94,34.55,34.70,108300,34.70
2014-06-10,34.87,35.04,32.55,34.95,41600,34.95
2014-06-09,34.06,35.11,33.79,34.84,46400,34.84
2014-06-06,33.50,34.10,33.16,34.09,50100,34.09
2014-06-05,33.02,33.45,32.25,33.45,67600,33.45
2014-06-04,32.75,33.39,32.58,32.78,49600,32.78
2014-06-03,32.67,34.48,32.60,32.63,135900,32.63
2014-06-02,31.68,33.64,31.18,32.55,166900,32.55
2014-05-30,31.57,32.00,31.50,31.71,40400,31.71
2014-05-29,31.71,31.98,31.13,31.42,20700,31.42
2014-05-28,31.77,31.91,31.18,31.72,24500,31.72
2014-05-27,31.60,32.00,31.59,31.93,31100,31.93
2014-05-23,30.47,31.47,30.36,31.44,36900,31.44
2014-05-22,30.66,30.66,29.98,30.42,19600,30.42
2014-05-21,30.54,30.75,29.84,30.17,36800,30.17
2014-05-20,30.89,30.89,30.00,30.04,47200,30.04
2014-05-19,30.65,31.37,30.65,31.14,19100,31.14
2014-05-16,30.00,30.79,29.91,30.79,35100,30.79
2014-05-15,30.58,31.32,30.03,30.11,34100,30.11
2014-05-14,31.89,32.06,30.61,30.61,47200,30.61
2014-05-13,32.19,32.47,31.50,31.91,64300,31.91
2014-05-12,31.66,32.50,31.41,32.46,64300,32.37
2014-05-09,31.06,31.80,31.02,31.57,30000,31.48
2014-05-08,32.14,32.48,31.31,31.39,96600,31.30
2014-05-07,30.84,32.25,30.84,32.17,63900,32.08
2014-05-06,30.92,31.48,30.84,30.84,57500,30.75
2014-05-05,30.78,31.65,30.78,31.15,29100,31.06
2014-05-02,31.01,31.49,30.99,31.02,32300,30.93
2014-05-01,31.11,31.11,30.29,30.93,62200,30.84
2014-04-30,30.20,31.24,30.03,31.05,62400,30.96
2014-04-29,31.12,31.17,30.09,30.23,24500,30.15
2014-04-28,30.70,31.43,30.33,30.82,25500,30.73
2014-04-25,30.63,31.06,30.43,30.44,60800,30.36
2014-04-24,30.77,31.45,30.15,31.11,38700,31.02
2014-04-23,30.51,31.25,30.29,30.39,30000,30.31
2014-04-22,31.00,31.25,30.51,30.68,21400,30.59
2014-04-21,31.73,31.73,30.75,31.02,21300,30.93
