Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,10.60,10.91,10.60,10.85,6099900,10.85
2014-06-18,10.56,10.69,10.52,10.67,2939300,10.67
2014-06-17,10.65,10.66,10.51,10.62,3393300,10.62
2014-06-16,10.70,10.76,10.66,10.70,3027200,10.70
2014-06-13,10.67,10.76,10.58,10.75,3077400,10.75
2014-06-12,10.72,10.79,10.66,10.73,3632400,10.73
2014-06-11,10.71,10.78,10.67,10.75,4109100,10.75
2014-06-10,10.82,10.87,10.66,10.77,4655400,10.77
2014-06-09,10.91,10.99,10.76,10.83,6419100,10.83
2014-06-06,10.91,11.00,10.91,10.97,16706600,10.97
2014-06-05,10.82,10.99,10.80,10.98,21282900,10.98
2014-06-04,10.75,10.88,10.71,10.88,11613500,10.88
2014-06-03,10.79,10.91,10.75,10.88,14153300,10.82
2014-06-02,10.65,10.99,10.65,10.91,53461000,10.85
2014-05-30,9.84,9.98,9.72,9.95,1449900,9.90
2014-05-29,9.60,9.84,9.60,9.79,1324700,9.74
2014-05-28,9.53,9.78,9.49,9.65,1221400,9.60
2014-05-27,9.55,9.70,9.44,9.55,1105900,9.50
2014-05-23,9.58,9.73,9.53,9.56,691100,9.51
2014-05-22,9.65,9.74,9.52,9.63,924400,9.58
2014-05-21,9.49,9.76,9.48,9.68,1493700,9.63
2014-05-20,9.79,9.84,9.45,9.50,1915300,9.45
2014-05-19,9.82,9.95,9.75,9.78,1523400,9.73
2014-05-16,9.72,9.98,9.72,9.90,1133300,9.85
2014-05-15,9.90,9.90,9.72,9.80,1114900,9.75
2014-05-14,9.91,9.98,9.75,9.79,1055200,9.74
2014-05-13,9.80,9.99,9.80,9.91,1107700,9.86
2014-05-12,9.95,10.03,9.75,9.83,2244800,9.78
2014-05-09,10.04,10.11,10.03,10.05,749200,10.00
2014-05-08,10.20,10.20,10.07,10.09,477800,10.04
2014-05-07,10.29,10.29,10.14,10.18,524900,10.13
2014-05-06,10.21,10.31,10.20,10.20,573900,10.15
2014-05-05,10.35,10.47,10.11,10.23,1362600,10.12
2014-05-02,10.35,10.98,10.15,10.92,1721000,10.80
2014-05-01,10.35,10.44,10.33,10.40,1007400,10.29
2014-04-30,10.36,10.42,10.36,10.41,762400,10.30
2014-04-29,10.40,10.44,10.37,10.42,1196100,10.31
2014-04-28,10.33,10.47,10.33,10.42,1509300,10.31
2014-04-25,10.32,10.39,10.32,10.39,505100,10.28
2014-04-24,10.31,10.48,10.30,10.39,1457900,10.28
2014-04-23,10.32,10.37,10.28,10.37,878100,10.26
2014-04-22,10.25,10.36,10.25,10.32,1251100,10.21
2014-04-21,10.25,10.30,10.25,10.30,1127100,10.19
2014-04-17,10.18,10.30,10.17,10.30,1548000,10.19
2014-04-16,10.25,10.25,10.15,10.20,1152600,10.09
2014-04-15,10.30,10.37,10.17,10.20,1309900,10.09
2014-04-14,10.26,10.40,10.19,10.34,1498800,10.23
2014-04-11,10.21,10.40,10.15,10.40,1018800,10.29
2014-04-10,10.12,10.45,10.12,10.37,1215900,10.26
2014-04-09,10.20,10.21,10.00,10.12,1457400,10.01
2014-04-08,10.29,10.50,10.20,10.24,1765000,10.13
2014-04-07,10.50,10.70,10.25,10.55,1560200,10.44
