Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,35.96,36.53,35.96,36.46,138500,36.46
2014-06-18,35.68,36.03,35.36,35.75,188300,35.75
2014-06-17,35.78,36.47,35.34,35.76,219700,35.76
2014-06-16,35.86,35.98,35.49,35.94,205600,35.94
2014-06-13,36.02,36.46,35.63,35.86,92600,35.86
2014-06-12,36.86,36.86,35.58,35.88,253000,35.88
2014-06-11,37.87,37.87,36.84,36.90,163700,36.90
2014-06-10,38.25,38.36,37.32,38.03,107900,38.03
2014-06-09,37.57,38.63,37.57,38.40,154200,38.40
2014-06-06,38.45,38.94,37.53,37.66,139800,37.66
2014-06-05,36.00,38.58,35.93,38.16,356900,38.16
2014-06-04,34.58,36.09,34.56,35.58,219000,35.58
2014-06-03,34.65,35.41,34.21,34.80,254700,34.80
2014-06-02,34.71,35.02,33.61,34.83,279500,34.83
2014-05-30,34.27,34.73,34.02,34.65,230600,34.65
2014-05-29,33.84,34.25,33.36,34.17,256400,34.17
2014-05-28,34.31,34.48,33.47,33.77,262700,33.77
2014-05-27,34.36,34.56,33.51,34.33,185900,34.33
2014-05-23,33.90,34.05,33.75,33.92,209900,33.92
2014-05-22,34.20,34.28,33.50,33.99,162600,33.99
2014-05-21,34.91,35.10,33.90,34.20,112900,34.20
2014-05-20,35.46,35.62,34.59,34.76,294000,34.76
2014-05-19,35.15,36.37,35.02,35.50,189600,35.50
2014-05-16,34.69,35.46,34.46,35.41,148600,35.41
2014-05-15,34.58,35.00,34.27,34.74,191900,34.74
2014-05-14,34.86,35.43,34.42,34.83,275700,34.83
2014-05-13,35.67,35.72,34.88,34.96,341600,34.96
2014-05-12,34.82,36.03,34.82,35.61,361300,35.61
2014-05-09,34.71,34.92,34.12,34.63,204600,34.63
2014-05-08,35.46,36.24,34.78,34.85,187500,34.85
2014-05-07,35.48,35.59,34.35,35.43,312000,35.43
2014-05-06,35.86,36.52,35.30,35.48,187300,35.48
2014-05-05,37.28,37.28,35.35,36.15,551700,36.15
2014-05-02,37.91,37.91,36.85,37.67,425000,37.67
2014-05-01,38.07,38.64,36.81,37.87,500200,37.87
2014-04-30,37.69,38.83,37.13,38.55,297900,38.55
2014-04-29,38.59,38.95,37.80,37.94,183200,37.94
2014-04-28,38.99,39.17,37.51,38.28,212600,38.28
2014-04-25,39.38,39.65,38.49,38.69,175100,38.69
2014-04-24,39.92,40.00,38.82,39.62,191200,39.62
2014-04-23,40.27,40.27,39.18,39.59,190600,39.59
2014-04-22,38.69,40.74,38.69,40.28,191600,40.28
2014-04-21,38.16,38.78,37.81,38.67,92400,38.67
2014-04-17,38.03,38.70,37.92,38.02,210000,38.02
2014-04-16,38.36,39.03,37.93,38.00,273800,38.00
2014-04-15,38.08,38.78,37.49,38.05,291800,38.05
2014-04-14,38.08,38.79,37.64,37.94,213100,37.94
2014-04-11,37.78,38.20,37.27,37.61,182500,37.61
