Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,3.85,4.15,3.85,4.09,2200,4.09
2014-06-18,3.85,4.35,3.85,4.35,2400,4.35
2014-06-17,4.09,4.35,4.09,4.12,8100,4.12
2014-06-16,3.86,4.15,3.86,4.10,8200,4.10
2014-06-13,4.20,4.20,3.90,3.90,6600,3.90
2014-06-12,3.91,4.45,3.91,4.19,8000,4.19
2014-06-11,3.85,4.13,3.74,4.01,15800,4.01
2014-06-10,3.73,4.05,3.73,3.85,8200,3.85
2014-06-09,3.73,4.14,3.73,3.80,6100,3.80
2014-06-06,3.72,4.13,3.55,3.64,20400,3.64
2014-06-05,3.72,3.72,3.72,3.72,300,3.72
2014-06-04,3.72,3.72,3.72,3.72,000,3.72
2014-06-03,3.83,3.98,3.66,3.72,5300,3.72
2014-06-02,4.06,4.06,4.04,4.04,1600,4.04
2014-05-30,4.06,4.06,4.06,4.06,200,4.06
2014-05-29,4.12,4.23,4.06,4.15,1100,4.15
2014-05-28,4.38,4.38,4.04,4.11,9400,4.11
2014-05-27,4.62,4.62,4.40,4.50,5500,4.50
2014-05-23,4.99,4.99,4.37,4.52,11300,4.52
2014-05-22,4.20,5.35,4.18,4.51,106700,4.51
2014-05-21,3.68,4.80,3.68,4.12,35600,4.12
2014-05-20,3.86,3.86,3.61,3.61,900,3.61
2014-05-19,3.78,3.78,3.78,3.78,000,3.78
2014-05-16,3.97,3.97,3.75,3.78,1100,3.78
2014-05-15,4.03,4.03,4.03,4.03,000,4.03
2014-05-14,4.01,4.03,4.01,4.03,200,4.03
2014-05-13,4.13,4.13,4.13,4.13,000,4.13
2014-05-12,4.14,4.21,4.10,4.13,1500,4.13
2014-05-09,3.95,3.95,3.95,3.95,1200,3.95
2014-05-08,4.05,4.05,4.05,4.05,000,4.05
2014-05-07,4.05,4.05,4.05,4.05,1400,4.05
2014-05-06,4.36,4.36,3.97,4.16,1900,4.16
2014-05-05,4.49,4.49,4.49,4.49,300,4.49
2014-05-02,4.46,4.50,4.46,4.49,1000,4.49
2014-05-01,4.36,4.36,4.36,4.36,000,4.36
2014-04-30,3.60,4.36,3.49,4.36,11500,4.36
2014-04-29,3.95,3.95,3.64,3.71,800,3.71
2014-04-28,4.15,4.15,3.91,3.91,1900,3.91
2014-04-25,4.40,4.49,4.30,4.30,5700,4.30
2014-04-24,4.44,4.44,4.44,4.44,000,4.44
2014-04-23,4.50,4.50,4.30,4.44,1300,4.44
2014-04-22,4.30,4.49,4.29,4.29,2300,4.29
2014-04-21,4.33,4.33,4.33,4.33,000,4.33
2014-04-17,4.34,4.68,4.32,4.33,1100,4.33
2014-04-16,4.81,4.81,4.37,4.49,3400,4.49
2014-04-15,4.73,4.84,4.73,4.84,1400,4.84
2014-04-14,5.06,5.06,4.47,4.71,3500,4.71
2014-04-11,5.13,5.13,5.13,5.13,000,5.13
2014-04-10,4.82,5.13,4.82,5.13,900,5.13
2014-04-09,5.25,5.25,5.25,5.25,100,5.25
2014-04-08,5.28,5.28,5.28,5.28,200,5.28
2014-04-07,5.04,5.04,5.04,5.04,000,5.04
2014-04-04,5.04,5.04,5.04,5.04,000,5.04
2014-04-03,5.04,5.04,5.04,5.04,700,5.04
2014-04-02,5.10,5.10,5.10,5.10,200,5.10
2014-04-01,4.99,5.11,4.99,5.11,600,5.11
2014-03-31,5.06,5.15,5.00,5.15,1800,5.15
2014-03-28,4.99,5.07,4.99,5.01,1400,5.01
2014-03-27,5.05,5.12,5.05,5.12,500,5.12
2014-03-26,5.32,5.38,5.15,5.27,3500,5.27
2014-03-25,5.15,5.15,5.15,5.15,000,5.15
2014-03-24,5.15,5.15,5.15,5.15,000,5.15
2014-03-21,5.15,5.15,5.15,5.15,000,5.15
2014-03-20,5.08,5.32,5.05,5.15,2600,5.15
2014-03-19,5.39,5.39,5.13,5.15,2900,5.15
2014-03-18,5.14,5.55,5.14,5.35,5000,5.35
2014-03-17,5.43,5.43,5.43,5.43,000,5.43
2014-03-14,5.43,5.43,5.43,5.43,000,5.43
2014-03-13,5.41,5.43,5.37,5.43,700,5.43
2014-03-12,5.38,5.65,5.38,5.65,200,5.65
2014-03-11,5.65,5.65,5.59,5.61,1400,5.61
2014-03-10,5.58,5.58,5.58,5.58,000,5.58
2014-03-07,5.99,5.99,5.40,5.58,1300,5.58
2014-03-06,5.40,5.69,5.40,5.69,2500,5.69
2014-03-05,5.51,5.80,5.51,5.78,600,5.78
2014-03-04,5.70,5.70,5.70,5.70,000,5.70
2014-03-03,5.51,5.70,5.51,5.70,500,5.70
2014-02-28,5.72,5.72,5.52,5.54,5500,5.54
2014-02-27,5.50,5.89,5.50,5.50,700,5.50
2014-02-26,5.35,5.35,5.35,5.35,000,5.35
2014-02-25,5.35,5.40,5.30,5.35,1000,5.35
2014-02-24,5.29,5.29,5.29,5.29,200,5.29
2014-02-21,5.52,5.52,5.29,5.29,4200,5.29
2014-02-20,5.58,5.64,5.50,5.50,2600,5.50
2014-02-19,5.68,5.69,5.57,5.57,2400,5.57
2014-02-18,5.63,5.72,5.63,5.72,1600,5.72
2014-02-14,5.60,5.65,5.50,5.64,1900,5.64
2014-02-13,5.64,5.81,5.60,5.76,2600,5.76
2014-02-12,5.65,5.96,5.51,5.87,1000,5.79
2014-02-11,5.58,6.01,5.58,5.85,9200,5.77
2014-02-10,6.54,6.54,5.60,5.70,13800,5.62
2014-02-07,5.95,5.95,5.54,5.77,6700,5.69
2014-02-06,6.01,6.10,5.85,5.85,2600,5.77
2014-02-05,6.28,6.32,5.91,5.96,7100,5.88
2014-02-04,6.21,6.49,5.90,6.27,14100,6.18
2014-02-03,5.82,5.98,5.64,5.84,14700,5.76
2014-01-31,5.89,5.98,5.55,5.68,14800,5.60
2014-01-30,6.08,6.08,6.08,6.08,100,6.00
2014-01-29,6.12,6.12,6.00,6.00,6300,5.92
2014-01-28,6.16,6.16,6.16,6.16,000,6.08
2014-01-27,6.92,6.92,6.05,6.16,5700,6.08
2014-01-24,6.59,6.59,6.20,6.20,800,6.12
2014-01-23,6.76,6.80,6.48,6.65,10200,6.56
2014-01-22,6.80,7.30,6.54,6.86,49600,6.77
2014-01-21,6.80,6.80,6.52,6.55,6500,6.46
2014-01-17,5.89,7.27,5.89,6.72,55500,6.63
2014-01-16,6.20,6.20,5.95,6.18,2600,6.10
2014-01-15,6.00,6.23,6.00,6.20,4600,6.12
2014-01-14,5.81,6.30,5.60,6.20,28700,6.12
2014-01-13,6.05,6.24,5.77,5.85,5100,5.77
2014-01-10,5.81,6.04,5.80,6.04,500,5.96
2014-01-09,5.65,5.94,5.65,5.94,1700,5.86
2014-01-08,5.80,6.02,5.80,5.89,700,5.81
2014-01-07,5.55,5.88,5.55,5.80,4400,5.72
2014-01-06,5.60,5.60,5.55,5.55,2400,5.47
2014-01-03,5.61,5.61,5.59,5.59,600,5.51
2014-01-02,5.70,5.70,5.67,5.67,400,5.59
2013-12-31,5.44,5.76,5.44,5.75,4200,5.67
2013-12-30,6.10,6.10,5.85,5.85,6300,5.77
2013-12-27,6.01,6.01,6.01,6.01,2700,5.93
2013-12-26,6.02,6.02,6.00,6.01,1500,5.93
2013-12-24,6.26,6.26,6.02,6.03,1700,5.95
2013-12-23,6.38,6.45,6.18,6.18,4100,6.10
2013-12-20,6.10,6.47,5.95,6.47,13600,6.38
2013-12-19,6.00,6.20,5.81,5.92,1500,5.84
2013-12-18,6.30,6.33,5.85,6.33,3000,6.24
2013-12-17,6.17,6.49,6.17,6.49,300,6.40
2013-12-16,6.04,6.11,5.67,6.11,4600,6.03
2013-12-13,6.17,6.17,6.05,6.11,2200,6.03
2013-12-12,6.47,6.47,6.00,6.20,2300,6.12
2013-12-11,6.47,6.48,6.47,6.48,1700,6.39
2013-12-10,6.47,6.53,6.47,6.47,2400,6.38
2013-12-09,6.49,6.49,6.48,6.48,700,6.39
2013-12-06,6.49,6.80,6.15,6.72,11800,6.63
2013-12-05,6.10,6.50,6.02,6.27,19900,6.18
2013-12-04,5.90,6.30,5.90,6.05,2800,5.97
2013-12-03,6.21,6.21,5.85,5.90,4400,5.82
2013-12-02,6.70,6.76,6.21,6.21,12000,6.13
2013-11-29,6.12,7.00,6.10,6.61,17200,6.52
2013-11-27,6.25,6.80,6.15,6.17,8500,6.09
2013-11-26,5.86,6.25,5.85,6.17,7600,6.09
2013-11-25,6.17,6.25,5.75,5.75,6100,5.67
2013-11-22,6.20,6.40,6.10,6.17,1800,6.09
2013-11-21,6.42,6.71,6.01,6.07,4400,5.99
2013-11-20,7.15,7.15,6.31,6.48,2300,6.39
2013-11-19,6.89,7.50,6.53,6.77,6800,6.68
2013-11-18,6.21,7.86,6.21,7.04,55400,6.94
2013-11-15,5.72,6.34,5.51,6.27,7800,6.18
2013-11-14,5.32,5.59,5.32,5.59,300,5.51
2013-11-13,5.24,5.70,5.24,5.67,6700,5.59
2013-11-12,5.75,5.75,5.16,5.16,1700,5.09
2013-11-11,5.50,5.60,5.50,5.54,1000,5.46
2013-11-08,5.43,5.99,5.43,5.46,1400,5.39
2013-11-07,5.68,5.90,5.36,5.51,3400,5.43
2013-11-06,5.19,5.91,5.18,5.61,2700,5.53
2013-11-05,5.19,5.19,5.18,5.18,600,5.11
2013-11-04,5.19,5.19,5.19,5.19,200,5.12
2013-11-01,5.40,5.40,5.00,5.10,5000,5.03
2013-10-31,5.78,5.78,5.37,5.44,3000,5.37
2013-10-30,5.78,5.79,5.45,5.78,6300,5.70
2013-10-29,5.74,5.80,5.65,5.80,5400,5.72
2013-10-28,6.35,6.40,5.87,5.91,9900,5.83
2013-10-25,6.60,6.65,6.50,6.53,10500,6.44
2013-10-24,6.85,6.85,6.63,6.81,1600,6.72
2013-10-23,6.98,6.98,6.55,6.68,15000,6.59
2013-10-22,6.89,6.89,6.89,6.89,000,6.80
2013-10-21,6.91,6.97,6.66,6.89,8400,6.80
2013-10-18,6.73,6.99,6.61,6.83,4400,6.74
2013-10-17,7.03,7.03,6.73,6.73,4300,6.64
2013-10-16,7.13,7.15,6.56,6.96,4700,6.87
2013-10-15,7.15,7.15,7.15,7.15,500,7.05
2013-10-14,7.21,7.60,7.21,7.35,2200,7.25
2013-10-11,7.72,7.72,7.11,7.13,1800,7.03
2013-10-10,7.15,7.53,7.06,7.06,2000,6.96
2013-10-09,7.00,7.09,6.70,7.00,5300,6.90
2013-10-08,7.17,7.17,6.67,6.87,2100,6.78
2013-10-07,7.10,7.10,6.51,6.81,1400,6.72
2013-10-04,6.63,6.95,6.51,6.95,6000,6.86
2013-10-03,7.08,7.08,6.40,6.70,7500,6.61
2013-10-02,6.70,6.98,6.56,6.93,4300,6.84
2013-10-01,6.55,7.08,6.49,6.54,5800,6.45
2013-09-30,6.50,6.70,6.31,6.50,2300,6.41
2013-09-27,6.90,7.00,6.37,6.53,2800,6.44
2013-09-26,7.00,7.09,6.69,6.80,2000,6.71
2013-09-25,6.75,7.00,6.75,6.92,8500,6.83
2013-09-24,6.77,7.14,6.25,6.80,9800,6.71
2013-09-23,6.63,7.00,6.52,6.53,10500,6.44
2013-09-20,6.71,7.20,6.64,6.70,18900,6.61
2013-09-19,6.90,7.27,6.56,6.63,15300,6.54
2013-09-18,7.35,7.59,6.88,7.02,22200,6.92
2013-09-17,7.76,7.78,7.10,7.42,18700,7.32
2013-09-16,7.82,7.82,7.58,7.81,15500,7.70
2013-09-13,7.70,7.96,7.67,7.70,27300,7.60
2013-09-12,8.08,8.12,7.51,7.56,38600,7.46
2013-09-11,8.31,8.31,7.81,7.92,24700,7.81
2013-09-10,8.30,9.43,7.84,8.30,112100,8.19
2013-09-09,7.20,8.48,7.17,8.30,149100,8.19
2013-09-06,6.29,7.35,6.29,7.15,59100,7.05
2013-09-05,5.50,6.38,5.50,6.32,33300,6.23
2013-09-04,5.19,5.50,5.19,5.50,6500,5.43
2013-09-03,5.50,5.71,5.25,5.30,9400,5.23
2013-08-30,5.66,6.20,5.50,5.90,7500,5.82
2013-08-29,6.00,6.38,5.46,5.77,15300,5.69
2013-08-28,5.02,5.95,5.01,5.72,30700,5.64
2013-08-27,5.55,5.59,5.11,5.21,12500,5.14
2013-08-26,5.10,5.10,5.03,5.04,2400,4.97
2013-08-23,4.87,5.16,4.82,4.85,3600,4.78
2013-08-22,5.06,5.06,4.83,4.83,4500,4.76
2013-08-21,5.11,5.35,5.00,5.07,11600,5.00
2013-08-20,5.12,5.28,5.05,5.12,12600,5.05
2013-08-19,5.78,5.78,5.06,5.20,47900,5.13
2013-08-16,5.31,6.07,5.31,6.05,6300,5.97
2013-08-15,5.11,5.50,5.05,5.30,7200,5.23
2013-08-14,6.22,6.30,5.95,6.17,4900,6.09
2013-08-13,6.29,6.60,6.21,6.22,23000,6.14
2013-08-12,6.64,7.19,6.20,6.47,33500,6.38
2013-08-09,6.65,7.40,6.50,6.90,68000,6.81
2013-08-08,6.36,8.24,5.60,6.80,185600,6.71
2013-08-07,9.28,9.50,6.01,6.99,210300,6.89
2013-08-06,4.57,8.50,4.57,8.40,326700,8.29
2013-08-05,3.82,4.97,3.82,4.52,8700,4.46
2013-08-02,4.50,4.50,4.50,4.50,000,4.44
2013-08-01,4.25,4.53,4.25,4.50,3600,4.44
2013-07-31,4.35,4.35,4.35,4.35,000,4.29
2013-07-30,4.45,4.49,4.35,4.35,1900,4.29
2013-07-29,4.00,4.46,4.00,4.46,300,4.40
2013-07-26,4.21,4.21,4.21,4.21,000,4.15
2013-07-25,4.21,4.21,4.21,4.21,000,4.15
2013-07-24,4.21,4.21,4.21,4.21,1000,4.15
2013-07-23,4.15,4.15,4.15,4.15,000,4.09
2013-07-22,4.15,4.15,4.15,4.15,000,4.09
