Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,12.48,12.74,12.48,12.55,1042200,12.55
2014-06-18,12.37,12.62,12.37,12.49,911800,12.49
2014-06-17,12.16,12.52,12.16,12.43,770400,12.43
2014-06-16,12.15,12.38,12.09,12.14,963800,12.14
2014-06-13,12.28,12.29,12.16,12.18,585200,12.18
2014-06-12,12.25,12.31,12.06,12.21,1072300,12.21
2014-06-11,12.26,12.43,12.24,12.26,779400,12.26
2014-06-10,12.20,12.44,12.19,12.26,993200,12.26
2014-06-09,11.98,12.37,11.92,12.18,1217400,12.18
2014-06-06,11.81,11.99,11.77,11.94,599700,11.94
2014-06-05,11.66,11.85,11.65,11.74,385400,11.74
2014-06-04,11.62,11.73,11.39,11.65,381100,11.65
2014-06-03,11.69,11.74,11.58,11.67,245400,11.67
2014-06-02,11.81,11.81,11.56,11.69,799400,11.69
2014-05-30,11.98,12.05,11.80,11.84,786400,11.84
2014-05-29,12.06,12.07,11.92,11.94,606200,11.94
2014-05-28,11.87,12.05,11.84,11.98,435200,11.98
2014-05-27,11.80,11.95,11.78,11.89,760400,11.89
2014-05-23,11.65,11.77,11.59,11.71,301000,11.71
2014-05-22,11.62,11.72,11.52,11.60,338700,11.60
2014-05-21,11.46,11.69,11.45,11.65,303500,11.65
2014-05-20,11.70,11.75,11.31,11.47,371500,11.47
2014-05-19,11.72,11.80,11.64,11.76,294000,11.76
2014-05-16,11.62,11.93,11.62,11.79,356500,11.79
2014-05-15,11.64,11.80,11.51,11.69,442000,11.39
2014-05-14,11.61,11.81,11.44,11.49,321600,11.20
2014-05-13,11.55,11.82,11.29,11.57,340400,11.27
2014-05-12,10.79,11.63,10.60,11.57,321300,11.27
2014-05-09,11.41,11.56,11.40,11.54,197900,11.24
2014-05-08,11.37,11.50,11.21,11.45,241100,11.16
2014-05-07,11.50,11.52,11.17,11.43,246800,11.14
2014-05-06,11.69,11.69,11.20,11.52,558300,11.22
2014-05-05,11.70,11.77,11.66,11.75,93800,11.45
2014-05-02,11.73,11.83,11.59,11.76,125700,11.46
2014-05-01,11.65,11.72,11.50,11.69,144200,11.39
2014-04-30,11.43,11.69,11.35,11.66,161600,11.36
2014-04-29,11.53,11.63,11.45,11.49,134300,11.20
2014-04-28,11.60,11.69,11.40,11.45,227900,11.16
2014-04-25,11.95,12.06,11.57,11.59,464800,11.29
2014-04-24,12.04,12.05,11.93,12.01,131700,11.70
2014-04-23,12.05,12.09,11.95,12.00,181500,11.69
2014-04-22,12.12,12.28,12.05,12.10,296300,11.79
2014-04-21,12.03,12.22,11.99,12.06,110200,11.75
2014-04-17,12.14,12.17,11.99,12.06,187800,11.75
2014-04-16,11.69,12.24,11.69,12.19,487400,11.88
2014-04-15,11.62,11.83,11.56,11.60,292700,11.30
2014-04-14,11.84,11.84,11.49,11.63,222100,11.33
2014-04-11,12.08,12.24,11.63,11.71,246000,11.41
2014-04-10,12.02,12.49,11.96,12.20,1964400,11.89
2014-04-09,12.07,12.16,11.86,11.99,432400,11.68
2014-04-08,11.95,12.21,11.95,12.07,214300,11.76
2014-04-07,12.02,12.15,11.87,11.90,194100,11.59
2014-04-04,12.40,12.54,12.04,12.10,243900,11.79
2014-04-03,12.46,12.53,12.30,12.36,135200,12.04
2014-04-02,12.46,12.48,12.31,12.43,152000,12.11
2014-04-01,12.22,12.47,12.16,12.40,359400,12.08
2014-03-31,11.97,12.45,11.93,12.23,422400,11.92
2014-03-28,12.20,12.39,11.93,11.96,273300,11.65
2014-03-27,12.22,12.33,12.08,12.21,170900,11.90
2014-03-26,12.43,12.48,12.18,12.19,157700,11.88
2014-03-25,12.39,12.54,12.24,12.35,254400,12.03
2014-03-24,12.56,12.57,12.14,12.36,500800,12.04
2014-03-21,13.01,13.01,12.36,12.45,3485800,12.13
2014-03-20,12.86,13.06,12.83,12.90,347900,12.57
2014-03-19,13.02,13.25,12.73,12.84,478400,12.51
2014-03-18,12.98,13.16,12.92,13.07,493300,12.73
2014-03-17,12.87,13.18,12.78,13.00,349000,12.67
2014-03-14,12.76,13.07,12.71,12.77,285900,12.44
2014-03-13,12.96,13.01,12.64,12.82,390300,12.49
2014-03-12,12.64,12.92,12.64,12.90,317900,12.57
2014-03-11,12.52,13.16,12.51,12.73,716100,12.40
2014-03-10,11.81,12.59,11.81,12.50,1488800,12.18
2014-03-07,11.69,11.91,11.58,11.87,712700,11.57
2014-03-06,11.43,11.75,11.35,11.60,251400,11.30
2014-03-05,11.47,11.56,11.33,11.45,103000,11.16
2014-03-04,11.38,11.68,11.29,11.51,269000,11.21
2014-03-03,11.30,11.36,11.11,11.25,143000,10.96
2014-02-28,11.49,11.54,11.21,11.35,182500,11.06
2014-02-27,11.37,11.46,11.32,11.45,132800,11.16
2014-02-26,11.44,11.63,11.37,11.42,151300,11.13
2014-02-25,11.50,11.59,11.25,11.40,123700,11.11
2014-02-24,11.30,11.58,11.25,11.50,207800,11.20
2014-02-21,11.39,11.50,11.27,11.32,104200,11.03
2014-02-20,11.22,11.39,11.14,11.37,176000,11.08
2014-02-19,11.38,11.48,11.11,11.17,185000,10.88
2014-02-18,11.39,11.57,11.31,11.46,223100,11.17
2014-02-14,11.51,11.51,11.23,11.41,135000,11.12
2014-02-13,11.16,11.53,11.10,11.50,112000,11.20
2014-02-12,11.41,11.43,11.17,11.21,161100,10.92
2014-02-11,11.31,11.44,11.21,11.36,143500,11.07
2014-02-10,11.51,11.51,11.22,11.32,239500,11.03
2014-02-07,11.31,11.55,11.13,11.47,294700,11.18
2014-02-06,11.69,11.84,11.49,11.54,207700,11.24
2014-02-05,11.60,11.72,11.50,11.62,168400,11.32
2014-02-04,11.78,11.87,11.61,11.64,130200,11.34
2014-02-03,11.88,12.00,11.66,11.75,374200,11.45
2014-01-31,11.74,11.96,11.51,11.88,212300,11.58
2014-01-30,11.14,12.00,11.14,11.94,1073100,11.63
2014-01-29,11.30,11.46,11.07,11.09,135300,10.81
2014-01-28,11.25,11.37,11.09,11.36,149100,11.07
2014-01-27,11.38,11.56,11.17,11.19,171900,10.90
2014-01-24,11.38,11.53,11.13,11.32,226900,11.03
2014-01-23,11.38,11.60,11.38,11.45,500500,11.16
2014-01-22,11.37,11.53,11.25,11.41,247000,11.12
2014-01-21,11.40,11.43,11.21,11.30,135300,11.01
2014-01-17,11.33,11.38,11.25,11.33,181800,11.04
2014-01-16,11.31,11.41,11.16,11.29,138700,11.00
2014-01-15,11.50,11.60,11.26,11.36,133700,11.07
2014-01-14,11.55,11.60,11.35,11.50,120000,11.20
2014-01-13,11.66,11.79,11.40,11.51,152500,11.21
2014-01-10,11.71,11.85,11.40,11.63,137800,11.33
2014-01-09,11.65,11.88,11.59,11.67,92900,11.37
2014-01-08,11.77,11.77,11.40,11.55,226400,11.25
2014-01-07,11.76,11.91,11.72,11.75,163200,11.45
2014-01-06,11.88,12.00,11.70,11.76,142700,11.46
2014-01-03,12.05,12.05,11.82,11.86,80600,11.56
2014-01-02,11.85,12.00,11.83,11.99,167100,11.68
2013-12-31,11.81,11.93,11.74,11.85,162700,11.55
2013-12-30,11.88,11.96,11.75,11.78,99600,11.48
2013-12-27,11.79,11.95,11.75,11.85,99600,11.55
2013-12-26,11.64,11.87,11.64,11.81,95800,11.51
2013-12-24,11.56,11.76,11.44,11.62,110500,11.32
2013-12-23,11.46,11.57,11.32,11.51,144700,11.21
2013-12-20,11.29,11.46,11.25,11.36,252700,11.07
2013-12-19,11.27,11.46,11.26,11.27,94700,10.98
2013-12-18,11.14,11.36,10.94,11.28,172500,10.99
2013-12-17,11.22,11.31,10.99,11.09,150800,10.81
2013-12-16,11.14,11.44,11.14,11.19,176900,10.90
2013-12-13,10.99,11.26,10.99,11.11,219600,10.82
2013-12-12,10.86,11.28,10.63,10.93,253400,10.65
2013-12-11,11.36,11.39,11.14,11.24,137400,10.95
2013-12-10,11.52,11.54,11.32,11.32,131500,11.03
2013-12-09,11.67,11.72,11.49,11.52,206400,11.22
2013-12-06,11.80,11.87,11.49,11.60,218000,11.30
2013-12-05,11.85,11.88,11.67,11.73,136000,11.43
2013-12-04,11.75,12.00,11.60,11.85,829800,11.55
2013-12-03,11.74,11.86,11.50,11.82,307300,11.52
2013-12-02,12.00,12.00,11.57,11.76,178800,11.46
2013-11-29,12.09,12.14,11.83,12.00,182900,11.69
2013-11-27,11.57,12.00,11.47,12.00,348600,11.69
2013-11-26,11.07,11.55,11.02,11.53,208200,11.23
2013-11-25,11.45,11.70,11.06,11.09,219400,10.81
2013-11-22,11.44,11.55,11.12,11.45,364900,11.16
2013-11-21,11.08,11.59,11.08,11.45,222000,11.16
2013-11-20,11.32,11.32,10.94,11.01,154800,10.73
2013-11-19,11.35,11.50,11.18,11.26,131000,10.97
2013-11-18,11.41,11.57,11.23,11.32,98200,11.03
2013-11-15,11.33,11.62,11.33,11.41,188200,11.12
2013-11-14,11.01,11.32,11.01,11.28,128600,10.99
2013-11-13,11.00,11.13,10.97,11.04,338900,10.76
2013-11-12,11.10,11.18,10.92,11.05,89500,10.77
2013-11-11,10.98,11.18,10.87,11.11,180600,10.82
2013-11-08,10.54,11.01,10.53,10.97,169000,10.69
2013-11-07,10.73,10.73,10.46,10.54,100300,10.27
2013-11-06,10.68,10.79,10.46,10.66,156000,10.39
2013-11-05,10.80,10.92,10.60,10.63,140600,10.36
2013-11-04,10.76,10.86,10.72,10.83,135000,10.55
