Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,58.92,59.52,58.76,59.50,761700,59.50
2014-06-18,58.35,58.82,58.04,58.76,712000,58.76
2014-06-17,58.17,58.65,57.86,58.43,1215700,58.43
2014-06-16,58.09,58.68,58.01,58.23,804600,58.23
2014-06-13,57.82,58.45,57.76,58.15,646200,58.15
2014-06-12,58.11,58.22,57.62,57.76,997600,57.76
2014-06-11,57.27,58.44,57.10,58.10,1075100,58.10
2014-06-10,57.99,58.33,57.54,57.61,766400,57.61
2014-06-09,57.80,58.23,57.46,58.22,819100,58.22
2014-06-06,57.52,58.05,57.52,57.78,624900,57.78
2014-06-05,57.41,57.63,56.66,57.51,593200,57.51
2014-06-04,57.00,57.37,56.70,57.23,557900,57.23
2014-06-03,57.30,57.76,57.08,57.16,705300,57.16
2014-06-02,56.93,58.04,56.39,57.63,1214200,57.63
2014-05-30,56.73,56.85,56.25,56.58,934000,56.58
2014-05-29,56.96,56.96,56.16,56.73,566000,56.73
2014-05-28,56.81,56.92,56.03,56.66,913700,56.66
2014-05-27,57.82,57.82,56.45,56.66,995700,56.66
2014-05-23,56.85,57.56,56.84,57.39,940700,57.39
2014-05-22,56.10,56.85,55.84,56.78,1083700,56.78
2014-05-21,55.88,56.23,55.52,55.98,745300,55.98
2014-05-20,56.34,56.40,55.11,55.52,1602100,55.52
2014-05-19,56.05,56.70,55.77,56.53,1021600,56.53
2014-05-16,55.77,56.08,55.46,56.02,517500,56.02
2014-05-15,56.24,56.24,54.66,55.62,1123300,55.62
2014-05-14,57.02,57.10,56.37,56.44,516900,56.44
2014-05-13,57.16,57.33,56.50,57.17,670800,57.17
2014-05-12,56.88,57.76,56.58,57.16,492300,57.16
2014-05-09,56.26,56.67,56.02,56.57,536700,56.57
2014-05-08,56.44,57.57,56.07,56.40,1785500,56.40
2014-05-07,56.02,56.53,54.97,56.51,1845900,56.51
2014-05-06,56.54,56.54,55.87,55.88,1478700,55.88
2014-05-05,55.69,56.61,55.08,56.54,890600,56.54
2014-05-02,56.60,56.76,55.99,56.07,1301100,56.07
2014-05-01,56.42,58.54,55.34,56.58,2222300,56.58
2014-04-30,56.61,57.21,56.46,57.15,1249500,57.15
2014-04-29,56.07,57.03,55.88,56.83,1205100,56.83
2014-04-28,56.00,56.33,55.01,55.85,1171800,55.85
2014-04-25,56.24,56.24,55.49,55.83,916600,55.83
2014-04-24,56.49,56.51,55.70,56.30,777300,56.30
2014-04-23,57.15,57.30,56.19,56.19,847100,56.19
2014-04-22,55.93,57.39,55.92,57.08,1238500,57.08
2014-04-21,55.96,56.06,55.61,56.00,610500,56.00
2014-04-17,55.71,56.12,55.49,55.95,1034400,55.95
2014-04-16,55.81,56.10,55.47,55.85,1076600,55.85
2014-04-15,55.09,55.96,54.25,55.43,1245800,55.43
2014-04-14,55.52,55.64,54.42,54.85,1001900,54.85
2014-04-11,55.21,56.07,54.87,54.89,1189200,54.89
2014-04-10,57.17,57.69,55.53,55.71,1457200,55.71
2014-04-09,56.36,57.36,55.89,57.30,1212300,57.30
2014-04-08,55.87,56.61,55.40,56.02,2097000,56.02
2014-04-07,57.95,58.17,54.87,55.64,3379100,55.64
2014-04-04,59.94,60.45,58.34,58.46,1316300,58.46
2014-04-03,60.48,60.55,58.80,59.24,1416000,59.24
2014-04-02,60.31,60.55,59.97,60.37,732800,60.37
2014-04-01,59.95,60.17,59.25,60.09,1476800,60.09
2014-03-31,59.27,59.90,58.81,59.83,969800,59.83
2014-03-28,58.91,59.47,58.71,58.79,1110400,58.79
2014-03-27,58.21,58.75,57.81,58.62,1451000,58.62
2014-03-26,59.43,59.58,58.22,58.22,1519100,58.22
2014-03-25,59.82,60.24,59.06,59.25,1356500,59.25
2014-03-24,61.40,61.95,59.49,59.50,2038700,59.50
2014-03-21,61.23,62.52,60.95,61.41,3993700,61.41
2014-03-20,60.77,61.50,60.58,61.28,1306500,61.28
2014-03-19,61.61,62.15,60.51,60.89,1572300,60.89
2014-03-18,61.53,62.10,61.43,61.50,1912400,61.50
2014-03-17,61.41,62.04,61.22,61.52,1142200,61.52
2014-03-14,60.22,61.33,60.00,61.02,1271000,61.02
2014-03-13,60.32,61.08,60.17,60.43,1852300,60.43
2014-03-12,61.08,61.15,59.97,60.16,8322500,60.16
2014-03-11,62.46,62.46,61.06,61.11,3572200,61.11
2014-03-10,62.37,62.52,61.87,62.27,781600,62.27
2014-03-07,63.00,63.18,62.22,62.53,760100,62.53
2014-03-06,62.31,63.00,62.22,62.71,916700,62.71
2014-03-05,62.44,62.60,61.81,62.16,599800,62.16
2014-03-04,62.02,62.95,61.70,62.44,1110200,62.44
2014-03-03,60.75,61.21,60.35,60.96,859400,60.96
2014-02-28,61.67,62.84,61.15,61.47,1394900,61.47
2014-02-27,61.04,62.06,60.88,61.64,1113100,61.64
2014-02-26,61.65,61.80,60.79,61.04,1394400,61.04
2014-02-25,62.21,62.24,61.37,61.38,991400,61.38
2014-02-24,61.87,62.33,61.85,62.06,1463600,62.06
2014-02-21,62.18,62.54,61.76,61.79,1279500,61.79
2014-02-20,61.99,62.51,61.75,62.14,973200,62.14
2014-02-19,61.98,62.94,61.67,62.01,1858200,62.01
2014-02-18,60.46,62.11,60.23,62.00,1519800,62.00
2014-02-14,59.32,60.23,58.97,60.10,1645800,60.10
2014-02-13,60.34,61.05,58.43,59.70,3618100,59.70
2014-02-12,61.78,61.89,61.15,61.57,1186800,61.57
2014-02-11,60.68,61.93,60.42,61.78,1088400,61.78
2014-02-10,59.93,60.63,59.74,60.43,631400,60.43
2014-02-07,59.80,60.24,59.23,59.94,565700,59.94
2014-02-06,57.93,59.61,57.69,59.41,1096800,59.41
2014-02-05,58.20,58.33,57.15,57.63,1266400,57.63
2014-02-04,57.93,58.87,57.59,58.50,1059200,58.50
2014-02-03,60.26,60.35,57.29,57.60,1890900,57.60
2014-01-31,60.24,61.04,60.13,60.45,808300,60.45
2014-01-30,60.62,61.67,60.32,61.13,701100,61.13
2014-01-29,60.35,60.97,59.58,59.74,616200,59.74
2014-01-28,60.05,61.40,60.04,61.18,847900,61.18
2014-01-27,60.50,60.76,59.48,59.91,1112300,59.91
2014-01-24,61.96,62.10,60.35,60.42,887200,60.42
2014-01-23,63.22,63.32,62.00,62.16,973700,62.16
2014-01-22,62.83,63.56,62.40,63.51,590200,63.51
2014-01-21,63.00,63.20,62.00,62.57,834200,62.57
2014-01-17,63.15,63.34,62.34,62.61,974000,62.61
2014-01-16,63.23,63.72,62.80,63.27,729800,63.27
2014-01-15,63.11,63.58,62.78,63.29,1589900,63.29
2014-01-14,61.05,64.01,60.11,62.79,2976900,62.79
2014-01-13,62.56,62.56,60.96,60.97,1521800,60.97
2014-01-10,59.96,62.08,59.83,62.06,1630500,62.06
2014-01-09,60.47,60.59,59.37,59.43,1132900,59.43
2014-01-08,61.26,61.58,60.00,60.27,1632100,60.27
2014-01-07,60.87,61.44,60.32,61.26,1372200,61.26
2014-01-06,60.20,60.34,59.35,59.63,794600,59.63
2014-01-03,60.24,60.46,59.29,59.86,923500,59.86
2014-01-02,61.17,61.22,59.91,60.28,669000,60.28
2013-12-31,60.80,61.42,60.66,61.35,481200,61.35
2013-12-30,60.59,60.83,60.12,60.61,523600,60.61
2013-12-27,61.05,61.31,60.60,60.67,478100,60.67
2013-12-26,60.65,60.94,60.36,60.88,506900,60.88
2013-12-24,59.90,60.65,59.82,60.27,195800,60.27
2013-12-23,60.05,60.29,59.61,60.02,484200,60.02
2013-12-20,59.02,59.90,58.55,59.78,3061400,59.78
2013-12-19,59.13,59.30,58.55,58.69,580900,58.69
2013-12-18,58.57,59.35,57.45,59.27,1076500,59.27
2013-12-17,58.87,58.87,57.90,58.18,967600,58.18
2013-12-16,57.75,58.35,57.51,58.17,813000,58.17
2013-12-13,56.96,57.61,56.55,57.32,653400,57.32
2013-12-12,57.34,57.57,56.89,56.95,1252400,56.95
2013-12-11,58.04,58.15,57.22,57.48,904800,57.48
2013-12-10,57.53,58.17,57.21,58.04,900200,58.04
2013-12-09,57.21,57.55,56.89,57.47,797300,57.47
2013-12-06,57.34,57.67,56.94,57.13,644000,57.13
2013-12-05,55.91,56.72,55.55,56.68,741100,56.68
2013-12-04,55.66,56.31,55.17,56.08,666100,56.08
2013-12-03,55.77,56.15,55.57,55.93,842800,55.93
2013-12-02,56.16,56.51,55.56,56.03,912000,56.03
2013-11-29,56.41,56.84,56.24,56.24,286700,56.24
2013-11-27,57.16,57.16,56.14,56.20,616800,56.20
2013-11-26,55.97,57.19,55.97,57.00,858700,57.00
2013-11-25,56.11,56.35,55.63,56.02,656100,56.02
2013-11-22,55.00,56.10,54.93,56.02,1150400,56.02
2013-11-21,54.64,55.28,54.38,55.05,1055400,55.05
2013-11-20,54.58,55.35,54.35,54.47,755600,54.47
2013-11-19,54.73,55.15,54.43,54.61,576400,54.61
2013-11-18,55.43,55.78,54.71,54.79,866500,54.79
2013-11-15,55.15,55.45,54.61,55.40,702000,55.40
2013-11-14,55.21,55.42,54.86,54.90,796300,54.90
2013-11-13,54.28,55.17,54.28,55.12,629000,55.12
2013-11-12,54.59,54.98,54.27,54.70,720900,54.70
2013-11-11,55.06,55.06,54.12,54.62,523400,54.62
2013-11-08,53.70,54.32,53.35,54.28,603100,54.28
2013-11-07,55.20,55.47,53.52,53.68,875100,53.68
2013-11-06,55.70,56.08,54.62,54.94,755000,54.94
2013-11-05,55.09,56.00,54.76,55.52,911900,55.52
2013-11-04,54.97,55.53,54.83,55.47,653300,55.47
2013-11-01,55.46,55.91,54.50,54.93,717700,54.93
2013-10-31,53.03,56.23,53.03,55.36,1972300,55.36
2013-10-30,52.93,53.24,52.04,52.22,839600,52.22
2013-10-29,52.87,53.05,52.35,52.86,586800,52.86
2013-10-28,52.52,52.96,52.43,52.86,757700,52.86
2013-10-25,52.28,52.62,52.00,52.43,603200,52.43
2013-10-24,52.85,53.07,51.76,52.01,1416800,52.01
2013-10-23,52.25,52.96,52.25,52.64,1331800,52.64
2013-10-22,51.79,52.49,51.64,52.48,1235000,52.48
2013-10-21,51.32,51.64,50.95,51.55,887200,51.55
2013-10-18,49.96,51.08,49.73,51.08,1376400,51.08
2013-10-17,48.64,49.93,48.60,49.90,938000,49.90
2013-10-16,48.13,48.89,47.80,48.86,871600,48.86
2013-10-15,48.16,48.53,47.58,47.83,1112200,47.83
2013-10-14,48.40,48.67,47.96,48.65,578800,48.65
2013-10-11,47.82,48.75,47.66,48.69,854500,48.69
2013-10-10,47.21,47.83,47.15,47.83,1324200,47.83
2013-10-09,47.02,47.24,46.33,46.74,976600,46.74
2013-10-08,48.34,48.93,46.85,46.87,1501100,46.87
2013-10-07,48.20,48.83,48.13,48.44,1268700,48.44
2013-10-04,48.11,48.95,47.93,48.76,1242100,48.76
2013-10-03,48.70,48.82,47.59,47.95,1547000,47.95
2013-10-02,48.84,49.30,48.65,48.76,1126100,48.76
2013-10-01,48.24,49.37,48.15,49.11,1413400,49.11
2013-09-30,47.96,48.78,47.58,48.40,1706000,48.40
2013-09-27,48.16,48.54,47.85,48.51,1038600,48.51
2013-09-26,48.88,49.00,48.07,48.35,1168200,48.35
2013-09-25,49.64,49.64,48.33,48.65,1351200,48.65
2013-09-24,49.40,50.05,49.02,49.66,1174200,49.66
2013-09-23,49.36,49.44,48.43,49.05,1006600,49.05
2013-09-20,50.00,50.08,49.20,49.61,1629200,49.61
2013-09-19,49.30,50.10,49.16,50.01,1138100,50.01
2013-09-18,48.55,49.46,48.38,49.14,969000,49.14
2013-09-17,47.58,48.84,47.58,48.56,1360000,48.56
2013-09-16,48.28,48.29,47.57,47.62,571100,47.62
2013-09-13,47.61,47.79,47.36,47.61,722400,47.61
2013-09-12,47.27,47.70,46.93,47.54,1029400,47.54
2013-09-11,47.75,47.75,47.09,47.23,851800,47.23
2013-09-10,47.94,47.98,47.29,47.57,1027100,47.57
2013-09-09,47.58,47.81,47.32,47.64,1774400,47.64
2013-09-06,47.10,47.82,47.00,47.48,1933700,47.48
2013-09-05,47.02,47.65,46.70,47.00,11990700,47.00
2013-09-04,46.41,47.47,45.72,47.21,2989200,47.21
2013-09-03,44.23,47.67,44.23,47.43,5152600,47.43
2013-08-30,43.64,43.64,42.88,42.95,577000,42.95
2013-08-29,43.27,43.95,43.19,43.54,501300,43.54
2013-08-28,43.60,43.69,43.09,43.27,581400,43.27
2013-08-27,44.41,44.64,43.54,43.64,885100,43.64
2013-08-26,45.08,45.46,44.91,44.99,256800,44.99
2013-08-23,45.06,45.18,44.73,44.99,367800,44.99
2013-08-22,44.68,45.32,44.57,45.00,696800,45.00
2013-08-21,45.05,45.18,44.60,44.64,688100,44.64
2013-08-20,45.22,45.43,45.00,45.18,707300,45.18
2013-08-19,45.64,45.71,44.92,45.14,810500,45.14
2013-08-16,45.84,46.22,45.61,45.71,404500,45.71
2013-08-15,46.29,46.53,45.70,45.91,658000,45.91
2013-08-14,47.54,47.68,46.86,46.96,442700,46.96
2013-08-13,47.40,47.59,47.10,47.50,872200,47.50
2013-08-12,47.29,47.69,47.18,47.29,643600,47.29
2013-08-09,47.42,47.55,46.92,47.48,477000,47.48
2013-08-08,47.41,47.52,46.86,47.39,635000,47.39
2013-08-07,46.32,47.21,46.04,47.11,1148700,47.11
2013-08-06,46.96,47.20,46.24,46.67,1134700,46.67
2013-08-05,46.50,47.07,46.50,47.07,543500,47.07
2013-08-02,44.46,46.75,44.46,46.61,465300,46.61
2013-08-01,45.81,47.07,45.77,46.66,1168300,46.66
2013-07-31,45.36,45.87,45.29,45.47,785000,45.47
2013-07-30,45.19,45.52,45.05,45.26,735400,45.26
2013-07-29,45.15,45.36,44.95,45.12,554600,45.12
2013-07-26,44.98,45.47,44.98,45.32,1370000,45.32
2013-07-25,44.75,45.91,43.12,45.31,1902400,45.31
2013-07-24,45.30,45.39,44.77,45.03,791300,45.03
2013-07-23,45.46,45.55,44.85,45.16,720500,45.16
2013-07-22,45.02,45.65,45.02,45.53,882600,45.53
2013-07-19,45.18,45.34,44.79,45.07,735600,45.07
2013-07-18,44.91,45.36,44.91,45.18,609700,45.18
2013-07-17,45.20,45.43,44.82,44.84,659500,44.84
2013-07-16,45.88,46.09,44.95,45.13,1267200,45.13
2013-07-15,45.84,46.14,45.72,45.85,974600,45.85
2013-07-12,46.03,46.17,45.64,45.81,726500,45.81
2013-07-11,45.85,46.21,45.39,46.11,963300,46.11
2013-07-10,45.45,45.81,45.12,45.32,791900,45.32
2013-07-09,45.32,46.10,45.00,45.50,1095000,45.50
2013-07-08,44.74,45.52,44.68,45.06,1823000,45.06
2013-07-05,44.17,44.47,43.67,44.45,709700,44.45
2013-07-03,43.75,44.12,43.61,43.78,463900,43.78
2013-07-02,44.05,44.29,43.53,43.78,1351200,43.78
2013-07-01,43.98,44.71,43.97,44.14,645400,44.14
2013-06-28,43.58,44.20,43.33,43.75,1833400,43.75
2013-06-27,43.67,44.15,43.66,43.75,830100,43.75
2013-06-26,43.36,43.75,43.29,43.48,811400,43.48
