Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,14.57,14.70,14.57,14.68,53900,14.68
2014-06-18,14.47,14.58,14.44,14.50,110700,14.50
2014-06-17,14.44,14.45,14.36,14.37,70400,14.37
2014-06-16,14.52,14.55,14.37,14.37,52200,14.37
2014-06-13,14.38,14.83,14.37,14.46,133200,14.46
2014-06-12,14.56,14.59,14.31,14.31,82800,14.31
2014-06-11,14.48,14.50,14.35,14.45,116900,14.45
2014-06-10,14.38,14.66,14.38,14.62,72600,14.36
2014-06-09,14.40,14.40,14.28,14.34,44800,14.09
2014-06-06,14.34,14.44,14.34,14.38,36500,14.13
2014-06-05,14.25,14.39,14.25,14.36,41400,14.11
2014-06-04,14.25,14.31,14.22,14.28,35100,14.03
2014-06-03,14.23,14.30,14.21,14.25,31900,14.00
2014-06-02,14.22,14.28,14.16,14.22,33000,13.97
2014-05-30,14.21,14.26,14.14,14.26,60100,14.01
2014-05-29,14.15,14.22,14.05,14.21,48500,13.96
2014-05-28,14.16,14.19,14.11,14.14,43700,13.89
2014-05-27,14.20,14.21,14.16,14.20,63900,13.95
2014-05-23,14.09,14.20,14.09,14.19,18700,13.94
2014-05-22,14.05,14.20,14.01,14.08,93400,13.83
2014-05-21,14.20,14.29,13.95,14.04,90500,13.79
2014-05-20,14.06,14.14,14.03,14.12,26000,13.87
2014-05-19,14.14,14.14,14.02,14.10,45500,13.85
2014-05-16,14.06,14.17,14.01,14.16,40900,13.91
2014-05-15,14.07,14.08,13.90,14.05,65000,13.80
2014-05-14,14.10,14.12,14.06,14.12,41300,13.87
2014-05-13,14.02,14.13,14.00,14.10,38500,13.85
2014-05-12,13.95,14.05,13.92,14.01,80600,13.76
2014-05-09,13.90,13.94,13.87,13.93,52700,13.68
2014-05-08,14.31,14.31,13.81,13.86,187800,13.61
2014-05-07,14.13,14.31,14.13,14.31,41100,14.06
2014-05-06,14.08,14.21,14.06,14.14,31000,13.89
2014-05-05,14.20,14.24,14.02,14.15,54100,13.90
2014-05-02,14.19,14.31,14.16,14.22,49700,13.97
2014-05-01,14.11,14.28,14.05,14.14,56900,13.89
2014-04-30,14.10,14.42,14.10,14.17,57900,13.92
2014-04-29,14.03,14.22,13.96,14.14,46700,13.89
2014-04-28,13.86,14.09,13.84,14.03,32900,13.78
2014-04-25,13.80,14.00,13.80,13.84,32200,13.59
2014-04-24,13.89,14.07,13.82,13.83,43800,13.58
2014-04-23,13.70,14.00,13.70,13.84,82300,13.59
2014-04-22,13.67,13.96,13.64,13.70,48100,13.46
2014-04-21,13.56,13.84,13.56,13.66,38600,13.42
2014-04-17,13.72,13.85,13.59,13.60,50700,13.36
2014-04-16,13.48,13.71,13.45,13.67,36500,13.43
2014-04-15,13.39,13.65,13.29,13.42,100200,13.18
2014-04-14,13.43,13.71,13.29,13.31,111800,13.07
2014-04-11,13.42,13.58,13.33,13.33,63100,13.09
2014-04-10,13.61,13.85,13.46,13.46,109000,13.22
2014-04-09,13.50,13.62,13.48,13.62,72200,13.38
2014-04-08,13.53,13.56,13.42,13.48,49100,13.24
2014-04-07,13.61,13.66,13.36,13.50,127000,13.26
2014-04-04,13.80,13.91,13.60,13.63,76300,13.39
2014-04-03,13.88,13.98,13.64,13.76,80500,13.52
2014-04-02,13.96,14.00,13.83,13.89,42100,13.64
2014-04-01,13.87,14.00,13.80,13.96,71600,13.71
2014-03-31,13.77,13.90,13.71,13.86,43700,13.61
2014-03-28,13.61,13.79,13.61,13.73,47000,13.49
2014-03-27,13.74,13.78,13.60,13.60,45500,13.36
2014-03-26,13.67,13.81,13.61,13.70,47200,13.46
2014-03-25,13.66,13.72,13.58,13.66,35000,13.42
2014-03-24,13.73,13.79,13.58,13.58,74900,13.34
2014-03-21,13.78,13.94,13.62,13.63,39300,13.39
2014-03-20,13.62,13.81,13.58,13.71,56300,13.47
2014-03-19,13.70,13.83,13.58,13.62,49600,13.38
2014-03-18,13.60,13.67,13.51,13.63,27800,13.39
2014-03-17,13.67,13.86,13.50,13.52,39100,13.28
2014-03-14,13.58,13.67,13.51,13.61,46800,13.37
2014-03-13,13.66,13.91,13.56,13.58,112100,13.34
2014-03-12,13.73,13.84,13.62,13.62,64200,13.38
2014-03-11,14.06,14.14,13.96,14.01,61800,13.53
