Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,8.02,8.06,7.99,8.06,200100,8.06
2014-06-18,8.01,8.03,7.97,8.02,220000,8.02
2014-06-17,7.95,8.01,7.94,8.00,219300,8.00
2014-06-16,7.88,7.95,7.86,7.92,202800,7.92
2014-06-13,7.91,7.93,7.85,7.88,146200,7.88
2014-06-12,7.88,7.90,7.85,7.87,177300,7.87
2014-06-11,7.90,7.96,7.82,7.88,196300,7.88
2014-06-10,7.88,7.95,7.86,7.89,196100,7.89
2014-06-09,7.86,7.94,7.85,7.93,236200,7.93
2014-06-06,7.82,7.90,7.80,7.85,387500,7.85
2014-06-05,7.84,7.92,7.79,7.84,338200,7.84
2014-06-04,7.97,7.99,7.86,7.87,296600,7.87
2014-06-03,7.91,7.99,7.84,7.98,318400,7.98
2014-06-02,8.00,8.08,7.94,7.95,212300,7.95
2014-05-30,8.07,8.10,7.94,7.97,932400,7.97
2014-05-29,8.18,8.20,7.95,8.00,770200,8.00
2014-05-28,8.09,8.15,8.00,8.13,178200,8.13
2014-05-27,8.15,8.18,8.05,8.12,221300,8.12
2014-05-23,7.99,8.14,7.98,8.14,160600,8.14
2014-05-22,8.04,8.10,7.98,8.00,179600,8.00
2014-05-21,8.07,8.09,7.97,8.06,213500,8.06
2014-05-20,8.07,8.13,7.97,8.01,253000,8.01
2014-05-19,8.05,8.15,7.98,8.07,173900,8.07
2014-05-16,7.95,8.10,7.93,8.10,208900,8.10
2014-05-15,7.90,7.99,7.83,7.97,213300,7.97
2014-05-14,7.91,8.07,7.86,7.92,304400,7.92
2014-05-13,8.05,8.13,7.94,7.94,284100,7.94
2014-05-12,7.98,8.15,7.91,8.07,254300,8.07
2014-05-09,7.84,8.00,7.82,7.98,175700,7.98
2014-05-08,7.94,8.03,7.88,7.88,183100,7.88
2014-05-07,8.15,8.15,7.85,7.90,219100,7.90
2014-05-06,8.06,8.06,7.86,7.87,232900,7.87
2014-05-05,8.01,8.05,7.95,8.05,128300,8.05
2014-05-02,7.99,8.09,7.98,8.03,163100,8.03
2014-05-01,7.95,8.00,7.90,7.99,202000,7.99
2014-04-30,7.95,8.03,7.91,7.97,215300,7.97
2014-04-29,7.98,8.07,7.90,7.97,241000,7.97
2014-04-28,8.15,8.15,7.98,7.98,244300,7.98
2014-04-25,8.12,8.14,8.07,8.13,226400,8.13
2014-04-24,8.09,8.12,8.05,8.11,109200,8.11
2014-04-23,8.05,8.12,8.05,8.05,114000,8.05
2014-04-22,7.99,8.11,7.99,8.05,192700,8.05
2014-04-21,8.06,8.13,8.00,8.02,125400,8.02
2014-04-17,8.01,8.07,8.00,8.03,107200,8.03
2014-04-16,8.06,8.08,7.99,8.06,102400,8.06
2014-04-15,7.99,8.07,7.96,8.01,212300,8.01
2014-04-14,8.04,8.10,7.95,8.01,171100,8.01
2014-04-11,8.09,8.27,7.95,8.00,266800,8.00
2014-04-10,8.25,8.30,8.10,8.12,328100,8.12
2014-04-09,8.31,8.31,8.23,8.29,234400,8.29
2014-04-08,8.33,8.39,8.25,8.30,254100,8.30
2014-04-07,8.35,8.37,8.22,8.32,271400,8.32
2014-04-04,8.44,8.53,8.39,8.40,264800,8.40
2014-04-03,8.44,8.47,8.35,8.41,305400,8.41
2014-04-02,8.52,8.55,8.44,8.49,484200,8.49
2014-04-01,8.72,8.77,8.65,8.72,646200,8.47
2014-03-31,8.48,8.74,8.47,8.66,1005000,8.41
2014-03-28,8.37,8.42,8.34,8.42,293100,8.18
2014-03-27,8.29,8.39,8.25,8.38,327900,8.14
2014-03-26,8.36,8.39,8.24,8.25,242500,8.01
2014-03-25,8.29,8.35,8.25,8.34,250600,8.10
2014-03-24,8.18,8.28,8.15,8.27,272300,8.03
2014-03-21,8.18,8.21,8.06,8.14,529500,7.91
2014-03-20,8.11,8.18,8.11,8.17,154800,7.94
2014-03-19,8.23,8.23,8.12,8.15,200200,7.92
2014-03-18,8.19,8.20,8.10,8.20,296100,7.96
2014-03-17,8.10,8.21,8.06,8.13,244100,7.90
2014-03-14,8.02,8.13,8.01,8.03,208200,7.80
2014-03-13,8.15,8.17,7.99,8.07,379600,7.84
2014-03-12,8.12,8.24,8.08,8.15,190000,7.92
2014-03-11,8.15,8.15,8.00,8.14,349900,7.91
2014-03-10,8.12,8.20,8.10,8.16,222900,7.93
2014-03-07,8.31,8.32,8.11,8.14,215400,7.91
2014-03-06,8.20,8.30,8.20,8.24,142500,8.00
2014-03-05,8.33,8.34,8.17,8.20,280300,7.96
2014-03-04,8.28,8.35,8.21,8.28,347500,8.04
2014-03-03,8.18,8.27,8.15,8.20,161000,7.96
2014-02-28,8.14,8.22,8.11,8.21,143300,7.97
2014-02-27,8.05,8.18,8.05,8.14,109200,7.91
2014-02-26,8.06,8.18,8.05,8.09,105600,7.86
2014-02-25,8.26,8.26,8.06,8.06,283600,7.83
2014-02-24,8.26,8.28,8.21,8.24,147900,8.00
