Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,16.26,16.41,15.61,16.00,44000,16.00
2014-06-18,15.78,16.36,15.63,16.17,51600,16.17
2014-06-17,15.66,16.60,15.55,15.76,33300,15.76
2014-06-16,15.63,16.00,15.50,15.73,23900,15.73
2014-06-13,15.61,15.70,15.45,15.59,41400,15.59
2014-06-12,15.66,15.75,15.31,15.53,64400,15.53
2014-06-11,16.35,16.35,15.57,15.62,49400,15.62
2014-06-10,16.45,16.54,16.35,16.38,17200,16.38
2014-06-09,16.40,16.86,16.34,16.47,67900,16.47
2014-06-06,16.10,16.45,16.10,16.37,41500,16.37
2014-06-05,15.28,16.09,15.12,16.00,37600,16.00
2014-06-04,15.06,15.67,15.06,15.36,30600,15.36
2014-06-03,15.31,15.53,14.97,15.05,163400,15.05
2014-06-02,15.78,15.78,15.16,15.30,44300,15.30
2014-05-30,15.85,15.88,15.70,15.71,42900,15.71
2014-05-29,16.46,16.49,15.66,15.80,76400,15.80
2014-05-28,15.72,16.71,15.43,16.36,133200,16.36
2014-05-27,15.55,15.88,15.53,15.74,88500,15.74
2014-05-23,15.49,15.71,15.49,15.54,30900,15.54
2014-05-22,15.36,15.66,15.24,15.44,83800,15.44
2014-05-21,15.39,15.47,15.16,15.26,74800,15.26
2014-05-20,15.63,15.75,15.10,15.29,78300,15.29
2014-05-19,15.13,15.70,15.11,15.63,84300,15.63
2014-05-16,14.97,15.31,14.70,15.13,84100,15.13
2014-05-15,14.67,15.04,14.47,14.91,61800,14.91
2014-05-14,14.97,14.98,14.55,14.66,63800,14.66
2014-05-13,14.97,15.22,14.77,14.95,79200,14.95
2014-05-12,14.60,15.08,14.50,14.97,91400,14.97
2014-05-09,14.65,14.90,14.55,14.75,63000,14.75
2014-05-08,15.04,15.04,14.70,14.76,43100,14.76
2014-05-07,14.95,15.25,14.76,14.99,89500,14.99
2014-05-06,14.83,15.14,14.74,15.01,94300,15.01
2014-05-05,16.00,16.10,14.76,15.00,188300,15.00
2014-05-02,16.40,16.40,16.01,16.30,100200,16.30
2014-05-01,18.75,18.75,14.76,16.55,367900,16.55
2014-04-30,19.36,19.49,18.57,19.10,112700,19.10
2014-04-29,19.26,19.50,19.20,19.30,45900,19.30
2014-04-28,19.72,19.95,18.85,19.14,163100,19.10
2014-04-25,19.00,19.40,18.63,19.30,64900,19.26
2014-04-24,18.70,19.35,18.44,19.09,93700,19.05
2014-04-23,18.25,18.82,18.21,18.58,47600,18.54
2014-04-22,18.05,18.25,17.96,18.24,69100,18.20
2014-04-21,17.92,18.10,17.87,18.00,52500,17.96
2014-04-17,18.00,18.44,17.90,17.99,43600,17.95
2014-04-16,18.38,18.45,17.90,18.00,59100,17.96
2014-04-15,18.00,18.63,17.92,18.26,71600,18.22
2014-04-14,18.17,18.20,17.75,17.96,29300,17.92
2014-04-11,17.77,18.19,17.77,17.97,36700,17.93
2014-04-10,18.29,18.34,17.90,17.97,45900,17.93
2014-04-09,18.42,18.49,18.01,18.37,73400,18.33
2014-04-08,18.12,18.62,18.01,18.19,91900,18.15
2014-04-07,17.94,18.48,17.94,18.18,66700,18.14
2014-04-04,18.16,18.25,17.55,17.94,38500,17.90
2014-04-03,18.00,18.28,17.90,17.98,57600,17.94
2014-04-02,18.23,18.73,17.88,18.01,61700,17.97
2014-04-01,17.94,18.29,17.90,18.26,81400,18.22
2014-03-31,17.60,17.98,17.42,17.86,49700,17.82
2014-03-28,17.29,18.00,16.99,17.57,23400,17.54
2014-03-27,17.41,17.95,17.15,17.35,31000,17.32
2014-03-26,17.60,17.99,17.39,17.45,36600,17.42
