Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,18.34,18.47,18.31,18.37,14900,18.37
2014-06-18,18.33,18.35,18.26,18.35,20100,18.35
2014-06-17,18.29,18.40,18.22,18.29,10500,18.29
2014-06-16,18.32,18.33,18.27,18.30,11500,18.30
2014-06-13,18.40,18.40,18.27,18.32,17600,18.32
2014-06-12,18.40,18.40,18.31,18.31,13500,18.31
2014-06-11,18.38,18.40,18.31,18.40,25500,18.40
2014-06-10,18.31,18.40,18.26,18.38,14400,18.38
2014-06-09,18.27,18.41,18.27,18.40,15600,18.30
2014-06-06,18.11,18.30,18.11,18.26,20900,18.16
2014-06-05,18.16,18.24,18.07,18.10,29100,18.00
2014-06-04,18.16,18.23,18.05,18.18,23400,18.08
2014-06-03,18.16,18.23,18.11,18.15,23200,18.05
2014-06-02,18.29,18.44,18.18,18.19,33000,18.09
2014-05-30,18.11,18.24,18.11,18.23,17900,18.13
2014-05-29,18.20,18.20,18.13,18.17,15900,18.07
2014-05-28,18.05,18.24,18.05,18.15,42400,18.05
2014-05-27,18.03,18.18,18.03,18.16,24200,18.06
2014-05-23,18.10,18.10,18.02,18.07,26300,17.97
2014-05-22,18.00,18.05,17.96,18.04,29600,17.94
2014-05-21,17.96,17.97,17.92,17.97,17100,17.87
2014-05-20,17.95,17.99,17.90,17.95,17100,17.85
2014-05-19,17.85,17.98,17.85,17.96,32000,17.86
2014-05-16,17.86,17.92,17.80,17.88,23500,17.78
2014-05-15,17.87,17.96,17.78,17.81,26400,17.71
2014-05-14,17.96,17.96,17.91,17.94,17100,17.84
2014-05-13,17.98,18.09,17.91,17.91,13300,17.81
2014-05-12,18.02,18.10,17.87,17.97,18200,17.87
2014-05-09,17.97,17.97,17.87,17.92,30500,17.82
2014-05-08,17.86,18.04,17.86,17.95,26000,17.85
2014-05-07,17.97,18.10,17.90,17.91,21300,17.71
2014-05-06,17.85,17.97,17.85,17.95,15800,17.74
2014-05-05,17.90,18.03,17.86,17.90,21700,17.70
2014-05-02,18.06,18.08,17.90,17.94,23600,17.74
2014-05-01,17.99,18.12,17.90,18.06,40600,17.85
2014-04-30,17.68,17.96,17.68,17.96,15900,17.75
2014-04-29,17.75,17.89,17.62,17.79,18200,17.59
2014-04-28,17.72,17.77,17.58,17.72,51200,17.52
2014-04-25,18.00,18.00,17.59,17.62,116100,17.42
2014-04-24,17.99,17.99,17.92,17.99,79400,17.78
