Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,17.43,17.65,17.43,17.56,29300,17.56
2014-06-18,17.38,17.45,17.19,17.39,37100,17.39
2014-06-17,17.22,17.41,17.16,17.35,41000,17.35
2014-06-16,17.20,17.20,16.85,17.19,56500,17.19
2014-06-13,17.41,17.51,17.24,17.28,40900,17.28
2014-06-12,17.47,17.47,17.16,17.29,32900,17.29
2014-06-11,17.78,17.79,17.39,17.45,95000,17.45
2014-06-10,17.64,17.80,17.63,17.80,42600,17.80
2014-06-09,18.21,18.21,17.41,17.70,58200,17.70
2014-06-06,17.56,18.40,17.50,18.12,101500,18.12
2014-06-05,16.54,17.46,16.29,17.43,68100,17.43
2014-06-04,16.61,16.69,16.36,16.46,36900,16.46
2014-06-03,16.68,17.00,16.61,16.62,27400,16.62
2014-06-02,16.81,17.02,16.66,16.67,37300,16.67
2014-05-30,16.92,17.00,16.78,16.80,33800,16.80
2014-05-29,16.79,16.87,16.71,16.84,33800,16.84
2014-05-28,16.99,16.99,16.66,16.70,37300,16.70
2014-05-27,16.81,17.10,16.75,17.08,35300,17.08
2014-05-23,16.51,16.61,16.40,16.58,33800,16.58
2014-05-22,16.31,16.57,16.25,16.43,35200,16.43
2014-05-21,16.24,16.52,16.12,16.23,56100,16.23
2014-05-20,16.38,16.38,15.96,16.12,79000,16.12
2014-05-19,16.48,16.86,16.36,16.46,35000,16.46
2014-05-16,16.15,16.49,16.08,16.49,46300,16.49
2014-05-15,16.64,16.64,16.07,16.19,54600,16.19
2014-05-14,16.95,16.95,16.59,16.63,74800,16.63
2014-05-13,17.27,17.32,16.81,17.00,96600,17.00
2014-05-12,16.78,17.38,16.65,17.25,88100,17.25
2014-05-09,16.48,16.81,16.38,16.75,47400,16.75
2014-05-08,16.41,16.69,16.26,16.58,99400,16.58
2014-05-07,16.31,16.48,16.12,16.44,55800,16.44
2014-05-06,16.62,16.65,16.15,16.23,56500,16.23
2014-05-05,16.41,16.71,16.41,16.65,52700,16.65
2014-05-02,16.80,17.00,16.48,16.56,45600,16.56
2014-05-01,16.64,16.81,16.41,16.74,98700,16.74
2014-04-30,16.72,16.86,16.48,16.73,71400,16.73
2014-04-29,17.04,17.08,16.72,16.75,72100,16.75
2014-04-28,17.32,17.35,16.62,16.91,70500,16.91
2014-04-25,17.55,17.65,17.28,17.31,107200,17.31
2014-04-24,17.60,17.73,17.51,17.62,72600,17.62
2014-04-23,17.55,17.69,17.49,17.51,86400,17.51
2014-04-22,17.60,17.76,17.57,17.67,54600,17.58
2014-04-21,17.63,17.75,17.53,17.64,64900,17.55
2014-04-17,17.61,17.77,17.52,17.69,90800,17.59
2014-04-16,17.75,17.82,17.55,17.67,110700,17.58
2014-04-15,17.50,17.74,17.50,17.61,170200,17.52
2014-04-14,17.38,17.59,17.36,17.45,154000,17.36
2014-04-11,17.11,17.38,17.11,17.30,139400,17.21
2014-04-10,17.05,17.37,16.94,17.30,144900,17.21
2014-04-09,16.97,17.09,16.69,17.01,125700,16.92
2014-04-08,16.54,16.87,16.40,16.84,99400,16.75
2014-04-07,16.80,17.00,16.29,16.53,286800,16.44
2014-04-04,17.45,17.47,16.72,16.76,188700,16.67
2014-04-03,17.20,17.40,16.59,17.37,445700,17.28
2014-04-02,16.98,17.51,16.63,17.40,196100,17.31
2014-04-01,16.67,17.15,16.65,17.07,170000,16.98
2014-03-31,15.85,16.74,15.80,16.70,142400,16.61
2014-03-28,15.68,15.98,15.65,15.81,41600,15.73
2014-03-27,15.86,15.98,15.68,15.70,76000,15.62
2014-03-26,15.80,15.97,15.75,15.90,93100,15.81
2014-03-25,15.75,15.79,15.51,15.77,196100,15.69
2014-03-24,15.95,16.00,15.67,15.73,115800,15.65
2014-03-21,15.92,16.04,15.60,16.00,142500,15.91
2014-03-20,15.70,15.89,15.23,15.55,161600,15.47
2014-03-19,14.69,14.76,14.56,14.59,66300,14.51
2014-03-18,14.43,14.75,14.26,14.75,51000,14.67
2014-03-17,14.55,14.69,14.41,14.47,39400,14.39
2014-03-14,14.48,14.61,14.45,14.50,20400,14.42
2014-03-13,14.63,14.70,14.45,14.55,50000,14.47
2014-03-12,14.44,14.65,14.37,14.53,42900,14.45
2014-03-11,14.57,14.64,14.45,14.51,46500,14.43
2014-03-10,14.34,14.63,14.26,14.61,42200,14.53
2014-03-07,14.50,14.57,14.38,14.41,70300,14.33
2014-03-06,14.41,14.50,14.27,14.48,32700,14.40
2014-03-05,14.29,14.44,14.19,14.41,42200,14.33
2014-03-04,14.26,14.46,14.23,14.34,88900,14.26
2014-03-03,14.03,14.24,13.94,14.08,30100,14.00
2014-02-28,14.25,14.33,14.07,14.11,54700,14.03
2014-02-27,13.65,14.22,13.63,14.20,35400,14.12
2014-02-26,13.92,13.96,13.64,13.67,66900,13.60
2014-02-25,14.11,14.20,13.92,13.95,26500,13.87
2014-02-24,13.92,14.21,13.92,14.15,51800,14.07
2014-02-21,13.90,13.90,13.77,13.84,50900,13.77
2014-02-20,13.74,13.99,13.72,13.84,31200,13.77
2014-02-19,13.69,13.80,13.59,13.75,96100,13.68
2014-02-18,13.71,13.90,13.62,13.76,37700,13.69
2014-02-14,13.57,13.65,13.26,13.63,24600,13.56
2014-02-13,13.29,13.58,13.12,13.55,26900,13.48
2014-02-12,13.63,13.67,13.30,13.37,41300,13.30
2014-02-11,13.45,13.70,13.45,13.64,34200,13.57
2014-02-10,13.57,13.58,13.31,13.48,87400,13.41
2014-02-07,13.37,13.61,13.36,13.58,53200,13.51
2014-02-06,13.32,13.46,13.30,13.37,49500,13.30
2014-02-05,13.21,13.30,13.17,13.24,66100,13.17
2014-02-04,13.18,13.34,13.15,13.26,86600,13.19
2014-02-03,13.16,13.40,12.97,13.16,136100,13.09
2014-01-31,13.19,13.36,12.95,13.06,142200,12.99
2014-01-30,13.33,13.52,13.20,13.37,63200,13.30
2014-01-29,13.42,13.50,13.17,13.26,49500,13.19
2014-01-28,13.50,13.62,13.38,13.59,61600,13.52
2014-01-27,13.61,13.71,13.44,13.46,45500,13.39
2014-01-24,13.70,13.93,13.41,13.53,67400,13.46
2014-01-23,13.55,13.82,13.55,13.80,62700,13.73
2014-01-22,13.68,13.74,13.61,13.62,68600,13.46
2014-01-21,13.60,13.79,13.54,13.68,123800,13.52
