Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,14.49,14.50,14.39,14.42,58500,14.42
2014-06-18,14.43,14.48,14.42,14.44,80000,14.44
2014-06-17,14.61,14.61,14.44,14.44,58900,14.44
2014-06-16,14.56,14.60,14.54,14.55,31300,14.55
2014-06-13,14.69,14.69,14.55,14.55,55100,14.55
2014-06-12,14.65,14.69,14.62,14.64,39700,14.64
2014-06-11,14.62,14.76,14.62,14.74,87100,14.67
2014-06-10,14.70,14.70,14.64,14.69,51600,14.62
2014-06-09,14.62,14.69,14.59,14.67,87000,14.60
2014-06-06,14.61,14.65,14.55,14.57,99000,14.50
2014-06-05,14.46,14.54,14.42,14.54,76000,14.47
2014-06-04,14.54,14.54,14.40,14.43,80000,14.36
2014-06-03,14.57,14.58,14.49,14.49,64300,14.42
2014-06-02,14.69,14.75,14.54,14.57,102300,14.50
2014-05-30,14.73,14.74,14.66,14.73,70000,14.66
2014-05-29,14.74,14.78,14.72,14.76,106200,14.69
2014-05-28,14.57,14.73,14.56,14.73,187500,14.66
2014-05-27,14.57,14.62,14.56,14.56,58800,14.49
2014-05-23,14.53,14.58,14.52,14.57,46900,14.50
2014-05-22,14.49,14.56,14.48,14.52,53100,14.45
2014-05-21,14.52,14.52,14.47,14.51,43600,14.44
2014-05-20,14.55,14.56,14.49,14.53,88600,14.46
2014-05-19,14.53,14.57,14.51,14.51,39200,14.44
2014-05-16,14.52,14.53,14.46,14.53,110400,14.46
2014-05-15,14.54,14.55,14.45,14.45,70100,14.38
2014-05-14,14.57,14.57,14.46,14.46,109000,14.39
2014-05-13,14.62,14.62,14.52,14.52,53200,14.45
2014-05-12,14.65,14.68,14.64,14.65,32500,14.51
2014-05-09,14.64,14.65,14.63,14.64,29100,14.50
2014-05-08,14.65,14.70,14.63,14.63,54400,14.49
2014-05-07,14.60,14.69,14.60,14.67,69700,14.53
2014-05-06,14.53,14.64,14.53,14.60,44200,14.46
2014-05-05,14.57,14.62,14.54,14.58,54900,14.44
2014-05-02,14.59,14.64,14.50,14.57,69600,14.43
2014-05-01,14.58,14.65,14.56,14.58,74500,14.44
2014-04-30,14.49,14.55,14.48,14.55,80900,14.41
2014-04-29,14.48,14.49,14.40,14.45,75800,14.31
2014-04-28,14.48,14.51,14.45,14.51,76500,14.37
2014-04-25,14.40,14.48,14.40,14.45,66800,14.31
2014-04-24,14.32,14.40,14.28,14.38,53200,14.25
2014-04-23,14.29,14.38,14.27,14.35,79100,14.22
2014-04-22,14.21,14.30,14.21,14.27,85300,14.14
2014-04-21,14.18,14.24,14.17,14.20,102400,14.07
2014-04-17,14.20,14.24,14.18,14.21,59000,14.08
