Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,13.25,13.25,13.13,13.18,55300,13.18
2014-06-18,13.21,13.24,13.15,13.17,48500,13.17
2014-06-17,13.12,13.24,13.12,13.23,111100,13.23
2014-06-16,13.23,13.27,13.19,13.25,86700,13.25
2014-06-13,13.35,13.35,13.24,13.27,19900,13.27
2014-06-12,13.29,13.36,13.29,13.36,47200,13.36
2014-06-11,13.36,13.41,13.33,13.39,36200,13.32
2014-06-10,13.35,13.40,13.35,13.39,24200,13.32
2014-06-09,13.35,13.43,13.31,13.40,42900,13.33
2014-06-06,13.32,13.38,13.31,13.33,56600,13.26
2014-06-05,13.23,13.34,13.21,13.27,33900,13.20
2014-06-04,13.35,13.35,13.17,13.25,100400,13.18
2014-06-03,13.36,13.43,13.31,13.35,105100,13.28
2014-06-02,13.42,13.42,13.32,13.35,65800,13.28
2014-05-30,13.38,13.41,13.35,13.40,51600,13.33
2014-05-29,13.43,13.49,13.41,13.41,66200,13.34
2014-05-28,13.36,13.44,13.33,13.44,90400,13.37
2014-05-27,13.33,13.33,13.29,13.33,69600,13.26
2014-05-23,13.31,13.32,13.27,13.31,38000,13.24
2014-05-22,13.28,13.33,13.26,13.27,73000,13.20
2014-05-21,13.27,13.29,13.23,13.26,80100,13.19
2014-05-20,13.28,13.30,13.25,13.29,60700,13.22
2014-05-19,13.25,13.29,13.24,13.29,68100,13.22
2014-05-16,13.25,13.26,13.19,13.21,48600,13.14
2014-05-15,13.24,13.26,13.18,13.20,71200,13.13
2014-05-14,13.19,13.23,13.17,13.20,54300,13.13
2014-05-13,13.19,13.20,13.15,13.19,82700,13.12
2014-05-12,13.24,13.28,13.20,13.22,86700,13.09
2014-05-09,13.22,13.24,13.21,13.23,81000,13.10
2014-05-08,13.24,13.28,13.22,13.22,89900,13.09
2014-05-07,13.25,13.28,13.22,13.23,58200,13.10
2014-05-06,13.24,13.37,13.22,13.23,110600,13.10
2014-05-05,13.29,13.33,13.21,13.25,46100,13.11
2014-05-02,13.29,13.33,13.21,13.30,78400,13.16
2014-05-01,13.33,13.38,13.27,13.30,74700,13.16
2014-04-30,13.29,13.35,13.25,13.29,65600,13.15
2014-04-29,13.27,13.29,13.21,13.29,72100,13.15
2014-04-28,13.25,13.30,13.23,13.26,67200,13.12
2014-04-25,13.25,13.29,13.22,13.22,40700,13.09
2014-04-24,13.25,13.27,13.22,13.24,44600,13.11
2014-04-23,13.25,13.29,13.20,13.23,36500,13.10
2014-04-22,13.11,13.25,13.10,13.22,67600,13.09
2014-04-21,13.05,13.15,13.03,13.12,135600,12.99
2014-04-17,12.98,13.05,12.97,13.05,28500,12.92
2014-04-16,12.99,13.04,12.98,13.00,28600,12.87
2014-04-15,12.92,13.00,12.88,12.99,105500,12.86
2014-04-14,12.91,12.93,12.88,12.90,44000,12.77
2014-04-11,12.94,13.02,12.93,12.94,53600,12.81
2014-04-10,12.99,13.03,12.94,12.98,53700,12.78
2014-04-09,13.05,13.06,12.96,12.96,96500,12.76
2014-04-08,12.96,13.08,12.95,13.05,108900,12.85
2014-04-07,12.96,13.00,12.92,13.00,92100,12.80
2014-04-04,12.94,12.98,12.92,12.96,46800,12.76
2014-04-03,12.92,12.94,12.88,12.91,61400,12.71
2014-04-02,12.90,12.93,12.88,12.89,97200,12.69
2014-04-01,12.97,13.01,12.90,12.96,83900,12.76
2014-03-31,13.00,13.00,12.91,12.98,53100,12.78
2014-03-28,13.07,13.07,12.96,12.97,64700,12.77
2014-03-27,12.95,13.03,12.92,13.03,48400,12.83
2014-03-26,12.92,12.97,12.91,12.96,73000,12.76
2014-03-25,12.88,12.91,12.84,12.88,61000,12.68
2014-03-24,12.80,12.87,12.78,12.86,75700,12.66
2014-03-21,12.71,12.77,12.69,12.77,51900,12.57
2014-03-20,12.65,12.69,12.57,12.68,91000,12.48
2014-03-19,12.83,12.84,12.68,12.69,129000,12.49
2014-03-18,12.79,12.85,12.75,12.80,94100,12.60
2014-03-17,12.78,12.82,12.75,12.80,84800,12.60
2014-03-14,12.68,12.76,12.65,12.76,47800,12.56
2014-03-13,12.72,12.75,12.65,12.65,67800,12.46
2014-03-12,12.62,12.74,12.62,12.72,53400,12.52
2014-03-11,12.70,12.74,12.68,12.70,59600,12.44
2014-03-10,12.56,12.74,12.56,12.70,84600,12.44
2014-03-07,12.62,12.64,12.52,12.59,61100,12.33
2014-03-06,12.77,12.77,12.65,12.68,96600,12.42
2014-03-05,12.82,12.82,12.76,12.79,57400,12.53
2014-03-04,12.79,12.79,12.73,12.76,55800,12.50
2014-03-03,12.72,12.77,12.72,12.76,84300,12.50
2014-02-28,12.71,12.76,12.66,12.66,69600,12.40
2014-02-27,12.65,12.76,12.64,12.72,163300,12.46
2014-02-26,12.64,12.65,12.59,12.65,75800,12.39
2014-02-25,12.60,12.64,12.55,12.60,67200,12.34
2014-02-24,12.52,12.64,12.52,12.59,86800,12.33
2014-02-21,12.47,12.52,12.47,12.48,49800,12.22
2014-02-20,12.49,12.49,12.42,12.44,110700,12.18
2014-02-19,12.48,12.48,12.43,12.48,63400,12.22
2014-02-18,12.47,12.49,12.38,12.45,102100,12.19
2014-02-14,12.42,12.46,12.39,12.44,65500,12.18
