Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,24.19,24.19,23.61,23.92,51000,23.92
2014-06-18,23.88,24.09,23.60,24.06,89400,24.06
2014-06-17,23.36,23.94,23.25,23.79,120900,23.79
2014-06-16,23.32,23.46,23.03,23.43,123200,23.43
2014-06-13,23.62,23.81,23.27,23.40,72300,23.40
2014-06-12,23.51,23.64,23.26,23.45,67000,23.45
2014-06-11,23.73,23.86,22.54,23.49,76300,23.49
2014-06-10,24.11,24.11,23.76,23.92,58700,23.92
2014-06-09,23.69,24.08,23.61,24.07,75700,24.07
2014-06-06,23.58,23.87,23.58,23.74,98400,23.74
2014-06-05,22.92,23.50,22.76,23.48,93500,23.48
2014-06-04,22.54,22.93,22.54,22.82,72500,22.82
2014-06-03,22.67,23.09,22.56,22.70,68200,22.70
2014-06-02,22.79,23.01,22.43,22.82,63900,22.82
2014-05-30,22.86,23.08,22.66,22.72,103300,22.72
2014-05-29,22.80,23.05,22.68,22.80,87800,22.80
2014-05-28,23.00,23.00,22.58,22.71,139200,22.71
2014-05-27,23.00,23.38,22.28,23.23,86900,23.02
2014-05-23,22.58,22.84,22.52,22.79,102800,22.58
2014-05-22,22.70,22.90,22.07,22.58,105200,22.38
2014-05-21,22.46,22.80,22.46,22.70,159100,22.49
2014-05-20,22.42,22.50,22.06,22.35,187200,22.15
2014-05-19,22.23,22.57,22.23,22.53,65100,22.33
2014-05-16,22.14,22.28,21.96,22.27,86000,22.07
2014-05-15,22.00,22.33,21.67,22.21,142500,22.01
2014-05-14,22.79,22.79,22.11,22.16,104400,21.96
2014-05-13,23.17,23.17,22.75,22.77,147500,22.56
2014-05-12,22.82,23.25,22.70,23.20,138500,22.99
2014-05-09,22.06,22.68,21.97,22.67,70400,22.47
2014-05-08,22.35,22.70,22.16,22.22,86400,22.02
2014-05-07,22.10,22.47,21.99,22.46,117300,22.26
2014-05-06,22.27,22.79,22.04,22.06,96700,21.86
2014-05-05,22.51,22.62,22.23,22.43,66600,22.23
2014-05-02,22.70,23.25,22.61,22.76,119300,22.55
2014-05-01,22.54,22.91,22.10,22.58,173200,22.38
2014-04-30,22.56,22.74,22.23,22.65,101600,22.45
2014-04-29,23.05,23.05,22.53,22.64,87800,22.44
2014-04-28,22.92,23.04,22.58,22.82,75300,22.61
2014-04-25,23.00,23.26,22.65,22.84,123800,22.63
2014-04-24,23.62,23.62,23.05,23.13,55800,22.92
2014-04-23,23.70,23.79,23.47,23.53,54400,23.32
2014-04-22,23.59,23.82,23.39,23.73,62500,23.52
2014-04-21,23.76,23.82,23.46,23.62,59700,23.41
2014-04-17,23.54,23.92,23.47,23.79,91900,23.57
2014-04-16,23.85,23.91,23.43,23.58,57000,23.37
2014-04-15,23.72,23.77,23.15,23.60,79000,23.39
2014-04-14,23.83,23.91,23.43,23.63,106900,23.42
2014-04-11,23.45,23.82,23.33,23.52,87900,23.31
2014-04-10,24.27,24.31,23.65,23.68,172200,23.47
2014-04-09,24.50,24.50,24.15,24.38,118100,24.16
2014-04-08,24.34,24.78,24.34,24.41,133700,24.19
2014-04-07,24.32,24.47,23.94,24.39,133200,24.17
2014-04-04,25.04,25.18,24.29,24.40,173600,24.18
2014-04-03,24.88,25.04,24.74,24.90,80600,24.67
2014-04-02,24.93,25.05,24.36,24.91,137600,24.68
2014-04-01,24.49,24.89,24.32,24.84,158600,24.62
2014-03-31,24.02,24.56,24.02,24.46,133500,24.24
2014-03-28,23.94,24.44,23.82,23.94,67600,23.72
2014-03-27,24.32,24.52,23.85,23.97,80500,23.75
2014-03-26,24.95,24.95,24.35,24.37,95800,24.15
2014-03-25,24.95,24.95,24.74,24.86,74300,24.64
2014-03-24,24.98,25.26,24.69,24.86,99800,24.64
2014-03-21,25.05,25.45,24.84,24.91,295400,24.68
2014-03-20,24.49,25.00,24.47,24.99,154400,24.76
2014-03-19,24.70,24.90,24.45,24.62,82300,24.40
2014-03-18,24.50,24.73,24.45,24.72,96600,24.50
2014-03-17,24.26,24.63,24.25,24.52,142200,24.30
2014-03-14,23.96,24.38,23.14,24.10,92600,23.88
2014-03-13,24.17,24.30,23.79,23.96,81400,23.74
2014-03-12,24.12,24.35,23.81,24.20,63800,23.98
2014-03-11,24.40,24.42,23.94,24.27,73200,24.05
2014-03-10,24.18,24.49,24.18,24.42,58800,24.20
2014-03-07,24.36,24.55,24.14,24.25,76700,24.03
2014-03-06,23.91,24.30,23.80,24.16,56100,23.94
2014-03-05,23.99,24.05,23.83,23.95,62700,23.73
2014-03-04,23.69,24.39,23.63,24.09,217500,23.87
2014-03-03,23.26,23.41,23.02,23.40,60800,23.19
2014-02-28,23.38,23.76,23.18,23.48,155900,23.27
