Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,13.39,13.50,13.39,13.50,160200,13.50
2014-06-18,13.30,13.35,13.29,13.34,227900,13.34
2014-06-17,13.43,13.43,13.27,13.30,248200,13.30
2014-06-16,13.52,13.53,13.38,13.42,201300,13.42
2014-06-13,13.65,13.66,13.52,13.55,128200,13.55
2014-06-12,13.68,13.71,13.64,13.69,47800,13.69
2014-06-11,13.73,13.73,13.64,13.70,31000,13.70
2014-06-10,13.62,13.70,13.62,13.69,84300,13.69
2014-06-09,13.58,13.68,13.58,13.63,51300,13.63
2014-06-06,13.55,13.64,13.55,13.58,76400,13.58
2014-06-05,13.50,13.61,13.50,13.56,75000,13.56
2014-06-04,13.70,13.70,13.51,13.51,149900,13.51
2014-06-03,13.88,13.95,13.79,13.79,121800,13.65
2014-06-02,13.90,13.92,13.82,13.87,121000,13.73
2014-05-30,13.82,13.88,13.79,13.85,116800,13.71
2014-05-29,13.92,13.95,13.87,13.87,61200,13.73
2014-05-28,13.87,13.92,13.83,13.88,84700,13.74
2014-05-27,13.89,13.89,13.83,13.83,63600,13.69
2014-05-23,13.87,13.92,13.83,13.89,68300,13.75
2014-05-22,13.86,13.89,13.82,13.89,59500,13.75
2014-05-21,13.83,13.84,13.78,13.83,60600,13.69
2014-05-20,13.80,13.85,13.79,13.82,37100,13.68
2014-05-19,13.81,13.87,13.76,13.77,67100,13.63
2014-05-16,13.79,13.83,13.76,13.76,37200,13.62
2014-05-15,13.76,13.82,13.76,13.78,60000,13.64
2014-05-14,13.75,13.78,13.73,13.73,28900,13.59
2014-05-13,13.72,13.77,13.70,13.74,49700,13.60
2014-05-12,13.84,13.84,13.77,13.77,94100,13.56
2014-05-09,13.83,13.85,13.78,13.80,59600,13.59
2014-05-08,13.74,13.83,13.74,13.83,34800,13.62
2014-05-07,13.75,13.80,13.73,13.74,68100,13.53
2014-05-06,13.70,13.75,13.69,13.75,60300,13.54
2014-05-05,13.65,13.72,13.65,13.70,37200,13.49
2014-05-02,13.57,13.69,13.52,13.66,56700,13.45
2014-05-01,13.60,13.65,13.56,13.59,41900,13.38
2014-04-30,13.53,13.57,13.52,13.54,47700,13.33
2014-04-29,13.65,13.66,13.51,13.52,99100,13.31
2014-04-28,13.64,13.67,13.58,13.65,77100,13.44
2014-04-25,13.64,13.65,13.44,13.57,95600,13.36
2014-04-24,13.41,13.48,13.40,13.45,29500,13.25
2014-04-23,13.39,13.45,13.35,13.44,62500,13.24
2014-04-22,13.28,13.39,13.28,13.36,64800,13.16
2014-04-21,13.34,13.34,13.25,13.32,38200,13.12
2014-04-17,13.34,13.34,13.22,13.30,50300,13.10
2014-04-16,13.20,13.30,13.17,13.30,65600,13.10
2014-04-15,13.20,13.23,13.16,13.19,122500,12.99
2014-04-14,13.22,13.22,13.17,13.17,91800,12.97
2014-04-11,13.18,13.21,13.15,13.21,64500,13.01
2014-04-10,13.22,13.28,13.22,13.26,117200,12.99
2014-04-09,13.22,13.26,13.22,13.22,54100,12.95
2014-04-08,13.20,13.24,13.20,13.24,48500,12.97
2014-04-07,13.26,13.28,13.20,13.22,61800,12.95
2014-04-04,13.27,13.27,13.21,13.21,36300,12.94
2014-04-03,13.24,13.28,13.21,13.27,49800,13.00
2014-04-02,13.27,13.28,13.22,13.25,50400,12.98
2014-04-01,13.31,13.31,13.23,13.27,47400,13.00
2014-03-31,13.30,13.31,13.21,13.30,44900,13.03
2014-03-28,13.29,13.30,13.25,13.28,39700,13.01
2014-03-27,13.26,13.30,13.22,13.26,39800,12.99
2014-03-26,13.17,13.24,13.15,13.24,80800,12.97
2014-03-25,13.09,13.17,13.08,13.12,66200,12.85
2014-03-24,13.11,13.13,13.05,13.10,44400,12.83
2014-03-21,12.99,13.11,12.98,13.08,64300,12.81
2014-03-20,13.00,13.04,12.96,12.96,71600,12.70
2014-03-19,13.15,13.16,13.05,13.06,35500,12.79
2014-03-18,13.18,13.19,13.08,13.13,51700,12.86
2014-03-17,13.12,13.17,13.10,13.17,98900,12.90
2014-03-14,13.15,13.19,13.10,13.11,47800,12.84
2014-03-13,13.07,13.15,13.07,13.13,53000,12.86
2014-03-12,13.05,13.09,13.04,13.07,60600,12.80
2014-03-11,13.06,13.12,13.05,13.06,72500,12.73
2014-03-10,13.05,13.12,13.03,13.05,78100,12.72
2014-03-07,13.11,13.13,13.00,13.04,128200,12.71
2014-03-06,13.29,13.29,13.14,13.15,99300,12.81
2014-03-05,13.25,13.28,13.22,13.27,72900,12.93
2014-03-04,13.28,13.29,13.19,13.19,67300,12.85
2014-03-03,13.29,13.29,13.23,13.27,61300,12.93
2014-02-28,13.25,13.25,13.18,13.25,93000,12.91
