Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,18.44,18.59,18.20,18.36,76500,18.36
2014-06-18,17.73,18.65,17.68,18.52,116500,18.52
2014-06-17,17.71,17.78,17.42,17.65,89900,17.65
2014-06-16,17.40,17.72,17.34,17.60,400200,17.60
2014-06-13,17.49,17.66,17.34,17.58,15900,17.58
2014-06-12,17.51,17.66,17.26,17.44,166500,17.44
2014-06-11,17.62,17.80,17.51,17.51,69100,17.51
2014-06-10,17.88,17.88,17.65,17.75,79700,17.75
2014-06-09,17.98,18.14,17.68,17.85,52900,17.85
2014-06-06,18.12,18.38,17.92,17.98,28200,17.98
2014-06-05,17.79,18.26,17.62,17.91,103000,17.91
2014-06-04,17.51,18.32,17.51,17.70,38300,17.70
2014-06-03,17.87,17.94,17.52,17.64,141500,17.64
2014-06-02,16.55,18.05,16.39,17.81,85700,17.81
2014-05-30,17.80,18.18,17.67,18.00,35600,18.00
2014-05-29,18.08,18.31,17.67,17.86,84100,17.86
2014-05-28,17.79,18.31,17.79,18.10,94500,18.10
2014-05-27,17.55,18.05,17.55,17.84,92500,17.84
2014-05-23,17.91,18.03,17.53,17.65,73900,17.65
2014-05-22,17.91,18.11,17.62,17.95,214000,17.95
2014-05-21,18.15,18.15,17.52,17.62,103200,17.62
2014-05-20,18.19,18.38,17.87,18.13,31100,18.13
2014-05-19,17.76,18.21,17.76,18.08,26600,18.08
2014-05-16,17.85,17.85,17.54,17.70,96500,17.70
2014-05-15,17.96,17.96,17.43,17.92,104700,17.92
2014-05-14,17.84,18.03,17.65,17.87,31000,17.87
2014-05-13,18.13,18.15,17.38,18.02,160200,18.02
2014-05-12,18.50,18.78,17.90,18.21,190700,18.21
2014-05-09,19.24,19.24,18.07,18.41,158400,18.41
2014-05-08,19.03,19.29,18.84,19.00,105500,19.00
2014-05-07,19.18,19.18,18.65,19.02,57800,19.02
2014-05-06,19.45,19.61,18.93,19.25,56200,19.25
2014-05-05,19.58,19.67,19.10,19.47,163100,19.47
2014-05-02,19.29,20.42,17.45,19.78,130100,19.78
2014-05-01,19.71,19.99,19.30,19.40,109100,19.40
2014-04-30,20.03,20.14,19.67,19.85,96600,19.85
2014-04-29,20.32,22.44,20.13,20.19,205000,20.19
2014-04-28,19.11,20.85,19.11,20.13,157400,20.13
2014-04-25,20.84,21.00,20.50,20.79,254300,20.79
2014-04-24,19.62,21.27,19.62,20.87,576300,20.87
2014-04-23,19.02,20.14,18.53,19.81,444600,19.81
2014-04-22,19.00,19.17,18.87,19.02,116400,19.02
2014-04-21,18.97,19.21,18.55,19.00,106400,19.00
2014-04-17,18.70,19.14,18.70,18.90,81500,18.90
2014-04-16,17.93,18.73,17.79,18.64,130900,18.64
2014-04-15,18.03,18.12,17.72,17.83,104700,17.83
2014-04-14,17.54,17.91,17.40,17.76,458500,17.76
2014-04-11,18.00,18.16,17.21,17.52,241700,17.52
2014-04-10,18.21,18.39,17.93,18.00,140300,18.00
2014-04-09,18.14,18.52,17.84,18.37,184500,18.37
2014-04-08,18.02,18.41,17.95,18.14,449900,18.14
2014-04-07,18.97,19.20,18.08,18.31,375800,18.31
2014-04-04,19.59,19.59,18.61,18.84,308400,18.84
2014-04-03,19.30,19.40,18.74,19.12,343900,19.12
2014-04-02,19.55,19.55,19.26,19.30,258300,19.30
2014-04-01,19.01,19.70,19.01,19.47,418000,19.47
2014-03-31,19.73,19.92,18.69,19.17,687500,19.17
2014-03-28,19.50,19.81,19.13,19.66,1006900,19.66
2014-03-27,17.78,19.91,17.78,19.67,1932800,19.67
2014-03-26,17.50,18.69,17.24,18.00,13691300,18.00
