Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,14.18,14.26,14.16,14.22,23600,14.22
2014-06-18,14.11,14.19,14.09,14.18,14500,14.18
2014-06-17,14.34,14.37,14.10,14.10,47900,14.10
2014-06-16,14.35,14.38,14.26,14.35,43300,14.35
2014-06-13,14.35,14.41,14.31,14.35,38500,14.35
2014-06-12,14.37,14.37,14.25,14.34,24800,14.34
2014-06-11,14.26,14.39,14.24,14.36,19000,14.36
2014-06-10,14.27,14.42,14.27,14.38,15500,14.31
2014-06-09,14.22,14.27,14.18,14.25,45700,14.18
2014-06-06,14.10,14.20,14.06,14.19,10300,14.12
2014-06-05,14.00,14.07,14.00,14.07,18600,14.00
2014-06-04,14.10,14.13,13.96,14.00,33000,13.93
2014-06-03,14.20,14.22,14.10,14.10,39400,14.03
2014-06-02,14.27,14.28,14.15,14.18,39600,14.11
2014-05-30,14.14,14.21,14.11,14.21,20100,14.14
2014-05-29,14.12,14.20,14.11,14.12,34400,14.05
2014-05-28,14.15,14.17,14.07,14.10,35000,14.03
2014-05-27,14.16,14.16,14.05,14.10,38600,14.03
2014-05-23,14.09,14.17,14.03,14.13,23000,14.06
2014-05-22,14.05,14.11,14.02,14.05,42700,13.98
2014-05-21,14.04,14.04,13.98,14.01,24000,13.94
2014-05-20,14.01,14.04,13.96,14.04,17100,13.97
2014-05-19,14.02,14.03,13.96,14.01,21300,13.94
2014-05-16,13.98,14.01,13.97,13.98,17000,13.91
2014-05-15,14.00,14.03,13.95,13.96,55900,13.89
2014-05-14,13.90,13.96,13.88,13.95,42400,13.88
2014-05-13,13.82,13.88,13.81,13.88,19200,13.81
2014-05-12,13.83,13.90,13.83,13.89,26500,13.74
2014-05-09,13.89,13.89,13.79,13.82,63100,13.68
2014-05-08,13.83,13.90,13.83,13.84,13600,13.70
2014-05-07,13.88,13.91,13.82,13.82,22200,13.68
2014-05-06,13.74,13.88,13.74,13.85,34500,13.71
2014-05-05,13.82,13.85,13.76,13.76,29800,13.62
2014-05-02,13.93,13.99,13.80,13.80,267700,13.66
2014-05-01,13.88,13.94,13.84,13.87,60200,13.73
2014-04-30,13.79,13.93,13.76,13.80,76800,13.66
2014-04-29,13.79,13.88,13.76,13.79,98700,13.65
2014-04-28,13.78,14.12,13.77,13.77,139200,13.63
2014-04-25,13.90,13.98,13.86,13.88,17000,13.74
2014-04-24,13.93,14.02,13.86,13.93,22000,13.78
2014-04-23,13.80,13.90,13.78,13.90,33800,13.75
2014-04-22,13.79,13.79,13.74,13.78,29600,13.64
2014-04-21,13.66,13.78,13.66,13.73,33800,13.59
2014-04-17,13.69,13.74,13.66,13.66,34200,13.52
2014-04-16,13.58,13.84,13.55,13.66,67700,13.52
2014-04-15,13.56,13.76,13.51,13.53,56600,13.39
2014-04-14,13.65,13.65,13.49,13.51,25600,13.37
2014-04-11,13.72,13.83,13.65,13.68,30700,13.54
2014-04-10,13.90,13.94,13.81,13.82,81600,13.60
2014-04-09,13.84,13.89,13.76,13.85,50800,13.63
2014-04-08,13.64,13.83,13.62,13.78,86100,13.56
2014-04-07,13.58,13.68,13.56,13.65,64500,13.44
2014-04-04,13.52,13.62,13.52,13.54,67500,13.33
2014-04-03,13.52,13.61,13.50,13.53,108500,13.32
2014-04-02,13.62,13.62,13.44,13.51,53100,13.30
2014-04-01,13.63,13.64,13.53,13.60,29500,13.39
2014-03-31,13.54,13.58,13.48,13.56,147100,13.35
2014-03-28,13.65,13.65,13.48,13.48,36100,13.27
2014-03-27,13.58,13.70,13.54,13.63,38700,13.42
2014-03-26,13.54,13.66,13.49,13.53,95300,13.32
2014-03-25,13.52,13.52,13.41,13.50,30100,13.29
2014-03-24,13.53,13.56,13.45,13.46,51200,13.25
2014-03-21,13.43,13.53,13.43,13.48,17000,13.27
2014-03-20,13.47,13.49,13.33,13.39,60700,13.18
2014-03-19,13.56,13.58,13.46,13.50,112800,13.29
2014-03-18,13.48,13.55,13.48,13.52,65700,13.31
