Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,13.58,13.61,13.49,13.49,10100,13.49
2014-06-18,13.54,13.56,13.48,13.56,4600,13.56
2014-06-17,13.60,13.60,13.48,13.48,9400,13.48
2014-06-16,13.52,13.56,13.51,13.56,3000,13.56
2014-06-13,13.58,13.58,13.47,13.51,11500,13.51
2014-06-12,13.54,13.63,13.54,13.59,10500,13.59
2014-06-11,13.59,13.64,13.54,13.54,16500,13.54
2014-06-10,13.67,13.69,13.59,13.59,7700,13.53
2014-06-09,13.68,13.69,13.60,13.61,14000,13.55
2014-06-06,13.69,13.70,13.60,13.63,33500,13.57
2014-06-05,13.56,13.65,13.44,13.65,40200,13.59
2014-06-04,13.62,13.67,13.50,13.51,22400,13.45
2014-06-03,13.77,13.79,13.63,13.63,8200,13.57
2014-06-02,13.84,13.84,13.70,13.74,12000,13.68
2014-05-30,13.90,13.90,13.76,13.80,17800,13.74
2014-05-29,13.83,13.89,13.79,13.89,12700,13.83
2014-05-28,13.86,13.88,13.79,13.82,10100,13.76
2014-05-27,13.86,13.86,13.77,13.82,9800,13.76
2014-05-23,13.90,13.90,13.81,13.82,10900,13.76
2014-05-22,13.83,13.89,13.83,13.89,5400,13.83
2014-05-21,13.84,13.86,13.77,13.82,13900,13.76
2014-05-20,13.78,13.87,13.78,13.79,6800,13.73
2014-05-19,13.80,13.86,13.74,13.74,27000,13.68
2014-05-16,13.78,13.84,13.75,13.76,13800,13.70
2014-05-15,13.75,13.80,13.74,13.75,7800,13.69
2014-05-14,13.83,13.83,13.74,13.77,12300,13.71
2014-05-13,13.79,13.87,13.75,13.79,20800,13.73
2014-05-12,13.84,13.89,13.79,13.88,14900,13.76
2014-05-09,13.87,13.89,13.82,13.86,8700,13.74
2014-05-08,13.80,13.87,13.80,13.85,7100,13.73
2014-05-07,13.85,13.85,13.77,13.82,12400,13.70
2014-05-06,13.74,13.81,13.70,13.81,6600,13.69
2014-05-05,13.80,13.81,13.72,13.75,15800,13.63
