Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,8.14,8.17,8.11,8.12,1594300,8.12
2014-06-18,8.04,8.12,8.04,8.12,754400,8.12
2014-06-17,8.06,8.10,8.01,8.05,913600,8.05
2014-06-16,8.08,8.13,8.04,8.04,1107600,8.04
2014-06-13,8.10,8.11,8.05,8.08,643500,8.08
2014-06-12,8.10,8.11,8.06,8.08,701800,8.08
2014-06-11,8.09,8.10,8.07,8.10,652100,8.10
2014-06-10,8.13,8.13,8.02,8.08,937700,8.08
2014-06-09,8.06,8.14,8.05,8.10,893300,8.10
2014-06-06,8.00,8.06,7.98,8.05,967900,8.05
2014-06-05,7.91,7.99,7.89,7.99,703000,7.99
2014-06-04,7.90,7.94,7.84,7.90,1029500,7.90
2014-06-03,7.99,7.99,7.87,7.91,1540200,7.91
2014-06-02,8.00,8.00,7.92,7.93,825000,7.93
2014-05-30,7.94,7.97,7.90,7.96,763800,7.96
2014-05-29,7.90,7.97,7.89,7.92,825400,7.92
2014-05-28,7.96,7.97,7.86,7.91,1260400,7.91
2014-05-27,7.89,7.96,7.89,7.94,1540100,7.94
2014-05-23,7.82,7.86,7.79,7.85,880600,7.85
2014-05-22,7.74,7.82,7.73,7.80,899500,7.80
2014-05-21,7.73,7.74,7.67,7.74,693400,7.74
2014-05-20,7.70,7.74,7.65,7.69,830200,7.69
2014-05-19,7.62,7.70,7.61,7.69,1114300,7.69
2014-05-16,7.56,7.66,7.51,7.60,921000,7.60
2014-05-15,7.58,7.61,7.51,7.55,857900,7.55
2014-05-14,7.64,7.67,7.57,7.58,1020100,7.58
2014-05-13,7.58,7.65,7.58,7.61,948100,7.61
2014-05-12,7.60,7.65,7.55,7.56,1324600,7.56
2014-05-09,7.55,7.58,7.52,7.56,1154000,7.56
2014-05-08,7.65,7.65,7.51,7.52,1870300,7.52
2014-05-07,7.40,7.65,7.40,7.60,3370000,7.60
2014-05-06,7.36,7.40,7.33,7.38,719800,7.38
2014-05-05,7.33,7.43,7.31,7.36,902700,7.36
2014-05-02,7.38,7.45,7.33,7.38,1119800,7.38
2014-05-01,7.42,7.43,7.35,7.40,1425600,7.40
2014-04-30,7.30,7.43,7.26,7.37,3573400,7.37
2014-04-29,7.43,7.44,7.28,7.30,1338300,7.30
2014-04-28,7.35,7.50,7.35,7.38,1241700,7.38
2014-04-25,7.46,7.48,7.35,7.38,1107900,7.38
2014-04-24,7.49,7.50,7.41,7.44,936900,7.44
2014-04-23,7.43,7.49,7.39,7.47,863600,7.47
2014-04-22,7.42,7.49,7.41,7.44,927100,7.44
2014-04-21,7.30,7.41,7.27,7.38,1036100,7.38
2014-04-17,7.27,7.29,7.22,7.27,600200,7.27
2014-04-16,7.18,7.26,7.14,7.26,1237300,7.26
2014-04-15,7.32,7.34,7.01,7.16,3183800,7.16
2014-04-14,7.46,7.50,7.28,7.34,1850700,7.34
2014-04-11,7.51,7.55,7.47,7.47,1115200,7.47
2014-04-10,7.56,7.61,7.52,7.52,1223900,7.52
2014-04-09,7.60,7.60,7.53,7.58,904100,7.58
2014-04-08,7.58,7.59,7.51,7.59,1459200,7.59
2014-04-07,7.54,7.59,7.51,7.54,1298700,7.54
2014-04-04,7.61,7.61,7.51,7.52,1666600,7.52
2014-04-03,7.58,7.62,7.55,7.58,2505700,7.58
2014-04-02,7.52,7.61,7.47,7.61,21306800,7.61
2014-04-01,7.80,7.85,7.78,7.82,851600,7.82
2014-03-31,7.78,7.78,7.75,7.78,1283400,7.78
2014-03-28,7.70,7.79,7.65,7.75,514700,7.75
2014-03-27,7.59,7.79,7.56,7.72,988500,7.72
2014-03-26,7.75,7.75,7.60,7.60,1303400,7.60
2014-03-25,7.86,7.88,7.69,7.75,1367200,7.75
2014-03-24,7.98,7.98,7.86,7.89,1019800,7.89
