Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,11.29,11.36,11.26,11.26,2078200,11.26
2014-06-18,12.02,12.12,11.85,11.89,122100,11.89
2014-06-17,12.11,12.11,12.00,12.02,89600,12.02
2014-06-16,12.00,12.06,12.00,12.06,57500,12.06
2014-06-13,12.03,12.12,12.02,12.03,44600,12.03
2014-06-12,12.06,12.20,11.99,12.05,76700,12.05
2014-06-11,12.13,12.30,12.10,12.18,131800,12.06
2014-06-10,12.18,12.23,12.12,12.21,64000,12.08
2014-06-09,12.10,12.20,12.10,12.18,81300,12.06
2014-06-06,12.02,12.10,12.01,12.09,60500,11.97
2014-06-05,12.07,12.07,11.98,12.00,70600,11.88
2014-06-04,12.02,12.06,11.93,11.99,65100,11.87
2014-06-03,12.07,12.07,11.95,11.97,110400,11.85
2014-06-02,12.05,12.12,12.01,12.07,50300,11.95
2014-05-30,12.11,12.12,12.00,12.03,60100,11.91
2014-05-29,12.00,12.14,11.92,12.03,63600,11.91
2014-05-28,12.08,12.14,11.90,12.02,130900,11.90
2014-05-27,12.03,12.19,11.94,12.01,92100,11.89
2014-05-23,11.86,12.12,11.86,11.98,152000,11.86
2014-05-22,11.80,11.87,11.76,11.86,54200,11.74
2014-05-21,11.86,11.86,11.72,11.76,90700,11.64
2014-05-20,11.90,11.90,11.80,11.86,50400,11.74
2014-05-19,11.75,11.93,11.75,11.87,46700,11.75
2014-05-16,11.68,11.87,11.68,11.79,84800,11.67
2014-05-15,11.75,11.76,11.60,11.70,67500,11.58
2014-05-14,11.74,11.82,11.63,11.70,69700,11.58
2014-05-13,11.70,11.80,11.61,11.67,87900,11.55
2014-05-12,11.90,11.93,11.70,11.73,181100,11.49
2014-05-09,11.78,11.81,11.68,11.81,75000,11.56
2014-05-08,11.90,11.90,11.66,11.74,130300,11.50
2014-05-07,11.76,11.92,11.66,11.90,130100,11.65
2014-05-06,11.76,11.83,11.62,11.69,141600,11.45
2014-05-05,11.79,11.83,11.70,11.77,58800,11.53
2014-05-02,11.76,11.79,11.74,11.77,69700,11.53
2014-05-01,11.64,11.78,11.61,11.78,131400,11.53
2014-04-30,11.58,11.63,11.50,11.61,50400,11.37
2014-04-29,11.60,11.60,11.49,11.54,74100,11.30
2014-04-28,11.53,11.64,11.51,11.61,95100,11.37
2014-04-25,11.51,11.60,11.48,11.54,65300,11.30
2014-04-24,11.59,11.60,11.48,11.52,55000,11.28
2014-04-23,11.59,11.64,11.50,11.53,59900,11.29
2014-04-22,11.64,11.66,11.54,11.55,90900,11.31
2014-04-21,11.52,11.68,11.52,11.58,94500,11.34
2014-04-17,11.53,11.56,11.46,11.53,74800,11.29
2014-04-16,11.62,11.62,11.48,11.48,69800,11.24
2014-04-15,11.50,11.60,11.39,11.55,75300,11.31
2014-04-14,11.43,11.61,11.36,11.52,91200,11.28
2014-04-11,11.29,11.44,11.22,11.42,140200,11.18
2014-04-10,11.56,11.56,11.37,11.38,172100,11.02
2014-04-09,11.63,11.63,11.50,11.51,80100,11.15
2014-04-08,11.50,11.69,11.45,11.63,227200,11.26
2014-04-07,11.40,11.60,11.39,11.51,518400,11.15
