Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,35.55,36.12,35.52,36.12,871600,36.12
2014-06-18,35.41,35.71,35.13,35.59,769700,35.59
2014-06-17,35.24,35.50,35.05,35.39,1155300,35.39
2014-06-16,35.43,35.59,35.10,35.24,1224600,35.24
2014-06-13,35.83,35.85,35.08,35.44,2582600,35.44
2014-06-12,36.26,36.35,35.65,35.79,1459200,35.79
2014-06-11,36.50,36.64,35.59,36.29,1668300,36.29
2014-06-10,37.13,37.23,36.46,36.49,1335100,36.49
2014-06-09,37.88,38.03,36.99,37.16,1140300,37.16
2014-06-06,38.12,38.22,37.76,37.84,997300,37.84
2014-06-05,37.57,38.33,37.45,38.10,1111200,38.10
2014-06-04,37.31,37.64,37.10,37.57,627800,37.57
2014-06-03,36.93,37.33,36.77,37.30,628700,37.30
2014-06-02,36.85,37.08,36.61,37.06,726900,37.06
2014-05-30,36.73,37.01,36.66,36.89,861100,36.89
2014-05-29,36.84,36.89,36.60,36.73,717200,36.73
2014-05-28,36.71,36.90,36.12,36.79,881400,36.79
2014-05-27,36.85,36.97,36.66,36.76,779000,36.76
2014-05-23,36.29,36.84,36.25,36.65,643100,36.65
2014-05-22,36.10,36.38,35.93,36.18,579600,36.18
2014-05-21,36.31,36.36,35.94,36.05,743700,36.05
2014-05-20,36.44,36.78,36.17,36.19,854700,36.19
2014-05-19,36.58,36.74,36.28,36.50,810500,36.50
2014-05-16,36.08,36.61,35.83,36.59,1179600,36.59
2014-05-15,36.13,36.15,35.60,36.06,1033700,36.06
2014-05-14,35.77,36.39,35.61,36.13,666400,36.13
2014-05-13,36.18,36.48,35.68,35.74,772400,35.74
2014-05-12,36.24,36.47,36.12,36.29,883900,36.29
2014-05-09,35.73,36.21,35.67,36.15,1042300,36.15
2014-05-08,35.72,36.12,35.46,35.76,743400,35.76
2014-05-07,35.26,35.75,35.21,35.74,809800,35.74
2014-05-06,35.30,35.42,35.06,35.27,647100,35.27
2014-05-05,35.07,35.49,34.85,35.39,622800,35.39
2014-05-02,34.80,35.39,34.76,35.23,792200,35.23
2014-05-01,34.90,34.98,34.50,34.95,765700,34.95
2014-04-30,35.29,35.50,34.38,34.78,1012000,34.78
2014-04-29,34.96,35.02,34.68,34.90,724500,34.90
2014-04-28,34.96,35.12,34.61,34.99,1104900,34.99
2014-04-25,35.31,35.56,35.19,35.38,1225700,34.88
2014-04-24,35.06,35.35,35.00,35.31,679100,34.81
2014-04-23,34.91,35.26,34.71,34.98,871200,34.49
2014-04-22,34.87,34.94,34.35,34.86,928100,34.37
2014-04-21,34.54,34.87,34.35,34.76,880900,34.27
2014-04-17,34.41,34.42,34.00,34.38,1267700,33.89
2014-04-16,34.75,34.82,34.41,34.49,752300,34.00
2014-04-15,34.29,34.83,34.25,34.70,993100,34.21
