Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,55.71,56.95,55.69,56.84,654700,56.84
2014-06-18,55.83,56.49,55.48,55.80,1078700,55.80
2014-06-17,55.62,56.20,55.50,55.83,1404500,55.83
2014-06-16,55.55,55.90,55.24,55.65,1141500,55.65
2014-06-13,55.54,55.54,55.12,55.32,248300,55.32
2014-06-12,55.29,55.70,55.17,55.54,449000,55.54
2014-06-11,55.75,55.75,55.13,55.22,298100,55.22
2014-06-10,55.49,55.88,55.40,55.78,282100,55.78
2014-06-09,55.55,55.83,55.45,55.71,353700,55.71
2014-06-06,55.59,55.87,55.40,55.59,305900,55.59
2014-06-05,55.67,55.85,55.20,55.55,219000,55.55
2014-06-04,55.49,55.95,55.28,55.45,790700,55.45
2014-06-03,55.35,55.65,55.20,55.44,702200,55.44
2014-06-02,55.23,55.48,54.91,55.35,566400,55.35
2014-05-30,54.57,55.27,54.55,55.10,808800,55.10
2014-05-29,55.64,56.19,54.74,54.82,566900,54.82
2014-05-28,55.00,55.57,54.65,55.56,454300,55.56
2014-05-27,55.10,55.40,54.90,55.03,976200,55.03
2014-05-23,55.12,55.35,54.87,54.99,508500,54.99
2014-05-22,54.85,56.00,54.82,55.26,557800,55.26
2014-05-21,55.11,55.16,54.61,55.13,605700,55.13
2014-05-20,54.46,55.15,54.26,55.06,597700,55.06
2014-05-19,54.03,54.86,53.88,54.55,1421900,54.55
2014-05-16,53.78,54.40,53.40,54.24,943300,54.24
2014-05-15,54.20,54.20,53.26,53.78,682300,53.78
2014-05-14,53.77,54.04,53.32,53.88,783900,53.88
2014-05-13,53.03,54.69,53.00,53.85,13465000,53.85
2014-05-12,55.00,55.39,54.18,54.86,498000,54.86
2014-05-09,55.93,56.01,54.90,54.95,233500,54.95
2014-05-08,56.40,56.75,55.77,55.79,709200,55.79
2014-05-07,56.64,56.65,55.75,56.61,617200,56.61
2014-05-06,56.51,56.61,55.64,56.18,292000,56.18
2014-05-05,56.68,56.80,56.28,56.63,288800,56.63
2014-05-02,57.06,57.40,56.10,56.62,189700,56.62
2014-05-01,57.03,57.48,56.54,57.08,151600,57.08
2014-04-30,56.59,57.05,56.17,56.99,656500,56.99
2014-04-29,55.68,56.62,55.62,56.59,265000,56.59
2014-04-28,55.81,56.00,54.81,55.50,358000,55.50
2014-04-25,56.26,56.54,55.51,56.08,455400,55.34
2014-04-24,56.22,56.73,56.07,56.33,686100,55.58
2014-04-23,56.81,57.24,56.04,56.06,665500,55.32
2014-04-22,57.38,57.50,56.50,57.00,377200,56.24
2014-04-21,56.80,57.42,56.19,57.39,380700,56.63
2014-04-17,56.41,56.73,56.15,56.70,308600,55.95
2014-04-16,55.50,56.54,55.09,56.24,455800,55.49
2014-04-15,55.61,55.87,55.21,55.50,524500,54.76
2014-04-14,55.69,55.98,55.40,55.63,313300,54.89
2014-04-11,54.42,55.65,54.19,55.45,509300,54.71
2014-04-10,54.84,55.43,54.34,54.57,267500,53.85
2014-04-09,54.90,55.13,54.08,54.77,273700,54.04
2014-04-08,54.80,55.07,54.26,54.92,272200,54.19
2014-04-07,55.00,55.70,54.56,54.80,338900,54.07
2014-04-04,55.54,55.66,54.85,55.12,393100,54.39
2014-04-03,55.14,55.60,54.82,55.29,244900,54.56
2014-04-02,54.26,55.08,54.10,55.05,495200,54.32
2014-04-01,53.89,54.45,53.46,54.32,501300,53.60
2014-03-31,53.60,54.00,53.30,53.55,380300,52.84
2014-03-28,53.64,54.00,53.39,53.62,290500,52.91
2014-03-27,53.19,53.65,52.84,53.52,388200,52.81
2014-03-26,52.61,53.25,52.49,53.02,251600,52.32
2014-03-25,52.49,52.85,52.34,52.63,244900,51.93
2014-03-24,53.00,53.44,52.28,52.39,350000,51.69
2014-03-21,53.78,53.89,52.85,52.85,868600,52.15
2014-03-20,53.75,53.80,52.65,53.73,374800,53.02
2014-03-19,54.28,54.44,53.14,53.80,369000,53.09
2014-03-18,53.54,54.48,53.27,54.36,400800,53.64
2014-03-17,53.00,54.03,52.53,53.60,347500,52.89
2014-03-14,52.68,53.75,52.42,52.90,371400,52.20
2014-03-13,52.87,53.03,52.10,52.74,392300,52.04
2014-03-12,52.76,53.01,52.49,52.87,376500,52.17
2014-03-11,53.00,53.41,52.51,52.90,365600,52.20
2014-03-10,53.45,53.47,52.85,53.04,211200,52.34
2014-03-07,54.03,54.11,53.28,53.48,317000,52.77
2014-03-06,53.86,54.15,53.39,53.97,331100,53.25
2014-03-05,53.57,53.90,53.10,53.81,295200,53.10
2014-03-04,53.59,53.80,53.15,53.73,500700,53.02
2014-03-03,52.83,53.59,52.61,53.19,306600,52.48
2014-02-28,53.17,53.76,52.82,53.11,394900,52.40
2014-02-27,53.63,53.63,52.83,53.23,416100,52.52
2014-02-26,54.00,54.00,53.22,53.53,597100,52.82
2014-02-25,56.45,56.45,52.54,53.44,1117900,52.73
2014-02-24,55.00,56.23,54.25,56.14,487800,55.39
2014-02-21,55.52,55.98,55.26,55.54,461200,54.80
2014-02-20,56.17,56.17,55.08,55.52,620500,54.78
2014-02-19,56.34,56.68,56.04,56.24,479700,55.49
2014-02-18,56.22,57.84,56.07,57.09,504200,56.33
2014-02-14,56.33,57.00,55.75,56.02,417100,55.28
2014-02-13,54.97,56.29,54.93,55.94,431200,55.20
2014-02-12,55.27,55.54,54.91,55.05,250600,54.32
2014-02-11,55.00,55.52,54.59,55.06,419700,54.33
2014-02-10,53.87,54.98,53.50,54.52,460600,53.80
2014-02-07,54.15,54.59,53.75,53.95,493700,53.23
2014-02-06,52.97,54.18,52.71,54.15,510900,53.43
2014-02-05,52.44,53.08,52.18,52.76,175900,52.06
2014-02-04,52.56,52.84,51.60,52.71,326100,52.01
2014-02-03,52.00,52.55,51.45,52.36,421700,51.66
2014-01-31,51.13,52.98,51.13,51.83,389200,51.14
2014-01-30,51.82,52.73,51.46,51.60,436000,50.91
2014-01-29,52.35,53.00,51.64,51.80,525300,51.11
2014-01-28,53.18,53.66,52.72,52.95,538300,51.53
2014-01-27,53.14,53.49,52.54,53.09,374200,51.66
2014-01-24,52.91,53.55,52.50,53.21,452000,51.78
2014-01-23,52.75,53.68,52.61,53.18,395000,51.75
2014-01-22,52.25,53.10,52.01,52.74,822800,51.32
2014-01-21,50.77,52.30,50.61,52.21,448600,50.81
2014-01-17,50.66,51.19,50.32,50.60,333000,49.24
2014-01-16,50.21,50.95,50.02,50.81,345000,49.44
2014-01-15,50.27,50.74,50.00,50.10,323100,48.75
2014-01-14,50.55,50.98,50.27,50.32,297600,48.97
2014-01-13,50.80,51.30,50.41,50.53,476400,49.17
2014-01-10,50.28,51.04,50.17,50.78,273200,49.41
2014-01-09,51.23,51.39,50.37,50.59,299200,49.23
2014-01-08,51.76,51.76,50.70,51.07,550500,49.70
2014-01-07,51.75,51.93,51.27,51.66,332300,50.27
2014-01-06,51.71,52.45,51.61,51.75,284700,50.36
2014-01-03,51.30,52.02,51.25,51.58,461300,50.19
2014-01-02,52.50,52.66,51.11,51.25,524400,49.87
2013-12-31,52.25,52.88,52.25,52.65,448500,51.23
2013-12-30,52.50,52.88,51.75,52.31,657600,50.90
2013-12-27,52.19,52.95,51.99,52.68,380100,51.26
2013-12-26,52.86,53.09,52.17,52.40,361700,50.99
2013-12-24,52.50,53.23,52.31,52.73,205500,51.31
2013-12-23,51.91,52.85,51.76,52.49,726700,51.08
2013-12-20,50.41,51.91,50.15,51.91,697200,50.51
2013-12-19,49.73,50.69,49.52,50.41,402800,49.05
2013-12-18,50.32,50.34,49.60,50.00,689600,48.66
2013-12-17,50.23,50.75,50.06,50.37,352000,49.02
2013-12-16,50.22,51.00,50.12,50.37,321200,49.02
2013-12-13,49.50,50.31,49.17,50.14,296300,48.79
2013-12-12,49.67,49.96,49.31,49.39,338500,48.06
2013-12-11,50.30,50.39,49.72,49.85,443400,48.51
2013-12-10,51.10,51.20,50.27,50.31,532300,48.96
2013-12-09,51.62,51.93,51.10,51.19,548100,49.81
2013-12-06,52.50,52.64,51.55,51.62,651800,50.23
2013-12-05,52.70,52.80,52.19,52.19,513000,50.79
2013-12-04,52.57,52.80,52.16,52.42,455400,51.01
2013-12-03,53.00,53.50,52.36,52.60,886700,51.19
2013-12-02,53.50,53.74,53.05,53.28,356000,51.85
2013-11-29,53.76,54.02,53.30,53.56,83500,52.12
2013-11-27,54.11,54.34,53.64,53.71,190500,52.27
2013-11-26,53.95,54.25,53.46,54.10,242700,52.65
2013-11-25,53.38,54.14,53.38,54.10,576900,52.65
2013-11-22,53.30,55.10,53.01,53.52,540600,52.08
2013-11-21,53.03,53.59,52.92,53.05,267500,51.62
2013-11-20,53.39,53.78,52.65,52.91,430500,51.49
2013-11-19,53.92,54.08,52.64,52.75,260600,51.33
2013-11-18,54.22,54.34,53.84,54.06,334600,52.61
2013-11-15,53.31,54.48,53.31,54.40,403900,52.94
2013-11-14,53.32,53.99,53.14,53.31,558400,51.88
2013-11-13,52.32,53.00,52.02,52.63,305500,51.21
2013-11-12,52.59,52.75,52.31,52.51,179100,51.10
2013-11-11,52.66,52.97,52.54,52.67,278100,51.25
2013-11-08,52.79,53.16,52.52,52.82,313100,51.40
2013-11-07,53.54,53.83,52.76,52.93,201300,51.51
2013-11-06,52.70,53.71,52.70,53.48,520400,52.04
2013-11-05,54.20,54.20,53.21,53.43,361700,51.99
2013-11-04,53.98,54.49,53.31,54.18,198500,52.72
2013-11-01,53.86,54.35,53.13,53.83,219900,52.38
