Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,8.76,8.87,8.56,8.68,866400,8.68
2014-06-18,8.52,8.77,8.44,8.74,1080700,8.74
2014-06-17,8.41,8.64,8.25,8.50,2101500,8.50
2014-06-16,8.10,8.20,7.99,8.12,948000,8.12
2014-06-13,8.09,8.17,7.92,8.09,1098300,8.09
2014-06-12,7.89,8.11,7.75,8.07,892400,8.07
2014-06-11,7.92,8.04,7.78,7.87,649900,7.87
2014-06-10,8.00,8.13,7.91,7.96,490600,7.96
2014-06-09,7.79,8.12,7.79,7.96,836300,7.96
2014-06-06,7.62,7.81,7.58,7.79,1218900,7.79
2014-06-05,7.63,7.64,7.46,7.60,852100,7.60
2014-06-04,7.69,7.71,7.36,7.58,1125100,7.58
2014-06-03,7.57,7.84,7.52,7.74,3985900,7.74
2014-06-02,7.49,7.61,7.41,7.56,1179600,7.56
2014-05-30,7.46,7.55,7.42,7.43,943600,7.43
2014-05-29,7.54,7.56,7.42,7.48,829200,7.48
2014-05-28,7.45,7.55,7.26,7.50,950800,7.50
2014-05-27,7.40,7.48,7.27,7.43,1583000,7.43
2014-05-23,7.39,7.40,7.01,7.24,8347800,7.24
2014-05-22,6.51,6.96,6.49,6.92,2765400,6.92
2014-05-21,7.02,7.02,6.72,6.80,1022200,6.80
2014-05-20,7.39,7.39,6.75,7.00,1433200,7.00
2014-05-19,7.50,7.67,7.39,7.56,558400,7.56
2014-05-16,7.44,7.54,7.38,7.50,272500,7.50
2014-05-15,7.40,7.49,7.33,7.40,412300,7.40
2014-05-14,7.47,7.56,7.39,7.41,561700,7.41
2014-05-13,7.52,7.66,7.42,7.46,528600,7.46
2014-05-12,7.28,7.57,7.28,7.53,647800,7.53
2014-05-09,7.13,7.36,7.13,7.28,393800,7.28
2014-05-08,7.13,7.39,7.10,7.17,695000,7.17
2014-05-07,7.22,7.31,7.10,7.20,720000,7.20
2014-05-06,7.15,7.48,7.04,7.18,768800,7.18
2014-05-05,7.58,7.73,7.00,7.24,1782300,7.24
2014-05-02,7.54,7.63,7.34,7.42,965000,7.42
2014-05-01,7.31,7.60,7.19,7.53,854200,7.53
2014-04-30,7.10,7.36,7.00,7.35,726700,7.35
2014-04-29,7.05,7.26,6.99,7.17,896000,7.17
2014-04-28,7.16,7.27,6.99,7.00,551300,7.00
2014-04-25,7.41,7.41,7.10,7.16,482700,7.16
2014-04-24,7.61,7.62,7.31,7.43,404800,7.43
2014-04-23,7.68,7.70,7.55,7.58,269800,7.58
2014-04-22,7.56,7.77,7.42,7.71,343000,7.71
2014-04-21,7.57,7.61,7.44,7.54,298500,7.54
2014-04-17,7.48,7.63,7.45,7.59,284800,7.59
2014-04-16,7.47,7.55,7.36,7.48,325600,7.48
2014-04-15,7.56,7.60,7.32,7.42,731600,7.42
2014-04-14,7.47,7.80,7.35,7.56,955600,7.56
2014-04-11,7.50,7.62,7.29,7.36,454200,7.36
2014-04-10,7.89,8.05,7.52,7.59,531800,7.59
2014-04-09,8.00,8.07,7.76,7.91,401300,7.91
2014-04-08,7.61,8.03,7.57,7.98,762300,7.98
2014-04-07,7.71,7.77,7.43,7.61,838400,7.61
2014-04-04,8.15,8.15,7.70,7.73,698300,7.73
2014-04-03,8.13,8.27,8.04,8.10,457500,8.10
2014-04-02,8.16,8.24,8.06,8.08,470000,8.08
2014-04-01,7.77,8.15,7.77,8.15,788300,8.15
2014-03-31,7.70,7.97,7.70,7.84,1147200,7.84
2014-03-28,7.68,7.77,7.57,7.67,415200,7.67
2014-03-27,7.71,7.91,7.58,7.68,762600,7.68
2014-03-26,7.99,8.07,7.69,7.75,803000,7.75
2014-03-25,7.92,8.07,7.81,7.90,766200,7.90
2014-03-24,7.93,7.94,7.70,7.90,788500,7.90
2014-03-21,8.14,8.16,7.79,7.93,821700,7.93
2014-03-20,8.08,8.26,8.05,8.07,724700,8.07
