Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,266.34,266.58,263.76,265.55,405700,265.55
2014-06-18,265.18,265.44,262.26,264.72,481800,264.72
2014-06-17,264.47,266.95,263.37,265.49,518000,265.49
2014-06-16,265.27,267.60,264.44,264.80,552800,264.80
2014-06-13,265.78,267.36,265.01,265.64,497800,265.64
2014-06-12,267.76,269.00,264.44,265.13,540500,265.13
2014-06-11,271.76,271.91,267.02,268.52,1319800,268.52
2014-06-10,272.95,274.27,271.00,273.99,703800,273.99
2014-06-09,271.74,275.09,270.81,273.69,693800,273.69
2014-06-06,270.00,272.79,268.69,272.75,708800,272.75
2014-06-05,263.38,270.00,262.88,269.99,1268700,269.99
2014-06-04,259.18,263.60,258.57,263.17,857200,263.17
2014-06-03,257.06,260.58,256.55,260.19,1085000,260.16
2014-06-02,253.39,258.33,252.57,257.97,1020800,257.94
2014-05-30,252.97,253.78,251.25,252.98,615400,252.95
2014-05-29,252.00,253.06,251.00,252.90,404000,252.87
2014-05-28,252.94,254.00,250.10,251.00,1085600,250.97
2014-05-27,249.69,252.47,248.41,252.19,737700,252.16
2014-05-23,246.55,249.43,245.73,249.02,866400,248.99
2014-05-22,245.52,247.40,244.61,246.55,659100,246.52
2014-05-21,244.54,246.21,243.20,245.48,514600,245.45
2014-05-20,243.21,244.61,241.83,243.16,1181600,243.13
2014-05-19,240.00,244.64,239.52,243.96,770500,243.93
2014-05-16,242.62,244.07,238.01,240.21,1631100,240.18
2014-05-15,248.80,248.82,242.75,242.99,890900,242.96
2014-05-14,253.88,254.00,248.35,248.93,797400,248.90
2014-05-13,256.00,256.00,253.47,253.64,859400,253.61
2014-05-12,256.67,257.90,254.67,255.71,714400,255.68
2014-05-09,252.60,256.88,251.54,255.28,815700,255.25
2014-05-08,260.30,264.99,248.16,254.11,1702500,254.08
2014-05-07,256.04,258.02,252.90,255.00,555800,254.97
2014-05-06,258.81,259.29,254.91,254.94,522700,254.91
2014-05-05,253.76,260.57,252.61,260.23,655400,260.20
2014-05-02,253.34,255.84,252.93,254.33,402900,254.30
2014-05-01,252.93,255.89,251.87,253.97,412300,253.94
2014-04-30,252.53,253.92,251.19,253.09,420600,253.06
2014-04-29,249.48,253.74,248.82,252.82,485600,252.79
2014-04-28,253.37,254.30,245.56,247.97,735600,247.94
2014-04-25,255.98,256.91,250.64,251.70,527700,251.67
2014-04-24,260.00,260.00,255.45,256.18,430100,256.15
2014-04-23,257.00,260.20,256.93,259.71,559400,259.68
2014-04-22,257.80,260.27,257.10,257.18,400200,257.15
2014-04-21,257.10,258.25,254.78,257.87,281400,257.84
2014-04-17,253.20,257.83,252.22,257.18,483100,257.15
2014-04-16,248.59,253.92,247.71,253.79,555000,253.76
2014-04-15,245.84,247.37,240.50,246.61,723100,246.58
2014-04-14,245.26,246.97,243.36,245.51,470800,245.48
2014-04-11,246.56,247.67,244.37,244.41,557100,244.38
2014-04-10,253.92,254.38,247.51,247.64,606700,247.61
2014-04-09,247.47,253.85,247.47,253.83,685800,253.80
2014-04-08,248.98,250.75,246.22,246.98,802800,246.95
2014-04-07,254.01,254.87,248.63,250.06,778200,250.03
2014-04-04,258.88,259.18,252.82,253.84,753800,253.81
2014-04-03,258.84,259.04,255.46,257.28,595700,257.25
2014-04-02,259.11,260.54,256.40,258.34,724300,258.31
2014-04-01,249.23,259.83,249.23,259.55,907800,259.52
2014-03-31,249.14,252.89,249.13,252.76,822300,252.73
2014-03-28,245.44,247.68,243.18,247.58,785000,247.55
2014-03-27,246.89,247.06,243.86,244.61,746900,244.58
2014-03-26,251.23,251.67,246.90,246.90,721900,246.87
2014-03-25,251.25,252.41,249.03,250.19,760300,250.16
2014-03-24,253.73,253.73,247.73,250.05,619100,250.02
2014-03-21,258.29,261.49,252.45,252.80,900500,252.77
2014-03-20,256.55,256.78,251.57,256.17,758300,256.14
2014-03-19,255.13,255.94,248.97,250.32,705800,250.29
2014-03-18,255.52,256.03,253.99,255.13,487100,255.10
2014-03-17,253.16,257.50,252.64,255.04,848500,255.01
2014-03-14,253.81,256.61,251.67,252.07,562800,252.04
2014-03-13,260.03,261.57,253.37,253.92,555200,253.89
2014-03-12,257.19,259.65,255.48,259.41,461000,259.38
2014-03-11,261.00,261.85,257.80,258.13,372900,258.10
2014-03-10,262.00,262.23,259.00,260.81,564900,260.78
2014-03-07,262.41,265.30,262.24,262.96,475600,262.93
2014-03-06,260.31,261.68,258.28,261.49,569800,261.46
2014-03-05,261.01,261.90,259.27,260.21,575100,260.18
2014-03-04,259.34,261.54,258.72,260.49,711500,260.43
2014-03-03,255.29,257.37,253.91,256.04,589700,255.98
2014-02-28,258.68,261.17,256.77,257.88,639600,257.82
2014-02-27,252.16,258.53,251.71,258.38,684000,258.32
2014-02-26,255.10,255.60,252.51,253.20,1031700,253.14
2014-02-25,256.66,257.89,254.03,254.74,606800,254.68
2014-02-24,256.54,261.06,256.41,257.08,524100,257.02
2014-02-21,257.85,259.81,255.66,256.40,680800,256.34
2014-02-20,255.96,259.36,253.82,258.47,630900,258.41
2014-02-19,257.43,260.79,254.48,255.14,660600,255.08
2014-02-18,261.13,261.40,257.78,258.71,875000,258.65
2014-02-14,262.93,262.99,259.25,260.44,1125700,260.38
2014-02-13,259.61,264.28,259.32,263.87,498500,263.81
2014-02-12,262.99,263.63,260.24,262.38,480700,262.32
2014-02-11,258.73,262.62,257.87,262.07,702800,262.01
2014-02-10,259.76,259.76,255.60,257.77,855900,257.71
2014-02-07,255.70,261.00,255.03,260.20,948500,260.14
