Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,25.65,26.00,25.53,25.90,5723900,25.90
2014-06-18,25.48,25.65,25.35,25.62,2238500,25.62
2014-06-17,25.24,25.56,25.20,25.50,3196800,25.50
2014-06-16,25.37,25.57,25.36,25.50,3615500,25.50
2014-06-13,24.49,25.41,24.49,25.29,2443900,25.29
2014-06-12,25.23,25.26,25.01,25.19,2719100,25.19
2014-06-11,24.84,25.35,24.84,25.17,3884500,25.17
2014-06-10,25.14,25.20,24.93,24.99,2759800,24.99
2014-06-09,25.24,25.38,25.10,25.17,1627800,25.17
2014-06-06,25.15,25.38,25.14,25.25,2101500,25.25
2014-06-05,24.69,25.09,24.58,25.08,2882400,25.08
2014-06-04,24.88,24.98,24.80,24.91,3398700,24.91
2014-06-03,25.09,25.13,24.82,24.89,2776300,24.89
2014-06-02,25.06,25.15,24.80,24.91,3587000,24.91
2014-05-30,25.21,25.24,24.93,25.03,3124400,25.03
2014-05-29,25.34,25.36,25.16,25.17,2466000,25.17
2014-05-28,25.14,25.33,25.05,25.26,3529000,25.26
2014-05-27,24.59,25.19,24.59,25.06,3024800,25.06
2014-05-23,25.21,25.26,25.05,25.10,2120300,25.10
2014-05-22,25.29,25.34,25.10,25.16,2619100,25.16
2014-05-21,25.25,25.29,25.14,25.27,2637000,25.27
2014-05-20,25.36,25.36,25.04,25.15,2642800,25.15
2014-05-19,25.50,25.50,25.19,25.34,2295800,25.34
2014-05-16,25.41,25.45,25.28,25.36,3808100,25.36
2014-05-15,25.37,25.56,25.25,25.31,4930400,25.31
2014-05-14,25.25,25.60,25.16,25.44,12739800,25.44
2014-05-13,24.91,25.04,24.80,25.03,6622500,25.03
2014-05-12,24.75,24.89,24.74,24.84,6031700,24.84
2014-05-09,24.60,24.65,24.50,24.64,6621500,24.64
2014-05-08,24.58,24.73,24.51,24.62,3299300,24.62
2014-05-07,24.61,24.79,24.53,24.61,7315900,24.61
2014-05-06,24.75,24.81,24.50,24.58,4834600,24.58
2014-05-05,24.70,24.90,24.58,24.86,3400800,24.86
2014-05-02,24.93,25.07,24.70,24.80,6781400,24.80
2014-05-01,24.25,25.01,24.12,24.98,9402500,24.98
2014-04-30,24.07,24.29,23.95,24.25,13662500,24.25
2014-04-29,24.06,24.28,23.99,24.06,8692900,24.06
2014-04-28,23.92,24.01,23.79,23.99,5475600,23.99
2014-04-25,23.86,23.92,23.60,23.79,5101700,23.79
2014-04-24,23.85,24.14,23.71,23.94,8357100,23.94
2014-04-23,24.23,24.23,23.60,23.69,4193700,23.69
2014-04-22,23.86,23.90,23.70,23.76,2606700,23.76
2014-04-21,23.64,23.99,23.52,23.84,1715100,23.84
2014-04-17,23.96,24.00,23.82,23.96,2137300,23.96
2014-04-16,24.02,24.04,23.90,23.99,2860800,23.99
2014-04-15,23.82,23.93,23.65,23.83,3117400,23.83
2014-04-14,23.87,23.93,23.40,23.92,4783000,23.92
2014-04-11,23.70,23.78,23.54,23.66,3436300,23.66
2014-04-10,24.08,24.37,23.81,23.81,3190500,23.81
2014-04-09,24.28,24.44,24.01,24.06,5066700,24.06
2014-04-08,24.07,24.26,23.98,24.16,2532700,24.16
2014-04-07,24.28,24.38,24.08,24.11,3691600,24.11
2014-04-04,24.58,24.66,24.26,24.27,2585200,24.27
2014-04-03,24.21,24.51,24.15,24.50,3415000,24.50
2014-04-02,24.15,24.28,24.05,24.11,3283000,24.11
2014-04-01,24.32,24.38,23.97,24.09,2295200,24.09
2014-03-31,24.07,24.25,24.00,24.22,4845300,24.22
2014-03-28,23.86,24.15,23.80,23.98,3898800,23.98
2014-03-27,23.84,23.92,23.70,23.77,2986100,23.77
2014-03-26,24.30,24.33,23.88,23.90,4382400,23.90
2014-03-25,24.16,24.30,24.06,24.16,1846300,24.16
2014-03-24,24.30,24.36,24.03,24.11,3333100,24.11
2014-03-21,24.69,24.89,24.16,24.22,5270100,24.22
2014-03-20,23.38,23.89,23.35,23.82,2945600,23.82
2014-03-19,23.66,23.68,23.34,23.44,2479800,23.44
2014-03-18,23.69,23.83,23.64,23.65,1778700,23.65
2014-03-17,23.80,23.85,23.56,23.73,2553800,23.73
2014-03-14,23.38,23.86,23.34,23.70,5464200,23.70
2014-03-13,23.60,23.66,23.16,23.40,6912200,23.40
2014-03-12,23.97,24.05,23.57,23.58,5647400,23.58
2014-03-11,24.54,24.60,24.34,24.52,2396200,24.52
2014-03-10,24.38,24.57,24.38,24.50,3189400,24.50
2014-03-07,24.56,24.57,24.23,24.45,2309400,24.45
