Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,13.37,13.60,12.83,12.99,66900,12.99
2014-06-18,12.33,13.25,12.33,13.24,201000,13.24
2014-06-17,10.85,12.19,10.85,12.04,78000,12.04
2014-06-16,10.89,10.90,10.70,10.80,37500,10.80
2014-06-13,11.11,11.35,10.94,11.11,9200,11.11
2014-06-12,11.46,11.60,10.96,11.07,41600,11.07
2014-06-11,11.29,11.49,11.18,11.48,25800,11.48
2014-06-10,10.96,11.45,10.87,11.32,16600,11.32
2014-06-09,10.84,11.02,10.73,10.95,14200,10.95
2014-06-06,10.95,11.08,10.80,10.89,22900,10.89
2014-06-05,10.80,10.97,10.54,10.97,55500,10.97
2014-06-04,10.97,11.10,10.65,10.69,57100,10.69
2014-06-03,11.24,11.47,11.00,11.07,51000,11.07
2014-06-02,11.41,11.84,11.16,11.50,42900,11.35
2014-05-30,11.68,11.78,11.27,11.41,19600,11.26
2014-05-29,11.71,11.86,11.64,11.64,14400,11.49
2014-05-28,11.82,11.88,11.63,11.70,22600,11.55
2014-05-27,11.60,11.89,11.44,11.79,52600,11.64
2014-05-23,11.85,11.85,11.42,11.59,32300,11.44
2014-05-22,11.50,11.70,11.47,11.66,69100,11.51
2014-05-21,11.29,11.80,11.24,11.47,32200,11.32
2014-05-20,11.23,11.47,11.05,11.17,24900,11.02
2014-05-19,11.05,11.46,10.85,11.27,26600,11.12
2014-05-16,11.40,11.40,10.98,11.03,13200,10.89
2014-05-15,11.68,11.74,11.25,11.35,25800,11.20
2014-05-14,11.66,11.82,11.54,11.74,25900,11.59
2014-05-13,11.17,11.79,11.02,11.76,24600,11.61
2014-05-12,11.08,11.25,10.70,11.22,26800,11.07
2014-05-09,10.69,11.00,10.65,10.95,25600,10.81
2014-05-08,10.28,10.99,10.00,10.65,99200,10.51
2014-05-07,12.05,12.29,10.31,10.40,161100,10.26
2014-05-06,11.36,11.42,10.51,10.51,50600,10.37
2014-05-05,11.46,11.55,11.26,11.36,33800,11.21
2014-05-02,11.66,11.75,11.35,11.53,27300,11.38
2014-05-01,11.71,12.03,11.46,11.66,40900,11.51
2014-04-30,11.96,12.08,11.74,11.80,42300,11.65
2014-04-29,12.39,12.39,12.10,12.10,17100,11.94
2014-04-28,12.50,12.71,12.10,12.25,55200,12.09
2014-04-25,12.30,12.54,12.27,12.49,153400,12.33
2014-04-24,12.34,12.64,12.15,12.30,27900,12.14
2014-04-23,12.51,12.51,12.21,12.30,16800,12.14
2014-04-22,12.21,12.82,12.21,12.60,44500,12.44
2014-04-21,12.10,12.36,12.00,12.24,45400,12.08
2014-04-17,11.67,12.10,11.48,12.02,44900,11.86
2014-04-16,11.75,11.90,11.57,11.69,37300,11.54
2014-04-15,11.54,11.75,11.46,11.58,54500,11.43
2014-04-14,11.70,11.70,11.22,11.51,82300,11.36
2014-04-11,11.96,11.96,11.51,11.65,71700,11.50
2014-04-10,12.23,12.70,12.00,12.06,39200,11.90
2014-04-09,12.33,12.49,12.00,12.29,22400,12.13
2014-04-08,12.13,12.70,11.76,12.29,116900,12.13
2014-04-07,12.37,12.82,12.10,12.13,60300,11.97
2014-04-04,12.66,12.68,12.03,12.49,56900,12.33
2014-04-03,13.18,13.18,12.40,12.56,45900,12.40
2014-04-02,12.73,13.41,12.65,13.18,77000,13.01
2014-04-01,12.18,12.74,12.18,12.73,41300,12.56
2014-03-31,12.18,12.42,11.95,12.13,43800,11.97
2014-03-28,12.35,12.61,12.00,12.07,39000,11.91
2014-03-27,12.12,12.35,11.91,12.19,73800,12.03
2014-03-26,12.18,12.74,11.95,12.08,104700,11.92
2014-03-25,12.17,12.18,11.89,12.06,53300,11.90
2014-03-24,12.20,12.23,11.94,12.05,57000,11.89
2014-03-21,12.20,12.20,11.53,12.20,112400,12.04
2014-03-20,12.33,12.39,12.00,12.07,55100,11.91
2014-03-19,12.77,12.84,12.18,12.43,56100,12.27
2014-03-18,12.61,12.85,12.37,12.73,34500,12.56
2014-03-17,12.24,12.89,12.04,12.34,59200,12.18
2014-03-14,12.04,12.38,11.61,12.12,44200,11.96
