Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,2.39,2.39,2.32,2.33,213100,2.33
2014-06-18,2.35,2.38,2.32,2.38,246600,2.38
2014-06-17,2.31,2.38,2.30,2.36,340500,2.36
2014-06-16,2.28,2.35,2.28,2.34,237600,2.34
2014-06-13,2.32,2.35,2.28,2.30,311700,2.30
2014-06-12,2.28,2.32,2.28,2.30,403100,2.30
2014-06-11,2.29,2.37,2.27,2.30,874300,2.30
2014-06-10,2.28,2.31,2.25,2.31,354700,2.31
2014-06-09,2.20,2.30,2.20,2.27,281700,2.27
2014-06-06,2.23,2.25,2.20,2.22,421100,2.22
2014-06-05,2.20,2.25,2.18,2.25,304100,2.25
2014-06-04,2.29,2.30,2.18,2.19,552200,2.19
2014-06-03,2.35,2.37,2.21,2.28,1037600,2.28
2014-06-02,2.47,2.50,2.35,2.37,871300,2.37
2014-05-30,2.60,2.60,2.17,2.42,3284100,2.42
2014-05-29,3.12,3.15,2.91,2.94,1097100,2.94
2014-05-28,3.13,3.13,3.00,3.10,350600,3.10
2014-05-27,3.06,3.15,3.04,3.11,369900,3.11
2014-05-23,2.95,3.03,2.92,3.00,482800,3.00
2014-05-22,2.86,2.93,2.85,2.89,140200,2.89
2014-05-21,2.89,2.94,2.83,2.88,124400,2.88
2014-05-20,2.93,2.97,2.83,2.89,331800,2.89
2014-05-19,2.93,2.98,2.87,2.96,168600,2.96
2014-05-16,2.88,2.98,2.83,2.96,193400,2.96
2014-05-15,2.88,2.92,2.82,2.89,169300,2.89
2014-05-14,3.00,3.00,2.88,2.90,313800,2.90
2014-05-13,2.84,3.03,2.84,3.00,571200,3.00
2014-05-12,2.72,2.84,2.71,2.83,324400,2.83
2014-05-09,2.63,2.70,2.62,2.69,116600,2.69
2014-05-08,2.64,2.79,2.62,2.65,228400,2.65
2014-05-07,2.71,2.71,2.56,2.63,266000,2.63
2014-05-06,2.81,2.81,2.67,2.68,249400,2.68
2014-05-05,2.80,2.84,2.74,2.81,136900,2.81
2014-05-02,2.86,2.91,2.74,2.79,183300,2.79
2014-05-01,2.86,2.91,2.78,2.84,250300,2.84
2014-04-30,2.71,2.90,2.69,2.88,308600,2.88
2014-04-29,2.78,2.81,2.71,2.73,185300,2.73
2014-04-28,2.83,2.90,2.71,2.77,238300,2.77
2014-04-25,2.96,2.96,2.80,2.81,207700,2.81
2014-04-24,2.85,3.00,2.78,2.99,254800,2.99
2014-04-23,2.90,2.93,2.84,2.85,149200,2.85
2014-04-22,2.86,2.95,2.82,2.87,210600,2.87
2014-04-21,2.81,2.89,2.76,2.84,121200,2.84
2014-04-17,2.77,2.81,2.69,2.78,165000,2.78
2014-04-16,2.73,2.78,2.71,2.77,144900,2.77
2014-04-15,2.69,2.79,2.61,2.70,257100,2.70
2014-04-14,2.75,2.83,2.65,2.68,423000,2.68
2014-04-11,2.81,2.86,2.75,2.76,219400,2.76
2014-04-10,2.96,3.03,2.83,2.85,339600,2.85
2014-04-09,2.96,2.99,2.90,2.98,118700,2.98
2014-04-08,2.92,2.96,2.88,2.94,196500,2.94
2014-04-07,3.02,3.04,2.86,2.88,294700,2.88
2014-04-04,3.11,3.13,2.93,3.01,336000,3.01
2014-04-03,3.11,3.18,3.03,3.08,447200,3.08
2014-04-02,3.00,3.13,3.00,3.11,393100,3.11
2014-04-01,2.96,3.10,2.93,2.97,354800,2.97
2014-03-31,2.89,2.98,2.87,2.97,439600,2.97
2014-03-28,2.87,2.97,2.85,2.86,199200,2.86
2014-03-27,2.88,2.96,2.85,2.85,333100,2.85
2014-03-26,2.91,2.99,2.80,2.84,550300,2.84
2014-03-25,3.04,3.10,2.89,2.91,492200,2.91
2014-03-24,3.09,3.13,3.03,3.06,294500,3.06
2014-03-21,3.02,3.15,3.02,3.06,639400,3.06
2014-03-20,3.09,3.20,3.03,3.05,312100,3.05
2014-03-19,3.17,3.30,3.10,3.11,1492100,3.11
2014-03-18,2.82,3.00,2.82,3.00,863600,3.00
2014-03-17,2.85,2.87,2.80,2.82,182900,2.82
2014-03-14,2.75,2.84,2.75,2.82,176100,2.82
2014-03-13,2.83,2.83,2.75,2.76,208800,2.76
2014-03-12,2.86,2.92,2.80,2.81,216900,2.81
2014-03-11,3.01,3.01,2.85,2.86,234000,2.86
2014-03-10,2.90,3.00,2.87,2.98,201700,2.98
2014-03-07,2.93,3.02,2.91,2.92,207900,2.92
2014-03-06,3.00,3.03,2.89,2.90,249900,2.90
2014-03-05,2.98,3.02,2.98,2.99,148400,2.99
2014-03-04,2.88,3.02,2.85,2.98,617200,2.98
2014-03-03,2.84,2.97,2.77,2.84,376500,2.84
2014-02-28,3.01,3.05,2.85,2.86,226100,2.86
2014-02-27,2.94,3.03,2.87,3.00,477800,3.00
2014-02-26,2.78,2.93,2.78,2.93,311100,2.93
2014-02-25,2.80,2.84,2.75,2.77,244000,2.77
2014-02-24,2.78,2.82,2.75,2.80,249300,2.80
2014-02-21,2.76,2.81,2.76,2.79,263000,2.79
2014-02-20,2.75,2.77,2.71,2.73,131800,2.73
2014-02-19,2.77,2.80,2.74,2.76,315900,2.76
2014-02-18,2.70,2.78,2.70,2.77,280300,2.77
2014-02-14,2.75,2.75,2.66,2.67,246600,2.67
2014-02-13,2.69,2.78,2.69,2.77,73400,2.77
2014-02-12,2.75,2.78,2.71,2.71,99900,2.71
2014-02-11,2.69,2.76,2.68,2.75,153600,2.75
2014-02-10,2.71,2.76,2.66,2.68,224300,2.68
2014-02-07,2.68,2.73,2.65,2.69,467200,2.69
2014-02-06,2.67,2.70,2.66,2.69,148300,2.69
2014-02-05,2.87,2.87,2.65,2.66,819900,2.66
2014-02-04,2.88,2.89,2.86,2.87,364400,2.87
2014-02-03,2.88,2.89,2.80,2.86,608000,2.86
2014-01-31,2.80,2.92,2.80,2.88,436400,2.88
2014-01-30,2.87,2.90,2.83,2.86,257400,2.86
2014-01-29,2.83,2.88,2.81,2.85,460600,2.85
2014-01-28,2.83,2.87,2.81,2.85,316700,2.85
2014-01-27,2.90,2.94,2.81,2.83,454200,2.83
2014-01-24,2.90,2.90,2.83,2.88,398200,2.88
2014-01-23,2.91,2.94,2.85,2.90,537200,2.90
2014-01-22,2.92,2.92,2.87,2.91,378500,2.91
2014-01-21,2.90,2.92,2.86,2.90,601600,2.90
2014-01-17,2.87,2.92,2.84,2.85,551600,2.85
2014-01-16,2.86,2.89,2.82,2.86,528900,2.86
2014-01-15,2.84,2.90,2.80,2.86,863300,2.86
2014-01-14,2.88,2.90,2.81,2.83,577800,2.83
2014-01-13,2.87,2.96,2.80,2.88,707200,2.88
2014-01-10,2.77,3.00,2.69,2.88,3235300,2.88
2014-01-09,3.40,3.45,3.21,3.43,806400,3.43
2014-01-08,3.58,3.60,3.33,3.37,543000,3.37
2014-01-07,3.62,3.70,3.56,3.58,578200,3.58
2014-01-06,3.65,3.70,3.60,3.65,608100,3.65
2014-01-03,3.45,3.64,3.44,3.64,578000,3.64
2014-01-02,3.31,3.45,3.31,3.44,382500,3.44
2013-12-31,3.37,3.38,3.25,3.34,344800,3.34
2013-12-30,3.39,3.45,3.35,3.38,183500,3.38
2013-12-27,3.37,3.44,3.37,3.41,234300,3.41
2013-12-26,3.55,3.56,3.31,3.35,525600,3.35
2013-12-24,3.48,3.58,3.44,3.57,132400,3.57
2013-12-23,3.25,3.57,3.25,3.50,643000,3.50
2013-12-20,3.33,3.38,3.24,3.26,561500,3.26
2013-12-19,3.29,3.38,3.20,3.33,387100,3.33
2013-12-18,3.26,3.32,3.19,3.30,373000,3.30
2013-12-17,3.17,3.26,3.12,3.24,407300,3.24
2013-12-16,3.30,3.30,3.13,3.17,450300,3.17
2013-12-13,3.16,3.31,3.15,3.25,519100,3.25
2013-12-12,3.22,3.31,3.13,3.14,461400,3.14
2013-12-11,3.36,3.36,3.19,3.20,493200,3.20
2013-12-10,3.36,3.41,3.26,3.36,608700,3.36
2013-12-09,3.26,3.48,3.20,3.39,1262500,3.39
2013-12-06,3.20,3.44,2.92,3.28,3440900,3.28
2013-12-05,2.80,2.81,2.50,2.76,1471400,2.76
2013-12-04,2.84,2.87,2.72,2.80,304300,2.80
2013-12-03,2.94,2.94,2.82,2.84,283500,2.84
2013-12-02,2.91,2.96,2.89,2.93,199200,2.93
2013-11-29,2.96,2.99,2.90,2.91,124100,2.91
2013-11-27,2.98,2.98,2.86,2.90,259200,2.90
2013-11-26,3.00,3.01,2.90,3.00,360500,3.00
2013-11-25,2.94,2.99,2.94,2.99,390900,2.99
2013-11-22,2.98,3.05,2.90,2.95,475500,2.95
2013-11-21,2.90,3.03,2.90,2.98,466100,2.98
2013-11-20,2.94,2.95,2.88,2.90,323400,2.90
2013-11-19,2.86,2.97,2.85,2.91,430100,2.91
2013-11-18,2.83,2.89,2.81,2.87,384200,2.87
2013-11-15,2.74,2.84,2.59,2.78,1449000,2.78
2013-11-14,2.59,2.59,2.53,2.59,233700,2.59
2013-11-13,2.51,2.58,2.51,2.56,258300,2.56
2013-11-12,2.56,2.60,2.50,2.51,436600,2.51
2013-11-11,2.54,2.58,2.52,2.56,110800,2.56
2013-11-08,2.51,2.60,2.49,2.54,286400,2.54
2013-11-07,2.50,2.57,2.48,2.48,284200,2.48
2013-11-06,2.60,2.60,2.49,2.50,304800,2.50
2013-11-05,2.64,2.65,2.56,2.58,256200,2.58
2013-11-04,2.62,2.68,2.58,2.65,568100,2.65
2013-11-01,2.67,2.68,2.56,2.59,359500,2.59
2013-10-31,2.70,2.72,2.61,2.69,531400,2.69
2013-10-30,2.75,2.77,2.66,2.69,324300,2.69
2013-10-29,2.77,2.79,2.71,2.75,236600,2.75
2013-10-28,2.83,2.84,2.72,2.75,390800,2.75
2013-10-25,2.68,2.85,2.64,2.83,430900,2.83
2013-10-24,2.66,2.70,2.61,2.65,567800,2.65
2013-10-23,2.63,2.66,2.63,2.64,316600,2.64
2013-10-22,2.62,2.66,2.57,2.64,636300,2.64
2013-10-21,2.72,2.74,2.56,2.59,669900,2.59
2013-10-18,2.69,2.77,2.52,2.69,1237800,2.69
2013-10-17,2.73,2.77,2.64,2.66,440100,2.66
2013-10-16,2.90,2.90,2.70,2.73,624500,2.73
2013-10-15,2.89,2.92,2.79,2.88,353600,2.88
2013-10-14,2.91,2.96,2.85,2.88,330300,2.88
2013-10-11,2.78,2.97,2.75,2.95,551700,2.95
