Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,6.47,6.62,6.45,6.47,14400,6.47
2014-06-18,6.57,6.68,6.50,6.65,10200,6.65
2014-06-17,6.46,6.59,6.38,6.58,12100,6.58
2014-06-16,6.44,6.57,6.41,6.56,10900,6.56
2014-06-13,6.50,6.51,6.37,6.50,2500,6.50
2014-06-12,6.48,6.60,6.35,6.45,12400,6.45
2014-06-11,6.41,6.59,6.41,6.59,1800,6.59
2014-06-10,6.40,6.56,6.40,6.56,11000,6.56
2014-06-09,6.34,6.40,6.07,6.39,18800,6.39
2014-06-06,6.33,6.47,6.33,6.40,8100,6.40
2014-06-05,6.33,6.40,6.30,6.34,3600,6.34
2014-06-04,6.39,6.39,6.27,6.32,8400,6.32
2014-06-03,6.26,6.44,6.26,6.36,1600,6.36
2014-06-02,6.32,6.36,6.26,6.33,10600,6.33
2014-05-30,6.38,6.48,6.38,6.42,8700,6.42
2014-05-29,6.49,6.49,6.41,6.42,2100,6.42
2014-05-28,6.43,6.59,6.43,6.53,10500,6.53
2014-05-27,6.37,6.44,6.31,6.41,16500,6.41
2014-05-23,6.22,6.40,6.22,6.25,7900,6.25
2014-05-22,6.19,6.39,6.07,6.16,15300,6.16
2014-05-21,6.27,6.34,6.17,6.23,8200,6.23
2014-05-20,6.24,6.37,6.10,6.28,5500,6.28
2014-05-19,6.17,6.40,6.16,6.30,23000,6.30
2014-05-16,6.30,6.31,6.10,6.10,16800,6.10
2014-05-15,6.27,6.33,6.20,6.20,6400,6.20
2014-05-14,6.39,6.42,6.35,6.35,3100,6.35
2014-05-13,6.41,6.52,6.03,6.41,21300,6.41
2014-05-12,6.67,6.68,6.35,6.44,50800,6.44
2014-05-09,6.55,6.71,6.43,6.61,6300,6.61
2014-05-08,6.59,6.67,6.51,6.55,12600,6.55
2014-05-07,6.56,6.72,6.50,6.64,23600,6.64
2014-05-06,6.56,6.74,6.51,6.65,5500,6.65
2014-05-05,6.50,6.70,6.43,6.64,9700,6.64
2014-05-02,6.63,6.86,6.50,6.50,26100,6.50
2014-05-01,6.80,6.81,6.57,6.71,13400,6.71
2014-04-30,6.85,6.88,6.70,6.78,15000,6.78
2014-04-29,6.80,6.89,6.80,6.81,8200,6.81
2014-04-28,6.87,6.95,6.80,6.88,12200,6.88
2014-04-25,6.65,6.89,6.65,6.80,7400,6.80
2014-04-24,6.80,6.90,6.49,6.90,19300,6.90
2014-04-23,6.65,6.87,6.63,6.86,8800,6.86
2014-04-22,6.38,6.65,6.35,6.65,16400,6.65
2014-04-21,6.34,6.48,6.28,6.46,7900,6.46
2014-04-17,6.50,6.50,6.32,6.50,3900,6.50
2014-04-16,6.50,6.50,6.21,6.44,5800,6.44
2014-04-15,6.30,6.50,6.14,6.33,27200,6.33
2014-04-14,6.49,6.51,6.33,6.39,5600,6.39
2014-04-11,6.57,6.57,6.28,6.42,19000,6.42
2014-04-10,6.55,6.70,6.53,6.56,10400,6.56
2014-04-09,6.44,6.66,6.44,6.56,49100,6.56
2014-04-08,6.51,6.83,6.51,6.83,11600,6.83
2014-04-07,6.83,6.83,6.57,6.67,8300,6.67
2014-04-04,6.75,6.81,6.74,6.81,2200,6.81
2014-04-03,6.67,6.75,6.65,6.75,4500,6.75
2014-04-02,6.67,6.70,6.66,6.69,5500,6.69
2014-04-01,6.75,6.75,6.69,6.74,9700,6.74
2014-03-31,6.60,6.75,6.60,6.74,6900,6.74
2014-03-28,6.73,6.73,6.56,6.59,9100,6.59
2014-03-27,6.75,6.75,6.50,6.55,22500,6.55
2014-03-26,6.70,6.82,6.68,6.68,7700,6.68
2014-03-25,6.82,6.83,6.60,6.72,10200,6.72
2014-03-24,6.82,6.82,6.70,6.81,9000,6.81
2014-03-21,6.82,6.85,6.76,6.81,6400,6.81
