Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,27.66,27.71,27.55,27.66,133000,27.66
2014-06-18,27.32,27.59,27.32,27.57,23000,27.57
2014-06-17,27.20,27.35,27.12,27.32,22500,27.32
2014-06-16,27.01,27.22,27.01,27.19,20900,27.19
2014-06-13,27.03,27.03,26.85,27.01,15800,27.01
2014-06-12,27.06,27.09,26.85,26.91,17600,26.91
2014-06-11,27.00,27.03,26.90,27.01,13200,27.01
2014-06-10,27.04,27.07,26.90,26.93,27600,26.93
2014-06-09,27.00,27.18,27.00,27.12,8200,27.12
2014-06-06,26.81,27.02,26.81,26.94,45800,26.94
2014-06-05,26.67,26.86,26.59,26.86,8300,26.86
2014-06-04,26.31,26.55,26.31,26.50,12000,26.50
2014-06-03,26.46,26.47,26.35,26.46,9000,26.46
2014-06-02,26.38,26.42,26.24,26.40,78100,26.40
2014-05-30,26.38,26.38,26.24,26.31,10500,26.31
2014-05-29,26.21,26.46,26.21,26.32,10700,26.32
2014-05-28,26.34,26.34,26.20,26.24,20100,26.24
2014-05-27,26.02,26.37,26.02,26.37,15000,26.37
2014-05-23,25.75,25.99,25.75,25.98,12500,25.98
2014-05-22,25.38,25.71,25.38,25.64,27500,25.64
2014-05-21,25.36,25.46,25.32,25.46,6500,25.46
2014-05-20,25.40,25.40,25.16,25.20,34400,25.20
2014-05-19,25.45,25.56,25.40,25.43,28000,25.43
2014-05-16,25.37,25.52,25.31,25.52,16800,25.52
2014-05-15,25.60,25.61,25.31,25.44,44400,25.44
2014-05-14,25.90,25.90,25.65,25.69,66000,25.69
2014-05-13,26.03,26.08,25.90,25.90,29000,25.90
2014-05-12,25.56,26.05,25.56,25.92,25400,25.92
2014-05-09,25.51,25.58,25.50,25.55,16400,25.55
2014-05-08,25.51,25.96,25.51,25.60,63900,25.60
2014-05-07,26.02,26.02,25.69,25.73,486200,25.73
2014-05-06,26.03,26.10,25.94,26.04,18000,26.04
2014-05-05,26.02,26.09,25.88,26.03,23400,26.03
2014-05-02,26.00,26.20,25.99,26.18,16000,26.18
2014-05-01,25.94,26.17,25.91,26.11,242200,26.11
2014-04-30,25.85,26.09,25.84,26.09,23300,26.09
2014-04-29,26.04,26.16,26.04,26.10,38000,26.10
2014-04-28,26.18,26.32,25.92,26.22,27900,26.22
2014-04-25,26.51,26.51,26.15,26.19,23400,26.19
2014-04-24,26.70,26.70,26.44,26.62,15700,26.62
2014-04-23,26.64,26.68,26.60,26.62,18000,26.62
2014-04-22,26.76,26.87,26.60,26.80,38100,26.80
2014-04-21,26.71,26.73,26.52,26.71,17900,26.71
2014-04-17,26.55,26.74,26.50,26.68,10200,26.68
2014-04-16,26.30,26.46,26.17,26.46,7400,26.46
2014-04-15,26.01,26.19,25.75,26.13,35900,26.13
2014-04-14,26.26,26.28,26.00,26.14,24200,26.14
2014-04-11,26.20,26.38,26.08,26.18,37000,26.18
2014-04-10,26.99,26.99,26.20,26.30,46100,26.30
2014-04-09,26.72,27.08,26.72,27.08,20300,27.08
2014-04-08,26.79,26.85,26.55,26.75,24300,26.75
2014-04-07,27.00,27.03,26.67,26.87,45000,26.87
2014-04-04,27.71,27.71,27.03,27.09,27100,27.09
2014-04-03,27.71,27.71,27.58,27.68,52100,27.68
2014-04-02,27.72,27.72,27.53,27.71,28900,27.71
2014-04-01,27.45,27.61,27.44,27.58,52300,27.58
2014-03-31,27.29,27.30,27.18,27.21,44800,27.21
2014-03-28,26.89,27.10,26.88,26.88,14300,26.88
2014-03-27,26.67,27.00,26.63,26.70,11500,26.70
2014-03-26,27.28,27.28,26.87,26.87,52900,26.87
2014-03-25,27.00,27.12,26.84,27.03,154100,27.03
2014-03-24,26.97,26.99,26.50,26.76,33200,26.76
2014-03-21,27.04,27.04,26.70,26.75,17300,26.75
2014-03-20,26.75,26.88,26.68,26.82,14400,26.82
2014-03-19,27.08,27.08,26.61,26.90,36300,26.90
2014-03-18,26.82,27.03,26.82,26.99,19300,26.99
2014-03-17,26.61,26.85,26.61,26.73,52900,26.73
2014-03-14,26.43,26.63,26.27,26.48,25900,26.48
2014-03-13,26.94,27.12,26.50,26.58,42700,26.58
2014-03-12,26.91,27.00,26.78,26.97,23000,26.97
2014-03-11,27.45,27.46,27.07,27.08,24600,27.08
2014-03-10,27.53,27.53,27.28,27.43,23200,27.43
2014-03-07,27.75,27.77,27.42,27.56,58400,27.56
2014-03-06,27.45,27.67,27.44,27.61,63000,27.61
2014-03-05,27.45,27.45,27.37,27.44,28200,27.44
2014-03-04,27.20,27.49,27.20,27.41,67000,27.41
2014-03-03,27.09,27.09,26.81,26.96,76400,26.96
2014-02-28,27.43,27.53,27.24,27.35,51700,27.35
