Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,7.80,7.90,7.67,7.74,283300,7.74
2014-06-18,7.61,7.79,7.55,7.79,305800,7.79
2014-06-17,7.51,7.61,7.46,7.58,541300,7.58
2014-06-16,7.51,7.62,7.51,7.52,158000,7.52
2014-06-13,7.55,7.68,7.51,7.54,306400,7.54
2014-06-12,7.54,7.70,7.44,7.51,394500,7.51
2014-06-11,7.72,7.76,7.45,7.58,601600,7.58
2014-06-10,7.95,8.02,7.77,7.78,467600,7.78
2014-06-09,8.04,8.06,7.85,7.97,608900,7.97
2014-06-06,7.94,8.13,7.93,8.06,639900,8.06
2014-06-05,7.57,7.94,7.50,7.93,585700,7.93
2014-06-04,7.70,7.70,7.41,7.53,468200,7.53
2014-06-03,7.67,7.80,7.56,7.69,396000,7.69
2014-06-02,7.89,7.90,7.63,7.73,322500,7.73
2014-05-30,7.76,7.88,7.66,7.87,249100,7.87
2014-05-29,7.88,7.88,7.76,7.80,170800,7.80
2014-05-28,7.91,7.94,7.80,7.87,256200,7.87
2014-05-27,7.81,8.00,7.73,7.94,256500,7.94
2014-05-23,7.79,7.83,7.51,7.73,432800,7.73
2014-05-22,7.60,7.86,7.59,7.82,283500,7.82
2014-05-21,7.60,7.69,7.45,7.61,263000,7.61
2014-05-20,7.81,7.84,7.47,7.59,581500,7.59
2014-05-19,7.59,7.87,7.56,7.86,666300,7.86
2014-05-16,7.48,7.62,7.31,7.61,514000,7.61
2014-05-15,7.71,7.71,7.29,7.50,657200,7.50
2014-05-14,8.14,8.21,7.68,7.72,683800,7.72
2014-05-13,7.95,8.22,7.90,8.18,737400,8.18
2014-05-12,7.77,8.00,7.75,8.00,420200,8.00
2014-05-09,7.79,7.91,7.69,7.76,435500,7.76
2014-05-08,7.67,8.16,7.60,7.83,726200,7.83
2014-05-07,7.75,7.75,7.57,7.65,516700,7.65
2014-05-06,7.78,7.97,7.72,7.73,809600,7.73
2014-05-05,7.72,7.89,7.65,7.81,483700,7.81
2014-05-02,7.80,7.80,7.63,7.76,640300,7.76
2014-05-01,7.67,7.82,7.54,7.80,743000,7.80
2014-04-30,7.67,7.79,7.56,7.71,852300,7.71
2014-04-29,7.72,7.90,7.67,7.67,542200,7.67
2014-04-28,7.73,7.82,7.57,7.69,511500,7.69
2014-04-25,7.64,7.73,7.52,7.71,411400,7.71
2014-04-24,7.54,7.84,7.44,7.68,1184600,7.68
2014-04-23,7.63,7.66,7.45,7.45,627400,7.45
2014-04-22,7.54,7.76,7.51,7.62,667700,7.62
2014-04-21,7.25,7.60,7.21,7.53,759000,7.53
2014-04-17,7.15,7.43,7.10,7.23,1180800,7.23
2014-04-16,6.83,7.23,6.75,7.14,1207600,7.14
2014-04-15,6.84,6.96,6.69,6.81,813400,6.81
2014-04-14,6.74,7.02,6.74,6.84,1319000,6.84
2014-04-11,6.59,6.81,6.51,6.68,1404500,6.68
2014-04-10,6.38,6.90,6.38,6.68,5530700,6.68
2014-04-09,5.84,6.42,5.81,5.96,1760100,5.96
2014-04-08,5.58,5.90,5.57,5.84,1115300,5.84
2014-04-07,5.58,5.61,5.45,5.60,791700,5.60
2014-04-04,5.70,5.70,5.59,5.60,508400,5.60
2014-04-03,5.73,5.75,5.52,5.68,649200,5.68
2014-04-02,5.69,5.76,5.66,5.71,694400,5.71
2014-04-01,5.65,5.75,5.61,5.66,552500,5.66
2014-03-31,5.37,5.70,5.30,5.61,675800,5.61
2014-03-28,5.27,5.40,5.24,5.34,309700,5.34
2014-03-27,5.32,5.35,5.17,5.25,626400,5.25
2014-03-26,5.49,5.51,5.23,5.33,906500,5.33
2014-03-25,5.47,5.52,5.39,5.44,325400,5.44
2014-03-24,5.50,5.51,5.32,5.44,459000,5.44
2014-03-21,5.32,5.48,5.32,5.47,869100,5.47
2014-03-20,5.28,5.33,5.25,5.27,282500,5.27
2014-03-19,5.42,5.50,5.27,5.31,383000,5.31
2014-03-18,5.53,5.60,5.41,5.44,441400,5.44
2014-03-17,5.57,5.65,5.49,5.52,351600,5.52
2014-03-14,5.56,5.66,5.47,5.52,355500,5.52
2014-03-13,5.72,5.76,5.53,5.55,476100,5.55
2014-03-12,5.72,5.81,5.64,5.69,663100,5.69
2014-03-11,5.84,5.90,5.74,5.76,633000,5.76
2014-03-10,6.01,6.04,5.82,5.84,633100,5.84
2014-03-07,6.09,6.10,6.00,6.04,244200,6.04
2014-03-06,5.99,6.06,5.93,6.04,276000,6.04
2014-03-05,6.06,6.06,5.91,5.96,301900,5.96
2014-03-04,5.98,6.15,5.97,6.04,590200,6.04
2014-03-03,6.10,6.11,5.89,5.92,464700,5.92
2014-02-28,6.12,6.16,6.04,6.13,637600,6.13
2014-02-27,6.04,6.19,6.01,6.10,466500,6.10
2014-02-26,5.97,6.03,5.93,6.01,563900,6.01
2014-02-25,5.89,6.04,5.86,5.96,627600,5.96
2014-02-24,5.68,5.99,5.68,5.87,789800,5.87
2014-02-21,5.59,5.79,5.59,5.66,811000,5.66
2014-02-20,5.56,5.70,5.53,5.59,256100,5.59
2014-02-19,5.64,5.72,5.53,5.53,231300,5.53
2014-02-18,5.70,5.78,5.65,5.68,193700,5.68
2014-02-14,5.68,5.78,5.64,5.69,239900,5.69
2014-02-13,5.60,5.72,5.58,5.67,311500,5.67
2014-02-12,5.77,5.80,5.61,5.65,322900,5.65
2014-02-11,5.77,5.86,5.75,5.80,318700,5.80
2014-02-10,5.67,5.78,5.66,5.75,338800,5.75
2014-02-07,5.75,5.79,5.64,5.68,643300,5.68
2014-02-06,5.17,5.51,5.17,5.51,619200,5.51
2014-02-05,5.38,5.41,5.14,5.17,651300,5.17
2014-02-04,5.44,5.51,5.37,5.40,394100,5.40
