Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,10.82,10.87,10.63,10.71,1975000,10.71
2014-06-18,10.49,10.98,10.49,10.92,2190200,10.92
2014-06-17,10.39,10.61,10.38,10.51,1763000,10.51
2014-06-16,10.36,10.50,10.30,10.46,1770900,10.46
2014-06-13,10.35,10.50,10.32,10.43,1543700,10.43
2014-06-12,10.30,10.44,10.15,10.26,1335100,10.26
2014-06-11,10.51,10.51,10.15,10.29,2197800,10.29
2014-06-10,10.15,10.35,10.11,10.29,1556800,10.29
2014-06-09,9.77,10.22,9.70,10.17,1711700,10.17
2014-06-06,9.79,10.04,9.74,9.77,2295300,9.77
2014-06-05,9.75,9.82,9.53,9.57,1407200,9.57
2014-06-04,9.60,9.78,9.55,9.73,951500,9.73
2014-06-03,9.64,9.74,9.58,9.63,1594100,9.63
2014-06-02,9.79,9.87,9.64,9.68,1063600,9.68
2014-05-30,9.85,9.96,9.71,9.79,1583300,9.79
2014-05-29,9.97,10.04,9.86,9.88,1209000,9.88
2014-05-28,9.87,10.05,9.72,10.03,1321800,10.03
2014-05-27,10.10,10.17,9.81,9.86,1306900,9.86
2014-05-23,10.08,10.16,9.94,10.09,1551400,10.09
2014-05-22,10.22,10.25,10.09,10.16,1265800,10.16
2014-05-21,10.02,10.19,9.99,10.08,2454800,10.08
2014-05-20,10.11,10.32,10.03,10.09,1446800,10.09
2014-05-19,10.01,10.35,9.96,10.32,1992100,10.32
2014-05-16,9.87,10.10,9.72,10.05,2270100,10.05
2014-05-15,9.64,9.68,9.46,9.53,1772500,9.53
2014-05-14,9.77,9.88,9.70,9.71,1401800,9.71
2014-05-13,9.78,9.95,9.78,9.78,1733100,9.78
2014-05-12,9.57,9.84,9.57,9.83,1362600,9.83
2014-05-09,9.58,9.76,9.50,9.58,2111400,9.58
2014-05-08,9.66,9.80,9.49,9.54,2127200,9.54
2014-05-07,9.72,9.80,9.60,9.75,1672600,9.75
2014-05-06,9.66,9.91,9.62,9.75,1867900,9.75
2014-05-05,9.82,9.84,9.55,9.61,1607500,9.61
2014-05-02,9.59,9.94,9.49,9.93,2890000,9.93
2014-05-01,9.50,9.64,9.37,9.58,1603300,9.58
2014-04-30,9.39,9.58,9.34,9.48,1716300,9.48
2014-04-29,9.61,9.75,9.42,9.44,2147900,9.44
2014-04-28,9.40,9.52,9.28,9.45,1949200,9.45
2014-04-25,9.54,9.60,9.32,9.52,2047400,9.52
2014-04-24,9.73,9.74,9.46,9.69,2139700,9.69
2014-04-23,9.54,9.67,9.46,9.57,3859400,9.57
2014-04-22,9.54,9.63,9.40,9.58,3393900,9.58
2014-04-21,9.43,9.75,9.41,9.51,2067400,9.51
2014-04-17,9.12,9.35,9.08,9.34,3067600,9.34
