Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,17.53,17.53,17.28,17.33,95300,17.33
2014-06-18,17.40,17.47,17.22,17.44,139300,17.44
2014-06-17,17.98,17.98,17.71,17.73,62000,17.45
2014-06-16,17.88,17.98,17.70,17.81,74200,17.53
2014-06-13,17.85,17.87,17.72,17.85,50200,17.57
2014-06-12,17.77,17.79,17.43,17.79,67900,17.51
2014-06-11,17.78,17.80,17.60,17.80,80200,17.52
2014-06-10,17.53,17.71,17.45,17.69,66900,17.41
2014-06-09,17.48,17.49,17.36,17.49,46500,17.21
2014-06-06,17.30,17.43,17.25,17.42,79300,17.14
2014-06-05,17.14,17.29,17.00,17.29,164800,17.02
2014-06-04,17.00,17.06,16.95,17.00,38600,16.73
2014-06-03,17.00,17.05,16.94,16.99,108200,16.72
2014-06-02,16.98,17.00,16.94,17.00,38200,16.73
2014-05-30,16.95,16.98,16.94,16.98,42600,16.71
2014-05-29,16.90,16.95,16.88,16.95,47700,16.68
2014-05-28,16.84,16.90,16.84,16.88,35300,16.61
2014-05-27,16.87,16.90,16.84,16.84,46500,16.57
2014-05-23,16.80,16.90,16.80,16.82,29400,16.55
2014-05-22,16.72,16.85,16.72,16.80,33300,16.53
2014-05-21,16.77,16.83,16.68,16.68,29800,16.42
2014-05-20,16.76,16.78,16.67,16.73,42000,16.47
2014-05-19,16.78,16.80,16.72,16.80,31200,16.53
2014-05-16,16.61,16.75,16.61,16.75,46700,16.49
2014-05-15,16.67,16.67,16.53,16.57,38500,16.31
2014-05-14,16.62,16.69,16.60,16.66,32700,16.40
2014-05-13,16.52,16.61,16.52,16.59,48400,16.33
2014-05-12,16.48,16.55,16.48,16.52,34200,16.26
2014-05-09,16.52,16.52,16.44,16.47,25300,16.21
2014-05-08,16.50,16.58,16.44,16.49,34000,16.23
2014-05-07,16.50,16.50,16.43,16.49,35900,16.23
2014-05-06,16.48,16.50,16.41,16.50,30500,16.24
2014-05-05,16.43,16.49,16.39,16.45,35500,16.19
2014-05-02,16.47,16.49,16.44,16.46,24200,16.20
2014-05-01,16.46,16.49,16.43,16.47,33900,16.21
2014-04-30,16.49,16.49,16.41,16.47,44200,16.21
2014-04-29,16.40,16.49,16.40,16.49,24100,16.23
2014-04-28,16.35,16.39,16.29,16.39,34900,16.13
2014-04-25,16.35,16.35,16.28,16.35,40300,16.09
2014-04-24,16.36,16.38,16.25,16.38,44100,16.12
2014-04-23,16.32,16.40,16.31,16.36,54000,16.10
2014-04-22,16.30,16.35,16.27,16.30,45200,16.04
2014-04-21,16.20,16.29,16.18,16.26,33000,16.00
2014-04-17,16.23,16.24,16.19,16.22,44600,15.96
2014-04-16,16.09,16.20,16.06,16.20,30500,15.94
2014-04-15,16.05,16.09,15.98,16.02,47200,15.77
2014-04-14,16.03,16.10,15.95,15.98,109200,15.73
2014-04-11,15.98,15.99,15.90,15.90,26800,15.65
2014-04-10,16.14,16.19,15.97,16.02,71800,15.77
2014-04-09,16.09,16.14,16.03,16.13,30700,15.88
2014-04-08,16.06,16.06,15.95,16.05,38100,15.80
2014-04-07,16.15,16.15,15.99,16.02,29600,15.77
2014-04-04,16.34,16.34,16.11,16.17,100100,15.91
2014-04-03,16.20,16.20,16.16,16.17,32100,15.91
2014-04-02,16.16,16.19,16.16,16.19,32100,15.93
2014-04-01,16.10,16.19,16.08,16.19,61200,15.93
2014-03-31,15.98,16.12,15.98,16.10,39400,15.85
2014-03-28,15.96,16.00,15.94,15.96,72300,15.71
2014-03-27,15.97,15.98,15.90,15.96,34900,15.71
2014-03-26,15.90,15.98,15.90,15.95,73800,15.70
2014-03-25,15.88,15.89,15.76,15.89,56000,15.64
2014-03-24,15.73,15.91,15.73,15.83,57300,15.58
2014-03-21,15.95,16.04,15.73,15.73,66700,15.48
