Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,25.91,26.17,25.76,25.82,219600,25.82
2014-06-18,25.59,25.92,25.46,25.86,239700,25.86
2014-06-17,24.99,25.59,24.86,25.58,229700,25.58
2014-06-16,25.74,25.86,25.00,25.06,179600,25.06
2014-06-13,25.36,25.82,25.24,25.68,318600,25.68
2014-06-12,25.38,25.47,25.05,25.24,242400,25.24
2014-06-11,25.23,25.69,25.23,25.52,221900,25.52
2014-06-10,25.12,25.33,24.89,25.30,200200,25.30
2014-06-09,25.14,25.52,24.99,25.11,155100,25.11
2014-06-06,24.95,25.18,24.87,25.09,263900,25.09
2014-06-05,24.57,25.12,24.46,24.98,234900,24.98
2014-06-04,25.00,25.00,24.13,24.56,289100,24.56
2014-06-03,24.59,24.92,24.21,24.32,251000,24.32
2014-06-02,25.00,25.12,24.58,24.76,283600,24.76
2014-05-30,25.32,25.33,24.79,24.92,233600,24.92
2014-05-29,25.31,25.41,24.93,25.32,134600,25.32
2014-05-28,24.92,25.24,24.70,25.15,411200,25.15
2014-05-27,25.57,25.57,24.46,24.99,398700,24.99
2014-05-23,25.38,25.70,25.13,25.51,367700,25.51
2014-05-22,25.98,26.07,25.57,25.72,115100,25.72
2014-05-21,25.91,26.10,25.55,25.87,236500,25.87
2014-05-20,26.31,26.31,25.45,25.70,355700,25.70
2014-05-19,26.13,26.65,26.08,26.45,223700,26.45
2014-05-16,26.69,26.72,26.25,26.33,241800,26.33
2014-05-15,26.98,27.32,26.51,26.80,261200,26.80
2014-05-14,27.75,27.90,27.10,27.11,177300,27.11
2014-05-13,27.82,28.12,27.71,27.76,277700,27.76
2014-05-12,27.23,27.98,27.21,27.79,273700,27.79
2014-05-09,26.77,27.03,26.51,26.99,248600,26.99
2014-05-08,27.01,27.31,26.82,26.93,202200,26.93
2014-05-07,27.11,27.36,26.90,27.18,246000,26.99
2014-05-06,27.44,27.69,27.06,27.10,174500,26.91
2014-05-05,27.85,27.88,27.17,27.46,219000,27.27
2014-05-02,28.08,28.65,27.83,28.02,171800,27.83
2014-05-01,28.05,28.29,27.64,27.98,255900,27.79
2014-04-30,28.28,28.28,27.65,28.07,222500,27.88
2014-04-29,28.25,28.76,28.06,28.28,180100,28.08
2014-04-28,28.13,28.44,27.70,28.11,233600,27.92
2014-04-25,27.88,28.56,27.79,28.16,256700,27.97
2014-04-24,28.19,28.27,27.79,27.95,166800,27.76
2014-04-23,27.86,28.32,27.86,28.00,196000,27.81
2014-04-22,27.96,28.21,27.62,27.87,218600,27.68
2014-04-21,27.76,28.19,27.38,27.80,210600,27.61
2014-04-17,28.13,28.35,27.77,27.81,221000,27.62
2014-04-16,28.41,28.59,27.89,28.10,165000,27.91
2014-04-15,27.77,28.26,27.33,28.14,503600,27.95
2014-04-14,27.77,28.21,27.37,27.85,370800,27.66
2014-04-11,27.75,27.76,27.20,27.53,264100,27.34
2014-04-10,28.48,28.48,27.69,27.93,325900,27.74
2014-04-09,28.64,28.95,28.22,28.47,258900,28.27
2014-04-08,28.45,28.98,28.24,28.64,232100,28.44
2014-04-07,28.42,28.98,27.92,28.33,319800,28.13
2014-04-04,29.50,29.53,28.18,28.53,359300,28.33
2014-04-03,28.16,30.04,27.90,29.22,812000,29.02
2014-04-02,27.71,28.25,27.53,28.10,389800,27.91
2014-04-01,28.90,29.12,27.58,27.83,513900,27.64
2014-03-31,28.73,29.32,28.58,28.85,350100,28.65
2014-03-28,28.69,28.94,28.37,28.55,153300,28.35
2014-03-27,28.59,28.88,28.04,28.56,270600,28.36
2014-03-26,29.30,29.31,28.39,28.50,209400,28.30
2014-03-25,29.16,29.56,29.04,29.19,205900,28.99
2014-03-24,28.88,29.14,28.48,28.81,305500,28.61
2014-03-21,27.26,28.84,27.19,28.78,725400,28.58
2014-03-20,26.78,27.42,26.50,27.09,155100,26.90
2014-03-19,27.00,27.47,26.79,26.95,178700,26.76
2014-03-18,26.48,27.27,26.40,27.06,216900,26.87
2014-03-17,26.29,26.70,26.29,26.52,210100,26.34
2014-03-14,25.82,26.25,25.62,26.17,259500,25.99
2014-03-13,26.12,26.31,25.68,25.88,194900,25.70
2014-03-12,25.58,26.35,25.58,25.97,239300,25.79
2014-03-11,25.90,26.15,25.39,25.76,225900,25.58
2014-03-10,26.18,26.18,25.51,25.93,203600,25.75
2014-03-07,26.09,26.46,25.80,26.36,299200,26.18
2014-03-06,25.93,26.37,25.93,26.20,234500,26.02
2014-03-05,25.86,26.44,25.66,25.88,372500,25.70
2014-03-04,25.28,26.15,25.20,25.93,340900,25.75
2014-03-03,25.18,25.28,24.82,24.94,252000,24.77
2014-02-28,25.80,25.80,25.31,25.37,201400,25.19
2014-02-27,25.32,25.80,25.25,25.78,193600,25.60
2014-02-26,25.19,25.71,25.04,25.35,218200,25.17
2014-02-25,25.29,25.29,24.71,25.08,259600,24.91
2014-02-24,25.24,25.96,25.06,25.46,320400,25.28
2014-02-21,25.88,25.98,25.14,25.24,271500,25.07
2014-02-20,25.60,25.84,25.27,25.76,199800,25.58
2014-02-19,25.75,26.18,25.57,25.60,245700,25.42
2014-02-18,26.60,26.60,25.86,25.93,215500,25.75
2014-02-14,26.51,26.85,26.39,26.58,258500,26.21
2014-02-13,25.86,26.78,25.83,26.43,402600,26.06
2014-02-12,25.86,26.30,25.68,25.88,212800,25.52
2014-02-11,25.34,25.94,25.34,25.86,242900,25.50
2014-02-10,25.39,25.90,25.19,25.26,171000,24.91
2014-02-07,25.63,25.80,25.23,25.51,200500,25.15
2014-02-06,25.38,25.74,25.20,25.43,316100,25.08
2014-02-05,25.27,25.79,24.75,25.32,256300,24.97
