Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,7.19,7.28,7.14,7.28,6398600,7.28
2014-06-18,7.14,7.25,7.11,7.17,6959200,7.17
2014-06-17,7.13,7.20,7.07,7.14,11318000,7.14
2014-06-16,6.99,7.20,6.95,7.13,13694100,7.13
2014-06-13,6.89,6.96,6.83,6.95,7316900,6.95
2014-06-12,6.74,6.90,6.73,6.87,9529600,6.87
2014-06-11,6.70,6.77,6.65,6.69,6777100,6.69
2014-06-10,6.76,6.79,6.69,6.70,4820300,6.70
2014-06-09,6.82,6.85,6.75,6.76,5958200,6.76
2014-06-06,6.84,6.85,6.77,6.82,4348300,6.82
2014-06-05,6.78,6.82,6.71,6.80,4223800,6.80
2014-06-04,6.65,6.79,6.63,6.78,4607700,6.78
2014-06-03,6.61,6.70,6.61,6.68,4648500,6.68
2014-06-02,6.70,6.70,6.60,6.61,5126400,6.61
2014-05-30,6.73,6.83,6.65,6.67,7451600,6.67
2014-05-29,6.60,6.78,6.60,6.74,10400000,6.74
2014-05-28,6.57,6.64,6.51,6.60,4640300,6.60
2014-05-27,6.58,6.61,6.50,6.56,5376100,6.56
2014-05-23,6.65,6.70,6.55,6.55,5950300,6.55
2014-05-22,6.76,6.87,6.65,6.65,9229500,6.65
2014-05-21,6.56,6.79,6.56,6.76,12197700,6.76
2014-05-20,6.53,6.57,6.48,6.55,7725600,6.55
2014-05-19,6.61,6.67,6.51,6.54,10180500,6.54
2014-05-16,6.76,6.77,6.60,6.62,9512400,6.62
2014-05-15,6.78,6.85,6.65,6.73,9637000,6.73
2014-05-14,6.89,6.95,6.77,6.83,8128200,6.83
2014-05-13,6.77,6.94,6.73,6.88,7836000,6.88
2014-05-12,6.68,6.77,6.63,6.75,6015300,6.75
2014-05-09,6.62,6.67,6.50,6.65,7294500,6.65
2014-05-08,6.86,6.95,6.47,6.63,14323100,6.63
2014-05-07,6.77,6.79,6.63,6.73,8396600,6.73
2014-05-06,6.85,6.88,6.66,6.70,6503100,6.70
