Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,8.35,8.45,8.12,8.34,449400,8.34
2014-06-18,8.21,8.35,8.13,8.28,513200,8.28
2014-06-17,8.19,8.29,7.99,8.18,726300,8.18
2014-06-16,8.12,8.22,8.00,8.14,620500,8.14
2014-06-13,7.64,8.10,7.62,8.10,741900,8.10
2014-06-12,7.95,8.02,7.40,7.75,652300,7.75
2014-06-11,7.83,8.17,7.75,7.92,894500,7.92
2014-06-10,7.70,7.93,7.62,7.90,711500,7.90
2014-06-09,7.41,7.86,7.32,7.76,1070600,7.76
2014-06-06,7.33,7.47,7.22,7.40,612300,7.40
2014-06-05,7.03,7.39,6.81,7.29,686500,7.29
2014-06-04,6.75,7.00,6.69,6.98,319400,6.98
2014-06-03,7.13,7.13,6.70,6.76,711900,6.76
2014-06-02,7.30,7.36,7.00,7.15,1185200,7.15
2014-05-30,7.27,7.44,7.26,7.32,756000,7.32
2014-05-29,7.18,7.41,7.14,7.34,501800,7.34
2014-05-28,7.14,7.23,6.91,7.16,547600,7.16
2014-05-27,7.07,7.24,6.99,7.14,702500,7.14
2014-05-23,7.10,7.14,6.95,7.00,336300,7.00
2014-05-22,7.05,7.10,6.91,7.00,519700,7.00
2014-05-21,6.99,7.15,6.66,7.05,1762700,7.05
2014-05-20,6.44,6.93,6.21,6.82,837200,6.82
2014-05-19,6.70,6.75,6.24,6.46,1041100,6.46
2014-05-16,6.75,7.06,6.46,6.70,1311400,6.70
2014-05-15,6.15,6.82,5.41,6.71,2883900,6.71
2014-05-14,6.96,6.97,6.74,6.86,654800,6.86
2014-05-13,6.93,7.02,6.88,6.95,385400,6.95
2014-05-12,6.83,7.02,6.73,6.93,457400,6.93
2014-05-09,6.73,6.89,6.65,6.83,540000,6.83
2014-05-08,6.64,6.94,6.60,6.80,599000,6.80
2014-05-07,6.79,6.79,6.41,6.62,598400,6.62
2014-05-06,6.92,6.92,6.74,6.79,543800,6.79
2014-05-05,6.85,7.00,6.78,6.95,250000,6.95
2014-05-02,7.06,7.06,6.66,6.86,491400,6.86
2014-05-01,6.58,7.08,6.57,7.04,698100,7.04
2014-04-30,6.50,6.56,6.32,6.56,408100,6.56
2014-04-29,6.45,6.70,6.34,6.53,466700,6.53
2014-04-28,6.85,6.85,6.16,6.37,1067900,6.37
2014-04-25,7.23,7.23,6.73,6.80,676000,6.80
2014-04-24,7.47,7.47,7.04,7.27,236900,7.27
2014-04-23,7.35,7.49,7.22,7.40,238400,7.40
2014-04-22,7.27,7.43,7.17,7.39,781200,7.39
2014-04-21,6.86,7.35,6.85,7.29,558200,7.29
2014-04-17,6.67,6.88,6.50,6.87,1198300,6.87
2014-04-16,6.77,6.93,6.67,6.72,652100,6.72
2014-04-15,7.03,7.05,6.54,6.71,694500,6.71
2014-04-14,7.16,7.19,6.94,6.98,275600,6.98
2014-04-11,7.50,7.51,7.00,7.06,363300,7.06
2014-04-10,8.14,8.14,7.51,7.59,502300,7.59
2014-04-09,7.53,7.96,7.50,7.82,757000,7.82
2014-04-08,7.26,7.43,7.12,7.37,607900,7.37
2014-04-07,7.08,7.26,6.90,7.21,528500,7.21
2014-04-04,7.22,7.37,7.01,7.10,520500,7.10
2014-04-03,7.53,7.55,7.12,7.15,467700,7.15
2014-04-02,7.37,7.56,7.20,7.51,668800,7.51
2014-04-01,7.24,7.50,7.10,7.32,634200,7.32
2014-03-31,6.98,7.12,6.70,7.05,931000,7.05
2014-03-28,6.79,7.08,6.55,6.73,1663200,6.73
2014-03-27,8.02,8.34,5.70,6.81,6665200,6.81
2014-03-26,7.96,8.08,7.62,7.70,1528400,7.70
2014-03-25,8.28,8.36,7.89,7.93,298500,7.93
2014-03-24,8.30,8.40,7.92,8.20,418900,8.20
