Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,106.72,106.98,105.62,106.60,640500,106.60
2014-06-18,105.32,106.65,105.21,106.63,589500,106.63
2014-06-17,105.33,106.54,104.89,106.10,680900,106.10
2014-06-16,104.74,105.88,104.63,105.83,642200,105.83
2014-06-13,104.80,105.26,104.02,105.24,592700,105.24
2014-06-12,104.65,105.17,104.26,104.93,527100,104.93
2014-06-11,104.98,105.58,104.60,104.80,578900,104.80
2014-06-10,105.20,105.39,104.68,105.10,453700,105.10
2014-06-09,105.94,106.68,104.85,105.66,751700,105.66
2014-06-06,104.31,105.70,104.11,105.69,654500,105.69
2014-06-05,102.95,105.42,102.85,104.31,931800,104.31
2014-06-04,102.69,103.18,102.36,102.83,950300,102.83
2014-06-03,102.45,102.95,102.12,102.94,658200,102.94
2014-06-02,102.69,102.83,102.16,102.47,538700,102.47
2014-05-30,102.68,103.21,102.26,102.60,1012600,102.60
2014-05-29,101.07,103.09,101.07,103.00,1084800,103.00
2014-05-28,100.27,100.72,99.96,100.62,562600,100.62
2014-05-27,99.53,100.62,99.53,100.44,524400,100.44
2014-05-23,98.73,99.28,98.49,99.12,250500,99.12
2014-05-22,98.80,98.97,97.99,98.75,389300,98.75
2014-05-21,98.27,99.13,97.84,99.05,555600,99.05
2014-05-20,98.09,98.49,97.91,98.07,533700,98.07
2014-05-19,98.32,98.54,98.02,98.28,401400,98.28
2014-05-16,97.63,98.59,97.50,98.56,458800,98.56
2014-05-15,98.31,98.58,97.30,97.51,484300,97.51
2014-05-14,100.11,100.11,98.57,98.59,538900,98.59
2014-05-13,100.57,100.57,99.60,100.40,450800,99.82
2014-05-12,100.40,100.66,99.74,100.61,629200,100.03
2014-05-09,99.06,100.17,98.65,100.15,539700,99.57
2014-05-08,98.62,100.13,98.58,99.19,709000,98.62
2014-05-07,96.84,98.66,96.84,98.61,783800,98.04
2014-05-06,97.05,97.23,96.37,96.45,403100,95.89
2014-05-05,96.54,97.22,96.05,97.20,333100,96.64
2014-05-02,97.29,97.34,96.56,96.94,304800,96.38
2014-05-01,96.80,97.23,95.89,97.17,455300,96.61
2014-04-30,96.65,96.95,96.07,96.68,579500,96.12
2014-04-29,97.62,97.94,96.66,96.73,507700,96.17
2014-04-28,96.17,97.58,96.04,97.46,583700,96.90
2014-04-25,96.86,97.02,95.83,96.02,405800,95.47
2014-04-24,96.54,97.07,95.87,96.99,612600,96.43
2014-04-23,96.84,97.11,96.35,96.42,397400,95.86
2014-04-22,96.81,97.10,96.53,96.93,443000,96.37
2014-04-21,96.74,96.87,96.03,96.73,307000,96.17
2014-04-17,96.58,96.86,96.15,96.70,428900,96.14
2014-04-16,96.00,96.90,95.52,96.83,522200,96.27
2014-04-15,95.76,95.76,94.48,95.08,482900,94.53
2014-04-14,95.08,95.82,94.46,95.39,575800,94.84
2014-04-11,95.00,96.00,94.12,94.33,771400,93.79
2014-04-10,97.23,97.66,95.49,95.50,582100,94.95
2014-04-09,97.25,97.37,96.73,97.23,600300,96.67
2014-04-08,97.92,97.99,96.52,97.11,743600,96.55
2014-04-07,97.45,98.55,97.45,97.90,891400,97.33
2014-04-04,98.06,98.36,97.37,97.55,616000,96.99
2014-04-03,97.48,98.03,97.17,97.90,468800,97.33
2014-04-02,97.14,97.90,96.63,97.79,572700,97.23
2014-04-01,97.28,97.49,96.51,97.14,742300,96.58
2014-03-31,96.87,97.25,96.17,97.24,791400,96.68
2014-03-28,96.60,96.83,96.22,96.48,344400,95.92
2014-03-27,96.12,96.48,95.60,96.07,499600,95.52
2014-03-26,96.12,96.61,95.48,95.93,456600,95.38
2014-03-25,95.97,96.92,95.71,95.94,496400,95.39
2014-03-24,96.46,97.15,95.88,96.21,664500,95.65
2014-03-21,97.61,97.76,95.87,96.02,1213500,95.47
2014-03-20,95.69,96.78,95.38,96.70,624700,96.14
