Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,3.52,3.55,3.48,3.52,1338200,3.52
2014-06-18,3.46,3.53,3.43,3.52,2058300,3.52
2014-06-17,3.53,3.59,3.46,3.47,2643200,3.47
2014-06-16,3.58,3.60,3.50,3.52,1945600,3.52
2014-06-13,3.56,3.61,3.48,3.61,1467200,3.61
2014-06-12,3.60,3.65,3.51,3.54,1859200,3.54
2014-06-11,3.60,3.69,3.56,3.62,1273700,3.62
2014-06-10,3.61,3.67,3.57,3.65,1154800,3.65
2014-06-09,3.69,3.73,3.63,3.65,1594300,3.65
2014-06-06,3.67,3.75,3.64,3.69,3006200,3.69
2014-06-05,3.52,3.62,3.49,3.61,1907200,3.61
2014-06-04,3.48,3.55,3.46,3.49,1168900,3.49
2014-06-03,3.54,3.59,3.45,3.48,1311500,3.48
2014-06-02,3.66,3.67,3.53,3.55,1729800,3.55
2014-05-30,3.75,3.78,3.66,3.67,2339200,3.67
2014-05-29,3.72,3.79,3.71,3.76,2944100,3.76
2014-05-28,3.72,3.78,3.65,3.73,2759600,3.73
2014-05-27,3.65,3.78,3.61,3.75,3877600,3.75
2014-05-23,3.48,3.75,3.39,3.63,3336600,3.63
2014-05-22,3.36,3.55,3.33,3.46,2819500,3.46
2014-05-21,3.26,3.42,3.26,3.36,2039300,3.36
2014-05-20,3.35,3.35,3.24,3.26,2058200,3.26
2014-05-19,3.16,3.33,3.15,3.28,934900,3.28
2014-05-16,3.21,3.22,3.11,3.19,1746200,3.19
2014-05-15,3.16,3.24,3.08,3.22,1995100,3.22
2014-05-14,3.30,3.35,3.16,3.17,1562900,3.17
2014-05-13,3.42,3.42,3.31,3.31,1716800,3.31
2014-05-12,3.35,3.48,3.32,3.45,3135200,3.45
2014-05-09,3.22,3.34,3.21,3.33,3008400,3.33
2014-05-08,3.22,3.35,3.20,3.25,3446700,3.25
2014-05-07,3.17,3.25,3.14,3.22,2382700,3.22
2014-05-06,3.20,3.24,3.15,3.17,1785000,3.17
2014-05-05,3.12,3.24,3.11,3.21,1916700,3.21
2014-05-02,3.24,3.28,3.16,3.18,2277000,3.18
2014-05-01,3.25,3.31,3.20,3.25,3280200,3.25
2014-04-30,3.20,3.46,3.17,3.27,9165200,3.27
2014-04-29,3.00,3.10,2.88,3.03,5280400,3.03
2014-04-28,3.07,3.10,2.88,2.90,4020600,2.90
2014-04-25,3.14,3.25,3.03,3.07,3714600,3.07
2014-04-24,3.25,3.35,3.08,3.15,3736600,3.15
2014-04-23,3.22,3.30,3.12,3.15,2483000,3.15
2014-04-22,3.20,3.27,3.16,3.22,2030800,3.22
2014-04-21,3.11,3.35,3.10,3.19,2271400,3.19
2014-04-17,3.08,3.17,3.06,3.13,1247700,3.13
2014-04-16,3.11,3.13,3.04,3.09,1791500,3.09
2014-04-15,3.10,3.15,2.97,3.08,3628400,3.08
2014-04-14,3.11,3.15,3.03,3.09,1738500,3.09
2014-04-11,3.14,3.24,3.03,3.04,2618100,3.04
2014-04-10,3.38,3.39,3.15,3.18,2001200,3.18
2014-04-09,3.27,3.40,3.25,3.37,1541700,3.37
2014-04-08,3.15,3.28,3.12,3.26,2579800,3.26
2014-04-07,3.24,3.33,3.13,3.13,3802000,3.13
2014-04-04,3.49,3.49,3.23,3.23,3932100,3.23
2014-04-03,3.55,3.58,3.42,3.45,1332700,3.45
2014-04-02,3.51,3.56,3.37,3.53,1423400,3.53
2014-04-01,3.39,3.53,3.38,3.52,1906200,3.52
2014-03-31,3.36,3.44,3.30,3.37,2826700,3.37
2014-03-28,3.34,3.42,3.32,3.32,1492900,3.32
2014-03-27,3.37,3.47,3.27,3.32,3080100,3.32
2014-03-26,3.57,3.59,3.35,3.37,6381700,3.37
2014-03-25,3.65,3.65,3.47,3.52,3012000,3.52
2014-03-24,3.55,3.64,3.51,3.56,2580700,3.56
2014-03-21,3.57,3.65,3.53,3.53,19533400,3.53
2014-03-20,3.61,3.66,3.52,3.64,1718500,3.64
2014-03-19,3.69,3.69,3.58,3.62,1247400,3.62
2014-03-18,3.60,3.73,3.58,3.68,1730600,3.68
2014-03-17,3.78,3.78,3.55,3.62,4755200,3.62
2014-03-14,3.42,3.54,3.36,3.44,1955100,3.44
2014-03-13,3.70,3.72,3.38,3.44,3368400,3.44
2014-03-12,3.65,3.70,3.59,3.69,894300,3.69
2014-03-11,3.73,3.79,3.63,3.65,1525000,3.65
2014-03-10,3.82,3.86,3.72,3.73,2026300,3.73
2014-03-07,3.92,3.92,3.82,3.84,723100,3.84
2014-03-06,3.88,3.93,3.87,3.92,879900,3.92
2014-03-05,3.87,3.94,3.82,3.89,998800,3.89
2014-03-04,3.84,3.98,3.82,3.87,2574700,3.87
2014-03-03,3.70,3.81,3.63,3.80,1148300,3.80
2014-02-28,3.88,3.88,3.72,3.73,2468400,3.73
2014-02-27,3.87,3.92,3.83,3.87,1334300,3.87
2014-02-26,3.84,3.90,3.78,3.90,1823700,3.90
2014-02-25,3.80,3.83,3.71,3.79,1746500,3.79
2014-02-24,3.78,3.93,3.71,3.81,3738600,3.81
2014-02-21,3.74,3.85,3.69,3.76,4493800,3.76
2014-02-20,3.48,3.74,3.45,3.74,5273200,3.74
2014-02-19,3.29,3.45,3.26,3.43,3518300,3.43
2014-02-18,3.17,3.33,3.16,3.30,4038300,3.30
2014-02-14,3.16,3.19,3.14,3.17,870300,3.17
2014-02-13,3.10,3.18,3.08,3.15,1141600,3.15
2014-02-12,3.10,3.18,3.09,3.12,660400,3.12
2014-02-11,3.05,3.15,3.00,3.11,1051400,3.11
2014-02-10,3.05,3.09,2.98,3.04,746600,3.04
2014-02-07,3.00,3.06,2.96,3.05,947500,3.05
2014-02-06,3.00,3.05,2.96,3.00,1128600,3.00
2014-02-05,3.05,3.05,2.96,3.00,1163500,3.00
2014-02-04,2.98,3.11,2.95,3.05,1626000,3.05
2014-02-03,3.02,3.03,2.94,2.94,2266700,2.94
2014-01-31,2.98,3.04,2.98,3.00,1652900,3.00
2014-01-30,3.08,3.08,3.03,3.04,811500,3.04
2014-01-29,3.02,3.07,2.99,3.04,1113500,3.04
2014-01-28,2.97,3.04,2.96,3.03,1055400,3.03
2014-01-27,2.95,3.02,2.91,2.98,2246300,2.98
2014-01-24,3.03,3.04,2.94,2.95,898000,2.95
2014-01-23,3.09,3.13,3.04,3.05,665500,3.05
2014-01-22,3.11,3.13,3.09,3.12,678500,3.12
2014-01-21,3.07,3.14,3.06,3.12,1005300,3.12
2014-01-17,3.10,3.12,3.03,3.04,753400,3.04
2014-01-16,3.06,3.12,3.02,3.09,931800,3.09
2014-01-15,2.91,3.09,2.91,3.08,1248500,3.08
2014-01-14,2.89,2.92,2.85,2.92,540300,2.92
2014-01-13,2.86,2.97,2.86,2.88,1036100,2.88
2014-01-10,2.85,2.86,2.76,2.86,873700,2.86
2014-01-09,2.89,2.92,2.79,2.85,1098300,2.85
2014-01-08,2.90,3.00,2.85,2.89,1733200,2.89
2014-01-07,3.04,3.05,2.91,2.94,1376600,2.94
2014-01-06,3.06,3.08,2.99,3.02,1011900,3.02
2014-01-03,3.06,3.09,3.03,3.04,677900,3.04
2014-01-02,3.15,3.15,3.02,3.08,884100,3.08
2013-12-31,3.15,3.19,3.13,3.15,851400,3.15
2013-12-30,3.18,3.18,3.11,3.15,926400,3.15
2013-12-27,3.20,3.20,3.13,3.19,620500,3.19
2013-12-26,3.21,3.24,3.18,3.19,595500,3.19
2013-12-24,3.16,3.23,3.16,3.20,486200,3.20
2013-12-23,3.16,3.21,3.11,3.17,1716600,3.17
2013-12-20,3.10,3.10,3.01,3.06,3690500,3.06
2013-12-19,2.99,3.09,2.94,3.08,1057300,3.08
2013-12-18,3.06,3.06,2.94,2.99,1412100,2.99
2013-12-17,2.92,3.04,2.91,3.03,1582800,3.03
2013-12-16,2.76,2.92,2.75,2.91,1359700,2.91
2013-12-13,2.80,2.83,2.73,2.74,2490200,2.74
2013-12-12,2.78,2.81,2.68,2.78,1213500,2.78
2013-12-11,2.82,2.82,2.77,2.79,1216200,2.79
2013-12-10,2.82,2.86,2.79,2.82,1690900,2.82
2013-12-09,2.90,2.90,2.84,2.86,1403600,2.86
2013-12-06,2.89,2.92,2.86,2.91,1566300,2.91
2013-12-05,2.88,2.89,2.84,2.86,1532100,2.86
2013-12-04,2.84,2.92,2.84,2.89,1021400,2.89
2013-12-03,2.86,2.88,2.82,2.86,1857300,2.86
2013-12-02,2.90,2.91,2.85,2.87,844500,2.87
2013-11-29,2.93,2.95,2.90,2.91,509800,2.91
2013-11-27,2.90,2.92,2.87,2.90,1149700,2.90
2013-11-26,2.86,2.92,2.85,2.88,1236500,2.88
2013-11-25,2.92,2.94,2.87,2.87,1573100,2.87
2013-11-22,2.83,2.92,2.81,2.90,1773800,2.90
2013-11-21,2.82,2.86,2.79,2.82,1541000,2.82
2013-11-20,2.83,2.86,2.77,2.80,1304800,2.80
2013-11-19,2.75,2.87,2.70,2.81,1682600,2.81
2013-11-18,2.75,2.92,2.73,2.73,2601200,2.73
2013-11-15,2.98,3.01,2.71,2.72,4945400,2.72
2013-11-14,2.99,3.02,2.97,2.99,1087000,2.99
2013-11-13,2.97,3.03,2.96,3.00,1290000,3.00
2013-11-12,2.97,3.01,2.95,2.98,866000,2.98
2013-11-11,2.96,3.01,2.95,2.99,763000,2.99
2013-11-08,2.94,3.03,2.91,2.97,1308200,2.97
2013-11-07,2.99,2.99,2.90,2.96,1177100,2.96
2013-11-06,3.00,3.00,2.94,2.96,823800,2.96
2013-11-05,2.96,2.99,2.92,2.97,1209700,2.97
2013-11-04,2.94,3.03,2.92,2.98,1562500,2.98
2013-11-01,2.99,3.00,2.86,2.90,2115500,2.90
2013-10-31,3.05,3.05,2.82,2.99,4208500,2.99
2013-10-30,3.35,3.39,3.03,3.04,3447700,3.04
2013-10-29,3.29,3.34,3.22,3.33,1748800,3.33
2013-10-28,3.35,3.36,3.25,3.28,2033100,3.28
2013-10-25,3.41,3.43,3.30,3.33,869300,3.33
2013-10-24,3.31,3.40,3.27,3.39,1230000,3.39
2013-10-23,3.40,3.41,3.29,3.30,1636700,3.30
2013-10-22,3.51,3.55,3.39,3.41,1539700,3.41
2013-10-21,3.48,3.53,3.47,3.51,1168500,3.51
2013-10-18,3.50,3.56,3.42,3.47,2244800,3.47
2013-10-17,3.45,3.50,3.44,3.47,1271300,3.47
2013-10-16,3.37,3.48,3.36,3.46,1712700,3.46
2013-10-15,3.43,3.46,3.32,3.34,1024900,3.34
2013-10-14,3.40,3.47,3.35,3.44,906200,3.44
