Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,47.75,48.07,47.17,47.68,422700,47.68
2014-06-18,47.08,47.75,47.08,47.64,383600,47.64
2014-06-17,47.16,47.39,46.23,47.39,236200,47.39
2014-06-16,46.36,46.36,46.01,46.20,143700,46.20
2014-06-13,46.25,46.36,45.61,46.36,249400,46.36
2014-06-12,46.05,46.07,45.27,45.63,173800,45.63
2014-06-11,46.34,46.50,46.02,46.26,110500,46.26
2014-06-10,46.33,46.55,46.18,46.39,108800,46.39
2014-06-09,46.27,46.40,46.05,46.33,131200,46.33
2014-06-06,46.58,46.62,46.20,46.27,117900,46.27
2014-06-05,46.68,46.74,46.33,46.58,119900,46.58
2014-06-04,46.25,46.80,46.20,46.75,151000,46.75
2014-06-03,46.23,46.43,46.04,46.35,128300,46.35
2014-06-02,46.40,46.57,46.23,46.46,108000,46.46
2014-05-30,46.10,46.45,45.90,46.42,146400,46.42
2014-05-29,46.01,46.14,45.82,46.10,143900,46.10
2014-05-28,46.08,46.25,45.81,46.01,142600,46.01
2014-05-27,46.15,46.22,45.86,46.00,108500,46.00
2014-05-23,45.90,46.15,45.80,46.01,92600,46.01
2014-05-22,46.17,46.43,45.71,46.01,129900,46.01
2014-05-21,46.38,46.78,46.15,46.31,196600,46.31
2014-05-20,45.93,46.67,45.90,46.55,171400,46.55
2014-05-19,45.75,46.20,45.70,46.11,115600,46.11
2014-05-16,45.57,46.20,45.57,45.97,134900,45.97
2014-05-15,45.55,45.95,45.10,45.79,171100,45.79
2014-05-14,45.47,46.00,45.05,45.89,214900,45.89
2014-05-13,45.48,45.48,44.55,45.29,201300,45.29
2014-05-12,44.99,45.18,44.63,44.91,192300,44.91
2014-05-09,43.89,44.81,43.67,44.55,242100,44.55
2014-05-08,44.13,44.13,42.84,43.40,287700,43.40
2014-05-07,43.88,44.15,43.29,43.39,171600,43.39
2014-05-06,44.07,44.25,43.80,43.88,87500,43.88
2014-05-05,43.51,44.23,43.51,44.13,117200,44.13
2014-05-02,43.74,43.98,43.05,43.61,151000,43.61
2014-05-01,44.65,44.97,44.36,44.74,190600,43.87
2014-04-30,44.50,44.84,44.41,44.61,136600,43.74
2014-04-29,43.83,44.54,43.83,44.54,158500,43.67
2014-04-28,43.80,44.18,43.70,43.80,113400,42.94
2014-04-25,43.71,43.79,43.30,43.66,113000,42.81
2014-04-24,43.50,43.75,43.27,43.75,149900,42.89
2014-04-23,43.29,43.57,43.06,43.39,112200,42.54
2014-04-22,43.22,43.69,43.17,43.38,159300,42.53
2014-04-21,42.97,43.27,42.91,43.20,87300,42.36
2014-04-17,42.70,43.04,42.50,42.90,108900,42.06
2014-04-16,42.37,42.63,42.37,42.62,96500,41.79
2014-04-15,42.58,42.84,42.32,42.36,125100,41.53
2014-04-14,42.95,43.26,42.51,42.65,116900,41.82
2014-04-11,42.42,42.98,42.26,42.83,222200,41.99
2014-04-10,42.53,42.78,42.02,42.34,186900,41.51
2014-04-09,42.88,43.04,42.20,42.53,106000,41.70
2014-04-08,42.18,43.13,42.14,43.05,154600,42.21
2014-04-07,42.10,42.55,42.00,42.32,111000,41.49
2014-04-04,42.24,42.59,42.11,42.21,114400,41.38
2014-04-03,41.83,42.21,41.55,42.18,135000,41.36
2014-04-02,42.20,42.20,41.62,41.83,168900,41.01
2014-04-01,41.54,42.01,41.19,42.01,155600,41.19
2014-03-31,41.09,41.71,40.94,41.54,143300,40.73
2014-03-28,41.00,41.13,40.67,40.89,118700,40.09
2014-03-27,40.81,41.10,40.51,40.90,185300,40.10
2014-03-26,40.61,41.24,40.61,40.95,112900,40.15
2014-03-25,40.22,40.98,40.11,40.61,204600,39.82
2014-03-24,40.50,40.85,40.02,40.09,315100,39.31
2014-03-21,41.00,41.25,39.91,40.70,536300,39.90
2014-03-20,41.19,41.49,40.88,40.95,246200,40.15
2014-03-19,41.80,41.81,40.87,40.99,343300,40.19
2014-03-18,43.32,43.40,41.30,41.94,314000,41.12
2014-03-17,42.91,43.49,42.53,43.40,150900,42.55
2014-03-14,42.95,43.25,42.59,42.59,80100,41.76
2014-03-13,43.20,43.62,42.95,43.06,152600,42.22
2014-03-12,43.60,43.65,43.07,43.32,83900,42.47
2014-03-11,43.20,43.94,42.80,43.41,157300,42.56
2014-03-10,42.64,43.24,42.57,43.03,143500,42.19
2014-03-07,42.20,43.10,42.14,42.86,152600,42.02
2014-03-06,42.31,42.44,41.81,42.24,273200,41.41
2014-03-05,41.33,42.50,40.90,42.43,366400,41.60
