Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,4.85,5.40,4.85,5.31,20400,5.31
2014-06-18,4.84,4.94,4.82,4.90,4900,4.90
2014-06-17,4.85,4.93,4.76,4.85,6500,4.85
2014-06-16,4.91,5.10,4.80,4.84,25100,4.84
2014-06-13,4.83,5.00,4.77,4.79,10700,4.79
2014-06-12,5.07,5.11,4.76,4.83,39400,4.83
2014-06-11,5.16,6.00,4.87,4.98,259000,4.98
2014-06-10,5.00,5.10,4.93,5.06,14600,5.06
2014-06-09,4.91,5.31,4.91,4.93,13700,4.93
2014-06-06,5.01,5.48,5.01,5.16,6800,5.16
2014-06-05,4.78,5.10,4.78,4.93,16600,4.93
2014-06-04,4.76,5.00,4.76,4.79,22900,4.79
2014-06-03,5.10,5.14,4.54,4.75,28200,4.75
2014-06-02,5.04,5.22,5.04,5.08,15800,5.08
2014-05-30,5.23,5.34,4.96,5.03,7700,5.03
2014-05-29,5.28,5.28,5.12,5.20,8600,5.20
2014-05-28,5.20,5.31,5.08,5.26,12300,5.26
2014-05-27,5.40,5.40,5.15,5.20,21600,5.20
2014-05-23,5.59,5.70,5.30,5.37,12300,5.37
2014-05-22,5.49,5.64,5.25,5.46,18000,5.46
2014-05-21,5.30,5.70,5.18,5.53,28300,5.53
2014-05-20,5.41,5.81,5.30,5.32,50800,5.32
2014-05-19,5.51,5.77,5.47,5.53,17300,5.53
2014-05-16,5.55,5.69,5.32,5.50,37500,5.50
2014-05-15,5.60,5.66,5.51,5.54,29800,5.54
2014-05-14,5.94,5.94,5.50,5.60,75000,5.60
2014-05-13,5.81,6.24,5.81,5.87,74100,5.87
2014-05-12,6.12,6.50,5.54,5.79,77300,5.79
2014-05-09,6.20,6.41,5.42,6.12,53500,6.12
2014-05-08,6.15,6.46,5.84,6.16,66600,6.16
2014-05-07,6.33,6.65,6.22,6.31,176500,6.31
2014-05-06,7.24,7.24,6.01,6.22,93800,6.22
2014-05-05,7.30,7.41,7.20,7.25,73000,7.25
2014-05-02,7.63,7.69,7.25,7.33,17200,7.33
2014-05-01,7.27,7.72,7.00,7.64,22100,7.64
2014-04-30,7.91,8.35,7.12,7.26,48300,7.26
2014-04-29,7.61,7.70,7.23,7.25,22900,7.25
2014-04-28,7.85,8.64,7.52,7.64,35100,7.64
2014-04-25,8.87,8.87,7.50,7.66,85800,7.66
2014-04-24,10.18,10.20,9.70,9.86,28700,9.86
2014-04-23,9.64,10.39,9.50,10.10,47100,10.10
2014-04-22,9.50,9.70,9.43,9.55,21300,9.55
2014-04-21,9.40,9.46,9.30,9.35,18600,9.35
2014-04-17,9.43,9.59,9.02,9.40,19400,9.40
2014-04-16,8.71,9.60,8.71,9.40,14700,9.40
2014-04-15,8.60,8.79,8.40,8.72,13700,8.72
2014-04-14,8.14,8.77,8.14,8.61,14100,8.61
2014-04-11,7.97,8.30,7.95,7.98,16500,7.98
2014-04-10,7.90,8.05,7.81,7.91,7500,7.91
2014-04-09,7.90,8.18,7.90,8.08,14400,8.08
2014-04-08,7.77,8.27,7.67,8.16,15500,8.16
2014-04-07,7.55,7.92,7.55,7.84,30400,7.84
2014-04-04,8.00,8.01,7.61,7.63,16300,7.63
2014-04-03,8.25,8.25,7.77,7.97,17300,7.97
2014-04-02,8.07,8.29,8.07,8.22,4400,8.22
2014-04-01,8.01,8.30,8.01,8.13,15200,8.13
2014-03-31,8.12,8.12,7.80,8.07,23200,8.07
2014-03-28,8.09,8.19,8.02,8.15,14200,8.15
2014-03-27,8.00,8.09,7.89,8.06,6700,8.06
2014-03-26,7.93,8.30,7.85,7.90,20400,7.90
2014-03-25,8.50,8.53,8.06,8.06,18800,8.06
2014-03-24,8.60,8.61,8.11,8.45,22900,8.45
2014-03-21,8.46,8.88,8.46,8.53,36800,8.53
2014-03-20,8.94,9.10,8.70,8.82,13900,8.82
2014-03-19,9.29,9.35,8.28,8.84,32000,8.84
2014-03-18,9.58,9.98,9.26,9.40,31600,9.40
2014-03-17,10.02,10.02,9.62,9.63,11200,9.63
2014-03-14,10.48,10.48,9.78,10.01,8500,10.01
2014-03-13,10.70,10.75,10.47,10.49,10400,10.49
2014-03-12,10.74,10.88,10.54,10.70,7500,10.70
2014-03-11,10.80,10.80,10.54,10.79,8100,10.79
2014-03-10,9.88,10.90,9.86,10.85,15500,10.85
2014-03-07,10.43,10.43,9.51,9.86,31100,9.86
2014-03-06,11.06,11.09,10.59,10.59,16600,10.59
2014-03-05,11.69,11.69,11.00,11.07,18800,11.07
2014-03-04,11.24,11.69,11.18,11.63,21000,11.63
2014-03-03,10.91,11.70,10.89,11.19,39300,11.19
2014-02-28,10.54,11.95,10.54,10.96,58700,10.96
2014-02-27,10.19,10.50,10.05,10.46,12800,10.46
2014-02-26,10.11,10.55,9.80,10.30,38400,10.30
2014-02-25,9.56,10.50,9.56,10.15,48600,10.15
2014-02-24,8.80,9.74,8.77,9.59,81100,9.59
2014-02-21,9.05,11.54,8.39,8.39,229200,8.39
2014-02-20,7.92,7.92,7.60,7.60,20200,7.60
2014-02-19,7.23,8.00,7.23,7.76,29900,7.76
2014-02-18,6.93,7.29,6.64,7.17,15500,7.17
2014-02-14,6.62,6.88,6.62,6.88,6200,6.88
2014-02-13,6.70,6.88,6.63,6.64,7200,6.64
2014-02-12,6.98,7.20,6.68,6.81,13200,6.81
2014-02-11,6.97,7.19,6.82,6.90,5200,6.90
2014-02-10,6.44,7.12,6.39,6.97,7600,6.97
2014-02-07,6.43,6.62,6.42,6.50,5800,6.50
2014-02-06,6.30,6.93,6.28,6.43,33500,6.43
2014-02-05,6.78,6.78,6.29,6.64,28400,6.64
2014-02-04,7.21,7.26,6.62,6.77,5400,6.77
2014-02-03,6.42,7.13,6.28,6.96,16400,6.96
2014-01-31,7.30,7.43,7.01,7.01,19900,7.01
2014-01-30,7.43,7.70,7.30,7.37,5700,7.37
2014-01-29,6.85,7.40,6.85,7.35,18600,7.35
2014-01-28,6.71,7.00,6.61,6.76,7000,6.76
2014-01-27,6.82,6.82,6.65,6.70,12000,6.70
2014-01-24,7.43,7.50,6.88,6.93,13300,6.93
2014-01-23,6.91,7.60,6.77,7.41,18700,7.41
2014-01-22,7.52,7.52,6.77,6.93,42100,6.93
2014-01-21,7.52,7.86,7.50,7.50,8500,7.50
2014-01-17,7.71,7.71,7.50,7.56,3200,7.56
2014-01-16,7.59,7.74,7.51,7.74,11300,7.74
