Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,24.38,24.66,24.21,24.62,43400,24.62
2014-06-18,24.48,24.48,23.98,24.40,30600,24.40
2014-06-17,23.98,24.43,23.85,24.43,48800,24.43
2014-06-16,24.09,24.09,23.67,23.92,35600,23.92
2014-06-13,24.48,24.72,24.10,24.20,30900,24.20
2014-06-12,24.53,24.53,24.12,24.33,31800,24.33
2014-06-11,24.81,24.91,24.44,24.66,45700,24.66
2014-06-10,25.03,25.18,24.83,25.01,26800,25.01
2014-06-09,24.90,25.20,24.38,25.16,75500,25.16
2014-06-06,24.68,25.00,24.50,24.91,46800,24.91
2014-06-05,23.48,24.50,23.47,24.47,47000,24.47
2014-06-04,23.47,23.94,23.47,23.54,25000,23.54
2014-06-03,23.99,24.28,23.55,23.70,58600,23.70
2014-06-02,24.41,24.41,23.71,24.03,37500,24.03
2014-05-30,24.14,24.41,23.98,24.27,67700,24.27
2014-05-29,24.24,24.38,23.92,24.00,80800,24.00
2014-05-28,24.22,24.28,23.84,24.04,42700,24.04
2014-05-27,23.99,24.42,23.78,24.36,42200,24.36
2014-05-23,23.70,23.84,23.46,23.75,57700,23.75
2014-05-22,23.24,23.67,23.06,23.61,60000,23.61
2014-05-21,23.23,23.37,22.75,23.13,41900,23.13
2014-05-20,23.31,23.63,22.80,23.05,91500,23.05
2014-05-19,22.76,23.46,22.76,23.45,44400,23.45
2014-05-16,22.82,22.90,22.39,22.90,75500,22.90
2014-05-15,22.65,22.95,22.21,22.89,64700,22.89
2014-05-14,23.58,23.58,22.84,22.87,77400,22.87
2014-05-13,24.29,24.29,23.46,23.60,70700,23.60
2014-05-12,23.55,24.49,23.55,24.44,80600,24.27
2014-05-09,22.83,23.54,22.65,23.50,73600,23.34
2014-05-08,23.39,23.57,22.90,22.98,44600,22.82
2014-05-07,23.23,23.44,22.58,23.36,57800,23.20
2014-05-06,23.27,23.39,22.90,23.13,82900,22.97
2014-05-05,23.04,23.48,22.95,23.42,53900,23.26
2014-05-02,23.36,23.84,22.86,23.24,46500,23.08
2014-05-01,23.12,23.33,22.51,23.25,95000,23.09
2014-04-30,23.31,23.84,22.34,23.26,96900,23.10
2014-04-29,23.32,24.00,22.71,22.85,53100,22.69
2014-04-28,22.86,22.88,22.35,22.47,43200,22.31
2014-04-25,22.59,23.02,22.54,22.66,64700,22.50
2014-04-24,23.37,23.40,22.59,22.75,58500,22.59
2014-04-23,23.05,23.44,22.86,23.25,54300,23.09
2014-04-22,23.05,23.24,22.87,23.13,34800,22.97
2014-04-21,23.08,23.08,22.68,22.94,19800,22.78
2014-04-17,22.73,23.20,22.73,23.04,25100,22.88
2014-04-16,22.95,23.10,22.30,22.78,38300,22.62
2014-04-15,22.77,22.90,22.25,22.85,41200,22.69
2014-04-14,22.94,23.31,22.36,22.61,63900,22.45
2014-04-11,22.93,23.28,22.45,22.66,57400,22.50
2014-04-10,23.81,24.07,22.94,23.14,66200,22.98
2014-04-09,23.91,23.97,23.48,23.66,36700,23.50
2014-04-08,23.75,24.21,23.52,23.82,43700,23.65
2014-04-07,23.99,23.99,22.52,23.79,62500,23.62
2014-04-04,24.82,24.82,23.96,24.03,78500,23.86
2014-04-03,24.50,24.83,24.40,24.59,44600,24.42
2014-04-02,24.23,24.84,24.03,24.54,42100,24.37
2014-04-01,23.67,24.32,23.52,24.25,156300,24.08
2014-03-31,23.29,23.75,23.29,23.70,79600,23.54
2014-03-28,23.37,23.86,23.04,23.20,31600,23.04
2014-03-27,23.68,23.88,23.32,23.41,43600,23.25
2014-03-26,24.50,24.50,23.73,23.74,50200,23.57
2014-03-25,24.44,24.52,24.27,24.41,45400,24.24
2014-03-24,24.23,24.42,24.02,24.35,32100,24.18
2014-03-21,24.40,24.50,24.08,24.21,143000,24.04
2014-03-20,23.84,24.35,23.79,24.33,25200,24.16
2014-03-19,23.94,24.15,23.69,23.95,34600,23.78
2014-03-18,23.92,24.00,23.68,23.98,48200,23.81
2014-03-17,23.89,23.96,23.34,23.91,39900,23.74
2014-03-14,23.71,23.95,23.60,23.81,31000,23.64
2014-03-13,23.88,23.99,23.65,23.89,99700,23.72
2014-03-12,23.58,23.99,23.58,23.85,51000,23.68
2014-03-11,24.00,24.01,23.53,23.82,43000,23.65
2014-03-10,23.86,24.10,23.58,24.05,117100,23.88
2014-03-07,24.00,24.01,23.66,24.00,24500,23.83
2014-03-06,23.81,23.99,23.16,23.83,22400,23.66
2014-03-05,23.60,23.92,23.39,23.84,49900,23.67
2014-03-04,23.36,24.42,23.03,23.66,206700,23.50
2014-03-03,22.91,23.05,22.67,23.01,34600,22.85
2014-02-28,22.89,23.46,22.86,23.07,94400,22.91
2014-02-27,22.66,22.92,22.19,22.82,70600,22.66
2014-02-26,22.12,22.26,21.93,22.22,39400,22.07
2014-02-25,22.31,22.31,21.86,22.08,41800,21.93
2014-02-24,21.96,22.63,21.96,22.30,34600,22.14
2014-02-21,21.94,22.19,21.63,21.85,45600,21.70
2014-02-20,21.60,21.87,21.40,21.79,31500,21.64
2014-02-19,22.10,22.23,21.32,21.44,46100,21.29
2014-02-18,22.08,22.45,22.08,22.24,28300,22.09
2014-02-14,22.19,22.25,22.04,22.10,24800,21.95
2014-02-13,21.64,22.21,21.58,22.18,26500,22.03
2014-02-12,21.82,22.02,21.55,21.89,45700,21.74
2014-02-11,21.50,21.83,21.44,21.76,31400,21.61
2014-02-10,21.32,21.65,21.17,21.59,74400,21.28
2014-02-07,21.87,22.17,21.30,21.47,57400,21.16
2014-02-06,21.80,22.28,21.76,21.79,52400,21.48
2014-02-05,21.99,22.05,21.65,21.84,63000,21.53
2014-02-04,22.22,23.26,21.99,22.07,121700,21.75
2014-02-03,23.31,23.64,22.00,22.07,79700,21.75
2014-01-31,23.39,24.21,23.22,23.39,121700,23.06
2014-01-30,23.67,24.40,23.56,23.92,76100,23.58
2014-01-29,24.27,24.45,23.33,23.50,64600,23.16
2014-01-28,24.60,24.62,24.00,24.61,79500,24.26
2014-01-27,24.55,24.70,24.55,24.58,54200,24.23
2014-01-24,24.48,24.68,24.36,24.57,56300,24.22
2014-01-23,24.81,24.81,24.37,24.70,40100,24.35
2014-01-22,24.99,25.08,24.60,25.04,23700,24.68
2014-01-21,24.81,25.28,24.56,24.96,40200,24.60
2014-01-17,24.60,25.39,24.31,24.64,27600,24.29
2014-01-16,24.72,24.90,24.09,24.65,21200,24.30
2014-01-15,24.56,25.12,24.50,24.83,44500,24.47
2014-01-14,24.42,24.47,24.21,24.43,16600,24.08
2014-01-13,24.35,24.57,24.08,24.38,54800,24.03
2014-01-10,24.80,24.80,24.33,24.52,34600,24.17
2014-01-09,24.70,24.86,24.44,24.74,28400,24.39
2014-01-08,25.23,25.24,24.52,24.68,66800,24.33
2014-01-07,24.88,25.43,24.88,25.19,37100,24.83
2014-01-06,25.07,25.09,24.59,24.72,54900,24.37
2014-01-03,24.84,25.08,24.66,25.03,58700,24.67
2014-01-02,25.29,25.29,24.75,24.83,52200,24.47
2013-12-31,25.24,25.61,24.99,25.31,51600,24.95
2013-12-30,25.38,25.45,25.12,25.17,17600,24.81
2013-12-27,25.51,25.64,25.24,25.47,32200,25.11
2013-12-26,25.76,25.76,25.24,25.41,34500,25.05
2013-12-24,25.41,25.91,25.02,25.58,20800,25.21
2013-12-23,25.31,26.17,25.10,25.46,45300,25.10
2013-12-20,24.32,25.20,23.76,25.13,211300,24.77
2013-12-19,24.61,24.64,24.17,24.20,35700,23.85
2013-12-18,24.16,24.72,23.78,24.71,74400,24.36
2013-12-17,24.28,24.28,23.72,24.06,27300,23.72
2013-12-16,23.80,24.30,23.80,24.21,35300,23.86
2013-12-13,23.91,23.92,23.54,23.75,53000,23.41
